title,score,developer,publisher,rom_name,size,running_total
Mother 3,9.2,Brownie Brown,Nintendo,Mother 3 (Japan).gba,32.0 MiB,32.0 MiB
Super Mario Advance 4: Super Mario Bros. 3,9.2,Nintendo,Nintendo,Super Mario Advance 4 - Super Mario Bros. 3 (USA) (Rev 1) (Switch Online).gba,8.0 MiB,40.0 MiB
The Legend of Zelda: A Link to the Past / Four Swords,9.2,Nintendo,Nintendo,"Legend of Zelda, The - A Link to the Past & Four Swords (USA).gba",8.0 MiB,48.0 MiB
Super Mario World: Super Mario Advance 2,9.1,Nintendo,Nintendo,"Super Mario Advance 2 - Super Mario World (USA, Australia).gba",4.0 MiB,52.0 MiB
Yoshi's Island: Super Mario Advance 3,9.1,Nintendo,Nintendo,"Super Mario Advance (USA, Europe).gba",4.0 MiB,56.0 MiB
Metroid Fusion,9.0,Nintendo,Nintendo,Metroid Fusion (USA).gba,8.0 MiB,64.0 MiB
Metroid: Zero Mission,9.0,Nintendo,Nintendo,Metroid - Zero Mission (USA).gba,16.0 MiB,80.0 MiB
Tony Hawk's Pro Skater 3,9.0,Neversoft Entertainment,Activision,"Tony Hawk's Pro Skater 3 (USA, Europe).gba",8.0 MiB,88.0 MiB
Advance Wars,8.9,Intelligent Systems,Nintendo,Advance Wars (USA) (Rev 1).gba,4.0 MiB,92.0 MiB
Final Fantasy VI,8.9,TOSE,Nintendo,Final Fantasy VI Advance (USA).gba,8.0 MiB,100.0 MiB
Golden Sun,8.9,Camelot Software Planning,Nintendo,"Golden Sun (USA, Europe).gba",8.0 MiB,108.0 MiB
Fire Emblem,8.9,Intelligent Systems,Nintendo,"Fire Emblem (USA, Australia).gba",31.0 MiB,139.0 MiB
Castlevania: Aria of Sorrow,8.9,KCET,Konami,Castlevania - Aria of Sorrow (USA).gba,8.0 MiB,147.0 MiB
The Legend of Zelda: The Minish Cap,8.9,Flagship,Nintendo,"Legend of Zelda, The - The Minish Cap (USA).gba",16.0 MiB,163.0 MiB
Bomberman Tournament,8.8,Amble,Activision,"Bomberman Tournament (USA, Europe).gba",4.0 MiB,167.0 MiB
Final Fantasy Tactics Advance,8.8,Square Enix,Square Enix,Final Fantasy Tactics Advance (USA).gba,16.0 MiB,183.0 MiB
Mario & Luigi: Superstar Saga,8.8,Alphadream Corporation,Nintendo,Mario & Luigi - Superstar Saga (USA).gba,16.0 MiB,199.0 MiB
Wario Land 4,8.8,Nintendo,Nintendo,"Wario Land 4 (USA, Europe).gba",8.0 MiB,207.0 MiB
Fire Emblem: The Sacred Stones,8.7,Intelligent Systems,Nintendo,"Fire Emblem - The Sacred Stones (USA, Australia).gba",17.8 MiB,224.8 MiB
Tactics Ogre: The Knight of Lodis,8.7,Quest,Atlus,Tactics Ogre - The Knight of Lodis (USA).gba,8.0 MiB,232.8 MiB
Ultimate Card Games,8.7,Cosmigo,Telegames,Ultimate Card Games (USA) (Rev 2).gba,4.0 MiB,236.8 MiB
"WarioWare, Inc.: Mega Microgame$!",8.7,Nintendo,Nintendo,"WarioWare, Inc. - Mega Microgame$! (USA).gba",8.0 MiB,244.8 MiB
WarioWare: Twisted!,8.7,Nintendo,Nintendo,"WarioWare - Twisted! (USA, Australia).gba",16.0 MiB,260.8 MiB
Astro Boy: Omega Factor,8.7,Hitmaker,Sega,"Astro Boy - Omega Factor (USA) (En,Ja,Fr,De,Es,It).gba",8.0 MiB,268.8 MiB
Castlevania: Circle of the Moon,8.6,KCEK,Konami,Castlevania - Circle of the Moon (USA).gba,8.0 MiB,276.8 MiB
Golden Sun: The Lost Age,8.6,Camelot Software Planning,Nintendo,"Golden Sun - The Lost Age (USA, Europe).gba",16.0 MiB,292.8 MiB
Moto Racer Advance,8.6,Adeline Software,Ubisoft,"Moto Racer Advance (USA) (En,Fr,De,Es,It).gba",4.0 MiB,296.8 MiB
Tony Hawk's Underground,8.6,Neversoft Entertainment,Activision,"Tony Hawk's Underground (USA, Europe).gba",8.0 MiB,304.8 MiB
Advance Wars 2: Black Hole Rising,8.6,Intelligent Systems,Nintendo,Advance Wars 2 - Black Hole Rising (USA).gba,8.0 MiB,312.8 MiB
Castlevania Double Pack,8.6,KCET,Konami,Castlevania Double Pack (USA).gba,16.0 MiB,328.8 MiB
Mario Kart: Super Circuit,8.6,Intelligent Systems,Nintendo,Mario Kart - Super Circuit (USA).gba,4.0 MiB,332.8 MiB
Castlevania: Harmony of Dissonance,8.5,KCET,Konami,Castlevania - Harmony of Dissonance (USA).gba,8.0 MiB,340.8 MiB
Dave Mirra Freestyle BMX 2,8.5,"Z-Axis, Ltd.",Acclaim,Dave Mirra Freestyle BMX 2 (USA).gba,8.0 MiB,348.8 MiB
Tony Hawk's Pro Skater 4,8.5,Neversoft Entertainment,Activision,"Tony Hawk's Pro Skater 4 (USA, Europe).gba",8.0 MiB,356.8 MiB
