title,score,developer,publisher,rom_name,size,running_total
The Legend of Zelda: Ocarina of Time 3D,9.2,GREZZO,Nintendo,"Legend of Zelda, The - Ocarina of Time 3D (USA) (En,Fr,Es) (Rev 1).3ds",512.0 MiB,512.0 MiB
Fire Emblem: Awakening,9.1,Intelligent Systems,Nintendo,Fire Emblem - Awakening (USA).3ds,2.0 GiB,2.5 GiB
The Legend of Zelda: A Link Between Worlds,9.0,Nintendo,Nintendo,"Legend of Zelda, The - A Link Between Worlds (USA) (En,Fr,Es).3ds",1.0 GiB,3.5 GiB
The Legend of Zelda: Majora's Mask 3D,8.9,GREZZO,Nintendo,"Legend of Zelda, The - Majora's Mask 3D (USA) (En,Fr,Es) (Rev 1).3ds",1.0 GiB,4.5 GiB
Animal Crossing: New Leaf,8.8,Nintendo,Nintendo,"Animal Crossing - New Leaf (USA) (En,Fr,Es).3ds",1.0 GiB,5.5 GiB
Zero Escape: Virtue's Last Reward,8.8,ChunSoft,Aksys Games,Zero Escape - Virtue's Last Reward (USA) (Rev 2).3ds,1.0 GiB,6.5 GiB
Cave Story,8.7,Nicalis,Nicalis,Cave Story 3D (USA).3ds,512.0 MiB,7.0 GiB
Gotta Protectors (2016),8.7,Ancient Corp,Ancient Corp,,,
Super Mario 3D Land,8.7,Nintendo,Nintendo,"Super Mario 3D Land (USA) (En,Fr,Es) (Rev 1).3ds",512.0 MiB,7.5 GiB
Pushmo,8.7,Intelligent Systems,Nintendo,,,
Shovel Knight,8.7,Yacht Club Games,Yacht Club Games,Shovel Knight (USA).3ds,256.0 MiB,7.8 GiB
Monster Hunter 4 Ultimate,8.6,Capcom,Capcom,Monster Hunter 4 Ultimate (USA).3ds,4.0 GiB,11.8 GiB
Xenoblade Chronicles,8.6,Monster Games Inc.,Nintendo,Sengoku Musou Chronicle (Japan).3ds,2.0 GiB,13.8 GiB
Metroid: Samus Returns,8.6,Mercury Steam,Nintendo,"Metroid - Samus Returns (USA) (En,Fr,Es).3ds",1.0 GiB,14.8 GiB
Silver Falls - 3 Down Stars,8.6,Sungrand,Sungrand,,,
Dragon Quest VIII: Journey of the Cursed King,8.6,Level 5,Square Enix,Dragon Quest VIII - Journey of the Cursed King (USA).3ds,4.0 GiB,18.8 GiB
Radiant Historia,8.6,Atlus,Atlus,Radiant Historia - Perfect Chronology (USA).3ds,2.0 GiB,20.8 GiB
Kid Icarus: Uprising,8.5,Project Sora,Nintendo,"Kid Icarus - Uprising (USA) (En,Fr,Es).3ds",2.0 GiB,22.8 GiB
Luigi's Mansion: Dark Moon,8.5,Next Level Games,Nintendo,"Luigi's Mansion - Dark Moon (USA) (En,Fr,Es).3ds",1.0 GiB,23.8 GiB
Bravely Default,8.4,Silicon Studio,Nintendo,"Bravely Default (USA) (En,Ja,Fr,De,Es,It).3ds",4.0 GiB,27.8 GiB
Sonic the Hedgehog 2,8.4,M2,Sega,,,
Super Smash Bros. for Nintendo 3DS / Wii U,8.4,Bandai Namco Games,Nintendo,"Super Smash Bros. for Nintendo 3DS (USA) (En,Fr,Es) (Rev 11).3ds",2.0 GiB,29.8 GiB
Go! Go! Kokopolo 3D: Space Recipe for Disaster,8.4,Tanukii Studios,CIRCLE Entertainment,Go! Go! Kokopolo 3D - Space Recipe For Disaster (USA).3ds,512.0 MiB,30.2 GiB
Gunstar Heroes,8.4,M2,Sega,Lost Heroes (Japan).3ds,1.0 GiB,31.2 GiB
Crashmo,8.4,Intelligent Systems,Nintendo,"Crash Time 3D (Europe) (En,Fr,De,It).3ds",256.0 MiB,31.5 GiB
Kirby: Planet Robobot,8.4,HAL Labs,Nintendo,Kirby - Planet Robobot (USA).3ds,1.0 GiB,32.5 GiB
Shantae and the Pirate's Curse,8.4,WayForward,WayForward,Shantae and the Pirate's Curse (USA).3ds,512.0 MiB,33.0 GiB
Etrian Odyssey IV: Legends of the Titan,8.4,Atlus,Atlus,Etrian Odyssey IV - Legends of the Titan (USA).3ds,1.0 GiB,34.0 GiB
Fire Emblem Echoes: Shadows of Valentia,8.3,Intelligent Systems,Nintendo,"Fire Emblem Echoes - Shadows of Valentia (USA) (En,Fr,Es).3ds",2.0 GiB,36.0 GiB
Mario Kart 7,8.3,Retro Studios,Nintendo,"Mario Kart 7 (USA) (En,Fr,Es) (Rev 1).3ds",1.0 GiB,37.0 GiB
Phoenix Wright: Ace Attorney Trilogy,8.3,NATSUME ATARI Inc.,Capcom,"Professor Layton vs Phoenix Wright - Ace Attorney (Europe) (En,Fr,De,Nl).3ds",2.0 GiB,39.0 GiB
Streets of Rage 2,8.3,M2,Sega,,,
Fire Emblem Fates: Special Edition,8.3,Intelligent Systems,Nintendo,Fire Emblem Fates - Special Edition (USA).3ds,2.0 GiB,41.0 GiB
Fire Emblem Fates: Conquest,8.3,Intelligent Systems,Nintendo,Fire Emblem Fates - Conquest (USA).3ds,2.0 GiB,43.0 GiB
Kirby: Triple Deluxe,8.3,HAL Labs,Nintendo,"Kirby - Triple Deluxe (USA) (En,Fr,Es).3ds",1.0 GiB,44.0 GiB
OutRun,8.3,M2,Sega,,,
Resident Evil: Revelations,8.3,Capcom,Capcom,"Resident Evil - Revelations (USA) (En,Ja,Fr,De,Es,It) (Rev 1).3ds",4.0 GiB,48.0 GiB
Yo-kai Watch 3,8.3,Level 5,Nintendo,Yo-Kai Watch 3 (USA).3ds,4.0 GiB,52.0 GiB
Donkey Kong Country Returns,8.2,Retro Studios,Nintendo,"Donkey Kong Country Returns 3D (USA) (En,Fr,Es).3ds",4.0 GiB,56.0 GiB
Monster Hunter Generations,8.2,Capcom,Capcom,Monster Hunter Generations (USA).3ds,2.0 GiB,58.0 GiB
Rhythm Heaven Megamix,8.2,Nintendo,Nintendo,"Rhythm Paradise Megamix (Europe) (En,Fr,De,Es,It).3ds",1.0 GiB,59.0 GiB
SteamWorld Heist,8.2,Image & Form,Image & Form,,,
Super Street Fighter IV,8.2,Capcom,Capcom,"Super Street Fighter IV - 3D Edition (USA) (En,Fr,Es).3ds",2.0 GiB,61.0 GiB
Theatrhythm Final Fantasy: Curtain Call,8.2,indieszero,Square Enix,Theatrhythm Final Fantasy - Curtain Call (USA).3ds,2.0 GiB,63.0 GiB
Zero Escape: Zero Time Dilemma,8.2,Chime,Aksys Games,Zero Escape - Zero Time Dilemma (USA).3ds,2.0 GiB,65.0 GiB
Colors! 3D,8.2,Collecting Smiles,Collecting Smiles,"Crush 3D (USA) (En,Fr,Es).3ds",512.0 MiB,65.5 GiB
Fire Emblem Fates: Birthright,8.2,Intelligent Systems,Nintendo,Fire Emblem Fates - Birthright (USA).3ds,2.0 GiB,67.5 GiB
Picross 3D: Round 2,8.2,HAL Labs,Nintendo,"Picross 3D - Round 2 (Europe) (En,Fr,De,Es,It).3ds",256.0 MiB,67.8 GiB
Severed,8.2,DrinkBox Studios,DrinkBox Studios,,,
Etrian Odyssey Untold: The Millennium Girl,8.2,Atlus,Atlus,Etrian Odyssey Untold - The Millennium Girl (USA).3ds,1.0 GiB,68.8 GiB
Inazuma Eleven Go: Chrono Stones - Wildfire,8.2,Level 5,Level 5,"Inazuma Eleven GO - Chrono Stones - Wildfire (Europe) (En,Fr,De,Es,It).3ds",4.0 GiB,72.8 GiB
