title,score,developer,publisher,rom_name,size,running_total
The Legend of Zelda: Ocarina of Time,9.5,Nintendo,Nintendo,"Legend of Zelda, The - Ocarina of Time (USA) (Rev 2).z64",32.0 MiB,32.0 MiB
Buck Bumble,9.3,Argonaut Games,Ubisoft,Buck Bumble (USA).z64,12.0 MiB,44.0 MiB
The Legend of Zelda: Majora's Mask,9.3,Nintendo,Nintendo,"Legend of Zelda, The - Majora's Mask (USA) (GameCube Edition).z64",32.0 MiB,76.0 MiB
GoldenEye 007,9.2,Rare Ltd.,Nintendo,"GoldenEye 007 (USA, Europe) (Switch Online).v64",12.0 MiB,88.0 MiB
Super Mario 64,9.2,Nintendo,Nintendo,Super Mario 64 (Japan) (Rev 3) (Shindou Edition).z64,8.0 MiB,96.0 MiB
Paper Mario,9.2,Intelligent Systems,Nintendo,Paper Mario (USA).z64,40.0 MiB,136.0 MiB
Banjo-Kazooie,9.1,Rare Ltd.,Nintendo,Banjo-Kazooie (USA) (Rev 1).z64,16.0 MiB,152.0 MiB
Perfect Dark (2000),9.1,4J Studios,Microsoft Game Studios,Perfect Dark (USA) (Rev 1).z64,32.0 MiB,184.0 MiB
Conker's Bad Fur Day,9.0,Rare Ltd.,Rare Ltd.,Conker's Bad Fur Day (USA).z64,64.0 MiB,248.0 MiB
Resident Evil 2 (1998),8.9,TOSE,Capcom,Resident Evil 2 (USA) (Rev 1).z64,64.0 MiB,312.0 MiB
Banjo-Tooie,8.9,4J Studios,Microsoft Game Studios,Banjo-Tooie (USA).z64,32.0 MiB,344.0 MiB
Madden NFL 2001,8.9,EA Sports,EA Sports,Madden NFL 2001 (USA).z64,12.0 MiB,356.0 MiB
Mario Tennis,8.8,Camelot Software Planning,Nintendo,Mario Tennis (USA).z64,16.0 MiB,372.0 MiB
Rayman 2: The Great Escape,8.8,Ubisoft Casablanca,Ubisoft,"Rayman 2 - The Great Escape (USA) (En,Fr,De,Es,It).z64",32.0 MiB,404.0 MiB
Wave Race 64,8.8,Nintendo,Nintendo,Stunt Racer 64 (USA).z64,12.0 MiB,416.0 MiB
Donkey Kong 64,8.8,Rare Ltd.,Nintendo,Donkey Kong 64 (USA).z64,32.0 MiB,448.0 MiB
Star Fox 64,8.8,Nintendo,Nintendo,Star Fox 64 (USA) (Rev 1).z64,12.0 MiB,460.0 MiB
Diddy Kong Racing,8.6,Rare Ltd.,Rare Ltd.,"Diddy Kong Racing (USA) (En,Fr) (Rev 1).z64",12.0 MiB,472.0 MiB
Excitebike 64,8.6,Left Field Productions,Nintendo,Excitebike 64 (USA) (Rev 1).z64,16.0 MiB,488.0 MiB
Blast Corps,8.6,Rare Ltd.,Nintendo,Blast Corps (USA) (Rev 1).z64,8.0 MiB,496.0 MiB
F-Zero X,8.6,Nintendo,Nintendo,F-Zero X (USA).z64,16.0 MiB,512.0 MiB
Mario Party 2,8.6,Hudson,Nintendo,Mario Party 2 (USA).z64,32.0 MiB,544.0 MiB
WWF No Mercy,8.5,Aki Corp.,THQ,WWF No Mercy (USA) (Rev 1).z64,32.0 MiB,576.0 MiB
Star Wars: Rogue Squadron 3D,8.4,Factor 5,LucasArts,Star Wars - Rogue Squadron (USA) (Rev 1).z64,16.0 MiB,592.0 MiB
Mario Kart 64,8.4,Nintendo,Nintendo,Mario Kart 64 (USA).z64,12.0 MiB,604.0 MiB
Turok 2: Seeds of Evil,8.4,Iguana Entertainment,Acclaim,Turok 2 - Seeds of Evil (USA) (Rev 1).z64,32.0 MiB,636.0 MiB
Tony Hawk's Pro Skater 2,8.4,Neversoft Entertainment,Activision,Tony Hawk's Pro Skater 2 (USA).z64,16.0 MiB,652.0 MiB
Jet Force Gemini,8.3,Rare Ltd.,Rare Ltd.,Jet Force Gemini (USA).z64,32.0 MiB,684.0 MiB
Mario Golf,8.3,Camelot Software Planning,Nintendo,Mario Golf (USA).z64,32.0 MiB,716.0 MiB
Turok: Dinosaur Hunter,8.3,Iguana Entertainment,Acclaim,Turok - Dinosaur Hunter (USA) (Rev 2).z64,8.0 MiB,724.0 MiB
Beetle Adventure Racing,8.3,Paradigm Entertainment,EA Sports,"Beetle Adventure Racing! (USA) (En,Fr,De).z64",16.0 MiB,740.0 MiB
International Superstar Soccer '98,8.3,KCEO,Konami,International Superstar Soccer '98 (USA).z64,12.0 MiB,752.0 MiB
Super Smash Bros.,8.2,HAL Labs,Nintendo,Super Smash Bros. (USA).z64,16.0 MiB,768.0 MiB
Star Wars: Episode I Battle for Naboo,8.2,Factor 5,LucasArts,Star Wars Episode I - Battle for Naboo (USA).z64,32.0 MiB,800.0 MiB
Ridge Racer 64,8.1,Nintendo Software Technology,Nintendo,RR64 - Ridge Racer 64 (USA).z64,32.0 MiB,832.0 MiB
Extreme-G,8.1,Probe Entertainment Limited,Acclaim,Extreme-G (USA).z64,8.0 MiB,840.0 MiB
Ogre Battle 64: Person of Lordly Caliber,8.1,Quest,Atlus,Ogre Battle 64 - Person of Lordly Caliber (USA) (Rev 1).z64,40.0 MiB,880.0 MiB
Pokemon Puzzle League,8.1,Nintendo Software Technology,Nintendo,Pokemon Puzzle League (USA).z64,32.0 MiB,912.0 MiB
Wetrix,8.1,Zed Two Limited,Ocean,"Wetrix (USA) (En,Fr,De,Es,It,Nl).z64",8.0 MiB,920.0 MiB
Harvest Moon 64,8.1,Victor Interactive Software,Natsume,Harvest Moon 64 (USA).z64,16.0 MiB,936.0 MiB
007: The World is not Enough,8.0,Eurocom,Electronic Arts,007 - The World Is Not Enough (USA).z64,32.0 MiB,968.0 MiB
Pokemon Stadium 2,8.0,HAL Labs,Nintendo,Pokemon Stadium 2 (USA).z64,64.0 MiB,1.0 GiB
World Driver Championship,8.0,Boss Game Studios,Midway,World Driver Championship (USA).z64,16.0 MiB,1.0 GiB
Mario Party,8.0,Hudson,Nintendo,Mario Party (USA).z64,32.0 MiB,1.1 GiB
NFL Blitz 2000,8.0,Midway,Midway,NFL Blitz 2000 (USA) (Rev 1).z64,16.0 MiB,1.1 GiB
Space Station Silicon Valley,8.0,DMA Design,Take-Two Interactive,SpaceStation Silicon Valley (USA) (Rev 1).v64,8.0 MiB,1.1 GiB
Kirby 64: The Crystal Shards,7.9,HAL Labs,Nintendo,Kirby 64 - The Crystal Shards (USA).z64,32.0 MiB,1.1 GiB
Indiana Jones and the Infernal Machine,7.9,Factor 5,LucasArts,Indiana Jones and the Infernal Machine (USA).z64,32.0 MiB,1.1 GiB
Wipeout 64,7.8,Psygnosis,Midway,Wipeout 64 (USA).z64,8.0 MiB,1.1 GiB
Madden NFL 2002,7.8,EA Sports,EA Sports,Madden NFL 2002 (USA).z64,12.0 MiB,1.2 GiB
Mario Party 3,7.8,Hudson,Nintendo,Mario Party 3 (USA).z64,32.0 MiB,1.2 GiB
Pilotwings 64,7.8,Nintendo,Nintendo,Pilotwings 64 (USA).z64,8.0 MiB,1.2 GiB
Army Men: Air Attack,7.7,3DO,3DO,Army Men - Air Combat (USA).z64,8.0 MiB,1.2 GiB
Pokemon Snap,7.7,HAL Labs,Nintendo,Pokemon Snap (USA).z64,16.0 MiB,1.2 GiB
Body Harvest,7.7,DMA Design,Midway,Body Harvest (USA).z64,12.0 MiB,1.2 GiB
Castlevania (1998),7.5,KCEK,Konami,Castlevania (USA) (Rev 2).z64,12.0 MiB,1.2 GiB
Mystical Ninja starring Goemon,7.5,KCEO,Konami,Mystical Ninja Starring Goemon (USA).z64,16.0 MiB,1.3 GiB
Turok 3: Shadow of Oblivion (2000),7.5,Acclaim Studios Austin,Acclaim,Turok 3 - Shadow of Oblivion (USA).z64,32.0 MiB,1.3 GiB
Duke Nukem 3D,7.4,3D Realms,3D Realms,Duke Nukem 64 (USA).z64,8.0 MiB,1.3 GiB
San Francisco Rush 2049,7.4,Midway,Midway,San Francisco Rush 2049 (USA).z64,12.0 MiB,1.3 GiB
Spider-Man (2000),7.4,Neversoft Entertainment,Activision,Spider-Man (USA).z64,32.0 MiB,1.3 GiB
StarCraft 64,7.4,Mass Media,Nintendo,StarCraft 64 (USA).z64,32.0 MiB,1.4 GiB
Mickey's Speedway USA,7.3,Rare Ltd.,Nintendo,Mickey's Speedway USA (USA).z64,32.0 MiB,1.4 GiB
Ms. Pac-Man Maze Madness,7.3,Mass Media,Namco,Ms. Pac-Man - Maze Madness (USA).z64,12.0 MiB,1.4 GiB
Forsaken (1998),7.2,Iguana Entertainment,Acclaim,Forsaken (Germany).z64,8.0 MiB,1.4 GiB
NFL Blitz 2001,7.2,Avalanche Software,Midway,NFL Blitz 2001 (USA).z64,16.0 MiB,1.4 GiB
Robotron X,7.2,Player 1,Crave,Robotron 64 (USA).v64,8.0 MiB,1.4 GiB
Quake,7.1,id Software,id Software,Quake (USA).z64,12.0 MiB,1.5 GiB
1080: TenEighty Snowboarding,7.0,Nintendo,Nintendo,"1080 Snowboarding (Japan, USA) (En,Ja).z64",16.0 MiB,1.5 GiB
Dr. Mario 64,6.9,Newcom,Nintendo,Dr. Mario 64 (USA).z64,4.0 MiB,1.5 GiB
Looney Tunes Duck Dodgers Starring Daffy Duck,6.9,Paradigm Entertainment,Infogrames,"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es).z64",16.0 MiB,1.5 GiB
Yoshi's Story,6.8,Nintendo,Nintendo,"Yoshi's Story (USA) (En,Ja).z64",16.0 MiB,1.5 GiB
Disney/Pixar Toy Story 2: Buzz Lightyear to the Rescue!,6.6,Traveller's Tales,Activision,Toy Story 2 - Buzz Lightyear to the Rescue! (USA) (Rev 1).z64,12.0 MiB,1.5 GiB
Mega Man Legends,6.6,Capcom,Capcom,Mega Man 64 (USA).z64,32.0 MiB,1.6 GiB
Disney's Donald Duck: Goin' Quackers,6.5,Disney Interactive Studios,Ubisoft,"Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It).v64",32.0 MiB,1.6 GiB
Hercules: The Legendary Journeys,6.4,Player 1,Titus Software,Hercules - The Legendary Journeys (USA).z64,16.0 MiB,1.6 GiB
Ready 2 Rumble Boxing: Round 2,6.4,Midway,Midway,Ready 2 Rumble Boxing - Round 2 (USA).z64,32.0 MiB,1.6 GiB
Rugrats in Paris: The Movie,6.4,Avalanche Software,THQ,Rugrats in Paris - The Movie (USA).z64,16.0 MiB,1.6 GiB
Mission: Impossible (1998),6.3,Infogrames,Ocean,Mission - Impossible (USA).z64,12.0 MiB,1.7 GiB
Aidyn Chronicles: The First Mage,6.2,H2O Interactive,THQ,Aidyn Chronicles - The First Mage (USA) (Rev 1).z64,32.0 MiB,1.7 GiB
Midway's Greatest Arcade Hits Volume 1,5.9,Digital Eclipse,Midway,Midway's Greatest Arcade Hits - Volume 1 (USA).z64,4.0 MiB,1.7 GiB
PGA European Tour,5.8,Infogrames Sheffield,Infogrames,PGA European Tour (USA).z64,16.0 MiB,1.7 GiB
John Romero's Daikatana,5.7,Kemco,Kemco,John Romero's Daikatana (USA).z64,16.0 MiB,1.7 GiB
NFL QB Club 2001,5.7,High Voltage Software,Acclaim,NFL QB Club 2001 (USA).z64,12.0 MiB,1.7 GiB
"Hey You, Pikachu!",5.6,Ambrella,Nintendo,"Hey You, Pikachu! (USA).z64",16.0 MiB,1.8 GiB
Army Men: Sarge's Heroes 2,5.5,3DO,3DO,Army Men - Sarge's Heroes 2 (USA).z64,8.0 MiB,1.8 GiB
Fighter Destiny 2,5.4,Opus,SouthPeak Games,Fighter Destiny 2 (USA).z64,16.0 MiB,1.8 GiB
Cruis'n  Exotica,5.3,Gratuitous Games,Midway,Cruis'n Exotica (USA).z64,16.0 MiB,1.8 GiB
Scooby-Doo! Classic Creep Capers,5.3,Terraglyph Interactive Studios,THQ,Scooby-Doo! - Classic Creep Capers (USA) (Rev 1).z64,16.0 MiB,1.8 GiB
WCW Backstage Assault,4.8,Kodiak Interactive,Electronic Arts,WCW Backstage Assault (USA).z64,32.0 MiB,1.8 GiB
Rally Challenge 2000,4.1,Genki,SouthPeak Games,Rally Challenge 2000 (USA).z64,12.0 MiB,1.9 GiB
Blues Brothers 2000,3.5,Player 1,Titus Software,Blues Brothers 2000 (USA).z64,16.0 MiB,1.9 GiB
Batman Beyond: Return of the Joker,2.9,Kemco,Ubisoft,Batman Beyond - Return of the Joker (USA).z64,4.0 MiB,1.9 GiB
Saban's Power Rangers: Lightspeed Rescue,2.5,Mass Media,THQ,Power Rangers - Lightspeed Rescue (USA).z64,12.0 MiB,1.9 GiB
