title,score,developer,publisher,rom_name,size,running_total
Super Mario Galaxy,9.4,Nintendo,Nintendo,"Super Mario Galaxy (USA) (En,Fr,Es).iso",4.4 GiB,4.4 GiB
Super Mario Galaxy 2,9.3,Nintendo EAD Tokyo ,Nintendo,"Super Mario Galaxy 2 (USA) (En,Fr,Es).iso",4.4 GiB,8.8 GiB
The Legend of Zelda: Twilight Princess,9.2,Nintendo,Nintendo,"Legend of Zelda, The - Twilight Princess (USA) (En,Fr,Es) (Rev 2).iso",4.4 GiB,13.1 GiB
Xenoblade Chronicles,9.1,Monster Games Inc.,Nintendo,"Xenoblade Chronicles (USA, Asia) (En,Fr,Es).iso",7.9 GiB,21.1 GiB
Metroid Prime Trilogy,9.1,Retro Studios,Nintendo,Metroid Prime Trilogy (USA).iso,7.9 GiB,29.0 GiB
Super Smash Bros. Brawl,9.1,Game Arts,Nintendo,Super Smash Bros. Brawl (USA) (Rev 2).iso,7.9 GiB,36.9 GiB
Rayman Origins,9.0,UBlart Montpellier,Ubisoft,"Rayman Origins (USA) (En,Fr,Es).iso",4.4 GiB,41.3 GiB
Resident Evil 4 (2005),9.0,Capcom,Capcom,Resident Evil 4 - Wii Edition (USA).iso,4.4 GiB,45.7 GiB
Metroid Prime 3: Corruption,8.8,Retro Studios,Nintendo,Metroid Prime 3 - Corruption (USA).iso,4.4 GiB,50.0 GiB
Okami,8.8,Clover Studio,Capcom,Ookami (USA).iso,4.4 GiB,54.4 GiB
Pikmin 2,8.8,Nintendo,Nintendo,"Pikmin 2 (USA) (En,Fr,Es).iso",4.4 GiB,58.8 GiB
Doc Louis's Punch-Out!!,8.7,Next Level Games,Nintendo,Doc Louis's Punch-Out!! (USA) (Club Nintendo) (WiiWare).wad,21.7 MiB,58.8 GiB
The Legend of Zelda: Skyward Sword,8.7,Nintendo,Nintendo,"Legend of Zelda, The - Skyward Sword (USA) (En,Fr,Es) (Rev 2).iso",4.4 GiB,63.2 GiB
World of Goo,8.7,2D Boy,2D Boy,World of Goo (USA) (WiiWare).wad,43.9 MiB,63.2 GiB
Donkey Kong Country Returns,8.6,Retro Studios,Nintendo,"Donkey Kong Country Returns (USA) (En,Fr,Es) (Rev 1).iso",4.4 GiB,67.6 GiB
JumpStart Pet Rescue,8.6,Knowledge Adventure Inc.,Knowledge Adventure Inc.,JumpStart Pet Rescue (USA).iso,4.4 GiB,72.0 GiB
Kirby's Dream Collection: Special Edition,8.6,HAL Labs,Nintendo,Kirby's Dream Collection - Special Edition (USA).iso,4.4 GiB,76.4 GiB
Punch-Out!!,8.6,Next Level Games,Nintendo,"Punch-Out!! (USA) (En,Fr,Es) (Rev 1).iso",4.4 GiB,80.7 GiB
Cave Story,8.6,Nicalis,Nicalis,Cave Story (USA) (v258) (WiiWare).wad,28.0 MiB,80.8 GiB
Kirby's Epic Yarn,8.6,Good-Feel,Nintendo,"Kirby's Epic Yarn (USA) (En,Fr,Es).iso",4.4 GiB,85.2 GiB
Sin & Punishment: Star Successor,8.6,Treasure,Nintendo,Sin & Punishment - Star Successor (USA).iso,4.4 GiB,89.5 GiB
Little King's Story,8.5,Cing,XSEED Games,"Little King's Story (USA) (En,Fr,Es).iso",4.4 GiB,93.9 GiB
Maboshi's Arcade,8.5,Mindware,Nintendo,Maboshi's Arcade (USA) (WiiWare).wad,21.4 MiB,93.9 GiB
