title,score,developer,publisher,rom_name,size,running_total
Resident Evil Code: Veronica,9.3,NexTech,Capcom,Resident Evil - Code - Veronica (USA) (Disc 2) (Track 3).bin,2.2 GiB,2.2 GiB
Hydro Thunder,9.2,Eurocom,Midway,Hydro Thunder (USA) (Rev 1) (Track 37).bin,552.8 MiB,2.7 GiB
Skies of Arcadia,9.2,Overworks,Sega,Skies of Arcadia (USA) (Disc 2) (Track 3).bin,2.2 GiB,5.0 GiB
Virtua Tennis,9.1,Hitmaker,Sega,Virtua Tennis (USA) (Track 3).bin,1.1 GiB,6.1 GiB
SoulCalibur,8.9,Namco,Namco,Soulcalibur (USA) (Track 3).bin,1.1 GiB,7.2 GiB
Test Drive Le Mans,8.9,Melbourne House,Infogrames,"Test Drive Le Mans (USA) (En,Fr,Es) (Track 3).bin",847.6 MiB,8.0 GiB
Shenmue,8.9,Sega AM2,Sega,Shenmue (USA) (Disc 3) (Track 6).bin,2.3 GiB,10.3 GiB
Jet Set Radio (2000),8.9,Blit,Sega,Jet Set Radio (Japan) (Track 3).bin,1.1 GiB,11.4 GiB
Quake III Arena,8.9,Raster,Sega,Quake III - Arena (USA) (Track 03).bin,438.9 MiB,11.8 GiB
Marvel vs. Capcom 2,8.8,Backbone Entertainment,Capcom,Marvel vs. Capcom 2 (USA) (Track 3).bin,1.1 GiB,12.9 GiB
Ultimate Fighting Championship,8.8,Anchor (Legacy),Crave,Ultimate Fighting Championship (USA) (Track 5).bin,1.1 GiB,14.0 GiB
Unreal Tournament (1999),8.8,Epic Games,Infogrames,"Unreal Tournament (USA) (En,Fr,De,Es,It) (Track 23).bin",303.3 MiB,14.3 GiB
Grandia II,8.7,Game Arts,Ubisoft,Grandia II (USA) (Track 5).bin,1.1 GiB,15.4 GiB
Sonic Adventure 2,8.7,Sonic Team,Sega,"Sonic Adventure 2 (USA) (En,Ja,Fr,De,Es) (Track 3).bin",1.1 GiB,16.5 GiB
Phantasy Star Online,8.6,Sonic Team,Sega,Phantasy Star Online (Japan) (Tentou-you Demo Movie) (Track 3).bin,828.9 MiB,17.3 GiB
Power Stone 2,8.6,Capcom,Capcom,Power Stone 2 (USA) (Track 3).bin,1.1 GiB,18.4 GiB
Street Fighter III: 3rd Strike - Fight for the Future,8.6,Iron Galaxy Studios,Capcom,Street Fighter III - 3rd Strike - Fight for the Future (Japan) (Track 3).bin,1.1 GiB,19.5 GiB
Metropolis Street Racer,8.5,Bizarre Creations,Sega,MSR - Metropolis Street Racer (USA) (Rev A) (Track 3).bin,1.1 GiB,20.6 GiB
Resident Evil 2 (1998),8.5,TOSE,Capcom,Resident Evil 2 (USA) (Disc 2) (Track 6).bin,1.7 GiB,22.3 GiB
Sonic Adventure,8.5,Sonic Team,Sega,"Sonic Adventure (USA) (En,Ja,Fr,De,Es) (Rev A) (Track 3).bin",1.1 GiB,23.4 GiB
Resident Evil 3: Nemesis,8.4,Capcom,Capcom,Resident Evil 3 - Nemesis (USA) (Track 3).bin,1.1 GiB,24.5 GiB
Daytona USA,8.4,Amusement Vision,Sega,Daytona USA (USA) (Track 3).bin,1.1 GiB,25.6 GiB
Ecco the Dolphin: Defender of the Future,8.4,Appaloosa Interactive,Sega,"Ecco the Dolphin - Defender of the Future (USA) (En,Fr,De,Es) (Track 5).bin",1.0 GiB,26.6 GiB
Sega GT,8.4,TOSE,Sega,Sega GT (USA) (Track 15).bin,295.2 MiB,26.9 GiB
Demolition Racer,8.3,Pitbull Syndicate,Infogrames,Demolition Racer - No Exit (USA) (Track 5).bin,609.4 MiB,27.5 GiB
Seaman,8.3,Vivarium,Sega,Seaman (USA) (Track 3).bin,1.1 GiB,28.6 GiB
Virtua Tennis 2,8.3,Hitmaker,Sega,"Tennis 2K2 (USA) (En,Ja,Fr,De,Es) (Rev A) (Track 3).bin",1.1 GiB,29.7 GiB
Looney Tunes: Space Race,8.3,Melbourne House,Infogrames,"Looney Tunes - Space Race (USA) (En,Fr,Es) (Track 03).bin",474.7 MiB,30.1 GiB
Test Drive V-Rally,8.3,Eden Studios,Infogrames,"Test Drive V-Rally (USA) (En,Fr,De) (Track 10).bin",702.2 MiB,30.8 GiB
Bangai-O,8.2,Treasure,Conspiracy Entertainment,Bangai-O (USA) (Track 03).bin,437.5 MiB,31.2 GiB
Crazy Taxi 2,8.2,Hitmaker,Sega,Crazy Taxi 2 (USA) (Track 3).bin,1.1 GiB,32.4 GiB
F355 Challenge: Passione Rossa,8.2,Sega,Acclaim,F355 Challenge - Passione Rossa (USA) (Track 3).bin,1.1 GiB,33.5 GiB
Samba de Amigo,8.2,Gearbox Software,Sega,Samba de Amigo (USA) (Track 3).bin,1.1 GiB,34.6 GiB
Street Fighter III: Double Impact,8.2,Capcom,Capcom,Street Fighter III - Double Impact (USA) (Track 3).bin,1.1 GiB,35.7 GiB
Garou: Mark of the Wolves,8.2,SNK Playmore,SNK Playmore,Garou - Mark of the Wolves (Japan) (Track 3).bin,598.9 MiB,36.3 GiB
Phantasy Star Online Ver. 2,8.2,Sonic Team,Sega,"Phantasy Star Online Ver. 2 (USA) (En,Ja,Fr,De,Es) (Track 3).bin",1.1 GiB,37.4 GiB
Spider-Man (2000),8.2,Neversoft Entertainment,Activision,Spider-Man (USA) (Track 5).bin,874.4 MiB,38.2 GiB
Dino Crisis,8.2,Capcom,Capcom,Dino Crisis (USA) (Track 3).bin,1.1 GiB,39.3 GiB
NBA 2K1,8.2,Visual Concepts,Sega,NBA 2K1 (USA) (Track 5).bin,832.8 MiB,40.1 GiB
Worms World Party,8.2,Team17,Titus Software,"Worms World Party (USA) (En,Fr,De,Es,It,Nl,Sv,Da) (Track 18).bin",395.8 MiB,40.5 GiB
Vanishing Point,8.1,Clockwork Games,Acclaim,Vanishing Point (USA) (Track 16).bin,636.0 MiB,41.1 GiB
Capcom vs. SNK,8.1,Capcom,Capcom,Capcom vs. SNK (USA) (Track 3).bin,1.1 GiB,42.2 GiB
Bomberman Online,8.0,h.a.n.d. Inc.,Sega,Bomberman Online (USA) (Track 3).bin,1.1 GiB,43.3 GiB
NHL 2K2,8.0,Treyarch,Sega,NHL 2K2 (USA) (Track 5).bin,850.9 MiB,44.2 GiB
Bust-A-Move 4,7.9,Taito Corporation,Acclaim,Bust-A-Move 4 (USA) (Track 03).bin,730.2 MiB,44.9 GiB
Project Justice,7.9,Capcom,Capcom,Project Justice (USA) (Track 3).bin,1.1 GiB,46.0 GiB
Sega Marine Fishing,7.9,Wow Entertainment,Sega,Sega Marine Fishing (USA) (Track 3).bin,1.1 GiB,47.1 GiB
StarLancer,7.9,Digital Anvil,Microsoft Game Studios,StarLancer (USA) (Track 5).bin,833.0 MiB,47.9 GiB
Tony Hawk's Pro Skater 2,7.9,Neversoft Entertainment,Activision,Tony Hawk's Pro Skater 2 (USA) (Track 5).bin,923.5 MiB,48.8 GiB
Record of Lodoss War,7.8,Neverland,Conspiracy Entertainment,Record of Lodoss War (USA) (Track 5).bin,642.8 MiB,49.4 GiB
San Francisco Rush 2049,7.8,Midway,Midway,"San Francisco Rush 2049 (USA) (En,Fr,De,Es,It,Nl) (Track 5).bin",1.1 GiB,50.5 GiB
Mars Matrix,7.8,Takumi Corporation,Capcom,Mars Matrix (USA) (Track 3).bin,1.1 GiB,51.6 GiB
NCAA College Football 2K2: Road to the Rose Bowl,7.8,Visual Concepts,Sega,NCAA College Football 2K2 - Road to the Rose Bowl (USA) (Track 5).bin,906.4 MiB,52.5 GiB
NFL 2K1,7.8,Visual Concepts,Sega,NFL 2K1 (USA) (Track 5).bin,1.1 GiB,53.6 GiB
NFL Blitz 2001,7.8,Avalanche Software,Midway,NFL Blitz 2001 (USA) (Track 5).bin,520.5 MiB,54.1 GiB
The Last Blade 2,7.8,SNK,Agetec,"Last Blade 2, The - Heart of the Samurai (USA) (Track 5).bin",1.0 GiB,55.1 GiB
NBA 2K2,7.7,Visual Concepts,Sega,NBA 2K2 (USA) (Track 5).bin,842.3 MiB,55.9 GiB
The Typing of the Dead,7.7,Smilebit,Sega,"Typing of the Dead, The (USA) (Track 5).bin",1.1 GiB,57.0 GiB
Railroad Tycoon II: Gold Edition,7.7,Tremor Entertainment,Gathering,Railroad Tycoon II (USA) (Track 03).bin,474.4 MiB,57.5 GiB
Alien Front Online,7.6,Sega,Sega,Alien Front Online (USA) (Track 3).bin,960.0 MiB,58.4 GiB
Alone in the Dark: The New Nightmare,7.6,Spiral House,Infogrames,Alone in the Dark - The New Nightmare (USA) (Disc 2) (Track 5).bin,2.1 GiB,60.5 GiB
Sega Bass Fishing 2,7.6,Wow Entertainment,Sega,Sega Bass Fishing 2 (USA) (Track 3).bin,1.1 GiB,61.6 GiB
Sega Smash Pack Volume 1,7.6,Sega,Sega,Sega Smash Pack - Volume 1 (USA) (Track 03).bin,628.8 MiB,62.2 GiB
Speed Devils Online Racing,7.6,Ubisoft Montreal,Ubisoft,Speed Devils - Online Racing (USA) (Track 13).bin,431.4 MiB,62.6 GiB
Star Wars Episode I: Jedi Power Battles,7.6,LucasArts,LucasArts,Star Wars - Episode I - Jedi Power Battles (USA) (Track 5).bin,669.4 MiB,63.3 GiB
NFL 2K2,7.5,Visual Concepts,Sega,NFL 2K2 (USA) (Track 5).bin,1.1 GiB,64.4 GiB
Mat Hoffman's Pro BMX,7.5,Shaba Games,Activision,Mat Hoffman's Pro BMX (USA) (Track 3).bin,1.1 GiB,65.5 GiB
Tom Clancy's Rainbow Six: Rogue Spear,7.5,Pipe Dream Interactive,Red Storm Entertainment,Tom Clancy's Rainbow Six with Eagle Watch Missions (USA) (Track 35).bin,557.8 MiB,66.0 GiB
Fur Fighters,7.5,Bizarre Creations,Acclaim,"Fur Fighters (USA) (En,Fr,De,Es) (Rev B) (Track 3).bin",1.1 GiB,67.1 GiB
Soldier of Fortune,7.5,Runecraft,Crave,Soldier of Fortune (USA) (Track 6).bin,1.0 GiB,68.1 GiB
4x4 Evolution,7.4,Terminal Reality,Gathering,4x4 Evo (USA) (Track 03).bin,733.1 MiB,68.9 GiB
AeroWings 2: Air Strike,7.4,CRI,Crave,AeroWings 2 - Airstrike (USA) (Track 3).bin,1.1 GiB,70.0 GiB
Frogger 2: Swampy's Revenge,7.4,Blitz Games,Hasbro Interactive,Frogger 2 - Swampy's Revenge (USA) (Track 3).bin,1.1 GiB,71.0 GiB
The King of Fighters '99,7.4,SNK,Agetec,"King of Fighters 2002, The (Japan) (En,Ja) (Track 3).bin",833.7 MiB,71.8 GiB
Cannon Spike,7.3,Psikyo,Capcom,Cannon Spike (USA) (Track 3).bin,1.1 GiB,73.0 GiB
Dave Mirra Freestyle BMX,7.3,"Z-Axis, Ltd.",Acclaim,Dave Mirra Freestyle BMX (USA) (Track 03).bin,607.6 MiB,73.5 GiB
Ms. Pac-Man Maze Madness,7.3,Mass Media,Namco,Ms. Pac-Man Maze Madness (USA) (Track 03).bin,603.4 MiB,74.1 GiB
Outtrigger,7.3,Sega AM2,Sega,Outtrigger (USA) (Track 3).bin,1.1 GiB,75.2 GiB
Red Dog: Superior Firepower,7.3,Argonaut Games,Crave,Red Dog - Superior Firepower (USA) (Track 3).bin,1.1 GiB,76.3 GiB
Hidden & Dangerous,7.2,Illusion Softworks,TalonSoft,Hidden & Dangerous (USA) (Track 5).bin,649.9 MiB,77.0 GiB
Illbleed,7.2,Crazy Games,AIA,Illbleed (USA) (Track 3).bin,1.1 GiB,78.1 GiB
Disney's Donald Duck: Goin' Quackers,7.1,Disney Interactive Studios,Ubisoft,Disney's Donald Duck - Goin' Quackers (USA) (Track 5).bin,762.8 MiB,78.8 GiB
Tokyo Xtreme Racer 2,7.1,Genki,Crave,Tokyo Xtreme Racer 2 (USA) (Track 3).bin,1.1 GiB,79.9 GiB
Coaster Works,7.0,Bimboosoft,Xicat Interactive,Coaster Works (USA) (Track 03).bin,973.4 MiB,80.9 GiB
