title,score,developer,publisher,rom_name,size,running_total
Resident Evil 4 (2005),9.5,Capcom,Capcom,Resident Evil 4 (USA).iso,4.1 GiB,4.1 GiB
Grand Theft Auto: San Andreas,9.3,Rockstar North,Rockstar Games,Grand Theft Auto - San Andreas (USA) (v3.00).iso,4.2 GiB,8.3 GiB
NFL 2K3,9.3,Visual Concepts,Sega,NFL 2K3 (USA).iso,3.5 GiB,11.9 GiB
ESPN NFL 2K5,9.2,Visual Concepts,Sega,ESPN NFL 2K5 (USA).iso,4.3 GiB,16.2 GiB
Metal Gear Solid 2: Sons of Liberty,9.2,KCEJ,Konami,Metal Gear Solid 2 - Sons of Liberty (USA).iso,4.3 GiB,20.5 GiB
Burnout 3: Takedown,9.2,Criterion Games,EA Games,Burnout 3 - Takedown (USA).iso,2.7 GiB,23.2 GiB
God of War II,9.2,SCE Santa Monica,SCEA,God of War II (USA).iso,7.9 GiB,31.1 GiB
Okami,9.2,Clover Studio,Capcom,Ookami (USA).iso,3.7 GiB,34.8 GiB
God of War (2005),9.2,SCE Santa Monica,SCEA,God of War (USA).iso,7.9 GiB,42.8 GiB
Grand Theft Auto: Vice City,9.2,Rockstar North,Rockstar Games,Grand Theft Auto - Vice City (USA) (v4.00).iso,3.6 GiB,46.3 GiB
Shadow of the Colossus,9.1,Bluepoint Games,Sony Interactive Entertainment,Shadow of the Colossus (USA).iso,2.5 GiB,48.9 GiB
ESPN NFL Football,9.1,Visual Concepts,Sega,ESPN NFL Football (USA).iso,3.9 GiB,52.7 GiB
NCAA Football 2003,9.1,EA Sports,EA Sports,NCAA Football 2003 (USA).iso,1.3 GiB,54.1 GiB
Burnout Revenge,9.1,Criterion Games,Electronic Arts,Burnout Revenge (USA).iso,3.4 GiB,57.5 GiB
Final Fantasy X,9.1,SquareSoft,Square EA,Final Fantasy X (USA).iso,4.2 GiB,61.7 GiB
ESPN NHL Hockey,9.0,Kush Games,Sega,ESPN NHL Hockey (USA).iso,4.0 GiB,65.7 GiB
MVP Baseball 2004,9.0,EA Sports,EA Sports,MVP Baseball 2004 (USA).iso,2.8 GiB,68.5 GiB
NCAA Football 2002,9.0,EA Sports,EA Sports,NCAA Football 2002 (USA).bin,673.1 MiB,69.2 GiB
Ratchet & Clank: Up Your Arsenal,9.0,Insomniac Games,SCEA,"Ratchet & Clank - Up Your Arsenal (USA) (En,Fr,Es).iso",4.1 GiB,73.2 GiB
Devil May Cry,8.9,Capcom,Capcom,Devil May Cry (USA).iso,4.4 GiB,77.6 GiB
Gran Turismo 3: A-Spec,8.9,Polyphony Digital,SCEA,Gran Turismo 3 - A-Spec (USA) (v1.00).iso,3.6 GiB,81.2 GiB
Grand Theft Auto III,8.9,DMA Design,Rockstar Games,Grand Theft Auto III (USA).iso,4.3 GiB,85.6 GiB
