title,score,developer,publisher,rom_name,size,running_total
Final Fantasy Tactics,8.9,TOSE,Square Enix,"Final Fantasy (Japan, Asia) (En,Ja).iso",188.9 MiB,188.9 MiB
God of War: Chains of Olympus,8.8,Ready at Dawn,SCEA,God of War - Chains of Olympus (USA).iso,1.5 GiB,1.7 GiB
Z.H.P. Unlosing Ranger vs Darkdeath Evilman,8.8,Nippon Ichi Software,NIS America,Z.H.P. - Unlosing Ranger vs Darkdeath Evilman (Europe) (PSN).iso,823.3 MiB,2.5 GiB
God of War: Ghost of Sparta,8.8,Ready at Dawn,SCEA,"God of War - Ghost of Sparta (USA) (En,Fr,Es) (v2.00).iso",1.6 GiB,4.1 GiB
Jeanne d'Arc,8.8,Level 5,SCEA,Jeanne d'Arc (USA).iso,1.2 GiB,5.3 GiB
Breath of Fire III,8.7,Capcom,Capcom,Breath of Fire III (Japan) (v1.02).iso,385.2 MiB,5.6 GiB
Metal Gear Solid: Peace Walker,8.7,Kojima Productions,Konami,"Metal Gear Solid - Peace Walker (USA) (En,Fr,Es) (v1.01).iso",1.5 GiB,7.2 GiB
Burnout Legends,8.6,Criterion Games,EA Games,"Burnout Legends (USA) (En,Fr,De,Es,It,Nl) (v2.00).iso",482.5 MiB,7.7 GiB
Wipeout Pure,8.6,Studio Liverpool,SCEA,"WipEout Pure (USA) (En,Fr,Es) (v2.00).iso",241.2 MiB,7.9 GiB
LocoRoco 2,8.6,SCE Japan Studio,SCEA,LocoRoco 2 (USA).iso,1.7 GiB,9.6 GiB
Patapon,8.6,SCE Japan Studio,SCEA,Patapon (USA).iso,325.2 MiB,9.9 GiB
Syphon Filter: Logan's Shadow,8.6,Sony Bend,SCEA,Syphon Filter - Logan's Shadow (USA).iso,1.2 GiB,11.1 GiB
Tactics Ogre: Let Us Cling Together,8.6,Square Enix,Square Enix,Tactics Ogre - Let Us Cling Together (USA).iso,1.5 GiB,12.6 GiB
Tekken 5: Dark Resurrection,8.6,Namco Bandai Games,Namco Bandai Games,"Tekken - Dark Resurrection (USA) (En,Fr,De,Es,It).iso",1.6 GiB,14.2 GiB
Daxter,8.5,Ready at Dawn,SCEA,Daxter (USA).iso,1.3 GiB,15.5 GiB
