title,score,developer,publisher,rom_name,size,running_total
Utawarerumono: Prelude to the Fallen,9.8,Aqua Plus,NIS America,,,
Utawarerumono: Mask of Truth,9.5,Aqua Plus,Aqua Plus,Utawarerumono - Mask of Truth (USA).vpk,2.8 GiB,2.8 GiB
Ys VIII: Lacrimosa of DANA,9.2,Falcom,NIS America,Ys VIII - Lacrimosa of DANA (USA).vpk,2.9 GiB,5.7 GiB
Berserk and the Band of the Hawk,9.1,Omega Force,Koei Tecmo Games,,,
Muv-Luv Alternative,9.1,age,Degica,,,
Death Mark,9.0,Experience Inc.,Aksys Games,,,
Persona 4 Golden,9.0,Atlus,Atlus,Persona 4 Golden (Europe) [b].vpk,3.0 GiB,8.7 GiB
Odin Sphere Leifthrasir,8.9,Vanillaware,Atlus,"Odin Sphere - Leifthrasir (Europe) (En,Fr,De,Es,It).vpk",2.2 GiB,10.9 GiB
The Wolf Among Us,8.9,Telltale Games,Telltale Games,"Wolf Among Us, The (USA).vpk",2.0 GiB,12.8 GiB
Zero Escape: The Nonary Games,8.9,Spike Chunsoft,Aksys Games,Zero Escape - The Nonary Games (USA).vpk,2.3 GiB,15.1 GiB
Darkest Dungeon,8.8,Red Hook Studios,Red Hook Studios,,,
Dragon Quest Builders,8.8,Square Enix,Square Enix,Dragon Quest Builders (USA) (Day One Edition).vpk,268.0 MiB,15.4 GiB
Tearaway,8.8,Media Molecule,SCEA,Tearaway (USA).vpk,907.6 MiB,16.2 GiB
Shovel Knight,8.8,Yacht Club Games,Yacht Club Games,,,
Deemo: The Last Recital,8.7,Flyhigh Works,Flyhigh Works,,,
Oceanhorn: Monster of Uncharted Seas,8.7,FDG Entertainment,FDG Entertainment,,,
LittleBigPlanet PS Vita,8.7,Tarsier Studios,SCEA,"LittleBigPlanet PS Vita (Europe) (En,Fr,De,Es,It,Nl,Pt,No,Da,Fi,Pl,Ru).vpk",1.6 GiB,17.8 GiB
Machinarium,8.7,Amanita Design,Amanita Design,,,
Steins;Gate,8.7,5pb,PQube,Steins;Gate (USA).vpk,1.5 GiB,19.3 GiB
Steins;Gate 0,8.7,5pb,PQube,Steins;Gate 0 (USA).vpk,1.4 GiB,20.7 GiB
Rayman Origins,8.6,UBlart Montpellier,Ubisoft,Rayman Origins (USA).vpk,941.1 MiB,21.6 GiB
Zero Escape: Virtue's Last Reward,8.6,ChunSoft,Aksys Games,Zero Escape - Virtue's Last Reward (Europe).vpk,1.1 GiB,22.7 GiB
Digimon Story Cyber Sleuth,8.6,Media.Vision,Bandai Namco Games,,,
Final Fantasy X / X-2 HD Remaster,8.6,Virtuos,Square Enix,"Final Fantasy X - HD Remaster (Europe) (En,Fr,De,Es,It).vpk",3.3 GiB,26.0 GiB
Rayman Legends,8.6,Ubisoft Montpellier,Ubisoft,Rayman Legends (USA).vpk,1022.0 MiB,27.0 GiB
SteamWorld Heist,8.6,Image & Form,Image & Form,,,
Chaos;Child,8.5,5pb,5pb,Chaos-Child (USA).vpk,1.7 GiB,28.7 GiB
Guacamelee!,8.5,DrinkBox Studios,DrinkBox Studios,,,
LIMBO,8.5,PLAYDEAD,PLAYDEAD,,,
Danganronpa 2: Goodbye Despair,8.4,Spike Chunsoft,NIS America,Danganronpa 2 - Goodbye Despair (USA).vpk,1.5 GiB,30.2 GiB
Gravity Rush,8.4,SCE Japan Studio,SCEA,Gravity Rush (Europe).vpk,1.4 GiB,31.6 GiB
Hotline Miami,8.4,Dennaton,Devolver Digital,,,
Tales From Space: Mutant Blobs Attack,8.4,DrinkBox Studios,DrinkBox Studios,,,
Utawarerumono: Mask of Deception,8.4,Aqua Plus,Aqua Plus,Utawarerumono - Mask of Deception (USA).vpk,2.3 GiB,33.9 GiB
Ys: Memories of Celceta,8.4,Falcom,XSEED Games,Ys - Memories of Celceta (USA).vpk,775.1 MiB,34.7 GiB
Bloodstained: Curse of the Moon,8.4,Inti Creates,Inti Creates,,,
Maldita Castilla EX: Cursed Castilla,8.4,Locomalito,Abylight,,,
"Papers, Please",8.4,Lucas Pope,3909,,,
Spelunky,8.4,Mossmouth,Microsoft Game Studios,,,
The Binding of Isaac: Rebirth,8.4,Nicalis,Nicalis,,,
Twin Breaker: A Sacred Symbols Adventure,8.4,Lillymo Games,Lillymo Games,,,
Danganronpa: Trigger Happy Havoc,8.3,Spike Chunsoft,NIS America,Danganronpa - Trigger Happy Havoc (USA).vpk,1.2 GiB,35.9 GiB
Resogun,8.3,XDEV,SCEA,,,
Toukiden: Kiwami,8.3,Koei Tecmo Games,Koei Tecmo Games,Toukiden - Kiwami (Europe).vpk,3.2 GiB,39.1 GiB
