title,score,developer,publisher,rom_name,size,running_total
Resident Evil 3: Nemesis,9.3,Capcom,Capcom,Resident Evil 3 - Nemesis (USA).bin,688.7 MiB,688.7 MiB
Tekken 3,9.3,Namco,Namco,Tekken 3 (USA) (Track 1).bin,603.2 MiB,1.3 GiB
Resident Evil,9.2,Capcom,Capcom,Resident Evil (USA).bin,648.9 MiB,1.9 GiB
Final Fantasy IX,9.2,SquareSoft,Square EA,Final Fantasy IX (USA) (Disc 4) (Rev 1).bin,2.7 GiB,4.5 GiB
Castlevania: Symphony of the Night,9.2,Digital Eclipse,Konami,Castlevania - Symphony of the Night (USA) (Track 1).bin,513.7 MiB,5.0 GiB
Chrono Cross,9.1,SquareSoft,Square EA,Chrono Cross (USA) (Disc 2).bin,1.4 GiB,6.4 GiB
Gran Turismo 2,9.1,Polyphony Digital,SCEA,Gran Turismo 2 (USA) (Simulation Mode) (Rev 2).bin,659.8 MiB,7.1 GiB
Resident Evil 2 (1998),9.1,TOSE,Capcom,Resident Evil 2 (USA) (Disc 2) (Track 1).bin,1.2 GiB,8.2 GiB
Gran Turismo,9.1,Polyphony Digital,SCEA,Gran Turismo (USA) (Rev 1).bin,661.5 MiB,8.9 GiB
Crash Bandicoot: Warped,9.1,Naughty Dog,SCEA,Crash Bandicoot - Warped (USA).bin,271.9 MiB,9.1 GiB
Final Fantasy VII,9.1,SquareSoft,SCEA,Final Fantasy VII (USA) (Disc 3).bin,2.0 GiB,11.1 GiB
Medal of Honor (1999),9.1,Dreamworks Interactive,Electronic Arts,Medal of Honor (USA).bin,708.2 MiB,11.8 GiB
Vagrant Story,9.1,SquareSoft,Square EA,Vagrant Story (USA).bin,715.9 MiB,12.5 GiB
Legacy of Kain: Soul Reaver,9.0,Crystal Dynamics,Eidos Interactive,Legacy of Kain - Soul Reaver (USA).bin,651.4 MiB,13.2 GiB
Madden NFL 2001,9.0,EA Sports,EA Sports,Madden NFL 2001 (USA).bin,359.8 MiB,13.5 GiB
Dino Crisis 2,8.9,Capcom,Capcom,Dino Crisis 2 (USA) (Track 1).bin,451.7 MiB,14.0 GiB
Spyro: Year of the Dragon,8.9,Insomniac Games,SCEA,Spyro - Year of the Dragon (USA) (Rev 1).bin,634.0 MiB,14.6 GiB
Metal Gear Solid,8.9,KCEJ,Konami,Metal Gear Solid (USA) (Disc 2) (Rev 1).bin,1.3 GiB,15.9 GiB
Soul Edge,8.9,Namco,Namco,Soul Edge (Japan) (Rev 1).bin,477.2 MiB,16.4 GiB
Spyro 2: Ripto's Rage!,8.9,Insomniac Games,SCEA,Spyro 2 - Ripto's Rage! (USA).bin,539.2 MiB,16.9 GiB
Wipeout XL,8.9,Psygnosis,SCEA,"Wipeout XL (Japan, Asia) (Track 01).bin",82.1 MiB,17.0 GiB
Tony Hawk's Pro Skater,8.9,Neversoft Entertainment,Activision,Tony Hawk's Pro Skater (USA).bin,630.2 MiB,17.6 GiB
Street Fighter Alpha 3,8.9,Capcom,Capcom,Street Fighter Alpha 3 (USA) (Track 1).bin,461.7 MiB,18.1 GiB
Crash Bandicoot 2: Cortex Strikes Back,8.8,Naughty Dog,SCEA,Crash Bandicoot 2 - Cortex Strikes Back (USA).bin,183.9 MiB,18.2 GiB
CTR: Crash Team Racing,8.8,Naughty Dog,SCEA,CTR - Crash Team Racing (USA).bin,577.6 MiB,18.8 GiB
Final Fantasy Chronicles,8.8,TOSE,Square EA,Final Fantasy Origins (USA) (Rev 1).bin,562.2 MiB,19.3 GiB
Final Fantasy VIII,8.8,SquareSoft,Square EA,Final Fantasy VIII (USA) (Disc 4).bin,2.6 GiB,22.0 GiB
Madden NFL 2002,8.8,EA Sports,EA Sports,Madden NFL 2002 (USA).bin,386.1 MiB,22.4 GiB
NHL 2001,8.8,EA Sports,EA Sports,NHL 2001 (USA).bin,678.2 MiB,23.0 GiB
Syphon Filter,8.8,Eidetic,989 Studios,Syphon Filter (USA) (Rev 1).bin,699.5 MiB,23.7 GiB
Einhander,8.8,SquareSoft,SCEA,Einhaender (USA).bin,623.2 MiB,24.3 GiB
Xenogears,8.8,SquareSoft,Square EA,Xenogears (USA) (Disc 2).bin,1.3 GiB,25.6 GiB
Ape Escape,8.7,SCE Japan Studio,SCEA,Ape Escape (USA).bin,412.2 MiB,26.0 GiB
Colin McRae Rally 2.0,8.7,Codemasters,Codemasters,"Colin McRae Rally 2.0 (USA) (En,Fr,Es) (Track 1).bin",433.4 MiB,26.5 GiB
R4: Ridge Racer Type 4,8.7,Namco,Namco,R4 - Ridge Racer Type 4 (USA).bin,592.6 MiB,27.0 GiB
Silent Hill,8.7,KCET,Konami,Silent Hill (USA).bin,587.9 MiB,27.6 GiB
Spyro the Dragon,8.7,Insomniac Games,SCEA,Spyro the Dragon (USA).bin,630.9 MiB,28.2 GiB
Tomb Raider (1996),8.7,Core Design Ltd.,Eidos Interactive,Tomb Raider 2 (Japan) (Track 01).bin,235.6 MiB,28.5 GiB
Final Fantasy Tactics,8.7,TOSE,Square Enix,Final Fantasy Tactics (USA).bin,516.2 MiB,29.0 GiB
Oddworld: Abe's Oddysee,8.7,Oddworld Inhabitants,GT Interactive,Oddworld - Abe's Oddysee (USA) (Rev 2).bin,644.2 MiB,29.6 GiB
WWF SmackDown! 2: Know Your Role,8.7,Yuke's,THQ,WWF SmackDown! 2 - Know Your Role (USA).bin,711.7 MiB,30.3 GiB
Medal of Honor Underground,8.6,Dreamworks Interactive,Electronic Arts,Medal of Honor - Underground (USA).bin,713.4 MiB,31.0 GiB
Spider-Man (2000),8.6,Neversoft Entertainment,Activision,Spider-Man (USA).bin,695.9 MiB,31.7 GiB
Suikoden II,8.6,Konami,Konami,Suikoden II (USA).bin,490.1 MiB,32.1 GiB
Need for Speed III: Hot Pursuit,8.6,EA Canada,Electronic Arts,Need for Speed III - Hot Pursuit (USA).bin,504.0 MiB,32.6 GiB
Oddworld: Abe's Exoddus,8.6,Oddworld Inhabitants,GT Interactive,Oddworld - Abe's Exoddus (USA) (Disc 2).bin,1.0 GiB,33.7 GiB
