title,score,developer,publisher,rom_name,size,running_total
Halo: Combat Evolved,9.7,Bungie,Microsoft Game Studios,Halo - Combat Evolved (USA) (Rev 2).iso,7.3 GiB,7.3 GiB
Grand Theft Auto Double Pack,9.6,Rockstar Vienna,Rockstar Games,Grand Theft Auto - Vice City (USA) (Rev 1).iso,7.3 GiB,14.6 GiB
Halo 2,9.5,Bungie,Microsoft Game Studios,"Halo 2 (USA, Europe) (En,Ja,Fr,De,Es,It,Zh,Ko).iso",7.3 GiB,21.9 GiB
Burnout 3: Takedown,9.4,Criterion Games,EA Games,Burnout 3 - Takedown (USA).iso,7.3 GiB,29.2 GiB
Ninja Gaiden Black,9.4,Team Ninja,Tecmo,"Ninja Gaiden Black (USA) (En,Ja).iso",7.3 GiB,36.4 GiB
Star Wars: Knights of the Old Republic,9.4,BioWare,LucasArts,Star Wars - Knights of the Old Republic (USA) (Rev 1).iso,7.3 GiB,43.7 GiB
Tom Clancy's Splinter Cell: Chaos Theory,9.4,Ubisoft Montreal,Ubisoft,"Tom Clancy's Splinter Cell - Chaos Theory (USA, Europe) (En,Fr,De,Es,It).iso",7.3 GiB,51.0 GiB
Grand Theft Auto: San Andreas,9.3,Rockstar North,Rockstar Games,"Grand Theft Auto - San Andreas (USA) (En,Es) (Rev 1).iso",7.3 GiB,58.3 GiB
Tom Clancy's Splinter Cell,9.3,Ubisoft Montreal,Ubisoft,"Tom Clancy's Splinter Cell (USA) (En,Fr).iso",7.3 GiB,65.6 GiB
Tom Clancy's Splinter Cell: Pandora Tomorrow,9.3,Ubisoft Shanghai,Ubisoft,"Tom Clancy's Splinter Cell - Pandora Tomorrow (USA, Europe) (En,Fr,De,Es,It).iso",7.3 GiB,72.9 GiB
Tony Hawk's Pro Skater 3,9.3,Neversoft Entertainment,Activision,Tony Hawk's Pro Skater 3 (USA).iso,7.3 GiB,80.2 GiB
ESPN NFL 2K5,9.2,Visual Concepts,Sega,ESPN NFL 2K5 (USA).iso,7.3 GiB,87.5 GiB
Forza Motorsport (2005),9.2,Microsoft Game Studios,Microsoft Game Studios,"Forza Motorsport (World) (En,Ja,Fr,De,Es,It,Zh,Ko).iso",7.3 GiB,94.7 GiB
Madden NFL 2003,9.2,EA Sports,EA Sports,Madden NFL 2003 (USA).iso,7.3 GiB,102.0 GiB
Madden NFL 2004,9.2,EA Tiburon,EA Sports,Madden NFL 2004 (USA) (Rev 1).iso,7.3 GiB,109.3 GiB
Prince of Persia: The Sands of Time,9.2,Ubisoft,Ubisoft,"Prince of Persia - The Sands of Time (USA) (En,Fr,Es).iso",7.3 GiB,116.6 GiB
SoulCalibur II,9.2,Namco,Namco,Soulcalibur II (USA).iso,7.3 GiB,123.9 GiB
SSX 3,9.2,EA Canada,EA Sports Big,SSX 3 (USA).iso,7.3 GiB,131.2 GiB
ESPN NFL Football,9.1,Visual Concepts,Sega,ESPN NFL Football (USA).iso,7.3 GiB,138.5 GiB
Madden NFL 2005,9.1,EA Tiburon,EA Sports,Madden NFL 2005 (USA).iso,7.3 GiB,145.8 GiB
Ninja Gaiden (2004),9.1,Team Ninja,Tecmo,"Ninja Gaiden (USA, Japan) (En,Ja).iso",7.3 GiB,153.0 GiB
Half-Life 2,9.0,Valve Software,VU Games,"Half-Life 2 (USA, Europe) (En,Fr,De,Es,It).iso",7.3 GiB,160.3 GiB
Madden NFL 2002,9.0,EA Sports,EA Sports,Madden NFL 2002 (USA).iso,7.3 GiB,167.6 GiB
MVP Baseball 2004,9.0,EA Sports,EA Sports,MVP Baseball 2004 (USA).iso,7.3 GiB,174.9 GiB
NBA 2K2,9.0,Visual Concepts,Sega,NBA 2K2 (USA).iso,7.3 GiB,182.2 GiB
NCAA Football 2003,9.0,EA Sports,EA Sports,NCAA Football 2003 (USA).iso,7.3 GiB,189.5 GiB
Panzer Dragoon Orta,9.0,Smilebit,Sega,Panzer Dragoon Orta (USA) (Beta) (2002-11-14).iso,3.7 GiB,193.1 GiB
Project Gotham Racing 2,9.0,Bizarre Creations,Microsoft Game Studios,"Project Gotham Racing 2 (USA, Japan) (En,Ja,Fr,De,Es,It,Zh,Ko).iso",7.3 GiB,200.4 GiB
Tony Hawk's Pro Skater 4,9.0,Neversoft Entertainment,Activision,Tony Hawk's Pro Skater 4 (USA).iso,7.3 GiB,207.7 GiB
World Soccer Winning Eleven 8 International,9.0,KCET,Konami,"World Soccer Winning Eleven 8 - International (USA) (En,Es).iso",7.3 GiB,215.0 GiB
Burnout Revenge,8.9,Criterion Games,Electronic Arts,Burnout Revenge (USA).iso,7.3 GiB,222.3 GiB
Halo 2 Multiplayer Map Pack,8.9,Bungie,Microsoft Game Studios,"Halo 2 Multiplayer Map Pack (World) (En,Ja,Fr,De,Es,It,Zh,Ko).iso",7.3 GiB,229.6 GiB
Jade Empire,8.9,BioWare,Microsoft Game Studios,"Jade Empire (USA, Europe) (En,Es,It).iso",7.3 GiB,236.9 GiB
Max Payne,8.9,Remedy Entertainment,Gathering,Max Payne (USA).iso,7.3 GiB,244.1 GiB
NBA Street V3,8.9,EA Canada,EA Sports Big,NBA Street V3 (USA).iso,7.3 GiB,251.4 GiB
NBA Street Vol. 2,8.9,Electronic Arts,EA Sports Big,NBA Street Vol. 2 (USA).iso,7.3 GiB,258.7 GiB
NCAA Football 2005,8.9,EA Tiburon,EA Sports,NCAA Football 2005 (USA).iso,7.3 GiB,266.0 GiB
NHL 2002,8.9,EA Sports,Electronic Arts,NHL 2002 (USA).iso,7.3 GiB,273.3 GiB
NHL 2K3,8.9,Treyarch,Sega,NHL 2K3 (USA).iso,7.3 GiB,280.6 GiB
The Chronicles of Riddick: Escape From Butcher Bay,8.9,Starbreeze,VU Games,"Chronicles of Riddick, The - Escape from Butcher Bay (USA).iso",7.3 GiB,287.9 GiB
Tiger Woods PGA Tour 2004,8.9,EA Sports,EA Sports,Tiger Woods PGA Tour 2004 (USA).iso,7.3 GiB,295.2 GiB
Tom Clancy's Splinter Cell: Double Agent,8.9,Ubisoft Shanghai,Ubisoft,"Tom Clancy's Splinter Cell - Double Agent (USA, Europe) (En,Fr,De,Es,It).iso",7.3 GiB,302.4 GiB
Top Spin,8.9,Pam Development,Microsoft Game Studios,"Top Spin (USA) (En,Fr,De).iso",7.3 GiB,309.7 GiB
World Series Baseball 2K3,8.9,Blue Shift,Sega,World Series Baseball 2K3 (USA).iso,7.3 GiB,317.0 GiB
World Soccer Winning Eleven 9,8.9,KCET,Konami,"World Soccer Winning Eleven 9 (USA, Asia) (En,Es).iso",7.3 GiB,324.3 GiB
Brothers in Arms: Road to Hill 30,8.8,Gearbox Software,Ubisoft,"Brothers in Arms - Road to Hill 30 (Japan) (En,Ja).iso",7.3 GiB,331.6 GiB
Burnout 2: Point of Impact,8.8,Criterion Games,Acclaim,Burnout 2 - Point of Impact (USA).iso,7.3 GiB,338.9 GiB
Crimson Skies: High Road to Revenge,8.8,FASA Studio,Microsoft Game Studios,"Crimson Skies - High Road to Revenge (USA) (En,Fr,De,Zh,Ko).iso",7.3 GiB,346.2 GiB
DOOM 3,8.8,id Software,Activision,,,
ESPN NHL 2K5,8.8,Kush Games,Sega,ESPN NHL 2K5 (USA).iso,7.3 GiB,353.5 GiB
ESPN NHL Hockey,8.8,Kush Games,Sega,ESPN NHL Hockey (USA).iso,7.3 GiB,360.8 GiB
FIFA Soccer 2003,8.8,EA Canada,EA Sports,FIFA Soccer 2003 (USA).iso,7.3 GiB,368.0 GiB
Fight Night Round 2,8.8,EA Sports,EA Sports,Fight Night Round 2 (USA).iso,7.3 GiB,375.3 GiB
JSRF: Jet Set Radio Future,8.8,Smilebit,Sega,JSRF - Jet Set Radio Future (USA).iso,7.3 GiB,382.6 GiB
Major League Baseball 2K5,8.8,Kush Games,Take-Two Interactive,Major League Baseball 2K5 (USA).iso,7.3 GiB,389.9 GiB
NCAA Football 07,8.8,EA Sports,EA Sports,NCAA Football 07 (USA).iso,7.3 GiB,397.2 GiB
NCAA Football 2004,8.8,EA Sports,EA Sports,NCAA Football 2004 (USA).iso,7.3 GiB,404.5 GiB
Oddworld: Stranger's Wrath,8.8,Oddworld Inhabitants,EA Games,Oddworld - Stranger's Wrath (USA).iso,7.3 GiB,411.8 GiB
Psychonauts,8.8,Double Fine Productions,Majesco,Psychonauts (USA).iso,7.3 GiB,419.1 GiB
The Elder Scrolls III: Morrowind - Game of the Year Edition,8.8,Bethesda Softworks,Bethesda Softworks,"Elder Scrolls III, The - Morrowind - Game of the Year Edition (USA).iso",7.3 GiB,426.3 GiB
Tiger Woods PGA Tour 2003,8.8,EA Sports,EA Sports,Tiger Woods PGA Tour 2003 (USA).iso,7.3 GiB,433.6 GiB
Tiger Woods PGA Tour 2005,8.8,EA Sports,EA Sports,Tiger Woods PGA Tour 2005 (USA).iso,7.3 GiB,440.9 GiB
TimeSplitters 2,8.8,Free Radical Design,Eidos Interactive,TimeSplitters 2 (USA).iso,7.3 GiB,448.2 GiB
Beyond Good & Evil,8.7,Ubisoft Montpellier,Ubisoft,"Beyond Good & Evil (USA) (En,Fr,Es).iso",7.3 GiB,455.5 GiB
Dead or Alive 3,8.7,Team Ninja,Tecmo,"Dead or Alive 3 (USA) (En,Ja).iso",7.3 GiB,462.8 GiB
ESPN NBA Basketball,8.7,Visual Concepts,Sega,ESPN NBA Basketball (USA).iso,7.3 GiB,470.1 GiB
MechAssault,8.7,Day 1 Studios,Microsoft Game Studios,"MechAssault (USA) (En,Fr,De) (Rev 1).iso",7.3 GiB,477.4 GiB
Metal Gear Solid 2: Substance,8.7,KCEJ,Konami,Metal Gear Solid 2 - Substance (USA).iso,7.3 GiB,484.6 GiB
Midnight Club 3: DUB Edition Remix,8.7,Rockstar San Diego,Rockstar Games,Midnight Club 3 - DUB Edition Remix (USA).iso,7.3 GiB,491.9 GiB
MotoGP 2,8.7,Climax Studios,THQ,"MotoGP 2 (USA) (En,Fr,De,Es,It).iso",7.3 GiB,499.2 GiB
NBA 2K3,8.7,Visual Concepts,Sega,NBA 2K3 (USA).iso,7.3 GiB,506.5 GiB
NCAA Football 06,8.7,EA Sports,EA Sports,NCAA Football 06 (USA).iso,7.3 GiB,513.8 GiB
NFL 2K2,8.7,Visual Concepts,Sega,NFL 2K2 (USA).iso,7.3 GiB,521.1 GiB
RalliSport Challenge,8.7,Digital Illusions,Microsoft Game Studios,RalliSport Challenge (USA) (Rev 1).iso,7.3 GiB,528.4 GiB
RalliSport Challenge 2,8.7,Digital Illusions,Microsoft Game Studios,RalliSport Challenge (USA) (Rev 1).iso,7.3 GiB,535.7 GiB
The Elder Scrolls III: Morrowind,8.7,Bethesda Softworks,Bethesda Softworks,"Elder Scrolls III, The - Morrowind (USA).iso",7.3 GiB,542.9 GiB
Colin McRae Rally 3,8.6,Codemasters,Codemasters,Colin McRae Rally 3 (USA).iso,7.3 GiB,550.2 GiB
ESPN College Hoops 2K5,8.6,Visual Concepts,Sega,ESPN College Hoops 2K5 (USA).iso,7.3 GiB,557.5 GiB
Guilty Gear X2 #Reload,8.6,Arc System Works,Majesco,Guilty Gear X2 Reload - The Midnight Carnival (USA).iso,7.3 GiB,564.8 GiB
Madden NFL 06,8.6,EA Tiburon,EA Sports,Madden NFL 06 (USA).iso,7.3 GiB,572.1 GiB
Mercenaries: Playground of Destruction,8.6,Pandemic Studios,LucasArts,,,
Midnight Club II,8.6,Rockstar San Diego,Rockstar Games,Midnight Club II (USA).iso,7.3 GiB,579.4 GiB
MVP Baseball 2005,8.6,EA Sports,EA Sports,MVP Baseball 2005 (USA).iso,7.3 GiB,586.7 GiB
NASCAR SimRacing,8.6,EA Tiburon,EA Games,,,
Star Wars: Knights of the Old Republic II - The Sith Lords,8.6,Obsidian Entertainment,LucasArts,Star Wars - Knights of the Old Republic II - The Sith Lords (USA).iso,7.3 GiB,594.0 GiB
Tom Clancy's Rainbow Six 3,8.6,Ubisoft,Ubisoft,"Tom Clancy's Rainbow Six 3 (USA, Europe) (En,Fr,De,Es,It).iso",7.3 GiB,601.2 GiB
Aggressive Inline,8.5,"Z-Axis, Ltd.",Acclaim,Aggressive Inline (USA).iso,7.3 GiB,608.5 GiB
Brothers in Arms: Earned in Blood,8.5,Gearbox Software,Ubisoft,"Brothers in Arms - Earned in Blood (USA, Europe) (En,Fr,De,Es,It).iso",7.3 GiB,615.8 GiB
ESPN NBA 2K5,8.5,Visual Concepts,Sega,ESPN NBA 2K5 (USA).iso,7.3 GiB,623.1 GiB
Fable (2004),8.5,Big Blue Box,Microsoft Game Studios,"Fable (USA, Europe).iso",7.3 GiB,630.4 GiB
Far Cry,8.5,Crytek,Ubisoft,,,
FIFA 07 Soccer,8.5,EA Sports,EA Sports,"FIFA Soccer 07 (USA) (En,Es).iso",7.3 GiB,637.7 GiB
Fight Night 2004,8.5,EA Sports,EA Sports,Fight Night 2004 (USA).iso,7.3 GiB,645.0 GiB
Lego Star Wars II: The Original Trilogy,8.5,Traveller's Tales,LucasArts,"LEGO Star Wars II - The Original Trilogy (USA, Europe) (En,Fr,De,Es,It,Da).iso",7.3 GiB,652.3 GiB
MotoGP 3: Ultimate Racing Technology,8.5,Climax Studios,THQ,"MotoGP - Ultimate Racing Technology 3 (USA, Europe) (En,Fr,De,Es).iso",7.3 GiB,659.5 GiB
NASCAR Thunder 2004,8.5,EA Tiburon,Electronic Arts,NASCAR Thunder 2004 (USA).iso,7.3 GiB,666.8 GiB
NBA Live 2004,8.5,EA Sports,EA Sports,NBA Live 2004 (USA).iso,7.3 GiB,674.1 GiB
NBA Live 2005,8.5,EA Canada,EA Sports,NBA Live 2005 (USA).iso,7.3 GiB,681.4 GiB
NHL 2004,8.5,EA Black Box,EA Sports,NHL 2004 (USA).iso,7.3 GiB,688.7 GiB
Prince of Persia: The Two Thrones,8.5,Ubisoft,Ubisoft,"Prince of Persia - The Two Thrones (USA, Europe) (En,Fr,De,Es,It).iso",7.3 GiB,696.0 GiB
Project Gotham Racing,8.5,Bizarre Creations,Microsoft Game Studios,Project Gotham Racing (USA).iso,7.3 GiB,703.3 GiB
The Warriors,8.5,Rockstar Toronto,Rockstar Games,Kabuki Warriors (USA).iso,7.3 GiB,710.6 GiB
Tony Hawk's Underground,8.5,Neversoft Entertainment,Activision,Tony Hawk's Underground (USA).iso,7.3 GiB,717.8 GiB
Unreal Championship 2: The Liandri Conflict,8.5,Epic Games,Midway,"Unreal Championship 2 - The Liandri Conflict (USA, Europe) (En,Fr,De,Es,It).iso",7.3 GiB,725.1 GiB
World Series Baseball,8.5,Blueshift,Sega,World Series Baseball (USA).iso,7.3 GiB,732.4 GiB
