The Legend of Zelda: Ocarina of Time 3D	9.4	GREZZO	Nintendo
Cave Story	9.3	Nicalis	Nicalis
Fire Emblem: Awakening	9.2	Intelligent Systems	Nintendo
The Legend of Zelda: A Link Between Worlds	9.1	Nintendo	Nintendo
Pushmo	9.0	Intelligent Systems	Nintendo
Shovel Knight	9.0	Yacht Club Games	Yacht Club Games
Super Mario 3D Land	9.0	Nintendo	Nintendo
Colors! 3D	8.9	Collecting Smiles	Collecting Smiles
Gunstar Heroes	8.9	M2	Sega
Streets of Rage 2	8.9	M2	Sega
The Legend of Zelda: Majora's Mask 3D	8.9	GREZZO	Nintendo
Animal Crossing: New Leaf	8.8	Nintendo	Nintendo
Fire Emblem Fates: Revelation	8.8	Intelligent Systems	Nintendo
Fire Emblem Fates: Special Edition	8.8	Intelligent Systems	Nintendo
Pokemon Y	8.8	Game Freak	Nintendo
Rage of the Gladiator	8.8	Ghostfire Games	Ghostfire Games
Zero Escape: Virtue's Last Reward	8.8	ChunSoft	Aksys Games
Fire Emblem Fates: Conquest	8.7	Intelligent Systems	Nintendo
Gotta Protectors (2016)	8.7	Ancient Corp	Ancient Corp
OutRun	8.7	M2	Sega
Pokemon Moon	8.7	Game Freak	Nintendo
Pokemon Sun	8.7	Game Freak	Nintendo
Pokemon X	8.7	Game Freak	Nintendo
Sonic the Hedgehog 2	8.7	M2	Sega
Crashmo	8.6	Intelligent Systems	Nintendo
Fire Emblem Fates: Birthright	8.6	Intelligent Systems	Nintendo
Luigi's Mansion: Dark Moon	8.6	Next Level Games	Nintendo
Monster Hunter 4 Ultimate	8.6	Capcom	Capcom
Picross 3D: Round 2	8.6	HAL Labs	Nintendo
SteamWorld Heist	8.6	Image & Form	Image & Form
Xenoblade Chronicles	8.6	Monster Games Inc.	Nintendo
Bravely Default	8.5	Silicon Studio	Nintendo
Dragon Quest VIII: Journey of the Cursed King	8.5	Level 5	Square Enix
Maldita Castilla EX: Cursed Castilla	8.5	Locomalito	Abylight
Mario Kart 7	8.5	Retro Studios	Nintendo
Metroid: Samus Returns	8.5	Mercury Steam	Nintendo
Monster Hunter Generations	8.5	Capcom	Capcom
Radiant Historia	8.5	Atlus	Atlus
Super Smash Bros. for Nintendo 3DS / Wii U	8.5	Bandai Namco Games	Nintendo
Super Street Fighter IV	8.5	Capcom	Capcom
