Flipnote Studio	9.3	Nintendo	Nintendo
Grand Theft Auto: Chinatown Wars	9.3	Rockstar Leeds	Rockstar Games
Chrono Trigger	9.2	TOSE	Square Enix
Mario Kart DS	9.1	Nintendo	Nintendo
Advance Wars: Dual Strike	9.0	Intelligent Systems	Nintendo
Mario & Luigi: Bowser's Inside Story	9.0	Alphadream Corporation	Nintendo
The Legend of Zelda: Phantom Hourglass	9.0	Nintendo	Nintendo
Castlevania: Dawn of Sorrow	8.9	Konami	Konami
New Super Mario Bros.	8.9	Nintendo	Nintendo
Meteos	8.8	Q Entertainment	Nintendo
The World Ends with You	8.8	Jupiter Corporation	Square Enix
America's Test Kitchen: Let's Get Cooking	8.7	indieszero	Nintendo
Dragon Quest IX: Sentinels of the Starry Skies	8.7	Level 5	Nintendo
Elite Beat Agents	8.7	iNiS	Nintendo
Pokemon Black Version	8.7	Game Freak	Nintendo
Pokemon HeartGold Version	8.7	Game Freak	Nintendo
Pokemon SoulSilver Version	8.7	Game Freak	Nintendo
Pokemon White Version	8.7	Game Freak	Nintendo
The Legend of Zelda: Spirit Tracks	8.7	Nintendo	Nintendo
Advance Wars: Days of Ruin	8.6	Intelligent Systems	Nintendo
Animal Crossing: Wild World	8.6	Nintendo	Nintendo
Kirby: Canvas Curse	8.6	HAL Labs	Nintendo
Mario & Luigi: Partners in Time	8.6	Alphadream Corporation	Nintendo
Might & Magic: Clash of Heroes	8.6	Capy Games	Ubisoft
Planet Puzzle League	8.6	Intelligent Systems	Nintendo
Professor Layton and the Unwound Future	8.6	Level 5	Nintendo
Castlevania: Order of Ecclesia	8.5	Konami	Konami
Castlevania: Portrait of Ruin	8.5	Konami	Konami
Final Fantasy IV (3D Remake)	8.5	Matrix Software	Square Enix
Metroid Prime: Hunters	8.5	Nintendo Software Technology	Nintendo
Pokemon Diamond Version	8.5	Game Freak	Nintendo
Pokemon Pearl Version	8.5	Game Freak	Nintendo
Professor Layton and the Curious Village	8.5	Level 5	Nintendo
Radiant Historia	8.5	Atlus	Atlus
Shantae: Risky's Revenge	8.5	WayForward	WayForward
Space Invaders Extreme	8.5	Taito Corporation	Square Enix
Super Mario 64	8.5	Nintendo	Nintendo
The Legend of Zelda: Four Swords Anniversary Edition	8.5	GREZZO	Nintendo
Dark Void Zero	8.4	Other Ocean Interactive	Capcom
Dragon Quest V: Hand of the Heavenly Bride	8.4	ArtePiazza	Square Enix
Peggle: Dual Shot	8.4	Q Entertainment	PopCap
Professor Layton and the Diabolical Box	8.4	Level 5	Nintendo
Shin Megami Tensei: Devil Survivor	8.4	Atlus	Atlus
Spotto!	8.4	Intelligent Systems	Nintendo
Tetris DS	8.4	Nintendo	Nintendo
Tony Hawk's American Sk8land	8.4	Vicarious Visions	Activision
Art Style: DIGIDRIVE	8.3	Q-Games	Nintendo
Art Style: PiCTOBiTS	8.3	Nintendo	Nintendo
Bangai-O Spirits	8.3	Treasure	D3Publisher
Bleach: The Blade of Fate	8.3	Treasure	Sega
Clubhouse Games	8.3	Agenda	Nintendo
Contra 4	8.3	WayForward	Konami
Dragon Quest Heroes: Rocket Slime	8.3	TOSE	Square Enix
Dragon Quest Wars	8.3	Intelligent Systems	Square Enix
Ghost Trick: Phantom Detective	8.3	Capcom	Capcom
Inchworm Animation	8.3	Arc System Works	Flat Black Films
Kirby Mass Attack	8.3	HAL Labs	Nintendo
Mighty Flip Champs!	8.3	WayForward	WayForward
Ninja Gaiden: Dragon Sword	8.3	Team Ninja	Tecmo
Nintendogs: Chihuahua & Friends	8.3	Nintendo	Nintendo
Nintendogs: Dachshund & Friends	8.3	Nintendo	Nintendo
Nintendogs: Dalmatian & Friends	8.3	Nintendo	Nintendo
Nintendogs: Lab & Friends	8.3	Nintendo	Nintendo
Picross 3D	8.3	HAL Labs	Nintendo
Picross DS	8.3	Jupiter Corporation	Nintendo
Pokemon Platinum Version	8.3	Game Freak	Nintendo
Professor Layton and the Last Specter	8.3	Level 5	Nintendo
Rhythm Heaven	8.3	Nintendo	Nintendo
Dawn of Discovery	8.2	Blue Byte	Ubisoft
Disgaea: Afternoon of Darkness	8.2	Nippon Ichi Software	Atlus
Etrian Odyssey II: Heroes of Lagaard	8.2	Atlus	Atlus
Henry Hatsworth in the Puzzling Adventure	8.2	EA Tiburon	Electronic Arts
KORG DS-10 Synthesizer	8.2	AQ Interactive	XSEED Games
Lunar Knights	8.2	Kojima Productions	Konami
Mario vs. Donkey Kong: Minis March Again!	8.2	Nintendo	Nintendo
N+	8.2	Slick Entertainment	Microsoft Game Studios
Nine Hours, Nine Persons, Nine Doors	8.2	ChunSoft	Aksys Games
Okamiden	8.2	Capcom	Capcom
Puzzle Quest: Challenge of the Warlords	8.2	1st Playable Productions	D3Publisher
Sonic Rush	8.2	Dimps Corporation	Sega
Space Invaders Extreme 2	8.2	Taito Corporation	Square Enix
Starship Defense	8.2	Q-Games	Nintendo
Viva Pinata: Pocket Paradise	8.2	Rare Ltd.	THQ
WarioWare D.I.Y.	8.2	Intelligent Systems	Nintendo
X-Scape	8.2	Q-Games	Nintendo
Final Fantasy XII: Revenant Wings	8.1	Think and Feel	Square Enix
Fire Emblem: Shadow Dragon	8.1	Intelligent Systems	Nintendo
KORG DS-10 PLUS	8.1	AQ Interactive	XSEED Games
Mighty Milky Way	8.1	WayForward	WayForward
Personal Trainer: Cooking	8.1	indieszero	Nintendo
Phoenix Wright: Ace Attorney	8.1	Capcom	Capcom
Phoenix Wright: Ace Attorney - Trials and Tribulations	8.1	Capcom	Capcom
Plants vs. Zombies	8.1	PopCap	PopCap
Pop Island: Paperfield	8.1	odenis studio	odenis studio
Super Scribblenauts	8.1	5TH Cell	Warner Bros. Interactive Entertainment
Tiger Woods PGA Tour 08	8.1	EA Salt Lake	EA Sports
Trauma Center: Under the Knife	8.1	ITL	Atlus
WarioWare: Touched!	8.1	Intelligent Systems	Nintendo
Worms: Open Warfare 2	8.1	Team17	THQ
Yoshi's Island DS	8.1	Artoon	Nintendo
Age of Empires: The Age of Kings	8.0	Backbone Entertainment	Majesco
Art Style: BOXLIFE	8.0	Nintendo	Nintendo
Dragon Quest IV: Chapters of the Chosen	8.0	ArtePiazza	Square Enix
Final Fantasy Tactics A2: Grimoire of the Rift	8.0	Square Enix	Square Enix
Lego Indiana Jones: The Original Adventures	8.0	Traveller's Tales	LucasArts
Lego Rock Band	8.0	TT Fusion	Warner Bros. Interactive Entertainment
LEGO Star Wars: The Complete Saga	8.0	Traveller's Tales	LucasArts
Lock's Quest	8.0	5TH Cell	THQ
Lufia: Curse of the Sinistrals	8.0	Neverland	Natsume
Ninjatown	8.0	Venan Entertainment	SouthPeak Games
Phineas and Ferb	8.0	Altron	Disney Interactive Studios
Pokemon Black Version 2	8.0	Game Freak	Nintendo
Pokemon Conquest	8.0	Koei Tecmo Games	Nintendo
Pokemon White Version 2	8.0	Game Freak	Nintendo
Shin Megami Tensei: Strange Journey	8.0	Atlus	Atlus
Sid Meier's Civilization Revolution	8.0	Firaxis Games	2K Games
Geometry Wars: Galaxies	7.9	Kuju Entertainment	Sierra Entertainment
Golden Sun: Dark Dawn	7.9	Camelot Software Planning	Nintendo
GRID (2008)	7.9	Codemasters	Codemasters
Mario vs. Donkey Kong: Mini-Land Mayhem	7.9	Nintendo Software Technology	Nintendo
Metroid Prime Pinball	7.9	Fuse Games Limited	Nintendo
Monster Tale	7.9	DreamRift	Majesco
Rock Band 3	7.9	Harmonix Music Systems	MTV Games
Scribblenauts	7.9	5TH Cell	Warner Bros. Interactive Entertainment
Shin Megami Tensei: Devil Survivor 2	7.9	Atlus	Atlus
Sonic Colors	7.9	Sonic Team	Sega
Spider-Man 3	7.9	Treyarch	Activision
The New York Times Crosswords	7.9	BudCat	Majesco
Tony Hawk's Proving Ground	7.9	Neversoft Entertainment	Activision
Trauma Center: Under the Knife 2	7.9	Vanguard	Atlus
Ace Attorney Investigations: Miles Edgeworth	7.8	Capcom	Capcom
Age of Empires: Mythologies	7.8	Griptonite Games	THQ
Alice in Wonderland (2010)	7.8	Etranges Libellules	Disney Interactive Studios
AlphaBounce	7.8	Mad Monkey Studio	Motion Twin
Anno 1701: Dawn of Discovery	7.8	Sunflowers Interactive	Ubisoft
Apollo Justice: Ace Attorney	7.8	Capcom	Capcom
Asphalt 4: Elite Racing	7.8	Gameloft	Gameloft
Big Bang Mini	7.8	Arkedo Studio	SouthPeak Games
Bomberman Land Touch!	7.8	Hudson	Atlus
Broken Sword: Shadow of the Templars	7.8	Revolution Software	Ubisoft
Chibi-Robo! Park Patrol	7.8	Skip Ltd.	Nintendo
Chronicles of Mystery: The Secret Tree of Life	7.8	City Interactive	City Interactive
Dragon Ball: Origins	7.8	Game Republic	Atari SA
Dragon Quest VI: Realms of Revelation	7.8	ArtePiazza	Nintendo
Flight Control	7.8	Firemint Pty Ltd	Firemint Pty Ltd
Hotel Dusk: Room 215	7.8	Cing	Nintendo
Mega Man Zero Collection	7.8	Inti Creates	Capcom
Mega Man ZX Advent	7.8	Inti Creates	Capcom
Robocalypse	7.8	Vogster	Tecmo
Rune Factory: A Fantasy Harvest Moon	7.8	Neverland	Natsume
Sonic & Sega All-Stars Racing	7.8	Sumo Digital	Sega
Sonic Rush Adventure	7.8	Dimps Corporation	Sega
Soul Bubbles	7.8	Mekensleep	Eidos Interactive
Soul of Darkness	7.8	Gameloft	Gameloft
Ultimate Spider-Man (2005)	7.8	Vicarious Visions	Activision
Art Style: BASE 10	7.7	Skip Ltd.	Nintendo
Bejeweled Twist	7.7	PopCap	PopCap
Brain Age 2: More Training in Minutes a Day	7.7	Nintendo	Nintendo
Brain Age: Train Your Brain in Minutes a Day!	7.7	Nintendo	Nintendo
DK: Jungle Climber	7.7	Paon Corporation	Nintendo
DodoGo!	7.7	Alien After All	Neko Entertainment
Dragon Quest Monsters: Joker 2	7.7	TOSE	Nintendo
Etrian Odyssey III: The Drowned City	7.7	Atlus	Atlus
FIFA 08 Soccer	7.7	EA Canada	EA Sports
Final Fantasy Crystal Chronicles: Ring of Fates	7.7	Square Enix	Square Enix
Final Fantasy III (3D Remake)	7.7	Matrix Software	Square Enix
Harvest Moon DS: Sunshine Islands	7.7	Marvelous Entertainment	Natsume
Number Battle	7.7	Nintendo	Nintendo
Pop Island	7.7	odenis studio	odenis studio
Retro Game Challenge	7.7	indieszero	XSEED Games
Rune Factory 2: A Fantasy Harvest Moon	7.7	Neverland	Natsume
Rune Factory 3: A Fantasy Harvest Moon	7.7	Neverland	Natsume
Spider-Man: Web of Shadows	7.7	Shaba Games	Activision
TrackMania Turbo (2011)	7.7	Firebrand Games	City Interactive
Trajectile	7.7	Q-Games	Nintendo
WordJong	7.7	Magellan Interactive	Destineer
AiRace	7.6	NoWay Studio	QubicGames
Aliens: Infestation	7.6	WayForward	Sega
Antipole (2011)	7.6	Saturnine Games	Saturnine Games
Chronos Twins	7.6	EnjoyUp Games	EnjoyUp Games
Dr. Mario Express	7.6	Arika	Nintendo
Flametail	7.6	Mindware	Nintendo
Kirby Super Star Ultra	7.6	HAL Labs	Nintendo
Knights in the Nightmare	7.6	Sting	Atlus
Konami Classics Series: Arcade Hits	7.6	M2	Konami
Mario & Sonic at the Olympic Winter Games	7.6	Sega Sports R&D	Sega
Mario vs. Donkey Kong 2: March of the Minis	7.6	Nintendo Software Technology	Nintendo
Mechanic Master	7.6	Most Wanted Entertainment	Midway
Mega Man ZX	7.6	Inti Creates	Capcom
Phoenix Wright: Ace Attorney - Justice for All	7.6	Capcom	Capcom
Puyo Pop Fever	7.6	Sonic Team	Atlus
Race Driver: Create & Race	7.6	Firebrand Games	Codemasters
Solatorobo: Red the Hunter	7.6	CyberConnect2	XSEED Games
Star Fox Command	7.6	Q-Games	Nintendo
Suikoden Tierkreis	7.6	Konami	Konami
Tetris Party Deluxe	7.6	Tetris Online, Inc	Majesco
Tony Hawk's Downhill Jam	7.6	Toys for Bob	Activision
TouchMaster 2	7.6	Midway Studios - San Diego	Midway
Yu-Gi-Oh! World Championship 2007	7.6	Konami	Konami
Art Academy	7.5	Headstrong Games	Nintendo
Bejeweled 3	7.5	PopCap	PopCap
Bomberman (2005)	7.5	Racjin	Ubisoft
Call of Duty 4: Modern Warfare	7.5	Infinity Ward	Activision
Call of Duty: World at War	7.5	Treyarch	Activision
de Blob 2	7.5	Blue Tongue Entertainment	THQ
Dementium II	7.5	Renegade Kid	SouthPeak Games
Dragon Quest Monsters: Joker	7.5	TOSE	Square Enix
Elebits: The Adventures of Kai and Zero	7.5	Konami	Konami
Etrian Odyssey	7.5	Atlus	Atlus
Feel the Magic: XY/XX	7.5	Sonic Team	Sega
FIFA 06: Road to FIFA World Cup	7.5	EA Canada	EA Sports
