title,score,developer,publisher
The Legend of Zelda: A Link to the Past / Four Swords,9.5,Nintendo,Nintendo
Tony Hawk's Pro Skater 2,9.5,Neversoft Entertainment,Activision
Super Mario Advance 4: Super Mario Bros. 3,9.4,Nintendo,Nintendo
Mario Kart: Super Circuit,9.3,Intelligent Systems,Nintendo
Advance Wars,9.2,Intelligent Systems,Nintendo
Final Fantasy VI,9.2,TOSE,Nintendo
Metroid Fusion,9.2,Nintendo,Nintendo
Super Mario World: Super Mario Advance 2,9.2,Nintendo,Nintendo
Castlevania: Aria of Sorrow,9.1,KCET,Konami
Castlevania: Circle of the Moon,9.1,KCEK,Konami
Golden Sun,9.1,Camelot Software Planning,Nintendo
Yoshi's Island: Super Mario Advance 3,9.1,Nintendo,Nintendo
Mario & Luigi: Superstar Saga,9.0,Alphadream Corporation,Nintendo
Tony Hawk's Pro Skater 3,9.0,Neversoft Entertainment,Activision
Advance Wars 2: Black Hole Rising,8.9,Intelligent Systems,Nintendo
Metroid: Zero Mission,8.9,Nintendo,Nintendo
The Legend of Zelda: The Minish Cap,8.9,Flagship,Nintendo
"WarioWare, Inc.: Mega Microgame$!",8.9,Nintendo,Nintendo
Bomberman Tournament,8.8,Amble,Activision
Fire Emblem,8.8,Intelligent Systems,Nintendo
Tactics Ogre: The Knight of Lodis,8.8,Quest,Atlus
Wario Land 4,8.8,Nintendo,Nintendo
WarioWare: Twisted!,8.8,Nintendo,Nintendo
Castlevania: Harmony of Dissonance,8.7,KCET,Konami
Final Fantasy Tactics Advance,8.7,Square Enix,Square Enix
Sonic Advance,8.7,Sonic Team,THQ
Ultimate Card Games,8.7,Cosmigo,Telegames
Castlevania Double Pack,8.6,KCET,Konami
F-Zero: Maximum Velocity,8.6,Nd Cube,Nintendo
Golden Sun: The Lost Age,8.6,Camelot Software Planning,Nintendo
Moto Racer Advance,8.6,Adeline Software,Ubisoft
Tony Hawk's Underground,8.6,Neversoft Entertainment,Activision
Astro Boy: Omega Factor,8.5,Hitmaker,Sega
Dave Mirra Freestyle BMX 2,8.5,"Z-Axis, Ltd.",Acclaim
