Metroid Prime	9.7	Retro Studios	Nintendo
Resident Evil 4 (2005)	9.6	Capcom	Capcom
The Legend of Zelda: The Wind Waker	9.6	Nintendo	Nintendo
The Legend of Zelda: Twilight Princess	9.6	Nintendo	Nintendo
The Legend of Zelda Collector's Edition	9.5	Nintendo	Nintendo
Madden NFL 2004	9.4	EA Tiburon	EA Sports
SoulCalibur II	9.3	Namco	Namco
Viewtiful Joe	9.3	Clover Studio	Capcom
Eternal Darkness: Sanity's Requiem	9.2	Silicon Knights	Nintendo
Madden NFL 2003	9.2	EA Sports	EA Sports
Metroid Prime 2: Echoes	9.2	Retro Studios	Nintendo
NFL 2K3	9.2	Visual Concepts	Sega
Prince of Persia: The Sands of Time	9.2	Ubisoft	Ubisoft
SSX 3	9.2	EA Canada	EA Sports Big
Super Mario Sunshine	9.2	Nintendo	Nintendo
Super Smash Bros. Melee	9.2	HAL Labs	Nintendo
NCAA Football 2003	9.1	EA Sports	EA Sports
Resident Evil (Remake)	9.1	Capcom	Capcom
The Legend of Zelda: Ocarina of Time / Master Quest	9.1	Nintendo	Nintendo
Tony Hawk's Pro Skater 3	9.1	Neversoft Entertainment	Activision
Tony Hawk's Pro Skater 4	9.1	Neversoft Entertainment	Activision
Madden NFL 2005	9.0	EA Tiburon	EA Sports
NBA 2K2	9.0	Visual Concepts	Sega
Pikmin 2	9.0	Nintendo	Nintendo
Star Wars Rogue Leader: Rogue Squadron II	9.0	Factor 5	LucasArts
Tiger Woods PGA Tour 2003	9.0	EA Sports	EA Sports
Burnout 2: Point of Impact	8.9	Criterion Games	Acclaim
F-Zero GX	8.9	Amusement Vision	Nintendo
Madden NFL 2002	8.9	EA Sports	EA Sports
MVP Baseball 2004	8.9	EA Sports	EA Sports
NCAA Football 2004	8.9	EA Sports	EA Sports
NHL 2K3	8.9	Treyarch	Sega
Pikmin	8.9	Nintendo	Nintendo
Tiger Woods PGA Tour 2004	8.9	EA Sports	EA Sports
Tom Clancy's Splinter Cell	8.9	Ubisoft Montreal	Ubisoft
Tony Hawk's Underground	8.9	Neversoft Entertainment	Activision
Aggressive Inline	8.8	Z-Axis, Ltd.	Acclaim
MVP Baseball 2005	8.8	EA Sports	EA Sports
NBA Street	8.8	NuFX	EA Sports Big
NBA Street V3	8.8	EA Canada	EA Sports Big
NBA Street Vol. 2	8.8	Electronic Arts	EA Sports Big
NCAA Football 2005	8.8	EA Tiburon	EA Sports
Tiger Woods PGA Tour 2005	8.8	EA Sports	EA Sports
TimeSplitters 2	8.8	Free Radical Design	Eidos Interactive
Animal Crossing	8.7	Nintendo	Nintendo
Beyond Good & Evil	8.7	Ubisoft Montpellier	Ubisoft
Fight Night Round 2	8.7	EA Sports	EA Sports
Mario Kart: Double Dash!!	8.7	Nintendo	Nintendo
Paper Mario: The Thousand-Year Door (2004)	8.7	Intelligent Systems	Nintendo
Super Monkey Ball	8.7	Amusement Vision	Sega
Super Monkey Ball 2	8.7	Amusement Vision	Sega
FIFA Soccer 2003	8.6	EA Canada	EA Sports
Madden NFL 06	8.6	EA Tiburon	EA Sports
Tales of Symphonia	8.6	Namco	Namco
The Legend of Zelda: Four Swords Adventures	8.6	Nintendo	Nintendo
Viewtiful Joe 2	8.6	Clover Studio	Capcom
Fire Emblem: Path of Radiance	8.5	Intelligent Systems	Nintendo
Ikaruga	8.5	Treasure	Atari SA
Metal Gear Solid: The Twin Snakes	8.5	Silicon Knights	Konami
NASCAR: Dirt to Daytona	8.5	Monster Games Inc.	Infogrames
NASCAR Thunder 2003	8.5	EA Sports	EA Sports
NHL 2004	8.5	EA Black Box	EA Sports
Phantasy Star Online: Blue Burst	8.5	Sonic Team	Sega
The Sims	8.5	Maxis	Maxis
James Bond 007: Everything or Nothing	8.4	EA Redwood Shores	EA Games
Lego Star Wars II: The Original Trilogy	8.4	Traveller's Tales	LucasArts
NBA 2K3	8.4	Visual Concepts	Sega
NBA Live 2004	8.4	EA Sports	EA Sports
Prince of Persia: The Two Thrones	8.4	Ubisoft	Ubisoft
Sega Soccer Slam	8.4	EA Black Box	Sega
Skies of Arcadia	8.4	Overworks	Sega
The Incredible Hulk: Ultimate Destruction	8.4	Radical Entertainment	VU Games
The Lord of the Rings: The Return of the King	8.4	EA Games	EA Games
All-Star Baseball 2003	8.3	Acclaim Studios Austin	Acclaim
FIFA Soccer 2004	8.3	EA Canada	EA Sports
Freedom Fighters	8.3	Io Interactive	EA Games
Harvest Moon: Magical Melody	8.3	Marvelous Entertainment	Natsume
Hitman 2: Silent Assassin	8.3	Io Interactive	Eidos Interactive
Metal Arms: Glitch in the System	8.3	Swingin' Ape	VU Games
NBA Live 2005	8.3	EA Canada	EA Sports
Need for Speed: Underground	8.3	EA Black Box	Electronic Arts
Prince of Persia: Warrior Within	8.3	Ubisoft Montreal	Ubisoft
Resident Evil 0	8.3	Flagship	Capcom
XGIII: Extreme G Racing	8.3	Acclaim Studios Cheltenham	Acclaim
Gladius (2003)	8.2	LucasArts	LucasArts
Madden NFL 07	8.2	EA Tiburon	EA Sports
NBA Live 2003	8.2	EA Canada	Electronic Arts
NCAA College Basketball 2K3	8.2	Kush Games	Sega
NHL Hitz 20-03	8.2	EA Black Box	Midway
Star Fox Adventures	8.2	Rare Ltd.	Nintendo
The Lord of the Rings: The Two Towers	8.2	Stormfront Studios	EA Games
Tiger Woods PGA Tour 06	8.2	EA Sports	EA Sports
TimeSplitters: Future Perfect	8.2	Free Radical Design	EA Games
Tony Hawk's Underground 2 Remix	8.2	Neversoft Entertainment	Activision
X-Men Legends II: Rise of Apocalypse	8.2	Raven Software	Activision
Bomberman Generation	8.1	Hudson	Majesco
Def Jam Vendetta	8.1	Aki Corp.	EA Sports Big
FIFA 2002	8.1	EA Sports	EA Sports
Mario Golf: Toadstool Tour	8.1	Camelot Software Planning	Nintendo
Mega Man Anniversary Collection	8.1	Atomic Planet Entertainment	Capcom
Mortal Kombat: Deadly Alliance	8.1	Midway	Midway
NFL Street	8.1	EA Tiburon	EA Sports
NHL Hitz Pro	8.1	Next Level Games	Midway
Peter Jackson's King Kong: The Official Game of the Movie	8.1	Ubisoft Montpellier	Ubisoft
The Sims Bustin' Out	8.1	Maxis	EA Games
Tom Clancy's Splinter Cell: Chaos Theory	8.1	Ubisoft Montreal	Ubisoft
X-Men Legends	8.1	Raven Software	Activision
All-Star Baseball 2004	8.0	Acclaim Studios Austin	Acclaim
Baten Kaitos: Eternal Wings and the Lost Ocean	8.0	Monolith Soft	Namco
Donkey Kong Jungle Beat	8.0	Nintendo EAD Tokyo 	Nintendo
FIFA 06: Road to FIFA World Cup	8.0	EA Canada	EA Sports
FIFA 07 Soccer	8.0	EA Sports	EA Sports
Final Fantasy Crystal Chronicles	8.0	Square Enix	Nintendo
007: NightFire	8.0	Eurocom	Electronic Arts
Karaoke Revolution Party	8.0	Harmonix Music Systems	Konami
Kelly Slater's Pro Surfer	8.0	Treyarch	Activision
Mario Power Tennis	8.0	Camelot Software Planning	Nintendo
Medal of Honor: Frontline	8.0	EA LA	EA Games
MLB Slugfest 20-03	8.0	Midway	Midway
Need for Speed: Most Wanted (2005)	8.0	EA Canada	Electronic Arts
Spider-Man 2	8.0	Treyarch	Activision
