title,score,developer,publisher,rom_name,size
The Legend of Zelda: Ocarina of Time,9.9,Nintendo,Nintendo,"Legend of Zelda, The - Ocarina of Time (USA) (LodgeNet).v64",33554432
Perfect Dark (2000),9.7,4J Studios,Microsoft Game Studios,Perfect Dark (USA) (2000-03-22) (Debug).v64,33554432
GoldenEye 007,9.6,Rare Ltd.,Nintendo,"GoldenEye 007 (USA, Europe) (Switch Online).v64",12582912
The Legend of Zelda: Majora's Mask,9.5,Nintendo,Nintendo,"Legend of Zelda, The - Majora's Mask (USA) (LodgeNet).v64",33554432
Super Mario 64,9.4,Nintendo,Nintendo,Super Mario 64 (USA) (LodgeNet).v64,8388608
Paper Mario,9.3,Intelligent Systems,Nintendo,Paper Mario (USA) (LodgeNet).v64,67108864
Banjo-Kazooie,9.2,Rare Ltd.,Nintendo,Banjo-Tooie (USA).z64,33554432
Conker's Bad Fur Day,9.2,Rare Ltd.,Rare Ltd.,Conker's Bad Fur Day (USA) (Beta) (2000-10-25).v64,67108864
Wave Race 64,9.2,Nintendo,Nintendo,Stunt Racer 64 (USA).z64,12582912
International Superstar Soccer '98,9.1,KCEO,Konami,"International Superstar Soccer 2000 (USA) (En,Es) (Rev 1).v64",16777216
Mario Golf,9.1,Camelot Software Planning,Nintendo,Mario Golf (USA) (LodgeNet).v64,33554432
Mario Tennis,9.1,Camelot Software Planning,Nintendo,Mario Tennis (USA) (Wii Virtual Console).v64,16777216
Banjo-Tooie,9.0,4J Studios,Microsoft Game Studios,Banjo-Tooie (USA).z64,33554432
Beetle Adventure Racing,9.0,Paradigm Entertainment,EA Sports,Beetle Adventure Racing! (Japan).z64,16777216
Blast Corps,9.0,Rare Ltd.,Nintendo,Blast Corps (USA) (Rev 1).z64,8388608
Donkey Kong 64,9.0,Rare Ltd.,Nintendo,Donkey Kong 64 (USA) (LodgeNet).v64,33554432
Rayman 2: The Great Escape,9.0,Ubisoft Casablanca,Ubisoft,"Rayman 2 - The Great Escape (USA) (En,Fr,De,Es,It).z64",33554432
Madden NFL 2001,8.9,EA Sports,EA Sports,Madden NFL 2001 (USA).z64,12582912
Resident Evil 2 (1998),8.9,TOSE,Capcom,Resident Evil 2 (USA) (Rev 1).z64,67108864
WWF No Mercy,8.9,Aki Corp.,THQ,WWF No Mercy (USA) (Beta) (2000-09-11).v64,33554432
Diddy Kong Racing,8.8,Rare Ltd.,Rare Ltd.,"Diddy Kong Racing (USA) (En,Fr) (Rev 1).z64",12582912
Excitebike 64,8.8,Left Field Productions,Nintendo,Excitebike 64 (USA) (LodgeNet).v64,16777216
Star Fox 64,8.8,Nintendo,Nintendo,Star Fox 64 (USA) (LodgeNet).v64,12582912
San Francisco Rush 2049,8.6,Midway,Midway,"San Francisco Rush 2049 (Europe) (En,Fr,De,Es,It,Nl).z64",12582912
Turok 2: Seeds of Evil,8.6,Iguana Entertainment,Acclaim,Turok 2 - Seeds of Evil (USA) (Rev 1).z64,33554432
F-Zero X,8.5,Nintendo,Nintendo,F-Zero X (USA) (LodgeNet).v64,16777216
NFL Blitz 2000,8.5,Midway,Midway,NFL Blitz 2001 (USA).z64,16777216
Star Wars: Rogue Squadron 3D,8.5,Factor 5,LucasArts,Star Wars - Rogue Squadron (USA) (LodgeNet).v64,16777216
Turok: Dinosaur Hunter,8.5,Iguana Entertainment,Acclaim,Turok - Dinosaur Hunter (USA) (Rev 1).z64,8388608
Star Wars: Episode I Battle for Naboo,8.4,Factor 5,LucasArts,Star Wars Episode I - Battle for Naboo (USA) (Beta).v64,33554432
Tony Hawk's Pro Skater 2,8.4,Neversoft Entertainment,Activision,Tony Hawk's Pro Skater 2 (USA) (v012) (Beta) (2001-06-04).v64,33554432
Wipeout 64,8.4,Psygnosis,Midway,Wipeout 64 (Europe) (Beta).v64,16777216
Mario Kart 64,8.3,Nintendo,Nintendo,Mario Kart 64 (USA) (LodgeNet).v64,12582912
Space Station Silicon Valley,8.3,DMA Design,Take-Two Interactive,SpaceStation Silicon Valley (USA) (Rev 1).v64,8388608
Extreme-G,8.2,Probe Entertainment Limited,Acclaim,Extreme-G XG2 (USA).z64,12582912
Ogre Battle 64: Person of Lordly Caliber,8.2,Quest,Atlus,Ogre Battle 64 - Person of Lordly Caliber (Japan) (Rev 1) (Wii Virtual Console).v64,41943040
Ridge Racer 64,8.2,Nintendo Software Technology,Nintendo,Road Rash 64 (USA) (Beta 2).v64,33554432
007: The World is not Enough,8.1,Eurocom,Electronic Arts,007 - The World Is Not Enough (USA) (v21) (Beta).v64,33554432
Pokemon Puzzle League,8.1,Nintendo Software Technology,Nintendo,Pokemon Puzzle League (USA) (Wii Virtual Console).v64,33554432
Wetrix,8.1,Zed Two Limited,Ocean,Wetrix (Japan).z64,4194304
Jet Force Gemini,8.0,Rare Ltd.,Rare Ltd.,Jet Force Gemini (USA).z64,33554432
Pilotwings 64,8.0,Nintendo,Nintendo,Pilotwings 64 (USA) (LodgeNet).v64,8388608
StarCraft 64,8.0,Mass Media,Nintendo,StarCraft 64 (Germany) (Proto).z64,33554432
