title,score,developer,publisher,rom_name,size,running_total
Super Mario Galaxy,9.7,Nintendo,Nintendo,"Super Mario Galaxy (USA) (En,Fr,Es).iso",4.4 GiB,4.4 GiB
Super Mario Galaxy 2,9.7,Nintendo EAD Tokyo ,Nintendo,"Super Mario Galaxy 2 (USA) (En,Fr,Es).iso",4.4 GiB,8.8 GiB
The Legend of Zelda: Twilight Princess,9.5,Nintendo,Nintendo,"Legend of Zelda, The - Twilight Princess (USA) (En,Fr,Es) (Rev 2).iso",4.4 GiB,13.1 GiB
World of Goo,9.4,2D Boy,2D Boy,World of Goo (USA) (WiiWare).wad,43.9 MiB,13.2 GiB
Super Smash Bros. Brawl,9.3,Game Arts,Nintendo,Super Smash Bros. Brawl (USA) (Rev 2).iso,7.9 GiB,21.1 GiB
The Legend of Zelda: Skyward Sword,9.3,Nintendo,Nintendo,"Legend of Zelda, The - Skyward Sword (USA) (En,Fr,Es) (Rev 2).iso",4.4 GiB,25.5 GiB
Rayman Origins,9.2,UBlart Montpellier,Ubisoft,"Rayman Origins (USA) (En,Fr,Es).iso",4.4 GiB,29.9 GiB
Rock Band 2,9.2,Harmonix Music Systems,MTV Games,Rock Band 2 (USA).iso,4.4 GiB,34.2 GiB
Xenoblade Chronicles,9.2,Monster Games Inc.,Nintendo,"Xenoblade Chronicles (USA, Asia) (En,Fr,Es).iso",7.9 GiB,42.2 GiB
Metroid Prime Trilogy,9.1,Retro Studios,Nintendo,Metroid Prime Trilogy (USA).iso,7.9 GiB,50.1 GiB
Resident Evil 4 (2005),9.1,Capcom,Capcom,Resident Evil 4 - Wii Edition (USA).iso,4.4 GiB,54.5 GiB
Rock Band 3,9.1,Harmonix Music Systems,MTV Games,Rock Band 3 (USA).iso,4.4 GiB,58.8 GiB
Metroid Prime 3: Corruption,9.0,Retro Studios,Nintendo,Metroid Prime 3 - Corruption (USA).iso,4.4 GiB,63.2 GiB
Okami,9.0,Clover Studio,Capcom,Ookami (USA).iso,4.4 GiB,67.6 GiB
Cave Story,8.9,Nicalis,Nicalis,Cave Story (USA) (v258) (WiiWare).wad,28.0 MiB,67.6 GiB
Guitar Hero 5,8.9,Neversoft Entertainment,Activision,"Guitar Hero 5 (USA) (En,Fr).iso",4.4 GiB,72.0 GiB
The Beatles: Rock Band,8.9,Harmonix Music Systems,MTV Games,"Beatles, The - Rock Band (USA) (En,Fr,Es).iso",4.4 GiB,76.4 GiB
Art of Balance,8.8,Shin'en,Shin'en,Art of Balance (USA) (WiiWare).wad,35.0 MiB,76.4 GiB
DJ Hero 2,8.8,FreeStyleGames,Activision,"DJ Hero 2 (USA) (En,Fr).iso",4.4 GiB,80.8 GiB
Tiger Woods PGA Tour 10,8.8,EA Tiburon,Electronic Arts,Tiger Woods PGA Tour 10 (USA) (Rev 1).iso,4.4 GiB,85.2 GiB
DJ Hero,8.7,FreeStyleGames,Activision,"DJ Hero (USA) (En,Fr).iso",4.4 GiB,89.5 GiB
Donkey Kong Country Returns,8.7,Retro Studios,Nintendo,"Donkey Kong Country Returns (USA) (En,Fr,Es) (Rev 1).iso",4.4 GiB,93.9 GiB
La-Mulana,8.7,Pygmy Studio,Rising Star Games,La-Mulana (USA) (WiiWare).wad,42.9 MiB,94.0 GiB
Little King's Story,8.7,Cing,XSEED Games,"Little King's Story (USA) (En,Fr,Es).iso",4.4 GiB,98.3 GiB
New Super Mario Bros. Wii,8.7,Nintendo,Nintendo,"New Super Mario Bros. Wii (USA) (En,Fr,Es) (Rev 2).iso",4.4 GiB,102.7 GiB
Sin & Punishment: Star Successor,8.7,Treasure,Nintendo,Sin & Punishment - Star Successor (USA).iso,4.4 GiB,107.1 GiB
Zack & Wiki: Quest for Barbaros' Treasure,8.7,Capcom,Capcom,Zack & Wiki - Quest for Barbaros' Treasure (USA).iso,4.4 GiB,111.5 GiB
Bomberman Blast,8.6,Hudson,Hudson Soft,Bomberman Blast (USA) (WiiWare).wad,31.0 MiB,111.5 GiB
Boom Blox Bash Party,8.6,EA LA,Electronic Arts,"Boom Blox Bash Party (USA) (En,Fr,Es).iso",4.4 GiB,115.9 GiB
Fluidity,8.6,Curve Studios,Nintendo,Fluidity (USA) (WiiWare).wad,33.9 MiB,115.9 GiB
Guitar Hero III: Legends of Rock,8.6,Neversoft Entertainment,RedOctane,Guitar Hero III - Legends of Rock (USA) (Rev 1).iso,4.4 GiB,120.3 GiB
Guitar Hero World Tour (2008),8.6,Neversoft Entertainment,Activision,"Guitar Hero World Tour (USA) (En,Fr).iso",4.4 GiB,124.7 GiB
JumpStart Pet Rescue,8.6,Knowledge Adventure Inc.,Knowledge Adventure Inc.,JumpStart Pet Rescue (USA).iso,4.4 GiB,129.0 GiB
Kirby's Epic Yarn,8.6,Good-Feel,Nintendo,"Kirby's Epic Yarn (USA) (En,Fr,Es).iso",4.4 GiB,133.4 GiB
LostWinds: Winter of the Melodias,8.6,Frontier Developments,Frontier Developments,LostWinds - Winter of the Melodias (USA) (WiiWare).wad,43.4 MiB,133.5 GiB
Punch-Out!!,8.6,Next Level Games,Nintendo,"Punch-Out!! (USA) (En,Fr,Es) (Rev 1).iso",4.4 GiB,137.8 GiB
