title,score,developer,publisher
The Legend of Zelda: Ocarina of Time,9.9,Nintendo,Nintendo
Perfect Dark (2000),9.7,4J Studios,Microsoft Game Studios
GoldenEye 007,9.6,Rare Ltd.,Nintendo
The Legend of Zelda: Majora's Mask,9.5,Nintendo,Nintendo
Super Mario 64,9.4,Nintendo,Nintendo
Paper Mario,9.3,Intelligent Systems,Nintendo
Banjo-Kazooie,9.2,Rare Ltd.,Nintendo
Conker's Bad Fur Day,9.2,Rare Ltd.,Rare Ltd.
Wave Race 64,9.2,Nintendo,Nintendo
International Superstar Soccer '98,9.1,KCEO,Konami
Mario Golf,9.1,Camelot Software Planning,Nintendo
Mario Tennis,9.1,Camelot Software Planning,Nintendo
Banjo-Tooie,9.0,4J Studios,Microsoft Game Studios
Beetle Adventure Racing,9.0,Paradigm Entertainment,EA Sports
Blast Corps,9.0,Rare Ltd.,Nintendo
Donkey Kong 64,9.0,Rare Ltd.,Nintendo
Rayman 2: The Great Escape,9.0,Ubisoft Casablanca,Ubisoft
Madden NFL 2001,8.9,EA Sports,EA Sports
Resident Evil 2 (1998),8.9,TOSE,Capcom
WWF No Mercy,8.9,Aki Corp.,THQ
Diddy Kong Racing,8.8,Rare Ltd.,Rare Ltd.
Excitebike 64,8.8,Left Field Productions,Nintendo
Star Fox 64,8.8,Nintendo,Nintendo
San Francisco Rush 2049,8.6,Midway,Midway
Turok 2: Seeds of Evil,8.6,Iguana Entertainment,Acclaim
F-Zero X,8.5,Nintendo,Nintendo
NFL Blitz 2000,8.5,Midway,Midway
Star Wars: Rogue Squadron 3D,8.5,Factor 5,LucasArts
Turok: Dinosaur Hunter,8.5,Iguana Entertainment,Acclaim
Star Wars: Episode I Battle for Naboo,8.4,Factor 5,LucasArts
Tony Hawk's Pro Skater 2,8.4,Neversoft Entertainment,Activision
Wipeout 64,8.4,Psygnosis,Midway
Mario Kart 64,8.3,Nintendo,Nintendo
Space Station Silicon Valley,8.3,DMA Design,Take-Two Interactive
Extreme-G,8.2,Probe Entertainment Limited,Acclaim
Ogre Battle 64: Person of Lordly Caliber,8.2,Quest,Atlus
Ridge Racer 64,8.2,Nintendo Software Technology,Nintendo
007: The World is not Enough,8.1,Eurocom,Electronic Arts
Pokemon Puzzle League,8.1,Nintendo Software Technology,Nintendo
Wetrix,8.1,Zed Two Limited,Ocean
Jet Force Gemini,8.0,Rare Ltd.,Rare Ltd.
Pilotwings 64,8.0,Nintendo,Nintendo
StarCraft 64,8.0,Mass Media,Nintendo
Mario Party,7.9,Hudson,Nintendo
Super Smash Bros.,7.9,HAL Labs,Nintendo
Castlevania (1998),7.8,KCEK,Konami
Harvest Moon 64,7.8,Victor Interactive Software,Natsume
Madden NFL 2002,7.8,EA Sports,EA Sports
Pokemon Stadium 2,7.8,HAL Labs,Nintendo
Army Men: Air Attack,7.7,3DO,3DO
Kirby 64: The Crystal Shards,7.7,HAL Labs,Nintendo
Pokemon Snap,7.7,HAL Labs,Nintendo
Turok 3: Shadow of Oblivion (2000),7.7,Acclaim Studios Austin,Acclaim
Forsaken (1998),7.5,Iguana Entertainment,Acclaim
Indiana Jones and the Infernal Machine,7.5,Factor 5,LucasArts
World Driver Championship,7.5,Boss Game Studios,Midway
Mario Party 3,7.4,Hudson,Nintendo
Quake,7.4,id Software,id Software
Body Harvest,7.3,DMA Design,Midway
Duke Nukem 3D,7.3,3D Realms,3D Realms
Ms. Pac-Man Maze Madness,7.3,Mass Media,Namco
NFL Blitz 2001,7.2,Avalanche Software,Midway
Robotron X,7.2,Player 1,Crave
Spider-Man (2000),7.2,Neversoft Entertainment,Activision
Dr. Mario 64,7.1,Newcom,Nintendo
Mickey's Speedway USA,7.1,Rare Ltd.,Nintendo
1080: TenEighty Snowboarding,7.0,Nintendo,Nintendo
Looney Tunes Duck Dodgers Starring Daffy Duck,6.9,Paradigm Entertainment,Infogrames
Mystical Ninja starring Goemon,6.7,KCEO,Konami
Disney's Donald Duck: Goin' Quackers,6.5,Disney Interactive Studios,Ubisoft
Yoshi's Story,6.5,Nintendo,Nintendo
Ready 2 Rumble Boxing: Round 2,6.4,Midway,Midway
Rugrats in Paris: The Movie,6.4,Avalanche Software,THQ
Mission: Impossible (1998),6.1,Infogrames,Ocean
Mega Man Legends,5.9,Capcom,Capcom
Midway's Greatest Arcade Hits Volume 1,5.9,Digital Eclipse,Midway
Disney/Pixar Toy Story 2: Buzz Lightyear to the Rescue!,5.8,Traveller's Tales,Activision
PGA European Tour,5.8,Infogrames Sheffield,Infogrames
"Hey You, Pikachu!",5.7,Ambrella,Nintendo
NFL QB Club 2001,5.7,High Voltage Software,Acclaim
Hercules: The Legendary Journeys,5.5,Player 1,Titus Software
Fighter Destiny 2,5.4,Opus,SouthPeak Games
Aidyn Chronicles: The First Mage,5.3,H2O Interactive,THQ
Scooby-Doo! Classic Creep Capers,5.3,Terraglyph Interactive Studios,THQ
WCW Backstage Assault,4.8,Kodiak Interactive,Electronic Arts
Army Men: Sarge's Heroes 2,4.6,3DO,3DO
Cruis'n  Exotica,4.3,Gratuitous Games,Midway
Rally Challenge 2000,4.1,Genki,SouthPeak Games
Blues Brothers 2000,3.2,Player 1,Titus Software
Saban's Power Rangers: Lightspeed Rescue,2.5,Mass Media,THQ
Batman Beyond: Return of the Joker,2.4,Kemco,Ubisoft
