title,score,developer,publisher,rom_name,size
SoulCalibur,9.8,Namco,Namco,Soulcalibur (USA) (Track 3).bin,1185760800
NFL 2K1,9.7,Visual Concepts,Sega,NFL 2K1 (USA) (Track 5).bin,1157736720
Tony Hawk's Pro Skater 2,9.7,Neversoft Entertainment,Activision,Tony Hawk's Pro Skater 2 (USA) (Track 5).bin,968316048
Jet Set Radio (2000),9.4,Blit,Sega,Jet Set Radio (Japan) (Track 3).bin,1185760800
Resident Evil Code: Veronica,9.4,NexTech,Capcom,Resident Evil - Code - Veronica (USA) (Disc 2) (Track 3).bin,1185760800
NBA 2K1,9.3,Visual Concepts,Sega,NBA 2K2 (USA) (Track 5).bin,883253616
NBA 2K2,9.3,Visual Concepts,Sega,NBA 2K2 (USA) (Track 5).bin,883253616
Quake III Arena,9.3,Raster,Sega,Quake III - Arena (USA) (Track 03).bin,460194672
Skies of Arcadia,9.3,Overworks,Sega,Skies of Arcadia (USA) (Disc 2) (Track 3).bin,1185760800
Test Drive Le Mans,9.3,Melbourne House,Infogrames,"Test Drive Le Mans (USA) (En,Fr,Es) (Track 3).bin",888820800
Virtua Tennis,9.2,Hitmaker,Sega,Virtua Tennis (USA) (Track 3).bin,1185760800
Grandia II,9.0,Game Arts,Ubisoft,Grandia II (USA) (Track 5).bin,1173067056
Marvel vs. Capcom 2,9.0,Backbone Entertainment,Capcom,Marvel vs. Capcom 2 (USA) (Track 3).bin,1185760800
NFL 2K2,9.0,Visual Concepts,Sega,NHL 2K2 (USA) (Track 5).bin,892280592
Unreal Tournament (1999),9.0,Epic Games,Infogrames,"Unreal Tournament (USA) (En,Fr,De,Es,It) (Track 23).bin",317983344
Virtua Tennis 2,9.0,Hitmaker,Sega,Virtua Tennis (USA) (Track 3).bin,1185760800
Phantasy Star Online,8.9,Sonic Team,Sega,"Phantasy Star Online Ver. 2 (USA) (En,Ja,Fr,De,Es) (Track 3).bin",1185760800
Samba de Amigo,8.9,Gearbox Software,Sega,Samba de Amigo (USA) (Track 3).bin,1185760800
Sonic Adventure 2,8.9,Sonic Team,Sega,"Sonic Adventure 2 (USA) (En,Ja,Fr,De,Es) (Track 3).bin",1185760800
Shenmue,8.8,Sega AM2,Sega,Shenmue (USA) (Disc 3) (Track 6).bin,844097520
Ultimate Fighting Championship,8.8,Anchor (Legacy),Crave,Ultimate Fighting Championship (USA) (Track 5).bin,1178610720
Bangai-O,8.7,Treasure,Conspiracy Entertainment,Bangai-O (USA) (Track 03).bin,458783472
Metropolis Street Racer,8.7,Bizarre Creations,Sega,MSR - Metropolis Street Racer (USA) (Rev A) (Track 3).bin,1185760800
Power Stone 2,8.7,Capcom,Capcom,Power Stone 2 (USA) (Track 3).bin,1185760800
Daytona USA,8.6,Amusement Vision,Sega,Daytona USA (USA) (Track 3).bin,1185760800
Garou: Mark of the Wolves,8.6,SNK Playmore,SNK Playmore,Garou - Mark of the Wolves (Japan) (Track 3).bin,628005168
Test Drive V-Rally,8.6,Eden Studios,Infogrames,"Test Drive V-Rally (USA) (En,Fr,De) (Track 10).bin",736347696
F355 Challenge: Passione Rossa,8.5,Sega,Acclaim,F355 Challenge - Passione Rossa (USA) (Track 3).bin,1185760800
Ecco the Dolphin: Defender of the Future,8.4,Appaloosa Interactive,Sega,"Ecco the Dolphin - Defender of the Future (USA) (En,Fr,De,Es) (Track 5).bin",1080043104
San Francisco Rush 2049,8.4,Midway,Midway,"San Francisco Rush 2049 (USA) (En,Fr,De,Es,It,Nl) (Track 5).bin",1154338080
Sega GT,8.4,TOSE,Sega,Sega GT (USA) (Track 15).bin,309487920
Street Fighter III: 3rd Strike - Fight for the Future,8.4,Iron Galaxy Studios,Capcom,Street Fighter III - 3rd Strike - Fight for the Future (Japan) (Track 3).bin,1185760800
Street Fighter III: Double Impact,8.4,Capcom,Capcom,Street Fighter III - Double Impact (USA) (Track 3).bin,1185760800
Looney Tunes: Space Race,8.3,Melbourne House,Infogrames,"Looney Tunes - Space Race (USA) (En,Fr,Es) (Track 03).bin",497709072
The Typing of the Dead,8.3,Smilebit,Sega,"Typing of the Dead, The (USA) (Track 5).bin",1180440576
Crazy Taxi 2,8.2,Hitmaker,Sega,Crazy Taxi 2 (USA) (Track 3).bin,1185760800
Seaman,8.2,Vivarium,Sega,Seaman (USA) (Track 3).bin,1185760800
Ooga Booga,8.1,Visual Concepts,Sega,Ooga Booga (USA) (Track 3).bin,1076884368
