Grand Theft Auto III	9.7	DMA Design	Rockstar Games
Tony Hawk's Pro Skater 3	9.7	Neversoft Entertainment	Activision
Metal Gear Solid 2: Sons of Liberty	9.6	KCEJ	Konami
Resident Evil 4 (2005)	9.6	Capcom	Capcom
Gran Turismo 3: A-Spec	9.5	Polyphony Digital	SCEA
Grand Theft Auto: San Andreas	9.5	Rockstar North	Rockstar Games
Grand Theft Auto: Vice City	9.5	Rockstar North	Rockstar Games
Madden NFL 2003	9.5	EA Sports	EA Sports
Devil May Cry	9.4	Capcom	Capcom
God of War (2005)	9.4	SCE Santa Monica	SCEA
Madden NFL 2002	9.4	EA Sports	EA Sports
Madden NFL 2004	9.4	EA Tiburon	EA Sports
Metal Gear Solid 3: Subsistence	9.4	Kojima Productions	Konami
NCAA Football 2004	9.4	EA Sports	EA Sports
Tony Hawk's Pro Skater 4	9.4	Neversoft Entertainment	Activision
Virtua Fighter 4	9.4	Sega AM2	Sega
Burnout 3: Takedown	9.3	Criterion Games	EA Games
God of War II	9.3	SCE Santa Monica	SCEA
NFL 2K3	9.3	Visual Concepts	Sega
Okami	9.3	Clover Studio	Capcom
Pro Evolution Soccer 2	9.3	KCET	Konami
SSX (2000)	9.3	EA Sports Big	EA Sports Big
SSX 3	9.3	EA Canada	EA Sports Big
Virtua Fighter 4: Evolution	9.3	Sega	Sega
World Soccer Winning Eleven 7 International	9.3	KCET	Konami
Final Fantasy X	9.2	SquareSoft	Square EA
Final Fantasy XII	9.2	Square Enix	Square Enix
Guitar Hero II	9.2	Harmonix Music Systems	RedOctane
NHL 2002	9.2	EA Sports	Electronic Arts
Prince of Persia: The Sands of Time	9.2	Ubisoft	Ubisoft
SoulCalibur II	9.2	Namco	Namco
DOA2: Hardcore	9.1	Team Ninja	Tecmo
ESPN NFL Football	9.1	Visual Concepts	Sega
Guitar Hero	9.1	Harmonix Music Systems	RedOctane
Klonoa 2: Lunatea's Veil	9.1	Namco	Namco
Madden NFL 2001	9.1	EA Sports	EA Sports
Madden NFL 2005	9.1	EA Tiburon	EA Sports
Metal Gear Solid 3: Snake Eater	9.1	KCEJ	Konami
NCAA Football 2003	9.1	EA Sports	EA Sports
Ratchet & Clank: Up Your Arsenal	9.1	Insomniac Games	SCEA
Shadow of the Colossus	9.1	Bluepoint Games	Sony Interactive Entertainment
Twisted Metal: Black	9.1	Incognito Inc.	SCEA
World Soccer Winning Eleven 8 International	9.1	KCET	Konami
Burnout Revenge	9.0	Criterion Games	Electronic Arts
ESPN NFL 2K5	9.0	Visual Concepts	Sega
ESPN NHL Hockey	9.0	Kush Games	Sega
ICO	9.0	SCE Japan Studio	SCEA
Jak and Daxter: The Precursor Legacy	9.0	Naughty Dog	SCEA
MVP Baseball 2004	9.0	EA Sports	EA Sports
NBA Street Vol. 2	9.0	Electronic Arts	EA Sports Big
NCAA Football 2002	9.0	EA Sports	EA Sports
Ratchet & Clank: Going Commando	9.0	Insomniac Games	SCEA
Rayman 2: The Great Escape	9.0	Ubisoft Casablanca	Ubisoft
Shin Megami Tensei: Persona 4	9.0	Atlus	Atlus
TimeSplitters 2	9.0	Free Radical Design	Eidos Interactive
Tony Hawk's Underground	9.0	Neversoft Entertainment	Activision
Viewtiful Joe	9.0	Clover Studio	Capcom
Ace Combat 04: Shattered Skies	8.9	Project Aces 	Namco
Dragon Quest VIII: Journey of the Cursed King	8.9	Level 5	Square Enix
ESPN NBA Basketball	8.9	Visual Concepts	Sega
NBA 2K2	8.9	Visual Concepts	Sega
NBA 2K3	8.9	Visual Concepts	Sega
NBA Street	8.9	NuFX	EA Sports Big
NBA Street V3	8.9	EA Canada	EA Sports Big
Need for Speed: Hot Pursuit 2	8.9	EA Black Box	Electronic Arts
NHL 2K3	8.9	Treyarch	Sega
Shin Megami Tensei: Persona 3 FES	8.9	Atlus	Atlus
Silent Hill 2 (2001)	8.9	KCET	Konami
Tiger Woods PGA Tour 2004	8.9	EA Sports	EA Sports
Tom Clancy's Splinter Cell	8.9	Ubisoft Montreal	Ubisoft
FIFA Soccer 2003	8.8	EA Canada	EA Sports
Fight Night Round 2	8.8	EA Sports	EA Sports
Madden NFL 06	8.8	EA Tiburon	EA Sports
Medal of Honor: Frontline	8.8	EA LA	EA Games
NASCAR Thunder 2004	8.8	EA Tiburon	Electronic Arts
NCAA Football 2005	8.8	EA Tiburon	EA Sports
Ratchet & Clank	8.8	Insomniac Games	SCEA
Red Faction	8.8	Volition Inc.	THQ
Sly 2: Band of Thieves	8.8	Sucker Punch	SCEA
Tekken 5	8.8	Namco	Namco
Tiger Woods PGA Tour 2003	8.8	EA Sports	EA Sports
Tiger Woods PGA Tour 2005	8.8	EA Sports	EA Sports
Baldur's Gate: Dark Alliance	8.7	Snowblind Studios	Interplay
Bully	8.7	Rockstar Vancouver	Rockstar Games
Dark Cloud 2	8.7	Level 5	SCEA
Devil May Cry 3: Special Edition	8.7	Capcom	Capcom
DJ Hero	8.7	FreeStyleGames	Activision
Final Fantasy XI: Treasures of Aht Urhgan	8.7	Square Enix	Square Enix
Guilty Gear X2	8.7	Arc System Works	Sammy Studios
Half-Life	8.7	Valve Software	Sierra Entertainment
Jak II	8.7	Naughty Dog	SCEA
Kingdom Hearts II	8.7	Square Enix	Square Enix
Metal Gear Solid 2: Substance	8.7	KCEJ	Konami
MVP Baseball 2005	8.7	EA Sports	EA Sports
NASCAR SimRacing	8.7	EA Tiburon	EA Games
NCAA Football 06	8.7	EA Sports	EA Sports
NCAA Football 07	8.7	EA Sports	EA Sports
SOCOM II: U.S. Navy SEALs	8.7	Zipper Interactive	SCEA
Tom Clancy's Splinter Cell: Chaos Theory	8.7	Ubisoft Montreal	Ubisoft
Tom Clancy's Splinter Cell: Pandora Tomorrow	8.7	Ubisoft Shanghai	Ubisoft
World Series Baseball 2K3	8.7	Blue Shift	Sega
Amplitude (2003)	8.6	Harmonix Music Systems	SCEA
Beyond Good & Evil	8.6	Ubisoft Montpellier	Ubisoft
Burnout 2: Point of Impact	8.6	Criterion Games	Acclaim
Colin McRae Rally 3	8.6	Codemasters	Codemasters
ESPN College Hoops 2K5	8.6	Visual Concepts	Sega
ESPN NHL 2K5	8.6	Kush Games	Sega
Katamari Damacy	8.6	Now Production	Namco
NBA Live 2004	8.6	EA Sports	EA Sports
Onimusha: Warlords	8.6	NeoBards Entertainment	Capcom
Psychonauts	8.6	Double Fine Productions	Majesco
Shin Megami Tensei: Persona 3	8.6	Atlus	Atlus
Sly Cooper and the Thievius Raccoonus	8.6	Sucker Punch	SCEA
SoulCalibur III	8.6	Namco	Namco
Suikoden III	8.6	KCET	Konami
We Love Katamari	8.6	Now Production	Namco
Winning Eleven: Pro Evolution Soccer 2007	8.6	KCET	Konami
Aggressive Inline	8.5	Z-Axis, Ltd.	Acclaim
Champions of Norrath	8.5	Snowblind Studios	Sony Online Entertainment
DDRMAX: Dance Dance Revolution	8.5	KCET	Konami
Fight Night 2004	8.5	EA Sports	EA Sports
Final Fantasy X-2	8.5	SquareSoft	Square Enix
Final Fantasy XI	8.5	SquareSoft	SCEA
Hitman 2: Silent Assassin	8.5	Io Interactive	Eidos Interactive
Hot Shots Golf 3	8.5	Clap Hanz	SCEA
Kingdom Hearts	8.5	SquareSoft	SquareSoft
Midnight Club 3: DUB Edition Remix	8.5	Rockstar San Diego	Rockstar Games
Midnight Club II	8.5	Rockstar San Diego	Rockstar Games
NASCAR Thunder 2002	8.5	EA Sports	Electronic Arts
Need for Speed: Underground	8.5	EA Black Box	Electronic Arts
NFL 2K2	8.5	Visual Concepts	Sega
NHL 2001	8.5	EA Sports	EA Sports
NHL 2004	8.5	EA Black Box	EA Sports
Onimusha 3: Demon Siege	8.5	Capcom	Capcom
Prince of Persia: The Two Thrones	8.5	Ubisoft	Ubisoft
Rumble Racing	8.5	Electronic Arts	Electronic Arts
Shadow Hearts: Covenant	8.5	Nautilus	Midway
Silent Hill 3	8.5	KCET	Konami
Tekken Tag Tournament	8.5	Namco	Namco
The Lord of the Rings: The Return of the King	8.5	EA Games	EA Games
Viewtiful Joe 2	8.5	Clover Studio	Capcom
WWE SmackDown! Here Comes the Pain	8.5	Yuke's	THQ
Ace Combat 5: The Unsung War	8.4	Project Aces 	Namco
Devil May Cry 3: Dante's Awakening	8.4	Capcom	Capcom
Disgaea 2: Dark Hero Days	8.4	Nippon Ichi Software	NIS America
Disgaea: Afternoon of Darkness	8.4	Nippon Ichi Software	Atlus
Escape from Monkey Island	8.4	LucasArts	LucasArts
FIFA Soccer 2004	8.4	EA Canada	EA Sports
Fight Night Round 3	8.4	EA Chicago	EA Sports
High Heat Major League Baseball 2003	8.4	3DO	3DO
Jak 3	8.4	Naughty Dog	SCEA
James Bond 007: Everything or Nothing	8.4	EA Redwood Shores	EA Games
Lego Star Wars II: The Original Trilogy	8.4	Traveller's Tales	LucasArts
Madden NFL 07	8.4	EA Tiburon	EA Sports
Maximo: Ghosts to Glory	8.4	Capcom	Capcom
Mercenaries: Playground of Destruction	8.4	Pandemic Studios	LucasArts
Midnight Club 3: DUB Edition	8.4	Rockstar San Diego	Rockstar Games
MLB 08: The Show	8.4	SCEA San Diego Studios	SCEA
NASCAR: Dirt to Daytona	8.4	Monster Games Inc.	Infogrames
