title,score,developer,publisher,rom_name,size,running_total
God of War: Chains of Olympus,9.1,Ready at Dawn,SCEA,God of War - Chains of Olympus (USA) (v0.01) (Beta).iso,1.5 GiB,1.5 GiB
Grand Theft Auto: Chinatown Wars,9.0,Rockstar Leeds,Rockstar Games,Grand Theft Auto - Chinatown Wars (USA) (v1.01).iso,862.4 MiB,2.3 GiB
Lumines,8.9,Q Entertainment,Ubisoft,Lumines (USA) (v1.01).iso,200.2 MiB,2.5 GiB
Metal Gear Solid: Peace Walker,8.9,Kojima Productions,Konami,"Metal Gear Solid - Peace Walker (USA) (En,Fr,Es) (v1.01).iso",1.5 GiB,4.1 GiB
Shin Megami Tensei: Persona 3 Portable,8.9,Atlus,Atlus,Shin Megami Tensei - Persona 3 Portable (USA) (Trade Demo).iso,1.2 GiB,5.3 GiB
Final Fantasy Tactics,8.8,TOSE,Square Enix,"Final Fantasy (Japan, Asia) (En,Ja).iso",188.9 MiB,5.5 GiB
Final Fantasy VII: Advent Children,8.8,Square Enix,Square Enix,"Final Fantasy II (Japan, Asia) (En,Ja).iso",274.0 MiB,5.7 GiB
Grand Theft Auto: Liberty City Stories,8.8,Rockstar Leeds,Rockstar Games,"Grand Theft Auto - Liberty City Stories (USA) (En,Fr,De,Es,It) (v3.00).iso",1.2 GiB,6.9 GiB
OMG Zombies,8.8,Laughing Jackal,Laughing Jackal,I Kill Zombies (USA) (minis) (PSN).iso,156.2 MiB,7.1 GiB
Ridge Racer,8.8,Namco,Namco,Ridge Racer (USA).iso,864.4 MiB,7.9 GiB
Tekken 5: Dark Resurrection,8.8,Namco Bandai Games,Namco Bandai Games,"Tekken - Dark Resurrection (USA) (En,Fr,De,Es,It).iso",1.6 GiB,9.5 GiB
Wipeout Pure,8.8,Studio Liverpool,SCEA,"WipEout Pure (USA) (En,Fr,Es) (v2.00).iso",241.2 MiB,9.8 GiB
Disgaea: Afternoon of Darkness,8.7,Nippon Ichi Software,Atlus,Disgaea - Afternoon of Darkness (USA).iso,924.9 MiB,10.7 GiB
Jeanne d'Arc,8.7,Level 5,SCEA,Jeanne d'Arc (USA).iso,1.2 GiB,11.8 GiB
LittleBigPlanet,8.7,Media Molecule,SCEA,"LittleBigPlanet (USA) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl).iso",1.4 GiB,13.2 GiB
Metal Gear Solid: Portable Ops,8.7,Kojima Productions,Konami,Metal Gear Solid - Portable Ops (USA) (v1.02).iso,1.3 GiB,14.5 GiB
Tactics Ogre: Let Us Cling Together,8.7,Square Enix,Square Enix,Tactics Ogre - Let Us Cling Together (USA).iso,1.5 GiB,16.1 GiB
Velocity,8.7,FuturLab,FuturLab,Velocity (USA) (minis) (PSN).iso,202.2 MiB,16.2 GiB
Burnout Legends,8.6,Criterion Games,EA Games,"Burnout Legends (USA) (En,Fr,De,Es,It,Nl) (v2.00).iso",482.5 MiB,16.7 GiB
God of War: Ghost of Sparta,8.6,Ready at Dawn,SCEA,"God of War - Ghost of Sparta (USA) (En,Fr,Es) (v2.00).iso",1.6 GiB,18.3 GiB
Grand Theft Auto: Vice City Stories,8.6,Rockstar Leeds,Rockstar Games,Grand Theft Auto - Vice City Stories (USA).iso,1.6 GiB,19.9 GiB
Patapon,8.6,SCE Japan Studio,SCEA,Patapon (USA).iso,325.2 MiB,20.2 GiB
PixelJunk Monsters Deluxe,8.6,Q-Games,SCEA,PixelJunk Monsters Deluxe (USA).iso,210.4 MiB,20.4 GiB
Daxter,8.5,Ready at Dawn,SCEA,Daxter (USA).iso,1.3 GiB,21.8 GiB
LocoRoco 2,8.5,SCE Japan Studio,SCEA,LocoRoco 2 (USA).iso,1.7 GiB,23.4 GiB
Ratchet & Clank: Size Matters,8.5,High Impact Games,SCEA,Ratchet & Clank - Size Matters (USA) (v1.01) (Beta).iso,100.6 MiB,23.5 GiB
Syphon Filter: Logan's Shadow,8.5,Sony Bend,SCEA,Syphon Filter - Logan's Shadow (USA).iso,1.2 GiB,24.7 GiB
Tetris (2010),8.5,EA Mobile,EA Mobile,Tetris (USA) (minis) (PSN).iso,162.2 MiB,24.9 GiB
Blast Off,8.4,Halfbrick Studios,Halfbrick Studios,Blast Off (USA) (v2) (minis) (PSN).iso,134.6 MiB,25.0 GiB
Half-Minute Hero,8.4,Opus,XSEED Games,Half-Minute Hero (USA).iso,211.8 MiB,25.2 GiB
Puzzle Quest: Challenge of the Warlords,8.4,1st Playable Productions,D3Publisher,Puzzle Quest - Challenge of the Warlords (USA) (Trade Demo).iso,86.2 MiB,25.3 GiB
Space Invaders Extreme,8.4,Taito Corporation,Square Enix,"Space Invaders Extreme (USA) (En,Fr,De,Es,It).iso",146.7 MiB,25.5 GiB
Virtua Tennis: World Tour,8.4,Sumo Digital,Sega,Virtua Tennis - World Tour (USA) (v1.02).iso,409.8 MiB,25.9 GiB
X-Men Legends II: Rise of Apocalypse,8.4,Raven Software,Activision,X-Men Legends II - Rise of Apocalypse (USA) (v1.01).iso,1.2 GiB,27.1 GiB
Crisis Core: Final Fantasy VII,8.3,Square Enix,Square Enix,Crisis Core - Final Fantasy VII (USA).iso,1.6 GiB,28.7 GiB
Crush (2007),8.3,Zoe Mode,Sega,"Crush (USA) (En,Fr,Es).iso",583.8 MiB,29.3 GiB
Disgaea 2: Dark Hero Days,8.3,Nippon Ichi Software,NIS America,Disgaea 2 - Dark Hero Days (USA) (v1.02).iso,757.1 MiB,30.0 GiB
FIFA Soccer 10,8.3,EA Sports,Electronic Arts,"FIFA Soccer 10 (USA) (En,Es).iso",1.6 GiB,31.6 GiB
Lego Star Wars II: The Original Trilogy,8.3,Traveller's Tales,LucasArts,LEGO Star Wars II - The Original Trilogy (USA).iso,1.1 GiB,32.8 GiB
LocoRoco Hi,8.3,SCE Japan Studio,SCEA,LocoRoco 2 (USA).iso,1.7 GiB,34.5 GiB
MLB 06: The Show,8.3,SCEA San Diego Studios,SCEA,MLB 06 - The Show (USA) (v1.01).iso,1.4 GiB,35.8 GiB
MLB 08: The Show,8.3,SCEA San Diego Studios,SCEA,MLB 08 - The Show (USA).iso,1.4 GiB,37.2 GiB
Tony Hawk's Underground 2 Remix,8.3,Neversoft Entertainment,Activision,Tony Hawk's Underground 2 Remix (USA) (v1.01).iso,1.1 GiB,38.3 GiB
Valkyria Chronicles II,8.3,Sega,Sega,Valkyria Chronicles II (USA).iso,1.0 GiB,39.3 GiB
BlazBlue: Calamity Trigger,8.2,Arc System Works,Aksys Games,"BlazBlue - Calamity Trigger Portable (USA) (En,Ja,Zh,Ko).iso",1.6 GiB,40.9 GiB
Hot Shots Golf: Open Tee 2,8.2,Clap Hanz,SCEA,Hot Shots Golf - Open Tee 2 (USA) (v0.01) (Beta).iso,897.8 MiB,41.8 GiB
