God of War: Chains of Olympus	9.1	Ready at Dawn	SCEA
Grand Theft Auto: Chinatown Wars	9.0	Rockstar Leeds	Rockstar Games
Lumines	8.9	Q Entertainment	Ubisoft
Metal Gear Solid: Peace Walker	8.9	Kojima Productions	Konami
Shin Megami Tensei: Persona 3 Portable	8.9	Atlus	Atlus
Final Fantasy Tactics	8.8	TOSE	Square Enix
Final Fantasy VII: Advent Children	8.8	Square Enix	Square Enix
Grand Theft Auto: Liberty City Stories	8.8	Rockstar Leeds	Rockstar Games
OMG Zombies	8.8	Laughing Jackal	Laughing Jackal
Ridge Racer	8.8	Namco	Namco
Tekken 5: Dark Resurrection	8.8	Namco Bandai Games	Namco Bandai Games
Wipeout Pure	8.8	Studio Liverpool	SCEA
Disgaea: Afternoon of Darkness	8.7	Nippon Ichi Software	Atlus
Jeanne d'Arc	8.7	Level 5	SCEA
LittleBigPlanet	8.7	Media Molecule	SCEA
Metal Gear Solid: Portable Ops	8.7	Kojima Productions	Konami
Tactics Ogre: Let Us Cling Together	8.7	Square Enix	Square Enix
Velocity	8.7	FuturLab	FuturLab
Burnout Legends	8.6	Criterion Games	EA Games
God of War: Ghost of Sparta	8.6	Ready at Dawn	SCEA
Grand Theft Auto: Vice City Stories	8.6	Rockstar Leeds	Rockstar Games
Patapon	8.6	SCE Japan Studio	SCEA
PixelJunk Monsters Deluxe	8.6	Q-Games	SCEA
Daxter	8.5	Ready at Dawn	SCEA
LocoRoco 2	8.5	SCE Japan Studio	SCEA
Ratchet & Clank: Size Matters	8.5	High Impact Games	SCEA
Syphon Filter: Logan's Shadow	8.5	Sony Bend	SCEA
Tetris (2010)	8.5	EA Mobile	EA Mobile
Blast Off	8.4	Halfbrick Studios	Halfbrick Studios
Half-Minute Hero	8.4	Opus	XSEED Games
Puzzle Quest: Challenge of the Warlords	8.4	1st Playable Productions	D3Publisher
Space Invaders Extreme	8.4	Taito Corporation	Square Enix
Virtua Tennis: World Tour	8.4	Sumo Digital	Sega
X-Men Legends II: Rise of Apocalypse	8.4	Raven Software	Activision
Crisis Core: Final Fantasy VII	8.3	Square Enix	Square Enix
Crush (2007)	8.3	Zoe Mode	Sega
Disgaea 2: Dark Hero Days	8.3	Nippon Ichi Software	NIS America
FIFA Soccer 10	8.3	EA Sports	Electronic Arts
Lego Star Wars II: The Original Trilogy	8.3	Traveller's Tales	LucasArts
LocoRoco Hi	8.3	SCE Japan Studio	SCEA
MLB 06: The Show	8.3	SCEA San Diego Studios	SCEA
MLB 08: The Show	8.3	SCEA San Diego Studios	SCEA
Tony Hawk's Underground 2 Remix	8.3	Neversoft Entertainment	Activision
Valkyria Chronicles II	8.3	Sega	Sega
BlazBlue: Calamity Trigger	8.2	Arc System Works	Aksys Games
Hot Shots Golf: Open Tee 2	8.2	Clap Hanz	SCEA
Kingdom Hearts: Birth by Sleep	8.2	Square Enix	Square Enix
Mega Man Powered Up	8.2	Capcom	Capcom
MLB 07: The Show	8.2	SCEA San Diego Studios	SCEA
OutRun 2006: Coast 2 Coast	8.2	Sumo Digital	Sega
Sega Genesis Collection	8.2	Digital Eclipse	Sega
Sid Meier's Pirates!	8.2	Firaxis Games	Atari SA
SOCOM: U.S. Navy SEALs Fireteam Bravo	8.2	Zipper Interactive	SCEA
Tekken 6	8.2	Namco Bandai Games	Namco Bandai Games
Wipeout Pulse	8.2	Studio Liverpool	SCEA
A Space Shooter for 2 Bucks	8.1	Frima Studio	Frima Studio
Coconut Dodge	8.1	FuturLab	FuturLab
Fieldrunners	8.1	Subatomic Studios	Subatomic Studios
Hot Shots Golf: Open Tee	8.1	Clap Hanz	SCEA
Lumines II	8.1	Q Entertainment	Buena Vista Games
Marvel: Ultimate Alliance	8.1	Raven Software	Activision
Monster Hunter Freedom Unite	8.1	Capcom	Capcom
Patapon 2	8.1	SCE Japan Studio	SCEA
Pinball Fantasies	8.1	Cowboy Rodeo	Cowboy Rodeo
Race Driver 2006	8.1	Sumo Digital	Codemasters
Resistance: Retribution	8.1	Sony Bend	SCEA
SOCOM: U.S. Navy SEALs Fireteam Bravo 2	8.1	Zipper Interactive	SCEA
The 2D Adventures of Rotating Octopus Character	8.1	Dakko Dakko	Dakko Dakko
The Warriors	8.1	Rockstar Toronto	Rockstar Games
Where is My Heart?	8.1	Die Gute Fabrik	Copenhagen Game Collective
Winning Eleven: Pro Evolution Soccer 2007	8.1	KCET	Konami
WWE SmackDown! vs. Raw 2006	8.1	Yuke's	THQ
Z.H.P. Unlosing Ranger vs Darkdeath Evilman	8.1	Nippon Ichi Software	NIS America
Beaterator	8.0	Rockstar Leeds	Rockstar Games
Castlevania: The Dracula X Chronicles	8.0	Konami	Konami
FIFA 07 Soccer	8.0	EA Sports	EA Sports
Gitaroo Man Lives!	8.0	Koei/Inis	Koei
Hot Shots Tennis: Get a Grip	8.0	Clap Hanz	SCEA
Lunar: Silver Star Harmony	8.0	Game Arts	XSEED Games
Metal Gear Acid 2	8.0	Kojima Productions	Konami
MLB	8.0	989 Sports	SCEA
NBA Live 06	8.0	EA Canada	EA Sports
Pro Evolution Soccer 2008	8.0	Konami	Konami
SoulCalibur: Broken Destiny	8.0	Project Soul	Namco Bandai Games
Street Fighter Alpha 3	8.0	Capcom	Capcom
Test Drive Unlimited	8.0	Eden Studios	Atari SA
Tiger Woods PGA Tour 06	8.0	EA Sports	EA Sports
Valkyrie Profile	8.0	TOSE	Square Enix
Worms: Open Warfare 2	8.0	Team17	THQ
Ys: The Oath in Felghana	8.0	Falcom	XSEED Games
Age of Zombies	7.9	Halfbrick Studios	Halfbrick Studios
Def Jam: Fight for NY	7.9	Aki Corp.	EA Games
Dissidia: Final Fantasy	7.9	Square Enix	Square Enix
echochrome	7.9	SCE Japan Studio	SCEA
FIFA 08 Soccer	7.9	EA Canada	EA Sports
Floating Cloud God Saves the Pilgrims	7.9	Dakko Dakko	Dakko Dakko
Hakuoki: Demon of the Fleeting Blossom	7.9	Idea Factory	Aksys Games
Halfbrick Echoes	7.9	Halfbrick Studios	Halfbrick Studios
Legends of War: Patton's Campaign	7.9	Enigma Software Productions	Enigma Software Productions
Mega Man Maverick Hunter X	7.9	Capcom	Capcom
Midnight Club: LA Remix	7.9	Rockstar London	Rockstar Games
MLB 10: The Show	7.9	SCEA	SCEA
MotorStorm: Arctic Edge	7.9	Bigbig Studios	SCEA
N+	7.9	Slick Entertainment	Microsoft Game Studios
NBA 09 The Inside	7.9	SCEA San Diego Studios	SCEA
Rock Band Unplugged	7.9	Backbone Entertainment	Electronic Arts
SSX On Tour	7.9	EA Canada	EA Sports Big
The Legend of Heroes: Trails in the Sky	7.9	Falcom	XSEED Games
Twisted Metal: Head-On	7.9	Incognito Inc.	SCEA
Virtua Tennis 3	7.9	Sega AM3	Sega
Wizorb	7.9	Beatshapers	Beatshapers
Ys Seven	7.9	Falcom	XSEED Games
Brandish: The Dark Revenant	7.8	Falcom	XSEED Games
Cladun: This is an RPG	7.8	System Prisma	NIS America
Crimson Gem Saga	7.8	IronNos Co.,Ltd.	Atlus
Dissidia 012: Duodecim Final Fantasy	7.8	Square Enix	Square Enix
Gurumin: A Monstrous Adventure	7.8	Falcom	Mastiff
Madden NFL 07	7.8	EA Tiburon	EA Sports
Mercury Meltdown	7.8	Ignition Entertainment	Ignition Entertainment
Metal Gear Solid: Digital Graphic Novel	7.8	Kojima Productions	Konami
Metal Slug Anthology	7.8	Terminal Reality	SNK Playmore
MLB 09: The Show	7.8	SCEA San Diego Studios	SCEA
Pinball Hall of Fame: The Williams Collection	7.8	Farsight Studios	System 3
Shin Megami Tensei: Persona	7.8	ITL	Atlus
Silent Hill: Origins	7.8	Climax Studios	Konami
Tiger Woods PGA Tour 07	7.8	EA Redwood Shores	EA Sports
Tiger Woods PGA Tour 2005	7.8	EA Sports	EA Sports
Tomb Raider: Anniversary	7.8	Crystal Dynamics	Eidos Interactive
Traxxpad	7.8	Definitive Studios	Eidos Interactive
World Soccer Winning Eleven 9	7.8	KCET	Konami
WWE SmackDown vs. Raw 2007	7.8	Yuke's	THQ
Angry Birds	7.7	Abstraction Games	Chillingo
Aqua Panic	7.7	EKO Software	Atari SA
BlazBlue: Continuum Shift II	7.7	Arc System Works	Aksys Games
Class of Heroes 2	7.7	Zerodiv	MonkeyPaw Games
DJ Max Fever	7.7	Pentavision Entertainment	PM Studios Inc.
Exit (2008)	7.7	Taito Corporation	Ubisoft
Field Commander	7.7	Sony Online Entertainment	Sony Online Entertainment
FIFA 06: Road to FIFA World Cup	7.7	EA Canada	EA Sports
Final Fantasy IV: The Complete Collection	7.7	Bullets	Square Enix
Football Manager 2011	7.7	Sports Interactive	Sega
Guilty Gear Judgment	7.7	Arc System Works	Majesco
Killzone: Liberation	7.7	Guerrilla	SCEA
MLB 11: The Show	7.7	SCEA San Diego Studios	SCEA
1000 Tiny Claws	7.6	Mediatonic	Mediatonic
Alien Zombie Death	7.6	PomPom Games	PomPom Games
Brave Story: New Traveler	7.6	Game Republic	XSEED Games
Burnout Dominator	7.6	Criterion Games	Electronic Arts
Gradius Collection	7.6	M2	Konami
Lego Indiana Jones: The Original Adventures	7.6	Traveller's Tales	LucasArts
Lemmings (2006)	7.6	Team17	SCEA
