title,score,developer,publisher,rom_name,size
Odin Sphere Leifthrasir,9.3,Vanillaware,Atlus,"Odin Sphere - Leifthrasir (Europe) (En,Fr,De,Es,It).vpk",2373464623
Persona 4 Golden,9.3,Atlus,Atlus,Persona 4 Golden (Europe) [b].vpk,3222340985
Shovel Knight,9.2,Yacht Club Games,Yacht Club Games,,
Fez,9.1,Polytron Corp.,Polytron Corp.,Fez (USA).vpk,223271776
Broken Age,9.0,Double Fine Productions,Double Fine Productions,,
SteamWorld Heist,9.0,Image & Form,Image & Form,,
Velocity 2X,9.0,FuturLab,FuturLab,,
LIMBO,8.9,PLAYDEAD,PLAYDEAD,,
LittleBigPlanet PS Vita,8.8,Tarsier Studios,SCEA,"LittleBigPlanet PS Vita (Europe) (En,Fr,De,Es,It,Nl,Pt,No,Da,Fi,Pl,Ru).vpk",1681829193
Machinarium,8.8,Amanita Design,Amanita Design,,
Rayman Origins,8.8,UBlart Montpellier,Ubisoft,Rayman Origins (USA).vpk,986829705
Spelunky,8.8,Mossmouth,Microsoft Game Studios,,
Guacamelee!,8.7,DrinkBox Studios,DrinkBox Studios,,
Joe Danger,8.7,Hello Games,Hello Games,,
PixelJunk Shooter Ultimate,8.7,Double Eleven,Double Eleven,,
Rayman Legends,8.7,Ubisoft Montpellier,Ubisoft,Rayman Legends (USA).vpk,1071597882
Tearaway,8.7,Media Molecule,SCEA,Tearaway (USA).vpk,951675644
Velocity Ultra,8.7,FuturLab,FuturLab,,
Code:Realize - Guardian of Rebirth,8.6,Otomate,Aksys Games,Code - Realize - Guardian of Rebirth (USA).vpk,3474099037
Final Fantasy X / X-2 HD Remaster,8.6,Virtuos,Square Enix,"Final Fantasy X - HD Remaster (Europe) (En,Fr,De,Es,It).vpk",3514959295
Tales From Space: Mutant Blobs Attack,8.6,DrinkBox Studios,DrinkBox Studios,,
The Swapper,8.6,Facepalm Games,Facepalm Games,,
Volume,8.6,Mike Bithell,Mike Bithell,,
Downwell,8.5,Moppin,Devolver Digital,,
Hotline Miami,8.5,Dennaton,Devolver Digital,,
Mortal Kombat (2011),8.5,NetherRealm Studios,Warner Bros. Interactive Entertainment,"Mortal Kombat (Europe) (En,Fr,De,Es,It).vpk",3138638748
OlliOlli2: Welcome to Olliwood,8.5,roll7,roll7,,
Resogun,8.5,XDEV,SCEA,,
Rogue Legacy,8.5,Cellar Door Games,Cellar Door Games,,
Sine Mora,8.5,Grasshopper Manufacture,Microsoft Game Studios,,
Super Meat Boy,8.5,Team Meat,Team Meat,,
Terraria,8.5,Engine Software,505 Games,Terraria (Europe).vpk,32583319
Frozen Synapse Prime,8.4,Double Eleven,Double Eleven,,
Grim Fandango Remastered,8.4,Double Fine Productions,Double Fine Productions,,
Minecraft,8.4,4J Studios,Microsoft Game Studios,,
PixelJunk Monsters: Ultimate HD,8.4,Double Eleven,Double Eleven,,
Sound Shapes,8.4,SCEA,SCEA,,
Steins;Gate 0,8.4,5pb,PQube,Steins;Gate 0 (USA).vpk,1497899838
TxK,8.4,Llamasoft,Llamasoft,,
Zero Escape: Virtue's Last Reward,8.4,ChunSoft,Aksys Games,Zero Escape - Virtue's Last Reward (Europe).vpk,1231167862
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,8.3,Gaijin Games,Gaijin Games,,
