title,score,developer,publisher,rom_name,size
Tony Hawk's Pro Skater 2,9.8,Neversoft Entertainment,Activision,Tony Hawk's Pro Skater 4 (USA).bin,747317424
Gran Turismo,9.6,Polyphony Digital,SCEA,Gran Turismo 2 (Japan) (Disc 2) (Gran Turismo) (Rev 1).bin,698057136
Tekken 3,9.6,Namco,Namco,"Tekken 3 (Europe, Australia) (Track 1).bin",632530416
Chrono Cross,9.4,SquareSoft,Square EA,Chrono Cross (USA) (Disc 2).bin,741797280
Final Fantasy IX,9.4,SquareSoft,Square EA,Final Fantasy VIII (USA) (Disc 4).bin,694475040
ISS Pro Evolution,9.4,KCET,Konami,"ISS Pro Evolution (Europe) (En,Fr,De) (EDC) (Track 01).bin",428419152
Metal Gear Solid,9.4,KCEJ,Konami,Metal Gear Solid (USA) (Disc 2) (Rev 1).bin,731911824
Castlevania: Symphony of the Night,9.3,Digital Eclipse,Konami,Castlevania - Symphony of the Night (USA) (Track 1).bin,538655040
Gran Turismo 2,9.3,Polyphony Digital,SCEA,"Gran Turismo 2 (Japan, Asia) (Disc 2) (Gran Turismo).bin",711437664
Street Fighter Alpha 3,9.3,Capcom,Capcom,Street Fighter Alpha 3 (USA) (Track 1).bin,484081584
Wipeout XL,9.3,Psygnosis,SCEA,"Wipeout XL (Japan, Asia) (Track 01).bin",86043216
Final Fantasy VII,9.2,SquareSoft,SCEA,Final Fantasy VIII (USA) (Disc 4).bin,694475040
Medal of Honor (1999),9.2,Dreamworks Interactive,Electronic Arts,Medal of Honor - Underground (USA).bin,748001856
PaRappa the Rapper,9.2,Epics,SCEA,PaRappa the Rapper (Japan).bin,726476352
Tony Hawk's Pro Skater,9.2,Neversoft Entertainment,Activision,Tony Hawk's Pro Skater 4 (USA).bin,747317424
Vagrant Story,9.2,SquareSoft,Square EA,Vagrant Story (USA).bin,750643152
Colony Wars,9.1,Psygnosis,Psygnosis,Colony Wars (USA) (Disc 2) (Track 1).bin,642091296
Crash Bandicoot: Warped,9.1,Naughty Dog,SCEA,Crash Bandicoot - Warped (USA).bin,285130608
Legacy of Kain: Soul Reaver,9.1,Crystal Dynamics,Eidos Interactive,Legacy of Kain - Soul Reaver (USA).bin,683030208
Resident Evil,9.1,Capcom,Capcom,Resident Evil 2 (USA) (Disc 2) (Track 1).bin,627927552
Resident Evil 3: Nemesis,9.1,Capcom,Capcom,Resident Evil 3 - Nemesis (USA).bin,722165136
Spyro: Year of the Dragon,9.1,Insomniac Games,SCEA,Spyro the Dragon (USA).bin,661547040
Tomb Raider (1996),9.1,Core Design Ltd.,Eidos Interactive,Tomb Raider (USA) (Rev 6) (Track 01).bin,343417872
Ape Escape,9.0,SCE Japan Studio,SCEA,Ape Escape (Germany).bin,427320768
Colin McRae Rally 2.0,9.0,Codemasters,Codemasters,"Colin McRae Rally 2.0 (Europe) (En,Fr,De,Es,It) (Rev 2) (Track 1).bin",591772608
Dance Dance Revolution,9.0,Konami,Konami,Dance Dance Revolution Konamix (USA).bin,452437776
Final Fantasy VIII,9.0,SquareSoft,Square EA,Final Fantasy VIII (USA) (Disc 4).bin,694475040
Madden NFL 2001,9.0,EA Sports,EA Sports,Madden NFL 2002 (USA).bin,404856816
Syphon Filter,9.0,Eidetic,989 Studios,Syphon Filter 2 (USA) (Disc 2) (Beta) (2000-01-11).bin,733534704
WWF SmackDown! 2: Know Your Role,9.0,Yuke's,THQ,WWF SmackDown! 2 - Know Your Role (USA).bin,746266080
Einhander,8.9,SquareSoft,SCEA,Einhaender (Japan).bin,639264192
Final Fantasy Chronicles,8.9,TOSE,Square EA,Final Fantasy VIII (USA) (Disc 4).bin,694475040
Resident Evil 2 (1998),8.9,TOSE,Capcom,Resident Evil 3 - Nemesis (USA).bin,722165136
Soul Edge,8.9,Namco,Namco,Soul Edge (Japan) (Rev 1).bin,500362128
Tekken 2,8.9,Namco,Namco,Tekken 2 (Europe) (EDC) (Track 1).bin,717971520
Wipeout 3,8.9,Psygnosis,Psygnosis,WipEout 3 (Japan) (Track 01).bin,72827328
CTR: Crash Team Racing,8.8,Naughty Dog,SCEA,CTR - Crash Team Racing (USA).bin,605698800
Madden NFL 2002,8.8,EA Sports,EA Sports,Madden NFL 2002 (USA).bin,404856816
Need for Speed III: Hot Pursuit,8.8,EA Canada,Electronic Arts,Need for Speed III - Hot Pursuit (USA).bin,528470880
NHL 2001,8.8,EA Sports,EA Sports,"NHL 2001 (Europe) (Fr,Cs).bin",734877696
Oddworld: Abe's Exoddus,8.8,Oddworld Inhabitants,GT Interactive,Oddworld - Abe's Exoddus (USA) (Disc 2).bin,483947520
R4: Ridge Racer Type 4,8.8,Namco,Namco,R4 - Ridge Racer Type 4 (Japan) (R4 + JogCon).bin,622452096
Driver,8.7,Reflections Interactive,GT Interactive,Driver 2 (USA) (Disc 2) (Rev 1).bin,602862288
Spider-Man (2000),8.7,Neversoft Entertainment,Activision,Spider-Man (USA).bin,729736224
Tenchu: Stealth Assassins,8.7,Acquire,Activision,Tenchu - Stealth Assassins (USA) (Rev 1).bin,692960352
Tony Hawk's Pro Skater 3,8.7,Neversoft Entertainment,Activision,Tony Hawk's Pro Skater 4 (USA).bin,747317424
Alundra,8.6,Matrix Software,Working Designs,Alundra (USA) (Rev 1).bin,600359760
Dino Crisis 2,8.6,Capcom,Capcom,Dino Crisis (USA) (Rev 1) (Track 1).bin,379986768
Lunar 2: Eternal Blue,8.6,Game Arts,Working Designs,Lunar 2 - Eternal Blue Complete (USA) (Disc 3).bin,751242912
Medal of Honor Underground,8.6,Dreamworks Interactive,Electronic Arts,Medal of Honor - Underground (USA).bin,748001856
Monster Rancher,8.6,Tecmo,Tecmo,Monster Rancher (Europe).bin,452814096
NBA Live 2001,8.6,EA Sports,EA Sports,NBA Live 2002 (USA).bin,553044576
Need for Speed: High Stakes,8.6,EA Canada,Electronic Arts,Need for Speed - High Stakes (USA).bin,733165440
Silent Hill,8.6,KCET,Konami,Silent Hill (USA).bin,616494480
FIFA 2001 Major League Soccer,8.5,EA Sports,EA Sports,"FIFA 2000 - Major League Soccer (USA) (En,De,Es,Nl,Sv).bin",493722432
Metal Slug X,8.5,SNK,Agetec,Metal Slug X (Europe).bin,104322960
Oddworld: Abe's Oddysee,8.5,Oddworld Inhabitants,GT Interactive,Oddworld - Abe's Exoddus (USA) (Disc 2).bin,483947520
Rollcage Stage II,8.5,Attention To Detail,Midway,"Rollcage Stage II (Europe) (En,Fr,De,Es,It) (Track 01).bin",189742896
Tomb Raider II,8.5,Core Design Ltd.,Eidos Interactive,Tomb Raider (USA) (Rev 6) (Track 01).bin,343417872
Dance Dance Revolution Konamix,8.4,Konami,Konami,Dance Dance Revolution Konamix (USA).bin,452437776
Dead or Alive,8.4,Team Ninja,Tecmo,Dead or Alive (Europe) (Beta) (1998-04-22) (Track 01).bin,164273088
Fear Effect 2: Retro Helix,8.4,Kronos Digital Entertainment,Eidos Interactive,Fear Effect 2 - Retro Helix (USA) (Disc 4) (Rev 1).bin,715087968
Knockout Kings 2001,8.4,Black Ops Entertainment,EA Sports,Knockout Kings (USA).bin,300152832
Xenogears,8.4,SquareSoft,Square EA,Xenogears (USA) (Disc 2).bin,688700880
Ace Combat 2,8.3,Namco,Namco,Ace Combat 2 (Germany).bin,581038080
Breath of Fire IV,8.3,Capcom,Capcom,Breath of Fire III (Japan) (Track 1).bin,442415904
Bushido Blade,8.3,Light Weight,SCEA,Bushido Blade (Japan).bin,510021792
Final Fantasy Tactics,8.3,TOSE,Square Enix,Final Fantasy Tactics (Japan) (Rev 1).bin,541315152
Monster Rancher 2,8.3,Tecmo,Tecmo,Monster Rancher 2 (USA).bin,451280592
Persona 2: Eternal Punishment,8.3,Atlus,Atlus,Persona 2 - Eternal Punishment (USA) (Bonus Disc).bin,315930048
Super Puzzle Fighter II Turbo,8.3,Atomic Planet Entertainment,Capcom,Super Puzzle Fighter II Turbo (Europe) (Track 1).bin,522602640
Dave Mirra Freestyle BMX,8.2,"Z-Axis, Ltd.",Acclaim,Dave Mirra Freestyle BMX (USA) (Rev 1) (Track 1).bin,258063792
Harvest Moon: Back to Nature,8.2,TOSE,Natsume,Harvest Moon - Back to Nature (USA).bin,213954384
Suikoden II,8.2,Konami,Konami,Suikoden II (Italy).bin,514340064
You Don't Know Jack: Mock 2,8.2,Jellyvision,Sierra Entertainment,You Don't Know Jack (USA) (Disc 2).bin,680123136
Brave Fencer Musashi,8.1,SquareSoft,Square EA,Brave Fencer Musashiden (Japan) (Track 1).bin,388790304
FIFA 2002,8.1,EA Sports,EA Sports,"FIFA 2001 (USA) (En,De,Es,Nl,Sv).bin",610797936
NBA Live 2002,8.1,Electronic Arts,Electronic Arts,NBA Live 2002 (USA).bin,553044576
Parasite Eve,8.1,SquareSoft,Square EA,Parasite Eve (USA) (Disc 2).bin,646877616
Valkyrie Profile,8.1,TOSE,Square Enix,Valkyrie Profile (USA) (Disc 2).bin,747352704
Final Fantasy Anthology,8.0,SquareSoft,Square EA,Final Fantasy VIII (USA) (Disc 4).bin,694475040
Gundam: Battle Assault 2,8.0,Natsume,Bandai,Gundam Battle Assault 2 (USA) (Track 1).bin,243822432
Incredible Crisis,8.0,Polygon Magic,Titus Software,"Incredible Crisis (Europe) (En,Fr,De,Es,It).bin",721379568
Jarrett & Labonte Stock Car Racing,8.0,Codemasters,Codemasters,Jarrett & Labonte Stock Car Racing (USA).bin,284241552
Mat Hoffman's Pro BMX,8.0,Shaba Games,Activision,Mat Hoffman's Pro BMX (USA).bin,692711040
RC de GO!,8.0,Taito Corporation,Acclaim,RC de Go! (Japan).bin,344118768
Star Ocean: The Second Story,8.0,Tri-Ace,SCEA,Star Ocean - The Second Story (USA) (Disc 2).bin,723338784
Bomberman Party Edition,7.9,Metro,Vatical Entertainment,Bomberman - Party Edition (USA).bin,660770880
Final Fantasy Origins,7.9,TOSE,Square Enix,Final Fantasy Origins (USA) (Rev 1).bin,589557024
Parasite Eve II,7.9,SquareSoft,Square EA,"Parasite Eve II (USA, Canada) (Disc 2).bin",607735632
RayStorm,7.9,Taito Corporation,Working Designs,RayStorm (Europe).bin,649243728
Arc the Lad Collection,7.8,ARC Entertainment,Working Designs,Street Fighter Collection (USA) (Disc 2) (Rev 1) (Track 1).bin,590227344
Dragon Quest VII: Fragments of the Forgotten Past,7.8,ArtePiazza,Nintendo,,
Lunar: Silver Star Story,7.8,Game Arts,Working Designs,Lunar - Silver Star Story Complete (USA) (Disc 2) (Track 1).bin,693402528
MLB 2003,7.8,989 Sports,SCEA,MLB 2005 (USA).bin,612696000
Need for Speed: Porsche Unleashed,7.8,Eden Studios,Electronic Arts,Need for Speed - Porsche Unleashed (USA) (Track 01).bin,315850080
NHL FaceOff 2001,7.8,SolWorks,SCEA,NHL FaceOff 2001 (USA).bin,513919056
Persona: Revelations Series,7.8,Atlus,Atlus,,
Point Blank 3,7.8,TOSE,Namco,"Point Blank 3 (Europe, Australia) (En,Fr,De,Es,It).bin",274591296
Tales of Eternia,7.8,Namco,Namco,Tales of Eternia (Japan) (Disc 3) (Premium Box) (Track 1).bin,702885792
Alone in the Dark: The New Nightmare,7.7,Spiral House,Infogrames,Alone in the Dark - The New Nightmare (USA) (Disc 2) (Track 1).bin,638311632
Frogger 2: Swampy's Revenge,7.7,Blitz Games,Hasbro Interactive,Frogger 2 - Swampy's Revenge (USA).bin,371338464
Tenchu 2: Birth of the Stealth Assassins,7.7,Acquire,Activision,Tenchu 2 - Birth of the Stealth Assassins (USA).bin,744034032
Disney/Pixar Toy Story Racer,7.6,Traveller's Tales,Activision,Disney-Pixar Toy Story Racer (USA).bin,259183344
Elemental Gearbolt,7.6,Alfa System,Working Designs,Elemental Gearbolt (USA).bin,533000832
Mega Man Legends 2,7.6,Capcom,Capcom,Mega Man Legends (USA) (Track 1).bin,487205040
Mega Man X5,7.6,Capcom,Capcom,Mega Man X4 (USA).bin,592217136
MLB 2002,7.6,989 Sports,SCEA,MLB 2005 (USA).bin,612696000
Star Trek: Invasion,7.6,Warthog,Activision,Star Trek - Invasion (USA).bin,679718592
Tomb Raider III: Adventures of Lara Croft,7.6,Core Design Ltd.,Eidos Interactive,Tomb Raider III - Adventures of Lara Croft (USA) (Rev 2).bin,747357408
Triple Play Baseball,7.6,EA Sports,EA Sports,Triple Play Baseball (USA).bin,571867632
Chicken Run,7.5,Blitz Games,Eidos Interactive,"Chicken Run (Europe) (Fr,De,Es,It).bin",731011008
Disney/Pixar Toy Story 2: Buzz Lightyear to the Rescue!,7.5,Traveller's Tales,Activision,Disney-Pixar Toy Story 2 - Buzz Lightyear to the Rescue! (USA) (Rev 1).bin,633120768
X-Men: Mutant Academy,7.5,Paradox Development,Activision,X-Men - Mutant Academy (USA) (Track 01).bin,463289904
Army Men: Air Attack 2,7.4,3DO,3DO,Army Men - Air Attack (USA) (Track 1).bin,470087184
