title,score,developer,publisher
The Legend of Zelda: Ocarina of Time 3D,9.4,GREZZO,Nintendo
Cave Story,9.3,Nicalis,Nicalis
Fire Emblem: Awakening,9.2,Intelligent Systems,Nintendo
The Legend of Zelda: A Link Between Worlds,9.1,Nintendo,Nintendo
Pushmo,9.0,Intelligent Systems,Nintendo
Shovel Knight,9.0,Yacht Club Games,Yacht Club Games
Super Mario 3D Land,9.0,Nintendo,Nintendo
Colors! 3D,8.9,Collecting Smiles,Collecting Smiles
Gunstar Heroes,8.9,M2,Sega
Streets of Rage 2,8.9,M2,Sega
Animal Crossing: New Leaf,8.8,Nintendo,Nintendo
Fire Emblem Fates: Revelation,8.8,Intelligent Systems,Nintendo
Fire Emblem Fates: Special Edition,8.8,Intelligent Systems,Nintendo
Pokemon Y,8.8,Game Freak,Nintendo
Rage of the Gladiator,8.8,Ghostfire Games,Ghostfire Games
Zero Escape: Virtue's Last Reward,8.8,ChunSoft,Aksys Games
Fire Emblem Fates: Conquest,8.7,Intelligent Systems,Nintendo
Gotta Protectors (2016),8.7,Ancient Corp,Ancient Corp
Kid Icarus: Uprising,8.7,Project Sora,Nintendo
Kirby: Planet Robobot,8.7,HAL Labs,Nintendo
Metroid: Samus Returns,8.7,Mercury Steam,Nintendo
Monster Hunter 4 Ultimate,8.7,Capcom,Capcom
OutRun,8.7,M2,Sega
Pokemon Moon,8.7,Game Freak,Nintendo
Pokemon Sun,8.7,Game Freak,Nintendo
Pokemon X,8.7,Game Freak,Nintendo
Sonic the Hedgehog 2,8.7,M2,Sega
Xenoblade Chronicles,8.7,Monster Games Inc.,Nintendo
Yo-kai Watch 2: Psychic Specters,8.7,Level 5,Nintendo
Crashmo,8.6,Intelligent Systems,Nintendo
Dragon Quest VIII: Journey of the Cursed King,8.6,Level 5,Square Enix
Fire Emblem Echoes: Shadows of Valentia,8.6,Intelligent Systems,Nintendo
Fire Emblem Fates: Birthright,8.6,Intelligent Systems,Nintendo
Inazuma Eleven Go: Chrono Stones - Wildfire,8.6,Level 5,Level 5
Kirby: Triple Deluxe,8.6,HAL Labs,Nintendo
Luigi's Mansion: Dark Moon,8.6,Next Level Games,Nintendo
Phoenix Wright: Ace Attorney Trilogy,8.6,NATSUME ATARI Inc.,Capcom
Picross 3D: Round 2,8.6,HAL Labs,Nintendo
Radiant Historia,8.6,Atlus,Atlus
