Metal Torrent	9.6	Arika	Nintendo
Ghost Trick: Phantom Detective	9.5	Capcom	Capcom
Flipnote Studio	9.3	Nintendo	Nintendo
Grand Theft Auto: Chinatown Wars	9.3	Rockstar Leeds	Rockstar Games
Pokemon HeartGold Version	9.2	Game Freak	Nintendo
Mario Kart DS	9.1	Nintendo	Nintendo
Pokemon Mystery Dungeon: Explorers of Sky	9.1	ChunSoft	Nintendo
Pokemon SoulSilver Version	9.1	Game Freak	Nintendo
Advance Wars: Dual Strike	9.0	Intelligent Systems	Nintendo
Flower, Sun, and Rain	9.0	h.a.n.d. Inc.	XSEED Games
Mario & Luigi: Bowser's Inside Story	9.0	Alphadream Corporation	Nintendo
Phoenix Wright: Ace Attorney	9.0	Capcom	Capcom
Phoenix Wright: Ace Attorney - Trials and Tribulations	9.0	Capcom	Capcom
The Legend of Zelda: Phantom Hourglass	9.0	Nintendo	Nintendo
Castlevania: Dawn of Sorrow	8.9	Konami	Konami
Final Fantasy Tactics A2: Grimoire of the Rift	8.9	Square Enix	Square Enix
Final Fantasy XII: Revenant Wings	8.9	Think and Feel	Square Enix
New Super Mario Bros.	8.9	Nintendo	Nintendo
Nine Hours, Nine Persons, Nine Doors	8.9	ChunSoft	Aksys Games
Pokemon Platinum Version	8.9	Game Freak	Nintendo
Kirby Super Star Ultra	8.8	HAL Labs	Nintendo
Meteos	8.8	Q Entertainment	Nintendo
The World Ends with You	8.8	Jupiter Corporation	Square Enix
Warhammer 40,000: Squad Command	8.8	RedLynx	THQ
America's Test Kitchen: Let's Get Cooking	8.7	indieszero	Nintendo
Dragon Quest IX: Sentinels of the Starry Skies	8.7	Level 5	Nintendo
Dragon Quest V: Hand of the Heavenly Bride	8.7	ArtePiazza	Square Enix
Elite Beat Agents	8.7	iNiS	Nintendo
Inazuma Eleven 2: Firestorm	8.7	Level 5	Level 5
Pokemon Black Version	8.7	Game Freak	Nintendo
Pokemon White Version	8.7	Game Freak	Nintendo
Professor Layton and the Unwound Future	8.7	Level 5	Nintendo
The Legend of Zelda: Spirit Tracks	8.7	Nintendo	Nintendo
Advance Wars: Days of Ruin	8.6	Intelligent Systems	Nintendo
Animal Crossing: Wild World	8.6	Nintendo	Nintendo
Final Fantasy III (3D Remake)	8.6	Matrix Software	Square Enix
Final Fantasy: The 4 Heroes of Light	8.6	Matrix Software	Square Enix
Garfield's Nightmare	8.6	Shin'en	The Game Factory
Kirby: Canvas Curse	8.6	HAL Labs	Nintendo
Mario & Luigi: Partners in Time	8.6	Alphadream Corporation	Nintendo
Might & Magic: Clash of Heroes	8.6	Capy Games	Ubisoft
Planet Puzzle League	8.6	Intelligent Systems	Nintendo
Pokemon Mystery Dungeon: Explorers of Darkness	8.6	ChunSoft	Nintendo
Radiant Historia	8.6	Atlus	Atlus
Solatorobo: Red the Hunter	8.6	CyberConnect2	XSEED Games
Castlevania: Portrait of Ruin	8.5	Konami	Konami
Final Fantasy IV (3D Remake)	8.5	Matrix Software	Square Enix
Hotel Dusk: Room 215	8.5	Cing	Nintendo
Metroid Prime: Hunters	8.5	Nintendo Software Technology	Nintendo
Phoenix Wright: Ace Attorney - Justice for All	8.5	Capcom	Capcom
Pokemon Diamond Version	8.5	Game Freak	Nintendo
Pokemon Mystery Dungeon: Explorers of Time	8.5	ChunSoft	Nintendo
Pokemon Pearl Version	8.5	Game Freak	Nintendo
Professor Layton and the Curious Village	8.5	Level 5	Nintendo
Shantae: Risky's Revenge	8.5	WayForward	WayForward
Space Invaders Extreme	8.5	Taito Corporation	Square Enix
Super Mario 64	8.5	Nintendo	Nintendo
The Legend of Zelda: Four Swords Anniversary Edition	8.5	GREZZO	Nintendo
Cooking Mama 2: Dinner With Friends	8.4	Office Create	Majesco
Dark Void Zero	8.4	Other Ocean Interactive	Capcom
Dementium II	8.4	Renegade Kid	SouthPeak Games
Etrian Odyssey III: The Drowned City	8.4	Atlus	Atlus
Inazuma Eleven 2: Blizzard	8.4	Level 5	Level 5
Izuna: Legend of the Unemployed Ninja	8.4	Ninja Studio	Atlus
Peggle: Dual Shot	8.4	Q Entertainment	PopCap
Plants vs. Zombies	8.4	PopCap	PopCap
Professor Layton and the Diabolical Box	8.4	Level 5	Nintendo
Rune Factory 3: A Fantasy Harvest Moon	8.4	Neverland	Natsume
Shin Megami Tensei: Devil Survivor	8.4	Atlus	Atlus
Spotto!	8.4	Intelligent Systems	Nintendo
Tetris DS	8.4	Nintendo	Nintendo
Tony Hawk's American Sk8land	8.4	Vicarious Visions	Activision
Art Style: PiCTOBiTS	8.3	Nintendo	Nintendo
Bangai-O Spirits	8.3	Treasure	D3Publisher
Bleach: The Blade of Fate	8.3	Treasure	Sega
Clubhouse Games	8.3	Agenda	Nintendo
Contact (2006)	8.3	Grasshopper Manufacture	Atlus
Contra 4	8.3	WayForward	Konami
Dragon Quest Heroes: Rocket Slime	8.3	TOSE	Square Enix
Dragon Quest Wars	8.3	Intelligent Systems	Square Enix
Inchworm Animation	8.3	Arc System Works	Flat Black Films
Kingdom Hearts 358/2 Days	8.3	h.a.n.d. Inc.	Square Enix
Kirby Mass Attack	8.3	HAL Labs	Nintendo
Luminous Arc 2	8.3	Imageepoch	Atlus
Mega Man Zero Collection	8.3	Inti Creates	Capcom
Mighty Flip Champs!	8.3	WayForward	WayForward
