title,score,developer,publisher
The Legend of Zelda: A Link to the Past / Four Swords,9.5,Nintendo,Nintendo
Tony Hawk's Pro Skater 2,9.5,Neversoft Entertainment,Activision
Super Mario Advance 4: Super Mario Bros. 3,9.4,Nintendo,Nintendo
Mario Kart: Super Circuit,9.3,Intelligent Systems,Nintendo
Advance Wars,9.2,Intelligent Systems,Nintendo
Final Fantasy VI,9.2,TOSE,Nintendo
Metroid Fusion,9.2,Nintendo,Nintendo
Super Mario World: Super Mario Advance 2,9.2,Nintendo,Nintendo
Castlevania: Aria of Sorrow,9.1,KCET,Konami
Castlevania: Circle of the Moon,9.1,KCEK,Konami
Golden Sun,9.1,Camelot Software Planning,Nintendo
Metroid: Zero Mission,9.1,Nintendo,Nintendo
Fire Emblem,9.0,Intelligent Systems,Nintendo
Mario & Luigi: Superstar Saga,9.0,Alphadream Corporation,Nintendo
Tony Hawk's Pro Skater 3,9.0,Neversoft Entertainment,Activision
Advance Wars 2: Black Hole Rising,8.9,Intelligent Systems,Nintendo
Final Fantasy Tactics Advance,8.9,Square Enix,Square Enix
Fire Emblem: The Sacred Stones,8.9,Intelligent Systems,Nintendo
The Legend of Zelda: The Minish Cap,8.9,Flagship,Nintendo
"WarioWare, Inc.: Mega Microgame$!",8.9,Nintendo,Nintendo
Astro Boy: Omega Factor,8.8,Hitmaker,Sega
Bomberman Tournament,8.8,Amble,Activision
Pokemon Emerald Version,8.8,Game Freak,Nintendo
Tactics Ogre: The Knight of Lodis,8.8,Quest,Atlus
Wario Land 4,8.8,Nintendo,Nintendo
WarioWare: Twisted!,8.8,Nintendo,Nintendo
Castlevania: Harmony of Dissonance,8.7,KCET,Konami
Donkey Kong Country 2: Diddy's Kong Quest,8.7,Rare Ltd.,Nintendo
Golden Sun: The Lost Age,8.7,Camelot Software Planning,Nintendo
Sonic Advance,8.7,Sonic Team,THQ
Sword of Mana,8.7,Brownie Brown,Nintendo
Castlevania Double Pack,8.6,KCET,Konami
Donkey Kong Country,8.6,Rare Ltd.,Nintendo
DOOM (1993),8.6,Nerve Software,Activision
