title,score,developer,publisher,rom_name,size,running_total
Metroid Prime,9.7,Retro Studios,Nintendo,Metroid Prime (USA) (Rev 2).iso,1.4 GiB,1.4 GiB
Resident Evil (Remake),9.7,Capcom,Capcom,Resident Evil 4 (USA) (Disc 2).iso,2.7 GiB,4.1 GiB
Resident Evil 4 (2005),9.6,Capcom,Capcom,Resident Evil 4 (USA) (Disc 2).iso,2.7 GiB,6.8 GiB
The Legend of Zelda: The Wind Waker,9.6,Nintendo,Nintendo,"Legend of Zelda, The - The Wind Waker (USA).iso",1.4 GiB,8.2 GiB
The Legend of Zelda: Twilight Princess,9.6,Nintendo,Nintendo,"Legend of Zelda, The - Twilight Princess (USA).iso",1.4 GiB,9.5 GiB
The Legend of Zelda Collector's Edition,9.5,Nintendo,Nintendo,"Legend of Zelda, The - Collector's Edition (USA).iso",1.4 GiB,10.9 GiB
Madden NFL 08,9.4,EA Tiburon,EA Sports,Madden NFL 08 (USA).iso,1.4 GiB,12.2 GiB
Madden NFL 2004,9.4,EA Tiburon,EA Sports,Madden NFL 2004 (USA) (Rev 1).iso,1.4 GiB,13.6 GiB
P.N. 03,9.3,Capcom,Capcom,P.N. 03 (USA).iso,1.4 GiB,15.0 GiB
SoulCalibur II,9.3,Namco,Namco,Soulcalibur II (USA).iso,1.4 GiB,16.3 GiB
Viewtiful Joe,9.3,Clover Studio,Capcom,Viewtiful Joe (USA).iso,1.4 GiB,17.7 GiB
Eternal Darkness: Sanity's Requiem,9.2,Silicon Knights,Nintendo,Eternal Darkness - Sanity's Requiem (USA).iso,1.4 GiB,19.0 GiB
Madden NFL 2003,9.2,EA Sports,EA Sports,Madden NFL 2003 (USA).iso,1.4 GiB,20.4 GiB
Metroid Prime 2: Echoes,9.2,Retro Studios,Nintendo,Metroid Prime 2 - Echoes (USA).iso,1.4 GiB,21.8 GiB
NFL 2K3,9.2,Visual Concepts,Sega,NFL 2K3 (USA).iso,1.4 GiB,23.1 GiB
Prince of Persia: The Sands of Time,9.2,Ubisoft,Ubisoft,"Prince of Persia - The Sands of Time (USA) (En,Fr,Es) (Rev 1).iso",1.4 GiB,24.5 GiB
SSX 3,9.2,EA Canada,EA Sports Big,SSX 3 (USA).iso,1.4 GiB,25.8 GiB
Super Mario Sunshine,9.2,Nintendo,Nintendo,Super Mario Sunshine (USA).iso,1.4 GiB,27.2 GiB
Super Smash Bros. Melee,9.2,HAL Labs,Nintendo,"Super Smash Bros. Melee (USA) (En,Ja) (Rev 2).iso",1.4 GiB,28.6 GiB
Fire Emblem: Path of Radiance,9.1,Intelligent Systems,Nintendo,Fire Emblem - Path of Radiance (USA).iso,1.4 GiB,29.9 GiB
NCAA Football 2003,9.1,EA Sports,EA Sports,NCAA Football 2003 (USA).iso,1.4 GiB,31.3 GiB
Pikmin 2,9.1,Nintendo,Nintendo,Pikmin 2 (USA).iso,1.4 GiB,32.6 GiB
The Legend of Zelda: Ocarina of Time / Master Quest,9.1,Nintendo,Nintendo,"Legend of Zelda, The - Ocarina of Time & Master Quest (USA).iso",1.4 GiB,34.0 GiB
Tony Hawk's Pro Skater 3,9.1,Neversoft Entertainment,Activision,Tony Hawk's Pro Skater 3 (USA).iso,1.4 GiB,35.4 GiB
Tony Hawk's Pro Skater 4,9.1,Neversoft Entertainment,Activision,Tony Hawk's Pro Skater 4 (USA).iso,1.4 GiB,36.7 GiB
Madden NFL 2005,9.0,EA Tiburon,EA Sports,Madden NFL 2005 (USA).iso,1.4 GiB,38.1 GiB
Paper Mario: The Thousand-Year Door (2004),9.0,Intelligent Systems,Nintendo,Paper Mario - The Thousand-Year Door (USA).iso,1.4 GiB,39.4 GiB
Star Wars Rogue Leader: Rogue Squadron II,9.0,Factor 5,LucasArts,Star Wars - Rogue Squadron II (Japan) (Jitsuen-you Sample).iso,1.4 GiB,40.8 GiB
Burnout 2: Point of Impact,8.9,Criterion Games,Acclaim,Burnout 2 - Point of Impact (USA).iso,1.4 GiB,42.2 GiB
Chibi-Robo,8.9,Skip Ltd.,Nintendo,Chibi-Robo! (USA).iso,1.4 GiB,43.5 GiB
F-Zero GX,8.9,Amusement Vision,Nintendo,F-Zero GX (USA).iso,1.4 GiB,44.9 GiB
Final Fantasy Crystal Chronicles,8.9,Square Enix,Nintendo,Final Fantasy Crystal Chronicles (USA).iso,1.4 GiB,46.2 GiB
MVP Baseball 2004,8.9,EA Sports,EA Sports,MVP Baseball 2004 (USA).iso,1.4 GiB,47.6 GiB
NCAA Football 2004,8.9,EA Sports,EA Sports,NCAA Football 2004 (USA).iso,1.4 GiB,48.9 GiB
NHL 2K3,8.9,Treyarch,Sega,NHL 2K3 (USA).iso,1.4 GiB,50.3 GiB
Pikmin,8.9,Nintendo,Nintendo,Pikmin (USA) (Rev 1).iso,1.4 GiB,51.7 GiB
Resident Evil 2 (1998),8.9,TOSE,Capcom,Resident Evil 2 (USA).iso,1.4 GiB,53.0 GiB
Resident Evil 3: Nemesis,8.9,Capcom,Capcom,Resident Evil 3 - Nemesis (USA).iso,1.4 GiB,54.4 GiB
Tales of Symphonia,8.9,Namco,Namco,Tales of Symphonia (USA) (Disc 2).iso,2.7 GiB,57.1 GiB
Tiger Woods PGA Tour 2004,8.9,EA Sports,EA Sports,Tiger Woods PGA Tour 2004 (USA) (Disc 2).iso,2.7 GiB,59.8 GiB
Tom Clancy's Splinter Cell,8.9,Ubisoft Montreal,Ubisoft,Tom Clancy's Splinter Cell (USA) (Rev 1).iso,1.4 GiB,61.2 GiB
Tony Hawk's Underground,8.9,Neversoft Entertainment,Activision,Tony Hawk's Underground (USA).iso,1.4 GiB,62.5 GiB
Aggressive Inline,8.8,"Z-Axis, Ltd.",Acclaim,Aggressive Inline (USA).iso,1.4 GiB,63.9 GiB
Metal Gear Solid: The Twin Snakes,8.8,Silicon Knights,Konami,Metal Gear Solid - The Twin Snakes (USA) (Disc 2).iso,2.7 GiB,66.6 GiB
MVP Baseball 2005,8.8,EA Sports,EA Sports,MVP Baseball 2005 (USA).iso,1.4 GiB,68.0 GiB
NBA Street,8.8,NuFX,EA Sports Big,NBA Street (USA).iso,1.4 GiB,69.3 GiB
NBA Street Vol. 2,8.8,Electronic Arts,EA Sports Big,NBA Street Vol. 2 (USA).iso,1.4 GiB,70.7 GiB
NCAA Football 2005,8.8,EA Tiburon,EA Sports,NCAA Football 2005 (USA).iso,1.4 GiB,72.1 GiB
Tiger Woods PGA Tour 2005,8.8,EA Sports,EA Sports,Tiger Woods PGA Tour 2005 (USA) (Disc 2).iso,2.7 GiB,74.8 GiB
TimeSplitters 2,8.8,Free Radical Design,Eidos Interactive,TimeSplitters 2 (USA).iso,1.4 GiB,76.1 GiB
Beyond Good & Evil,8.7,Ubisoft Montpellier,Ubisoft,"Beyond Good & Evil (USA) (En,Es).iso",1.4 GiB,77.5 GiB
Fight Night Round 2,8.7,EA Sports,EA Sports,Fight Night Round 2 (USA).iso,1.4 GiB,78.9 GiB
Spartan: Total Warrior,8.7,Creative Assembly,Sega,Spartan - Total Warrior (USA).iso,1.4 GiB,80.2 GiB
Super Monkey Ball,8.7,Amusement Vision,Sega,Super Monkey Ball (USA).iso,1.4 GiB,81.6 GiB
Super Monkey Ball 2,8.7,Amusement Vision,Sega,Super Monkey Ball 2 (USA).iso,1.4 GiB,82.9 GiB
Tak 2: The Staff of Dreams,8.7,Avalanche Software,THQ,Nickelodeon Tak 2 - The Staff of Dreams (USA).iso,1.4 GiB,84.3 GiB
The Simpsons: Hit & Run,8.7,Radical Entertainment,VU Games,"Simpsons, The - Hit & Run (USA).iso",1.4 GiB,85.7 GiB
FIFA Soccer 2003,8.6,EA Canada,EA Sports,FIFA Soccer 2003 (USA).iso,1.4 GiB,87.0 GiB
Gotcha Force,8.6,Capcom,Capcom,Gotcha Force (USA).iso,1.4 GiB,88.4 GiB
