title,score,developer,publisher,rom_name,size
The Legend of Zelda: Ocarina of Time 3D,9.4,GREZZO,Nintendo,"Legend of Zelda, The - Ocarina of Time 3D (USA) (En,Fr,Es) (Rev 1).3ds",536870912
Cave Story,9.3,Nicalis,Nicalis,Cave Story 3D (USA).3ds,536870912
Fire Emblem: Awakening,9.2,Intelligent Systems,Nintendo,Fire Emblem - Awakening (USA).3ds,2147483648
The Legend of Zelda: A Link Between Worlds,9.1,Nintendo,Nintendo,"Legend of Zelda, The - A Link Between Worlds (USA) (En,Fr,Es).3ds",1073741824
Pushmo,9.0,Intelligent Systems,Nintendo,,
Shovel Knight,9.0,Yacht Club Games,Yacht Club Games,Shovel Knight (USA).3ds,268435456
Super Mario 3D Land,9.0,Nintendo,Nintendo,"Super Mario 3D Land (USA) (En,Fr,Es) (Rev 1).3ds",536870912
Colors! 3D,8.9,Collecting Smiles,Collecting Smiles,"Horses 3D (USA) (En,Fr,Es).3ds",268435456
Gunstar Heroes,8.9,M2,Sega,Lost Heroes 2 (Premium Edition) (Japan).3ds,1073741824
Streets of Rage 2,8.9,M2,Sega,,
Animal Crossing: New Leaf,8.8,Nintendo,Nintendo,"Animal Crossing - New Leaf (USA) (En,Fr,Es).3ds",1073741824
Fire Emblem Fates: Revelation,8.8,Intelligent Systems,Nintendo,"Resident Evil - Revelations (USA) (En,Ja,Fr,De,Es,It) (Rev 1).3ds",4294967296
Fire Emblem Fates: Special Edition,8.8,Intelligent Systems,Nintendo,Fire Emblem Fates - Special Edition (USA).3ds,2147483648
Pokemon Y,8.8,Game Freak,Nintendo,"Pokemon Y (USA) (En,Ja,Fr,De,Es,It,Ko).3ds",2147483648
Rage of the Gladiator,8.8,Ghostfire Games,Ghostfire Games,"Rise of the Guardians (USA) (En,Fr,Es).3ds",134217728
Zero Escape: Virtue's Last Reward,8.8,ChunSoft,Aksys Games,Zero Escape - Virtue's Last Reward (USA) (Rev 2).3ds,1073741824
Fire Emblem Fates: Conquest,8.7,Intelligent Systems,Nintendo,Fire Emblem Fates - Conquest (USA).3ds,2147483648
Gotta Protectors (2016),8.7,Ancient Corp,Ancient Corp,,
Kid Icarus: Uprising,8.7,Project Sora,Nintendo,"Kid Icarus - Uprising (USA) (En,Fr,Es).3ds",2147483648
Kirby: Planet Robobot,8.7,HAL Labs,Nintendo,Kirby - Planet Robobot (USA).3ds,1073741824
Metroid: Samus Returns,8.7,Mercury Steam,Nintendo,"Metroid - Samus Returns (USA) (En,Fr,Es).3ds",1073741824
Monster Hunter 4 Ultimate,8.7,Capcom,Capcom,Monster Hunter 4 Ultimate (USA).3ds,4294967296
OutRun,8.7,M2,Sega,,
Pokemon Moon,8.7,Game Freak,Nintendo,"Pokemon Moon (USA) (En,Ja,Fr,De,Es,It,Zh,Ko).3ds",4294967296
Pokemon Sun,8.7,Game Freak,Nintendo,"Pokemon Y (USA) (En,Ja,Fr,De,Es,It,Ko).3ds",2147483648
Pokemon X,8.7,Game Freak,Nintendo,"Pokemon Y (USA) (En,Ja,Fr,De,Es,It,Ko).3ds",2147483648
Sonic the Hedgehog 2,8.7,M2,Sega,,
Xenoblade Chronicles,8.7,Monster Games Inc.,Nintendo,Sengoku Musou Chronicle (Japan).3ds,2147483648
Yo-kai Watch 2: Psychic Specters,8.7,Level 5,Nintendo,"Yo-Kai Watch 2 - Psychic Specters (USA) (En,Fr,Es).3ds",4294967296
Crashmo,8.6,Intelligent Systems,Nintendo,"Crash Time 3D (Europe) (En,Fr,De,It).3ds",268435456
Dragon Quest VIII: Journey of the Cursed King,8.6,Level 5,Square Enix,Dragon Quest VIII - Journey of the Cursed King (USA).3ds,4294967296
Fire Emblem Echoes: Shadows of Valentia,8.6,Intelligent Systems,Nintendo,"Fire Emblem Echoes - Shadows of Valentia (USA) (En,Fr,Es).3ds",2147483648
Fire Emblem Fates: Birthright,8.6,Intelligent Systems,Nintendo,Fire Emblem Fates - Birthright (USA).3ds,2147483648
Inazuma Eleven Go: Chrono Stones - Wildfire,8.6,Level 5,Level 5,"Inazuma Eleven GO - Chrono Stones - Wildfire (Europe) (En,Fr,De,Es,It).3ds",4294967296
Kirby: Triple Deluxe,8.6,HAL Labs,Nintendo,"Kirby - Triple Deluxe (USA) (En,Fr,Es).3ds",1073741824
Luigi's Mansion: Dark Moon,8.6,Next Level Games,Nintendo,"Luigi's Mansion - Dark Moon (USA) (En,Fr,Es).3ds",1073741824
Phoenix Wright: Ace Attorney Trilogy,8.6,NATSUME ATARI Inc.,Capcom,"Professor Layton vs. Phoenix Wright - Ace Attorney (USA) (En,Fr,Es).3ds",2147483648
Picross 3D: Round 2,8.6,HAL Labs,Nintendo,"Picross 3D - Round 2 (Europe) (En,Fr,De,Es,It).3ds",268435456
Radiant Historia,8.6,Atlus,Atlus,Radiant Historia - Perfect Chronology (USA).3ds,2147483648
Shantae and the Pirate's Curse,8.6,WayForward,WayForward,Shantae and the Pirate's Curse (USA).3ds,536870912
SteamWorld Heist,8.6,Image & Form,Image & Form,,
Yo-kai Watch 3,8.6,Level 5,Nintendo,Youkai Watch (Japan).3ds,1073741824
Bravely Default,8.5,Silicon Studio,Nintendo,"Bravely Default (USA) (En,Ja,Fr,De,Es,It).3ds",4294967296
Maldita Castilla EX: Cursed Castilla,8.5,Locomalito,Abylight,,
Mario Kart 7,8.5,Retro Studios,Nintendo,"Mario Kart 7 (USA) (En,Fr,Es) (Rev 1).3ds",1073741824
Monster Hunter Generations,8.5,Capcom,Capcom,Monster Hunter Generations (USA).3ds,2147483648
Super Smash Bros. for Nintendo 3DS / Wii U,8.5,Bandai Namco Games,Nintendo,"Super Smash Bros. for Nintendo 3DS (USA) (En,Fr,Es) (Rev 7).3ds",2147483648
Super Street Fighter IV,8.5,Capcom,Capcom,"Super Street Fighter IV - 3D Edition (USA) (En,Fr,Es).3ds",2147483648
Tales of the Abyss,8.5,Bandai Namco Games,Namco Bandai Games,Tales of the Abyss (USA).3ds,2147483648
Etrian Odyssey IV: Legends of the Titan,8.4,Atlus,Atlus,Etrian Odyssey IV - Legends of the Titan (USA).3ds,1073741824
Fantasy Life,8.4,Brownie Brown,Nintendo,Fantasy Life (USA).3ds,1073741824
Final Fantasy Explorers,8.4,Racjin,Square Enix,Final Fantasy Explorers (USA).3ds,1073741824
Inazuma Eleven Go: Chrono Stones - Thunderflash,8.4,Level 5,Level 5,"Inazuma Eleven GO - Chrono Stones - Thunderflash (Europe) (En,Fr,De,Es,It).3ds",4294967296
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,8.4,Alphadream Corporation,Nintendo,Mario & Luigi - Bowser's Inside Story + Bowser Jr.'s Journey (USA).3ds,1073741824
Pokemon Ultra Moon,8.4,Game Freak,Nintendo,"Pokemon Ultra Sun (USA) (En,Ja,Fr,De,Es,It,Zh,Ko).3ds",4294967296
Resident Evil: Revelations,8.4,Capcom,Capcom,"Resident Evil - Revelations (USA) (En,Ja,Fr,De,Es,It) (Rev 1).3ds",4294967296
Shin Megami Tensei: Devil Survivor 2 Record Breaker,8.4,Atlus,Atlus,Shin Megami Tensei - Devil Survivor 2 - Record Breaker (USA).3ds,4294967296
Shin Megami Tensei IV: Apocalypse,8.4,Atlus,Atlus,Shin Megami Tensei IV - Apocalypse (USA).3ds,2147483648
Stella Glow,8.4,Imageepoch,Atlus,Stella Glow (USA).3ds,2147483648
Zero Escape: Zero Time Dilemma,8.4,Chime,Aksys Games,Zero Escape - Zero Time Dilemma (USA).3ds,2147483648
BYE-BYE BOXBOY!,8.3,HAL Labs,Nintendo,,
Donkey Kong Country Returns,8.3,Retro Studios,Nintendo,"Donkey Kong Country Returns 3D (USA) (En,Fr,Es).3ds",4294967296
Etrian Odyssey Untold: The Millennium Girl,8.3,Atlus,Atlus,Etrian Odyssey Untold - The Millennium Girl (USA).3ds,1073741824
Inazuma Eleven 3: Lightning Bolt,8.3,Level 5,Nintendo,"Inazuma Eleven 3 - Lightning Bolt (Europe) (En,Fr,De).3ds",2147483648
Inazuma Eleven 3: Team Ogre Attacks!,8.3,Level 5,Nintendo,"Inazuma Eleven 3 - Team Ogre Attacks! (Europe) (En,Fr,De).3ds",2147483648
Persona Q: Shadow of the Labyrinth,8.3,Atlus,Atlus,Persona Q - Shadow of the Labyrinth (USA).3ds,2147483648
Pocket Card Jockey,8.3,Game Freak,Nintendo,,
Pokemon Omega Ruby,8.3,Game Freak,Nintendo,"Pokemon Omega Ruby (USA) (En,Ja,Fr,De,Es,It,Ko) (Rev 2).3ds",2147483648
Retro City Rampage DX,8.3,Vblank Entertainment Inc.,Vblank Entertainment Inc.,,
