title,score,developer,publisher,rom_name,size
Metal Torrent,9.6,Arika,Nintendo,,
Ghost Trick: Phantom Detective,9.5,Capcom,Capcom,"Ghost Trick - Phantom Detective (USA) (En,Fr,De,Es,It).nds",134217728
Flipnote Studio,9.3,Nintendo,Nintendo,"Flipnote Studio (Europe, Australia) (En,Fr,De,Es,It).nds",3441664
Grand Theft Auto: Chinatown Wars,9.3,Rockstar Leeds,Rockstar Games,"Grand Theft Auto - Chinatown Wars (USA) (En,Fr,De,Es,It).nds",134217728
Pokemon HeartGold Version,9.2,Game Freak,Nintendo,Pokemon - Pearl Version (USA) (Rev 5).nds,67108864
Mario Kart DS,9.1,Nintendo,Nintendo,Mario Party DS (USA) (Video).nds,2268360
Pokemon Mystery Dungeon: Explorers of Sky,9.1,ChunSoft,Nintendo,Pokemon Mystery Dungeon - Explorers of Time (USA).nds,67108864
Pokemon SoulSilver Version,9.1,Game Freak,Nintendo,"Pokemon - SoulSilver Version (USA, Australia).nds",134217728
Advance Wars: Dual Strike,9.0,Intelligent Systems,Nintendo,Advance Wars - Dual Strike (USA) (Wii U Virtual Console).nds,33554432
"Flower, Sun, and Rain",9.0,h.a.n.d. Inc.,XSEED Games,,
Mario & Luigi: Bowser's Inside Story,9.0,Alphadream Corporation,Nintendo,Mario & Luigi - Bowser's Inside Story (USA) (Video).nds,2065096
Phoenix Wright: Ace Attorney,9.0,Capcom,Capcom,Phoenix Wright - Ace Attorney (USA).nds,67108864
Phoenix Wright: Ace Attorney - Trials and Tribulations,9.0,Capcom,Capcom,Phoenix Wright - Ace Attorney - Trials and Tribulations (USA).nds,33554432
The Legend of Zelda: Phantom Hourglass,9.0,Nintendo,Nintendo,"Legend of Zelda, The - Phantom Hourglass - Exclusive Movie 2 (USA) (Video).nds",2075336
Castlevania: Dawn of Sorrow,8.9,Konami,Konami,Castlevania - Dawn of Sorrow (USA).nds,67108864
Final Fantasy Tactics A2: Grimoire of the Rift,8.9,Square Enix,Square Enix,"Final Fantasy Tactics A2 - Grimoire of the Rift (USA) (En,Fr,Es).nds",134217728
Final Fantasy XII: Revenant Wings,8.9,Think and Feel,Square Enix,Final Fantasy XII - Revenant Wings (USA).nds,134217728
New Super Mario Bros.,8.9,Nintendo,Nintendo,"New Super Mario Bros. (USA, Australia).nds",33554432
"Nine Hours, Nine Persons, Nine Doors",8.9,ChunSoft,Aksys Games,"Nine Hours, Nine Persons, Nine Doors (USA).nds",134217728
Pokemon Platinum Version,8.9,Game Freak,Nintendo,Pokemon - Platinum Version (USA) (Rev 1).nds,134217728
Kirby Super Star Ultra,8.8,HAL Labs,Nintendo,Kirby Super Star Ultra (USA) (Video).nds,2001096
Meteos,8.8,Q Entertainment,Nintendo,Meteos (USA).nds,67108864
The World Ends with You,8.8,Jupiter Corporation,Square Enix,"World Ends with You, The (USA).nds",134217728
"Warhammer 40,000: Squad Command",8.8,RedLynx,THQ,"Warhammer 40,000 - Squad Command (USA) (En,Fr).nds",33554432
America's Test Kitchen: Let's Get Cooking,8.7,indieszero,Nintendo,America's Test Kitchen - Let's Get Cooking (USA).nds,268435456
Dragon Quest IX: Sentinels of the Starry Skies,8.7,Level 5,Nintendo,"Dragon Quest IX - Sentinels of the Starry Skies (USA) (En,Fr,Es).nds",268435456
Dragon Quest V: Hand of the Heavenly Bride,8.7,ArtePiazza,Square Enix,"Dragon Quest V - Hand of the Heavenly Bride (USA) (En,Fr,Es).nds",134217728
Elite Beat Agents,8.7,iNiS,Nintendo,Elite Beat Agents (Germany).nds,134217728
Inazuma Eleven 2: Firestorm,8.7,Level 5,Level 5,Inazuma Eleven 2 - Firestorm (Europe).nds,268435456
Pokemon Black Version,8.7,Game Freak,Nintendo,"Pokemon - Black Version (USA, Europe) (NDSi Enhanced).nds",268435456
Pokemon White Version,8.7,Game Freak,Nintendo,"Pokemon - White Version (USA, Europe) (NDSi Enhanced).nds",268435456
Professor Layton and the Unwound Future,8.7,Level 5,Nintendo,Professor Layton and the Unwound Future (USA) (Video).nds,2606792
The Legend of Zelda: Spirit Tracks,8.7,Nintendo,Nintendo,"Legend of Zelda, The - Spirit Tracks (USA) (Video).nds",2469576
Advance Wars: Days of Ruin,8.6,Intelligent Systems,Nintendo,"Advance Wars - Days of Ruin (USA) (En,Fr,Es).nds",67108864
Animal Crossing: Wild World,8.6,Nintendo,Nintendo,Animal Crossing - Wild World (USA) (Rev 1) (Wii U Virtual Console).nds,33554432
Final Fantasy III (3D Remake),8.6,Matrix Software,Square Enix,Final Fantasy XII - Revenant Wings (USA).nds,134217728
Final Fantasy: The 4 Heroes of Light,8.6,Matrix Software,Square Enix,Final Fantasy - The 4 Heroes of Light (USA).nds,67108864
Garfield's Nightmare,8.6,Shin'en,The Game Factory,"Garfield's Nightmare (USA) (En,Fr,Es).nds",16777216
Kirby: Canvas Curse,8.6,HAL Labs,Nintendo,Kirby - Canvas Curse (USA) (Wii U Virtual Console).nds,67108864
Mario & Luigi: Partners in Time,8.6,Alphadream Corporation,Nintendo,Mario & Luigi - Partners in Time (USA) (Rev 1) (Wii U Virtual Console).nds,67108864
Might & Magic: Clash of Heroes,8.6,Capy Games,Ubisoft,"Might & Magic - Clash of Heroes (USA) (En,Fr,Es).nds",33554432
Planet Puzzle League,8.6,Intelligent Systems,Nintendo,Planet Puzzle League (USA).nds,33554432
Pokemon Mystery Dungeon: Explorers of Darkness,8.6,ChunSoft,Nintendo,Pokemon Mystery Dungeon - Explorers of Time (USA).nds,67108864
Radiant Historia,8.6,Atlus,Atlus,Radiant Historia (USA).nds,134217728
Solatorobo: Red the Hunter,8.6,CyberConnect2,XSEED Games,"Solatorobo - Red the Hunter (USA) (En,Fr,De,Es,It) (NDSi Enhanced).nds",67108864
Castlevania: Portrait of Ruin,8.5,Konami,Konami,Castlevania - Portrait of Ruin (USA).nds,67108864
Final Fantasy IV (3D Remake),8.5,Matrix Software,Square Enix,Final Fantasy XII - Revenant Wings (USA).nds,134217728
Hotel Dusk: Room 215,8.5,Cing,Nintendo,Hotel Dusk - Room 215 (USA) (Video).nds,2611400
Metroid Prime: Hunters,8.5,Nintendo Software Technology,Nintendo,Metroid Prime - Hunters (USA) (Video).nds,1642184
Phoenix Wright: Ace Attorney - Justice for All,8.5,Capcom,Capcom,Phoenix Wright - Ace Attorney - Justice for All (USA).nds,33554432
Pokemon Diamond Version,8.5,Game Freak,Nintendo,Pokemon - Diamond Version (USA) (Rev 5).nds,67108864
Pokemon Mystery Dungeon: Explorers of Time,8.5,ChunSoft,Nintendo,Pokemon Mystery Dungeon - Explorers of Time (USA).nds,67108864
Pokemon Pearl Version,8.5,Game Freak,Nintendo,Pokemon - Pearl Version (USA) (Rev 5).nds,67108864
Professor Layton and the Curious Village,8.5,Level 5,Nintendo,"Professor Layton and the Curious Village (USA, Australia).nds",67108864
Shantae: Risky's Revenge,8.5,WayForward,WayForward,,
Space Invaders Extreme,8.5,Taito Corporation,Square Enix,"Space Invaders Extreme 2 (USA) (En,Ja,Fr,De,Es,It).nds",67108864
Super Mario 64,8.5,Nintendo,Nintendo,Super Mario 64 DS (USA) (Rev 1) (Wii U Virtual Console).nds,16777216
The Legend of Zelda: Four Swords Anniversary Edition,8.5,GREZZO,Nintendo,,
Cooking Mama 2: Dinner With Friends,8.4,Office Create,Majesco,Cooking Mama 2 - Dinner with Friends - Cook Off (USA) (DS Broadcast).nds,2394824
Dark Void Zero,8.4,Other Ocean Interactive,Capcom,"Dark Void Zero (Europe, Australia).nds",9525248
Dementium II,8.4,Renegade Kid,SouthPeak Games,"Dementium II (USA) (En,Fr,De,Es,It) (Beta 2).nds",58129412
Etrian Odyssey III: The Drowned City,8.4,Atlus,Atlus,Etrian Odyssey III - The Drowned City (USA).nds,67108864
Inazuma Eleven 2: Blizzard,8.4,Level 5,Level 5,Inazuma Eleven 2 - Blizzard (Europe).nds,268435456
Izuna: Legend of the Unemployed Ninja,8.4,Ninja Studio,Atlus,Izuna - Legend of the Unemployed Ninja (USA).nds,33554432
Peggle: Dual Shot,8.4,Q Entertainment,PopCap,Peggle Dual Shot (USA).nds,67108864
Plants vs. Zombies,8.4,PopCap,PopCap,Plants vs. Zombies (United Kingdom).nds,67108864
Professor Layton and the Diabolical Box,8.4,Level 5,Nintendo,Professor Layton and the Diabolical Box (USA) (Video).nds,1536712
Rune Factory 3: A Fantasy Harvest Moon,8.4,Neverland,Natsume,Rune Factory 3 - A Fantasy Harvest Moon (USA).nds,134217728
