title,score,developer,publisher,rom_name,size,running_total
Super Mario Galaxy,9.7,Nintendo,Nintendo,"Super Mario Galaxy (USA) (En,Fr,Es).iso",4.4 GiB,4.4 GiB
Super Mario Galaxy 2,9.7,Nintendo EAD Tokyo ,Nintendo,"Super Mario Galaxy 2 (USA) (En,Fr,Es).iso",4.4 GiB,8.8 GiB
The Legend of Zelda: Twilight Princess,9.5,Nintendo,Nintendo,"Legend of Zelda, The - Twilight Princess (USA) (En,Fr,Es) (Rev 2).iso",4.4 GiB,13.1 GiB
World of Goo,9.4,2D Boy,2D Boy,World of Goo (USA) (WiiWare).wad,43.9 MiB,13.2 GiB
Super Smash Bros. Brawl,9.3,Game Arts,Nintendo,Super Smash Bros. Brawl (USA) (Rev 2).iso,7.9 GiB,21.1 GiB
The Legend of Zelda: Skyward Sword,9.3,Nintendo,Nintendo,"Legend of Zelda, The - Skyward Sword (USA) (En,Fr,Es) (Rev 2).iso",4.4 GiB,25.5 GiB
Rayman Origins,9.2,UBlart Montpellier,Ubisoft,"Rayman Origins (USA) (En,Fr,Es).iso",4.4 GiB,29.9 GiB
Rock Band 2,9.2,Harmonix Music Systems,MTV Games,Rock Band 2 (USA).iso,4.4 GiB,34.2 GiB
Xenoblade Chronicles,9.2,Monster Games Inc.,Nintendo,"Xenoblade Chronicles (USA, Asia) (En,Fr,Es).iso",7.9 GiB,42.2 GiB
Metroid Prime Trilogy,9.1,Retro Studios,Nintendo,Metroid Prime Trilogy (USA).iso,7.9 GiB,50.1 GiB
Resident Evil 4 (2005),9.1,Capcom,Capcom,Resident Evil 4 - Wii Edition (USA).iso,4.4 GiB,54.5 GiB
Rock Band 3,9.1,Harmonix Music Systems,MTV Games,Rock Band 3 (USA).iso,4.4 GiB,58.8 GiB
Kirby's Dream Collection: Special Edition,9.0,HAL Labs,Nintendo,Kirby's Dream Collection - Special Edition (USA).iso,4.4 GiB,63.2 GiB
Metroid Prime 3: Corruption,9.0,Retro Studios,Nintendo,Metroid Prime 3 - Corruption (USA).iso,4.4 GiB,67.6 GiB
Obscure: The Aftermath,9.0,Hydravision,Ignition Entertainment,"ObsCure - The Aftermath (USA) (En,Fr,Es).iso",4.4 GiB,72.0 GiB
Okami,9.0,Clover Studio,Capcom,Ookami (USA).iso,4.4 GiB,76.3 GiB
Resident Evil (Remake),9.0,Capcom,Capcom,Resident Evil Archives - Resident Evil (USA).iso,4.4 GiB,80.7 GiB
Broken Sword: Shadow of the Templars,8.9,Revolution Software,Ubisoft,"Broken Sword - Shadow of the Templars - The Director's Cut (USA) (En,Fr,Es).iso",4.4 GiB,85.1 GiB
Cave Story,8.9,Nicalis,Nicalis,Cave Story (USA) (v258) (WiiWare).wad,28.0 MiB,85.1 GiB
Guitar Hero 5,8.9,Neversoft Entertainment,Activision,"Guitar Hero 5 (USA) (En,Fr).iso",4.4 GiB,89.5 GiB
Metal Slug Anthology,8.9,Terminal Reality,SNK Playmore,Metal Slug Anthology (USA).iso,4.4 GiB,93.9 GiB
Resident Evil 0,8.9,Flagship,Capcom,Resident Evil 4 - Wii Edition (USA).iso,4.4 GiB,98.3 GiB
The Beatles: Rock Band,8.9,Harmonix Music Systems,MTV Games,"Beatles, The - Rock Band (USA) (En,Fr,Es).iso",4.4 GiB,102.6 GiB
Art of Balance,8.8,Shin'en,Shin'en,Art of Balance (USA) (WiiWare).wad,35.0 MiB,102.7 GiB
DJ Hero 2,8.8,FreeStyleGames,Activision,"DJ Hero 2 (USA) (En,Fr).iso",4.4 GiB,107.1 GiB
Dragon Ball Z: Budokai Tenkaichi 3,8.8,Spike,Atari SA,Dragon Ball Z - Budokai Tenkaichi 3 (USA) (Rev 1).iso,4.4 GiB,111.4 GiB
Fire Emblem: Radiant Dawn,8.8,Intelligent Systems,Nintendo,Fire Emblem - Radiant Dawn (USA) (Rev 1).iso,4.4 GiB,115.8 GiB
Kirby's Return to Dream Land,8.8,HAL Labs,Nintendo,"Kirby's Return to Dream Land (USA) (En,Fr,Es).iso",4.4 GiB,120.2 GiB
Phoenix Wright: Ace Attorney,8.8,Capcom,Capcom,Phoenix Wright - Ace Attorney (USA) (WiiWare) (DLC).wad,77.5 KiB,120.2 GiB
Pikmin 2,8.8,Nintendo,Nintendo,"Pikmin 2 (USA) (En,Fr,Es).iso",4.4 GiB,124.6 GiB
Tiger Woods PGA Tour 10,8.8,EA Tiburon,Electronic Arts,Tiger Woods PGA Tour 10 (USA) (Rev 1).iso,4.4 GiB,128.9 GiB
DJ Hero,8.7,FreeStyleGames,Activision,"DJ Hero (USA) (En,Fr).iso",4.4 GiB,133.3 GiB
Doc Louis's Punch-Out!!,8.7,Next Level Games,Nintendo,Doc Louis's Punch-Out!! (USA) (Club Nintendo) (WiiWare).wad,21.7 MiB,133.3 GiB
Donkey Kong Country Returns,8.7,Retro Studios,Nintendo,"Donkey Kong Country Returns (USA) (En,Fr,Es) (Rev 1).iso",4.4 GiB,137.7 GiB
La-Mulana,8.7,Pygmy Studio,Rising Star Games,La-Mulana (USA) (WiiWare).wad,42.9 MiB,137.8 GiB
