title,score,developer,publisher
The Legend of Zelda: Ocarina of Time,9.9,Nintendo,Nintendo
Perfect Dark (2000),9.7,4J Studios,Microsoft Game Studios
GoldenEye 007,9.6,Rare Ltd.,Nintendo
The Legend of Zelda: Majora's Mask,9.5,Nintendo,Nintendo
Super Mario 64,9.4,Nintendo,Nintendo
Paper Mario,9.3,Intelligent Systems,Nintendo
Banjo-Kazooie,9.2,Rare Ltd.,Nintendo
Conker's Bad Fur Day,9.2,Rare Ltd.,Rare Ltd.
Wave Race 64,9.2,Nintendo,Nintendo
International Superstar Soccer '98,9.1,KCEO,Konami
Mario Golf,9.1,Camelot Software Planning,Nintendo
Mario Tennis,9.1,Camelot Software Planning,Nintendo
Banjo-Tooie,9.0,4J Studios,Microsoft Game Studios
Beetle Adventure Racing,9.0,Paradigm Entertainment,EA Sports
Blast Corps,9.0,Rare Ltd.,Nintendo
Donkey Kong 64,9.0,Rare Ltd.,Nintendo
Rayman 2: The Great Escape,9.0,Ubisoft Casablanca,Ubisoft
Resident Evil 2 (1998),9.0,TOSE,Capcom
WWF No Mercy,8.9,Aki Corp.,THQ
Diddy Kong Racing,8.8,Rare Ltd.,Rare Ltd.
Excitebike 64,8.8,Left Field Productions,Nintendo
Star Fox 64,8.8,Nintendo,Nintendo
F-Zero X,8.7,Nintendo,Nintendo
Jet Force Gemini,8.7,Rare Ltd.,Rare Ltd.
San Francisco Rush 2049,8.6,Midway,Midway
Super Smash Bros.,8.6,HAL Labs,Nintendo
Turok 2: Seeds of Evil,8.6,Iguana Entertainment,Acclaim
Mario Kart 64,8.5,Nintendo,Nintendo
NFL Blitz 2000,8.5,Midway,Midway
Star Wars: Rogue Squadron 3D,8.5,Factor 5,LucasArts
Turok: Dinosaur Hunter,8.5,Iguana Entertainment,Acclaim
World Driver Championship,8.5,Boss Game Studios,Midway
Star Wars: Episode I Battle for Naboo,8.4,Factor 5,LucasArts
Tony Hawk's Pro Skater 2,8.4,Neversoft Entertainment,Activision
Wipeout 64,8.4,Psygnosis,Midway
Harvest Moon 64,8.3,Victor Interactive Software,Natsume
Indiana Jones and the Infernal Machine,8.3,Factor 5,LucasArts
Mystical Ninja starring Goemon,8.3,KCEO,Konami
Space Station Silicon Valley,8.3,DMA Design,Take-Two Interactive
Extreme-G,8.2,Probe Entertainment Limited,Acclaim
Kirby 64: The Crystal Shards,8.2,HAL Labs,Nintendo
Mario Party 3,8.2,Hudson,Nintendo
Ogre Battle 64: Person of Lordly Caliber,8.2,Quest,Atlus
Pokemon Stadium 2,8.2,HAL Labs,Nintendo
Ridge Racer 64,8.2,Nintendo Software Technology,Nintendo
007: The World is not Enough,8.1,Eurocom,Electronic Arts
Body Harvest,8.1,DMA Design,Midway
Mario Party,8.0,Hudson,Nintendo
Pilotwings 64,8.0,Nintendo,Nintendo
StarCraft 64,8.0,Mass Media,Nintendo
Castlevania (1998),7.8,KCEK,Konami
Turok 3: Shadow of Oblivion (2000),7.7,Acclaim Studios Austin,Acclaim
Duke Nukem 3D,7.6,3D Realms,3D Realms
Spider-Man (2000),7.6,Neversoft Entertainment,Activision
Forsaken (1998),7.5,Iguana Entertainment,Acclaim
Mickey's Speedway USA,7.5,Rare Ltd.,Nintendo
Disney/Pixar Toy Story 2: Buzz Lightyear to the Rescue!,7.4,Traveller's Tales,Activision
Quake,7.4,id Software,id Software
Hercules: The Legendary Journeys,7.3,Player 1,Titus Software
Ms. Pac-Man Maze Madness,7.3,Mass Media,Namco
Aidyn Chronicles: The First Mage,7.2,H2O Interactive,THQ
Mega Man Legends,7.2,Capcom,Capcom
NFL Blitz 2001,7.2,Avalanche Software,Midway
Yoshi's Story,7.2,Nintendo,Nintendo
Dr. Mario 64,7.1,Newcom,Nintendo
Mission: Impossible (1998),6.6,Infogrames,Ocean
Army Men: Sarge's Heroes 2,6.5,3DO,3DO
Disney's Donald Duck: Goin' Quackers,6.5,Disney Interactive Studios,Ubisoft
Ready 2 Rumble Boxing: Round 2,6.4,Midway,Midway
Rugrats in Paris: The Movie,6.4,Avalanche Software,THQ
Cruis'n  Exotica,6.3,Gratuitous Games,Midway
"Hey You, Pikachu!",5.7,Ambrella,Nintendo
Blues Brothers 2000,3.7,Player 1,Titus Software
Batman Beyond: Return of the Joker,3.4,Kemco,Ubisoft
Saban's Power Rangers: Lightspeed Rescue,2.5,Mass Media,THQ
1080: TenEighty Snowboarding,,Nintendo,Nintendo
Army Men: Air Attack,,3DO,3DO
Buck Bumble,,Argonaut Games,Ubisoft
Fighter Destiny 2,,Opus,SouthPeak Games
John Romero's Daikatana,,Kemco,Kemco
Looney Tunes Duck Dodgers Starring Daffy Duck,,Paradigm Entertainment,Infogrames
Madden NFL 2001,,EA Sports,EA Sports
Madden NFL 2002,,EA Sports,EA Sports
Mario Party 2,,Hudson,Nintendo
Midway's Greatest Arcade Hits Volume 1,,Digital Eclipse,Midway
NFL QB Club 2001,,High Voltage Software,Acclaim
PGA European Tour,,Infogrames Sheffield,Infogrames
Pokemon Puzzle League,,Nintendo Software Technology,Nintendo
Pokemon Snap,,HAL Labs,Nintendo
Rally Challenge 2000,,Genki,SouthPeak Games
Robotron X,,Player 1,Crave
Scooby-Doo! Classic Creep Capers,,Terraglyph Interactive Studios,THQ
WCW Backstage Assault,,Kodiak Interactive,Electronic Arts
Wetrix,,Zed Two Limited,Ocean
