Grand Theft Auto IV	9.8	Rockstar North	Rockstar Games
Grand Theft Auto V	9.7	Rockstar North	Rockstar Games
Batman: Arkham City	9.6	Rocksteady Studios	Warner Bros. Interactive Entertainment
Uncharted 2: Among Thieves	9.6	Naughty Dog	SCEA
LittleBigPlanet	9.5	Media Molecule	SCEA
Portal 2	9.5	Valve Software	Valve Software
Red Dead Redemption	9.5	Rockstar San Diego	Rockstar Games
The Last of Us	9.5	Naughty Dog	SCEA
Vanquish	9.5	PlatinumGames	Sega
BioShock	9.4	Irrational Games	2K Games
BioShock Infinite	9.4	Irrational Games	2K Games
Call of Duty 4: Modern Warfare	9.4	Infinity Ward	Activision
Call of Duty: Modern Warfare 2	9.4	Infinity Ward	Activision
Mass Effect 2	9.4	BioWare	Electronic Arts
Metal Gear Solid 4: Guns of the Patriots	9.4	Kojima Productions	Konami
Street Fighter IV	9.4	Capcom	Capcom
The Walking Dead: A Telltale Games Series	9.4	Telltale Games	Telltale Games
Braid	9.3	Number None Inc.	Number None Inc.
Mass Effect 3	9.3	BioWare	Electronic Arts
Metal Gear Solid: The Legacy Collection	9.3	Konami	Konami
The Elder Scrolls IV: Oblivion	9.3	Bethesda Game Studios	2K Games
God of War III	9.2	SCE Santa Monica	SCEA
Journey	9.2	ThatGameCompany	SCEA
Rock Band	9.2	Harmonix Music Systems	MTV Games
Super Street Fighter IV	9.2	Capcom	Capcom
The Elder Scrolls V: Skyrim	9.2	Bethesda Game Studios	Bethesda Softworks
The ICO & Shadow of the Colossus Collection	9.2	Bluepoint Games	SCEA
Uncharted 3: Drake's Deception	9.2	Naughty Dog	SCEA
Assassin's Creed II	9.1	Ubisoft Montreal	Ubisoft
Batman: Arkham Asylum	9.1	Rocksteady Studios	Eidos Interactive
BioShock 2: Minerva's Den	9.1	2K Marin	2K Games
Borderlands 2	9.1	Gearbox Software	2K Games
Dark Souls II	9.1	From Software	Namco Bandai Games
FIFA Soccer 10	9.1	EA Sports	Electronic Arts
God of War Collection	9.1	Bluepoint Games	SCEA
Killzone 2	9.1	Guerrilla	SCEA
LittleBigPlanet 2	9.1	Media Molecule	SCEA
MLB 10: The Show	9.1	SCEA	SCEA
Pac-Man Championship Edition DX	9.1	Namco Bandai Games	Namco Bandai Games
Peggle	9.1	PopCap	PopCap
Rayman Legends	9.1	Ubisoft Montpellier	Ubisoft
Rock Band 2	9.1	Harmonix Music Systems	MTV Games
Rock Band 3	9.1	Harmonix Music Systems	MTV Games
Assassin's Creed: Brotherhood	9.0	Ubisoft Montreal	Ubisoft
Fallout 3	9.0	Bethesda Game Studios	Bethesda Softworks
Far Cry 3	9.0	Ubisoft Montreal	Ubisoft
FIFA Soccer 12	9.0	Electronic Arts	Electronic Arts
LIMBO	9.0	PLAYDEAD	PLAYDEAD
Mass Effect 3: Citadel	9.0	BioWare	Electronic Arts
MLB 09: The Show	9.0	SCEA San Diego Studios	SCEA
MLB 11: The Show	9.0	SCEA San Diego Studios	SCEA
NBA 2K12	9.0	Visual Concepts	2K Sports
NBA 2K13	9.0	Visual Concepts	2K Sports
Okami HD	9.0	HexaDrive	Capcom
The Legend of Heroes: Trails of Cold Steel II	9.0	Falcom	XSEED Games
BioShock Infinite: Burial at Sea - Episode Two	8.9	Irrational Games	2K Games
Child of Light	8.9	Ubisoft Montreal	Ubisoft
Dead Space 2	8.9	Visceral Games	Electronic Arts
Demon's Souls (2009)	8.9	From Software	Atlus
Deus Ex: Human Revolution	8.9	Eidos Montreal	Square Enix
Dishonored	8.9	Arkane Studios	Bethesda Softworks
FIFA Soccer 11	8.9	EA Sports	Electronic Arts
Journey Collector's Edition	8.9	ThatGameCompany	SCEA
L.A. Noire	8.9	Team Bondi	Rockstar Games
NBA 2K11	8.9	Visual Concepts	2K Sports
Need for Speed: Hot Pursuit	8.9	Criterion Games	Electronic Arts
Ratchet & Clank Future: Tools of Destruction	8.9	Insomniac Games	SCEA
The Orange Box	8.9	Valve Software	EA Games
Wipeout HD Fury	8.9	Studio Liverpool	SCEA
XCOM: Enemy Unknown	8.9	Firaxis Games	2K Games
Assassin's Creed IV: Black Flag	8.8	Ubisoft	Ubisoft
Battlefield: Bad Company 2	8.8	EA DICE	EA Games
Battlefield: Bad Company 2 Vietnam	8.8	EA DICE	EA Games
BioShock 2	8.8	2K Marin	2K Games
Call of Duty: Black Ops	8.8	Treyarch	Activision
Call of Duty: Modern Warfare 3	8.8	Infinity Ward	Activision
FIFA Soccer 13	8.8	Electronic Arts	EA Sports
God of War: Origins Collection	8.8	Ready at Dawn	SCEA
Grand Theft Auto IV: The Lost and Damned	8.8	Rockstar North	Rockstar Games
Kingdom Hearts HD 2.5 ReMIX	8.8	Square Enix	Square Enix
NHL 10	8.8	EA Canada	EA Sports
NHL 11	8.8	Electronic Arts	Electronic Arts
Ninja Gaiden Sigma	8.8	Team Ninja	Tecmo Koei Games
Ratchet & Clank Future: A Crack in Time	8.8	Insomniac Games	SCEA
Sly Cooper Collection	8.8	Sanzaru Games	SCEA
The Beatles: Rock Band	8.8	Harmonix Music Systems	MTV Games
The Last of Us: Left Behind	8.8	Naughty Dog	SCEA
The Walking Dead: Episode 5 - No Time Left	8.8	Telltale Games	Telltale Games
Uncharted: Drake's Fortune	8.8	Naughty Dog	SCEA
XCOM: Enemy Within	8.8	Firaxis Games	2K Games
Bayonetta	8.7	PlatinumGames	Sega
Bionic Commando: Rearmed	8.7	GRIN	Capcom
BlazBlue: Calamity Trigger	8.7	Arc System Works	Aksys Games
BlazBlue: Continuum Shift	8.7	Arc System Works	Aksys Games
Burnout Paradise	8.7	Criterion Games	Electronic Arts
Critter Crunch	8.7	Player X	Capy Games
Dark Souls II: Crown of the Ivory King	8.7	Namco Bandai Games	Bandai Namco Games
DiRT 2	8.7	Codemasters	Codemasters
DiRT 3	8.7	Codemasters	Codemasters
Dragon Age: Origins	8.7	BioWare	Electronic Arts
flower	8.7	ThatGameCompany	SCEA
Grand Theft Auto IV: The Ballad of Gay Tony	8.7	Rockstar North	Rockstar Games
GRID (2008)	8.7	Codemasters	Codemasters
Heavy Rain	8.7	Quantic Dream	SCEA
Hotline Miami	8.7	Dennaton	Devolver Digital
Kingdom Hearts HD 1.5 ReMIX	8.7	Square Enix	Square Enix
Max Payne 3	8.7	Rockstar Games	Rockstar Games
MLB 12: The Show	8.7	SCEA San Diego Studios	SCEA
MLB 13: The Show	8.7	SCEA San Diego Studios	SCEA
Monkey Island 2 Special Edition: LeChuck's Revenge	8.7	LucasArts	LucasArts
Ni no Kuni: Wrath of the White Witch	8.7	Level 5	Namco Bandai Games
NIER	8.7	Cavia Inc.	Square Enix
PixelJunk Shooter	8.7	Q-Games	SCEA
Rayman Origins	8.7	UBlart Montpellier	Ubisoft
Red Dead Redemption: Undead Nightmare Pack	8.7	Rockstar San Diego	Rockstar Games
Resistance 2	8.7	Insomniac Games	SCEA
Rochard	8.7	Recoil Games	Sony Online Entertainment
Super Street Fighter II Turbo HD Remix	8.7	Backbone Entertainment	Capcom
The Secret of Monkey Island: Special Edition	8.7	LucasArts	LucasArts
The Walking Dead: Episode 3 - Long Road Ahead	8.7	Telltale Games	Telltale Games
The Walking Dead: Season Two Episode 5 - No Going Back	8.7	Telltale Games	Telltale Games
Tomb Raider	8.7	Crystal Dynamics	Square Enix
Wipeout HD	8.7	Studio Liverpool	SCEA
Battlefield 3: End Game	8.6	EA DICE	Electronic Arts
BioShock Infinite: Burial at Sea - Episode One	8.6	Irrational Games	2K Games
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien	8.6	Gaijin Games	Gaijin Games
Brothers: A Tale of Two Sons	8.6	Starbreeze	505 Games
Diablo III	8.6	Blizzard Entertainment	Blizzard Entertainment
DJ Hero	8.6	FreeStyleGames	Activision
DJ Hero 2	8.6	FreeStyleGames	Activision
Fallout: New Vegas	8.6	Obsidian Entertainment	Bethesda Softworks
FIFA 14	8.6	EA Canada	EA Sports
Guitar Hero 5	8.6	Neversoft Entertainment	Activision
Guitar Hero: Metallica	8.6	Neversoft Entertainment	Activision
inFamous 2	8.6	Sucker Punch	SCEA
Jak and Daxter Collection	8.6	Mass Media	SCEA
Joe Danger	8.6	Hello Games	Hello Games
Minecraft	8.6	4J Studios	Microsoft Game Studios
Mortal Kombat Komplete Edition	8.6	High Voltage Software	Warner Bros. Interactive Entertainment
NHL 08	8.6	EA Canada	Electronic Arts
NHL 12	8.6	Electronic Arts	Electronic Arts
Overlord: Raising Hell	8.6	4J Studios	Codemasters
Persona 4 Arena	8.6	Arc System Works	Atlus
PixelJunk Eden Encore	8.6	Q-Games	SCEA
Resident Evil 4 HD	8.6	Capcom	Capcom
Resistance: Fall of Man	8.6	Insomniac Games	SCEA
Rocksmith 2014 Edition	8.6	Ubisoft	Ubisoft
Shatter (2009)	8.6	Sidhe Interactive	Sidhe Interactive
Soldner-X 2: Final Prototype - The Last Chapter	8.6	SideQuest Studios	EastAsiaSoft
Steins;Gate	8.6	5pb	PQube
Street Fighter III: 3rd Strike - Fight for the Future	8.6	Iron Galaxy Studios	Capcom
Tales of Monkey Island	8.6	Telltale Games	Telltale Games
Tom Clancy's Rainbow Six: Vegas	8.6	Ubisoft Montreal	Ubisoft
UFC Undisputed 3	8.6	Yuke's	THQ
Unreal Tournament III	8.6	Epic Games	Midway
ZEN Pinball 2	8.6	Zen Studios	Zen Studios
Assassin's Creed III	8.5	Ubisoft	Ubisoft
Battlefield 3	8.5	EA DICE	Electronic Arts
Beyond Good & Evil HD	8.5	Ubisoft Shanghai	Ubisoft
Borderlands 2: Captain Scarlett and Her Pirate's Booty	8.5	Gearbox Software	2K Games
Borderlands: The Secret Armory of General Knoxx	8.5	Gearbox Software	2K Games
Call of Duty: World at War	8.5	Treyarch	Activision
Castle Crashers	8.5	The Behemoth	The Behemoth
Castlevania: Lords of Shadow	8.5	Mercury Steam	Konami
Crysis 2	8.5	Crytek	EA Games
Devil May Cry 4	8.5	Capcom	Capcom
Devil May Cry HD Collection	8.5	Pipeworks Software, Inc.	Capcom
Dishonored: The Knife of Dunwall	8.5	Arkane Studios	Bethesda Softworks
DmC: Devil May Cry	8.5	Ninja Theory	Capcom
Far Cry 2	8.5	Ubisoft Montreal	Ubisoft
Final Fantasy X / X-2 HD Remaster	8.5	Virtuos	Square Enix
inFamous	8.5	Sucker Punch	SCEA
Madden NFL 09	8.5	EA Tiburon	Electronic Arts
Madden NFL 10	8.5	EA Tiburon	Electronic Arts
Marvel vs. Capcom 2	8.5	Backbone Entertainment	Capcom
Mass Effect	8.5	BioWare	Microsoft Game Studios
Metal Gear Online	8.5	Kojima Productions	Konami
MLB 08: The Show	8.5	SCEA San Diego Studios	SCEA
NCAA Football 11	8.5	EA Tiburon	Electronic Arts
Plants vs. Zombies	8.5	PopCap	PopCap
Prince of Persia	8.5	Ubisoft Montreal	Ubisoft
Red Faction: Guerrilla	8.5	Volition Inc.	THQ
Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak	8.5	Telltale Games	Telltale Games
Sid Meier's Civilization Revolution	8.5	Firaxis Games	2K Games
Skate	8.5	EA Black Box	EA Games
SoulCalibur IV	8.5	Project Soul	Namco Bandai Games
Super Stardust HD	8.5	Housemarque	SCEA
Tales of Graces	8.5	Namco Bandai Games	Namco Bandai Games
Tales of Xillia	8.5	Bandai Namco Games	Namco Bandai Games
The Wolf Among Us: Episode 1 - Faith	8.5	Telltale Games	Telltale Games
Trine 2	8.5	Frozenbyte, Inc.	Frozenbyte, Inc.
UFC Undisputed 2010	8.5	Yuke's	THQ
Virtua Fighter 5 Online	8.5	Sega AM2	Sega
Yakuza 5	8.5	Ryu ga Gotoku Studios	Sega
ZEN Pinball 2: Star Wars Pinball	8.5	Zen Studios	Zen Studios
Battlefield 1943	8.4	EA DICE	Electronic Arts
Battlefield: Bad Company	8.4	EA DICE	EA Games
