title,score,developer,publisher,rom_name,size,running_total
Zero Escape: The Nonary Games,9.4,Spike Chunsoft,Aksys Games,Zero Escape - The Nonary Games (USA).vpk,2.3 GiB,2.3 GiB
Odin Sphere Leifthrasir,9.3,Vanillaware,Atlus,"Odin Sphere - Leifthrasir (Europe) (En,Fr,De,Es,It).vpk",2.2 GiB,4.5 GiB
Persona 4 Golden,9.3,Atlus,Atlus,Persona 4 Golden (Europe) [b].vpk,3.0 GiB,7.5 GiB
Shovel Knight,9.2,Yacht Club Games,Yacht Club Games,,,
Fez,9.1,Polytron Corp.,Polytron Corp.,Fez (USA).vpk,212.9 MiB,7.7 GiB
Broken Age,9.0,Double Fine Productions,Double Fine Productions,,,
SteamWorld Heist,9.0,Image & Form,Image & Form,,,
Steins;Gate,9.0,5pb,PQube,Steins;Gate (USA).vpk,1.5 GiB,9.1 GiB
Velocity 2X,9.0,FuturLab,FuturLab,,,
LIMBO,8.9,PLAYDEAD,PLAYDEAD,,,
Steins;Gate 0,8.9,5pb,PQube,Steins;Gate 0 (USA).vpk,1.4 GiB,10.5 GiB
Tearaway,8.9,Media Molecule,SCEA,Tearaway (USA).vpk,907.6 MiB,11.4 GiB
Utawarerumono: Mask of Deception,8.9,Aqua Plus,Aqua Plus,Utawarerumono - Mask of Deception (USA).vpk,2.3 GiB,13.7 GiB
Danganronpa 2: Goodbye Despair,8.8,Spike Chunsoft,NIS America,Danganronpa 2 - Goodbye Despair (USA).vpk,1.5 GiB,15.2 GiB
Killzone: Mercenary,8.8,Guerilla Cambridge,SCEA,"Killzone - Mercenary (Europe) (En,Fr,De,Es,It,Nl,Pt).vpk",3.3 GiB,18.5 GiB
LittleBigPlanet PS Vita,8.8,Tarsier Studios,SCEA,"LittleBigPlanet PS Vita (Europe) (En,Fr,De,Es,It,Nl,Pt,No,Da,Fi,Pl,Ru).vpk",1.6 GiB,20.0 GiB
Machinarium,8.8,Amanita Design,Amanita Design,,,
Rayman Origins,8.8,UBlart Montpellier,Ubisoft,Rayman Origins (USA).vpk,941.1 MiB,21.0 GiB
Spelunky,8.8,Mossmouth,Microsoft Game Studios,,,
Zero Escape: Virtue's Last Reward,8.8,ChunSoft,Aksys Games,Zero Escape - Virtue's Last Reward (Europe).vpk,1.1 GiB,22.1 GiB
Danganronpa: Trigger Happy Havoc,8.7,Spike Chunsoft,NIS America,Danganronpa - Trigger Happy Havoc (USA).vpk,1.2 GiB,23.3 GiB
Guacamelee!,8.7,DrinkBox Studios,DrinkBox Studios,,,
Joe Danger,8.7,Hello Games,Hello Games,,,
Mary Skelter: Nightmares,8.7,Compile Heart,Idea Factory,Mary Skelter - Nightmares (USA).vpk,2.7 GiB,26.0 GiB
PixelJunk Shooter Ultimate,8.7,Double Eleven,Double Eleven,,,
Rayman Legends,8.7,Ubisoft Montpellier,Ubisoft,Rayman Legends (USA).vpk,1022.0 MiB,27.0 GiB
Velocity Ultra,8.7,FuturLab,FuturLab,,,
Ys: Memories of Celceta,8.7,Falcom,XSEED Games,Ys - Memories of Celceta (USA).vpk,775.1 MiB,27.8 GiB
Code:Realize - Guardian of Rebirth,8.6,Otomate,Aksys Games,Code - Realize - Guardian of Rebirth (USA).vpk,3.2 GiB,31.0 GiB
Demon Gaze,8.6,Experience Inc.,NIS America,"Demon Gaze (Europe) (En,Ja).vpk",512.4 MiB,31.5 GiB
Final Fantasy X / X-2 HD Remaster,8.6,Virtuos,Square Enix,"Final Fantasy X - HD Remaster (Europe) (En,Fr,De,Es,It).vpk",3.3 GiB,34.8 GiB
Gravity Rush,8.6,SCE Japan Studio,SCEA,Gravity Rush (Europe).vpk,1.4 GiB,36.2 GiB
Tales From Space: Mutant Blobs Attack,8.6,DrinkBox Studios,DrinkBox Studios,,,
The Swapper,8.6,Facepalm Games,Facepalm Games,,,
Volume,8.6,Mike Bithell,Mike Bithell,,,
World of Final Fantasy,8.6,Square Enix,Square Enix,"World of Final Fantasy (Europe) (En,Fr,De,Es,It).vpk",2.5 GiB,38.7 GiB
Atelier Escha & Logy: Alchemists of the Dusk Sky,8.5,Gust,Tecmo Koei Games,,,
Downwell,8.5,Moppin,Devolver Digital,,,
Dungeon Travelers 2: The Royal Library & the Monster Seal,8.5,Aqua Plus,Atlus,Dungeon Travelers 2 - The Royal Library & The Monster Seal (Europe).vpk,1.8 GiB,40.4 GiB
Hotline Miami,8.5,Dennaton,Devolver Digital,,,
Metal Gear Solid HD Edition,8.5,Armature Studio,Konami,Metal Gear Solid HD Collection (USA) [b].vpk,3.3 GiB,43.8 GiB
Mortal Kombat (2011),8.5,NetherRealm Studios,Warner Bros. Interactive Entertainment,"Mortal Kombat (Europe) (En,Fr,De,Es,It).vpk",2.9 GiB,46.7 GiB
OlliOlli2: Welcome to Olliwood,8.5,roll7,roll7,,,
Resogun,8.5,XDEV,SCEA,,,
Rogue Legacy,8.5,Cellar Door Games,Cellar Door Games,,,
Sine Mora,8.5,Grasshopper Manufacture,Microsoft Game Studios,,,
Super Meat Boy,8.5,Team Meat,Team Meat,,,
Terraria,8.5,Engine Software,505 Games,Terraria (Europe).vpk,31.1 MiB,46.7 GiB
The Legend of Heroes: Trails of Cold Steel,8.5,Falcom,XSEED Games,"Legend of Heroes, The - Trails of Cold Steel (USA).vpk",2.7 GiB,49.4 GiB
Toukiden: Kiwami,8.5,Koei Tecmo Games,Koei Tecmo Games,Toukiden - Kiwami (Europe).vpk,3.2 GiB,52.6 GiB
A Rose in the Twilight,8.4,Nippon Ichi Software,NIS America,,,
Axiom Verge,8.4,Tom Happ,Tom Happ,,,
Frozen Synapse Prime,8.4,Double Eleven,Double Eleven,,,
Grim Fandango Remastered,8.4,Double Fine Productions,Double Fine Productions,,,
Minecraft,8.4,4J Studios,Microsoft Game Studios,,,
Muramasa: The Demon Blade,8.4,Vanillaware,Ignition Entertainment,,,
PixelJunk Monsters: Ultimate HD,8.4,Double Eleven,Double Eleven,,,
Sound Shapes,8.4,SCEA,SCEA,,,
Toukiden,8.4,Omega Force,Tecmo Koei Games,Toukiden 2 (USA).vpk,2.4 GiB,55.0 GiB
TxK,8.4,Llamasoft,Llamasoft,,,
Atelier Ayesha: The Alchemist of Dusk,8.3,Gust,Koei Tecmo Games,,,
