title,score,developer,publisher
Tony Hawk's Pro Skater 2,9.8,Neversoft Entertainment,Activision
Gran Turismo,9.6,Polyphony Digital,SCEA
Tekken 3,9.6,Namco,Namco
Resident Evil 3: Nemesis,9.5,Capcom,Capcom
Chrono Cross,9.4,SquareSoft,Square EA
Final Fantasy IX,9.4,SquareSoft,Square EA
ISS Pro Evolution,9.4,KCET,Konami
Metal Gear Solid,9.4,KCEJ,Konami
Resident Evil,9.4,Capcom,Capcom
Castlevania: Symphony of the Night,9.3,Digital Eclipse,Konami
Dino Crisis 2,9.3,Capcom,Capcom
Gran Turismo 2,9.3,Polyphony Digital,SCEA
Resident Evil 2 (1998),9.3,TOSE,Capcom
Street Fighter Alpha 3,9.3,Capcom,Capcom
Wipeout XL,9.3,Psygnosis,SCEA
Final Fantasy VII,9.2,SquareSoft,SCEA
Medal of Honor (1999),9.2,Dreamworks Interactive,Electronic Arts
PaRappa the Rapper,9.2,Epics,SCEA
Tony Hawk's Pro Skater,9.2,Neversoft Entertainment,Activision
Vagrant Story,9.2,SquareSoft,Square EA
Colony Wars,9.1,Psygnosis,Psygnosis
Crash Bandicoot: Warped,9.1,Naughty Dog,SCEA
Legacy of Kain: Soul Reaver,9.1,Crystal Dynamics,Eidos Interactive
Spyro: Year of the Dragon,9.1,Insomniac Games,SCEA
Suikoden II,9.1,Konami,Konami
Tomb Raider (1996),9.1,Core Design Ltd.,Eidos Interactive
Xenogears,9.1,SquareSoft,Square EA
Ape Escape,9.0,SCE Japan Studio,SCEA
Colin McRae Rally 2.0,9.0,Codemasters,Codemasters
Dance Dance Revolution,9.0,Konami,Konami
Final Fantasy Tactics,9.0,TOSE,Square Enix
Final Fantasy VIII,9.0,SquareSoft,Square EA
Syphon Filter,9.0,Eidetic,989 Studios
WWF SmackDown! 2: Know Your Role,9.0,Yuke's,THQ
Einhander,8.9,SquareSoft,SCEA
Final Fantasy Chronicles,8.9,TOSE,Square EA
Frogger 2: Swampy's Revenge,8.9,Blitz Games,Hasbro Interactive
Tekken 2,8.9,Namco,Namco
Wipeout 3,8.9,Psygnosis,Psygnosis
Need for Speed III: Hot Pursuit,8.8,EA Canada,Electronic Arts
NHL 2001,8.8,EA Sports,EA Sports
Oddworld: Abe's Exoddus,8.8,Oddworld Inhabitants,GT Interactive
Oddworld: Abe's Oddysee,8.8,Oddworld Inhabitants,GT Interactive
Parasite Eve,8.8,SquareSoft,Square EA
R4: Ridge Racer Type 4,8.8,Namco,Namco
Silent Hill,8.8,KCET,Konami
Ace Combat 2,8.7,Namco,Namco
Battle Arena Toshinden,8.7,Tamsoft,SCEA
Driver,8.7,Reflections Interactive,GT Interactive
Medal of Honor Underground,8.7,Dreamworks Interactive,Electronic Arts
Metal Slug X,8.7,SNK,Agetec
Spider-Man (2000),8.7,Neversoft Entertainment,Activision
Tenchu: Stealth Assassins,8.7,Acquire,Activision
Tomb Raider II,8.7,Core Design Ltd.,Eidos Interactive
Tony Hawk's Pro Skater 3,8.7,Neversoft Entertainment,Activision
Alundra,8.6,Matrix Software,Working Designs
Dragon Valor,8.6,Namco,Namco
Final Fantasy Anthology,8.6,SquareSoft,Square EA
Lunar 2: Eternal Blue,8.6,Game Arts,Working Designs
Monster Rancher,8.6,Tecmo,Tecmo
NBA Live 2001,8.6,EA Sports,EA Sports
Tenchu 2: Birth of the Stealth Assassins,8.6,Acquire,Activision
The Legend of Dragoon,8.6,SCE Japan Studio,SCEA
