title,score,developer,publisher,rom_name,size,running_total
Halo 2 Multiplayer Map Pack,9.3,Bungie,Microsoft Game Studios,"Halo 2 Multiplayer Map Pack (World) (En,Ja,Fr,De,Es,It,Zh,Ko).iso",7.3 GiB,7.3 GiB
Ninja Gaiden Black,9.1,Team Ninja,Tecmo,"Ninja Gaiden Black (USA) (En,Ja).iso",7.3 GiB,14.6 GiB
Ninja Gaiden (2004),9.0,Team Ninja,Tecmo,"Ninja Gaiden (USA, Japan) (En,Ja).iso",7.3 GiB,21.9 GiB
Dead or Alive Ultimate,8.9,Team Ninja,Tecmo,"Dead or Alive 2 Ultimate (USA, Japan) (En,Ja).iso",7.3 GiB,29.2 GiB
JSRF: Jet Set Radio Future,8.9,Smilebit,Sega,JSRF - Jet Set Radio Future (USA).iso,7.3 GiB,36.4 GiB
Panzer Dragoon Orta,8.8,Smilebit,Sega,Panzer Dragoon Orta (USA).iso,7.3 GiB,43.7 GiB
Crimson Skies: High Road to Revenge,8.8,FASA Studio,Microsoft Game Studios,"Crimson Skies - High Road to Revenge (USA) (En,Fr,De,Zh,Ko).iso",7.3 GiB,51.0 GiB
Forza Motorsport (2005),8.8,Microsoft Game Studios,Microsoft Game Studios,"Forza Motorsport (World) (En,Ja,Fr,De,Es,It,Zh,Ko).iso",7.3 GiB,58.3 GiB
Project Gotham Racing 2,8.7,Bizarre Creations,Microsoft Game Studios,"Project Gotham Racing 2 (USA, Japan) (En,Ja,Fr,De,Es,It,Zh,Ko).iso",7.3 GiB,65.6 GiB
Dead or Alive 3,8.6,Team Ninja,Tecmo,"Dead or Alive 3 (USA) (En,Ja).iso",7.3 GiB,72.9 GiB
World Series Baseball,8.5,Blueshift,Sega,World Series Baseball (USA).iso,7.3 GiB,80.2 GiB
Genma Onimusha,8.5,Capcom,Capcom,"Genma Onimusha (USA) (En,Ja).iso",7.3 GiB,87.5 GiB
Project Gotham Racing,8.4,Bizarre Creations,Microsoft Game Studios,Project Gotham Racing (USA).iso,7.3 GiB,94.7 GiB
Fable (2004),8.4,Big Blue Box,Microsoft Game Studios,"Fable (USA, Europe).iso",7.3 GiB,102.0 GiB
Tom Clancy's Rainbow Six 3: Black Arrow,8.4,Ubisoft Montreal,Ubisoft,"Tom Clancy's Rainbow Six 3 - Black Arrow (USA, Europe) (En,Fr,De,Es,It).iso",7.3 GiB,109.3 GiB
Tom Clancy's Ghost Recon 2: Summit Strike,8.4,Red Storm Entertainment,Ubisoft,"Tom Clancy's Ghost Recon 2 - Summit Strike (USA, Europe) (En,Fr,De,Es,It).iso",7.3 GiB,116.6 GiB
Silent Hill 2: Restless Dreams,8.4,KCET,Konami,"Silent Hill 2 - Restless Dreams (USA) (En,Ja).iso",7.3 GiB,123.9 GiB
MechAssault,8.3,Day 1 Studios,Microsoft Game Studios,"MechAssault (USA) (En,Fr,De) (Rev 1).iso",7.3 GiB,131.2 GiB
Unreal Championship,8.3,Digital Extremes,Atari SA,"Unreal Championship (USA, Europe) (En,Fr,De,Es,It).iso",7.3 GiB,138.5 GiB
Steel Battalion,8.3,Capcom,Capcom,Steel Battalion (USA).iso,7.3 GiB,145.8 GiB
Fatal Frame II: Crimson Butterfly - Director's Cut,8.3,Tecmo,Tecmo,Fatal Frame II - Crimson Butterfly - Director's Cut (USA).iso,7.3 GiB,153.0 GiB
Dance Dance Revolution Ultramix,8.2,Konami Computer Entertainment Hawaii,Konami,Dance Dance Revolution Ultramix (USA).iso,7.3 GiB,160.3 GiB
