title,score,developer,publisher,rom_name,size,running_total
The Legend of Zelda: Ocarina of Time 3D,9.2,GREZZO,Nintendo,"Legend of Zelda, The - Ocarina of Time 3D (USA) (En,Fr,Es) (Rev 1).3ds",512.0 MiB,512.0 MiB
Fire Emblem: Awakening,9.1,Intelligent Systems,Nintendo,Fire Emblem - Awakening (USA).3ds,2.0 GiB,2.5 GiB
The Legend of Zelda: A Link Between Worlds,9.0,Nintendo,Nintendo,"Legend of Zelda, The - A Link Between Worlds (USA) (En,Fr,Es).3ds",1.0 GiB,3.5 GiB
The Legend of Zelda: Majora's Mask 3D,8.9,GREZZO,Nintendo,"Legend of Zelda, The - Majora's Mask 3D (USA) (En,Fr,Es) (Rev 1).3ds",1.0 GiB,4.5 GiB
Animal Crossing: New Leaf,8.8,Nintendo,Nintendo,"Animal Crossing - New Leaf (USA) (En,Fr,Es).3ds",1.0 GiB,5.5 GiB
Super Mario 3D Land,8.7,Nintendo,Nintendo,"Super Mario 3D Land (USA) (En,Fr,Es) (Rev 1).3ds",512.0 MiB,6.0 GiB
Gotta Protectors (2016),8.7,Ancient Corp,Ancient Corp,,,
Pushmo,8.7,Intelligent Systems,Nintendo,,,
Monster Hunter 4 Ultimate,8.6,Capcom,Capcom,Monster Hunter 4 Ultimate (USA).3ds,4.0 GiB,10.0 GiB
Silver Falls - 3 Down Stars,8.6,Sungrand,Sungrand,,,
Metroid: Samus Returns,8.6,Mercury Steam,Nintendo,"Metroid - Samus Returns (USA) (En,Fr,Es).3ds",1.0 GiB,11.0 GiB
Luigi's Mansion: Dark Moon,8.5,Next Level Games,Nintendo,"Luigi's Mansion - Dark Moon (USA) (En,Fr,Es).3ds",1.0 GiB,12.0 GiB
Kid Icarus: Uprising,8.5,Project Sora,Nintendo,"Kid Icarus - Uprising (USA) (En,Fr,Es).3ds",2.0 GiB,14.0 GiB
Bravely Default,8.4,Silicon Studio,Nintendo,"Bravely Default (USA) (En,Ja,Fr,De,Es,It).3ds",4.0 GiB,18.0 GiB
Go! Go! Kokopolo 3D: Space Recipe for Disaster,8.4,Tanukii Studios,CIRCLE Entertainment,Go! Go! Kokopolo 3D - Space Recipe For Disaster (USA).3ds,512.0 MiB,18.5 GiB
Kirby: Planet Robobot,8.4,HAL Labs,Nintendo,Kirby - Planet Robobot (USA).3ds,1.0 GiB,19.5 GiB
Crashmo,8.4,Intelligent Systems,Nintendo,"Crash Time 3D (Europe) (En,Fr,De,It).3ds",256.0 MiB,19.8 GiB
Etrian Odyssey IV: Legends of the Titan,8.4,Atlus,Atlus,Etrian Odyssey IV - Legends of the Titan (USA).3ds,1.0 GiB,20.8 GiB
Mario Kart 7,8.3,Retro Studios,Nintendo,"Mario Kart 7 (USA) (En,Fr,Es) (Rev 1).3ds",1.0 GiB,21.8 GiB
Fire Emblem Echoes: Shadows of Valentia,8.3,Intelligent Systems,Nintendo,"Fire Emblem Echoes - Shadows of Valentia (USA) (En,Fr,Es).3ds",2.0 GiB,23.8 GiB
Yo-kai Watch 3,8.3,Level 5,Nintendo,Yo-Kai Watch 3 (USA).3ds,4.0 GiB,27.8 GiB
Kirby: Triple Deluxe,8.3,HAL Labs,Nintendo,"Kirby - Triple Deluxe (USA) (En,Fr,Es).3ds",1.0 GiB,28.8 GiB
Fire Emblem Fates: Conquest,8.3,Intelligent Systems,Nintendo,Fire Emblem Fates - Conquest (USA).3ds,2.0 GiB,30.8 GiB
Fire Emblem Fates: Special Edition,8.3,Intelligent Systems,Nintendo,Fire Emblem Fates - Special Edition (USA).3ds,2.0 GiB,32.8 GiB
Theatrhythm Final Fantasy: Curtain Call,8.2,indieszero,Square Enix,Theatrhythm Final Fantasy - Curtain Call (USA).3ds,2.0 GiB,34.8 GiB
Rhythm Heaven Megamix,8.2,Nintendo,Nintendo,"Rhythm Paradise Megamix (Europe) (En,Fr,De,Es,It).3ds",1.0 GiB,35.8 GiB
Monster Hunter Generations,8.2,Capcom,Capcom,Monster Hunter Generations (USA).3ds,2.0 GiB,37.8 GiB
Picross 3D: Round 2,8.2,HAL Labs,Nintendo,"Picross 3D - Round 2 (Europe) (En,Fr,De,Es,It).3ds",256.0 MiB,38.0 GiB
Fire Emblem Fates: Birthright,8.2,Intelligent Systems,Nintendo,Fire Emblem Fates - Birthright (USA).3ds,2.0 GiB,40.0 GiB
Stella Glow,8.2,Imageepoch,Atlus,Stella Glow (USA).3ds,2.0 GiB,42.0 GiB
Pokemon Y,8.2,Game Freak,Nintendo,"Pokemon Y (USA) (En,Ja,Fr,De,Es,It,Ko).3ds",2.0 GiB,44.0 GiB
Inazuma Eleven Go: Chrono Stones - Wildfire,8.2,Level 5,Level 5,"Inazuma Eleven GO - Chrono Stones - Wildfire (Europe) (En,Fr,De,Es,It).3ds",4.0 GiB,48.0 GiB
Etrian Odyssey Untold: The Millennium Girl,8.2,Atlus,Atlus,Etrian Odyssey Untold - The Millennium Girl (USA).3ds,1.0 GiB,49.0 GiB
Professor Layton and the Miracle Mask,8.1,Level 5,Nintendo,Professor Layton and the Miracle Mask (USA) (Rev 1).3ds,1.0 GiB,50.0 GiB
Pokemon Sun,8.1,Game Freak,Nintendo,"Pokemon Sun (USA) (En,Ja,Fr,De,Es,It,Zh,Ko).3ds",4.0 GiB,54.0 GiB
Pokemon Moon,8.1,Game Freak,Nintendo,"Pokemon Moon (USA) (En,Ja,Fr,De,Es,It,Zh,Ko).3ds",4.0 GiB,58.0 GiB
Mario & Luigi: Superstar Saga + Bowser's Minions,8.1,Alphadream Corporation,Nintendo,"Mario & Luigi - Superstar Saga + Bowser's Minions (USA) (En,Fr,Es).3ds",1.0 GiB,59.0 GiB
Mario & Luigi: Dream Team,8.1,Alphadream Corporation,Nintendo,"Mario & Luigi - Dream Team (USA) (En,Fr,Es) (Rev 1).3ds",1.0 GiB,60.0 GiB
Bravely Second: End Layer,8.1,Silicon Studio,Nintendo,"Bravely Second - End Layer (USA) (En,Fr,Es).3ds",4.0 GiB,64.0 GiB
Stretchmo,8.1,Intelligent Systems,Nintendo,,,
Pocket Card Jockey,8.1,Game Freak,Nintendo,,,
Star Fox 64 3D,8.1,Q-Games,Nintendo,"Star Fox 64 3D (USA) (En,Fr,Es) (Rev 3).3ds",1.0 GiB,65.0 GiB
Professor Layton and the Azran Legacy,8.1,Level 5,Nintendo,Professor Layton and the Azran Legacy (USA).3ds,1.0 GiB,66.0 GiB
Pokemon X,8.1,Game Freak,Nintendo,"Pokemon X (USA) (En,Ja,Fr,De,Es,It,Ko).3ds",2.0 GiB,68.0 GiB
Nintendo 3DS,8.1,Nintendo,Nintendo,"Nintendogs + Cats (USA) (En,Fr,Es) (Demo) (Kiosk).3ds",512.0 MiB,68.5 GiB
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,8.1,Alphadream Corporation,Nintendo,Mario & Luigi - Bowser's Inside Story + Bowser Jr.'s Journey (USA).3ds,1.0 GiB,69.5 GiB
Hatsune Miku: Project Mirai DX,8.1,Sega,Sega,Hatsune Miku - Project Mirai DX (USA).3ds,4.0 GiB,73.5 GiB
Etrian Odyssey 2 Untold: The Fafnir Knight,8.1,Atlus,Atlus,Etrian Odyssey 2 Untold - The Fafnir Knight (USA).3ds,1.0 GiB,74.5 GiB
