title,score,developer,publisher,rom_name,size,running_total
Super Mario Galaxy,9.4,Nintendo,Nintendo,"Super Mario Galaxy (USA) (En,Fr,Es).iso",4.4 GiB,4.4 GiB
Super Mario Galaxy 2,9.3,Nintendo EAD Tokyo ,Nintendo,"Super Mario Galaxy 2 (USA) (En,Fr,Es).iso",4.4 GiB,8.8 GiB
Metroid Prime Trilogy,9.1,Retro Studios,Nintendo,Metroid Prime Trilogy (USA).iso,7.9 GiB,16.7 GiB
Super Smash Bros. Brawl,9.1,Game Arts,Nintendo,Super Smash Bros. Brawl (USA) (Rev 2).iso,7.9 GiB,24.6 GiB
The Legend of Zelda: Skyward Sword,8.7,Nintendo,Nintendo,"Legend of Zelda, The - Skyward Sword (USA) (En,Fr,Es) (Rev 2).iso",4.4 GiB,29.0 GiB
Doc Louis's Punch-Out!!,8.7,Next Level Games,Nintendo,Doc Louis's Punch-Out!! (USA) (Club Nintendo) (WiiWare).wad,21.7 MiB,29.0 GiB
Punch-Out!!,8.6,Next Level Games,Nintendo,"Punch-Out!! (USA) (En,Fr,Es) (Rev 1).iso",4.4 GiB,33.4 GiB
Kirby's Dream Collection: Special Edition,8.6,HAL Labs,Nintendo,Kirby's Dream Collection - Special Edition (USA).iso,4.4 GiB,37.8 GiB
Sin & Punishment: Star Successor,8.6,Treasure,Nintendo,Sin & Punishment - Star Successor (USA).iso,4.4 GiB,42.1 GiB
Kirby's Epic Yarn,8.6,Good-Feel,Nintendo,"Kirby's Epic Yarn (USA) (En,Fr,Es).iso",4.4 GiB,46.5 GiB
New Super Mario Bros. Wii,8.5,Nintendo,Nintendo,"New Super Mario Bros. Wii (USA) (En,Fr,Es) (Rev 2).iso",4.4 GiB,50.9 GiB
Maboshi's Arcade,8.5,Mindware,Nintendo,Maboshi's Arcade (USA) (WiiWare).wad,21.4 MiB,50.9 GiB
Wii Sports/Wii Sports Resort,8.4,Nintendo,Nintendo,"Wii Sports + Wii Sports Resort (USA) (En,Fr,Es).iso",4.4 GiB,55.3 GiB
M&M's Beach Party,8.4,Digital Embryo,Zoo Games,M&M's Beach Party (USA).iso,4.4 GiB,59.7 GiB
Mario Kart Wii,8.4,Nintendo,Nintendo,"Mario Kart Wii (USA) (En,Fr,Es).iso",4.4 GiB,64.0 GiB
Rhythm Heaven Fever,8.4,Nintendo,Nintendo,Rhythm Heaven Fever (USA).iso,4.4 GiB,68.4 GiB
WarioWare: Smooth Moves,8.3,Intelligent Systems,Nintendo,"WarioWare - Smooth Moves (USA) (En,Fr,Es).iso",4.4 GiB,72.8 GiB
Tatsunoko vs. Capcom: Ultimate All-Stars,8.3,Eighting,Capcom,Tatsunoko vs. Capcom - Ultimate All-Stars (USA).iso,4.4 GiB,77.2 GiB
Super Paper Mario,8.3,Intelligent Systems,Nintendo,Super Paper Mario (USA) (Rev 2).iso,4.4 GiB,81.6 GiB
Fire Emblem: Radiant Dawn,8.3,Intelligent Systems,Nintendo,Fire Emblem - Radiant Dawn (USA) (Rev 1).iso,4.4 GiB,85.9 GiB
Zack & Wiki: Quest for Barbaros' Treasure,8.2,Capcom,Capcom,Zack & Wiki - Quest for Barbaros' Treasure (USA).iso,4.4 GiB,90.3 GiB
The Last Story,8.2,Mistwalker,XSEED Games,"Last Story, The (USA) (En,Fr,Es).iso",7.9 GiB,98.2 GiB
Kirby's Return to Dream Land,8.2,HAL Labs,Nintendo,"Kirby's Return to Dream Land (USA) (En,Fr,Es).iso",4.4 GiB,102.6 GiB
