title,score,developer,publisher,rom_name,size,running_total
Metal Gear Solid 2: Sons of Liberty,9.2,KCEJ,Konami,Metal Gear Solid 2 - Sons of Liberty (USA).iso,4.3 GiB,4.3 GiB
NCAA Football 2002,9.0,EA Sports,EA Sports,NCAA Football 2002 (USA).bin,673.1 MiB,5.0 GiB
Gran Turismo 3: A-Spec,8.9,Polyphony Digital,SCEA,Gran Turismo 3 - A-Spec (USA) (v1.00).iso,3.6 GiB,8.6 GiB
Naruto Shippuden: Ultimate Ninja 5,8.9,CyberConnect2,Bandai Namco Games,"Naruto Shippuden - Ultimate Ninja 5 (Europe) (En,Fr,De,Es,It).iso",1.8 GiB,10.4 GiB
Devil May Cry: 5th Anniversary Collection,8.9,Capcom,Capcom,Mega Man Anniversary Collection (USA).iso,3.5 GiB,13.9 GiB
Virtua Fighter 4,8.9,Sega AM2,Sega,Virtua Fighter 4 (USA).bin,543.4 MiB,14.4 GiB
Kingdom Hearts II,8.8,Square Enix,Square Enix,Kingdom Hearts II (USA).iso,3.7 GiB,18.1 GiB
Virtua Fighter 4: Evolution,8.8,Sega,Sega,Virtua Fighter 4 - Evolution (USA).iso,1.5 GiB,19.6 GiB
Resident Evil: The Essentials,8.8,Capcom,Capcom,Resident Evil - Code - Veronica X (USA).iso,1.8 GiB,21.3 GiB
Klonoa 2: Lunatea's Veil,8.8,Namco,Namco,Klonoa 2 - Lunatea's Veil (USA) (Trade Demo).bin,171.9 MiB,21.5 GiB
Tekken 5,8.8,Namco,Namco,Tekken 5 (USA).iso,4.2 GiB,25.7 GiB
Metal Gear Solid 3: Subsistence,8.8,Kojima Productions,Konami,"Metal Gear Solid 3 - Subsistence (USA) (En,Es) (Disc 3) (Existence) (Limited Edition).iso",11.5 GiB,37.1 GiB
WWE SmackDown! Here Comes the Pain,8.7,Yuke's,THQ,WWE SmackDown! Here Comes the Pain (USA).iso,4.2 GiB,41.4 GiB
Valkyrie Profile 2: Silmeria,8.7,Tri-Ace,Square Enix,Valkyrie Profile 2 - Silmeria (USA).iso,4.3 GiB,45.7 GiB
Suikoden III,8.7,KCET,Konami,Suikoden III (USA).iso,4.0 GiB,49.7 GiB
SSX (2000),8.7,EA Sports Big,EA Sports Big,SSX 3 (USA).iso,2.8 GiB,52.5 GiB
Silent Hill 2 (2001),8.7,KCET,Konami,"Silent Hill 2 (USA) (En,Ja,Fr,De,Es,It) (v2.01).iso",3.6 GiB,56.1 GiB
Devil May Cry 3: Dante's Awakening,8.7,Capcom,Capcom,"Devil May Cry 3 - Dante's Awakening (USA) (En,Ja) (Special Edition).iso",4.1 GiB,60.2 GiB
Crash Bandicoot Action Pack,8.7,Various,Sierra Entertainment,Crash Bandicoot - Gatchanko World (Japan).iso,3.1 GiB,63.3 GiB
Ace Combat 04: Shattered Skies,8.7,Project Aces ,Namco,Ace Combat 04 - Shattered Skies (USA).iso,3.3 GiB,66.6 GiB
We Love Katamari,8.6,Now Production,Namco,We Love Katamari (USA).iso,3.3 GiB,69.9 GiB
Katamari Damacy,8.6,Now Production,Namco,Katamari Damacy (USA).iso,2.9 GiB,72.9 GiB
Shadow Hearts: Covenant,8.6,Nautilus,Midway,Shadow Hearts - Covenant (USA) (Disc 2).iso,7.6 GiB,80.5 GiB
Kingdom Hearts,8.6,SquareSoft,SquareSoft,Kingdom Hearts (USA).iso,2.8 GiB,83.3 GiB
Guitar Hero,8.6,Harmonix Music Systems,RedOctane,Guitar Hero (USA).iso,2.1 GiB,85.5 GiB
DOA2: Hardcore,8.6,Team Ninja,Tecmo,"DOA2 - Hardcore (USA) (En,Ja,Fr,De,Es,It).iso",4.4 GiB,89.8 GiB
Wipeout Fusion,8.6,Studio Liverpool,Bam Entertainment,WipEout Fusion (USA).iso,2.2 GiB,92.0 GiB
SoulCalibur III,8.6,Namco,Namco,Soulcalibur III (USA).iso,4.1 GiB,96.1 GiB
Gradius V,8.6,Treasure,Konami,Gradius V (USA).bin,444.3 MiB,96.5 GiB
Xenosaga Episode III: Also sprach Zarathustra,8.5,Monolith Soft,Namco Bandai Games,Xenosaga Episode III - Also sprach Zarathustra (USA) (Disc 2).iso,7.9 GiB,104.4 GiB
