title,score,developer,publisher,rom_name,size,running_total
Jeanne d'Arc,8.8,Level 5,SCEA,Jeanne d'Arc (USA).iso,1.2 GiB,1.2 GiB
Metal Gear Solid: Peace Walker,8.7,Kojima Productions,Konami,"Metal Gear Solid - Peace Walker (USA) (En,Fr,Es) (v1.01).iso",1.5 GiB,2.7 GiB
Wipeout Pure,8.6,Studio Liverpool,SCEA,"WipEout Pure (USA) (En,Fr,Es) (v2.00).iso",241.2 MiB,2.9 GiB
Daxter,8.5,Ready at Dawn,SCEA,Daxter (USA).iso,1.3 GiB,4.2 GiB
Ridge Racer,8.4,Namco,Namco,Ridge Racer (USA).iso,864.4 MiB,5.1 GiB
Patapon 2,8.4,SCE Japan Studio,SCEA,"Patapon 2 (USA) (En,Fr,Es) (PSN & Store).iso",559.5 MiB,5.6 GiB
Mega Man Powered Up,8.4,Capcom,Capcom,Mega Man - Powered Up (USA).iso,297.3 MiB,5.9 GiB
Valkyria Chronicles II,8.4,Sega,Sega,Valkyria Chronicles II (USA).iso,1.0 GiB,6.9 GiB
PixelJunk Monsters Deluxe,8.3,Q-Games,SCEA,PixelJunk Monsters Deluxe (USA).iso,210.4 MiB,7.1 GiB
Kingdom Hearts: Birth by Sleep,8.3,Square Enix,Square Enix,"Kingdom Hearts - Birth by Sleep (USA) (En,Fr,Es).iso",1.6 GiB,8.8 GiB
Half-Minute Hero,8.3,Opus,XSEED Games,Half-Minute Hero (USA).iso,211.8 MiB,9.0 GiB
Metal Gear Solid: Portable Ops,8.2,Kojima Productions,Konami,Metal Gear Solid - Portable Ops (USA) (v1.02).iso,1.3 GiB,10.3 GiB
Mega Man Maverick Hunter X,8.2,Capcom,Capcom,Mega Man - Maverick Hunter X (USA) (v1.01).iso,448.7 MiB,10.7 GiB
Final Fantasy VII: Advent Children,8.2,Square Enix,Square Enix,"Final Fantasy II (Japan, Asia) (En,Ja).iso",274.0 MiB,11.0 GiB
Castlevania: The Dracula X Chronicles,8.2,Konami,Konami,Castlevania - The Dracula X Chronicles (USA) (v1.02).iso,1.0 GiB,12.0 GiB
Sweet Fuse: At Your Side,8.2,Idea Factory,Aksys Games,Sweet Fuse - At Your Side (USA).iso,1.1 GiB,13.1 GiB
Lumines,8.2,Q Entertainment,Ubisoft,Lumines (USA) (v1.01).iso,200.2 MiB,13.3 GiB
Hot Shots Golf: Open Tee 2,8.2,Clap Hanz,SCEA,Hot Shots Golf - Open Tee 2 (USA) (PSP) (PSN).iso,899.2 MiB,14.2 GiB
Final Fantasy IV: The Complete Collection,8.2,Bullets,Square Enix,"Final Fantasy IV - The Complete Collection (USA) (En,Ja,Fr).iso",840.0 MiB,15.0 GiB
Lunar: Silver Star Harmony,8.2,Game Arts,XSEED Games,Lunar - Silver Star Harmony (USA).iso,933.5 MiB,15.9 GiB
The 2D Adventures of Rotating Octopus Character,8.1,Dakko Dakko,Dakko Dakko,"2D Adventures of Rotating Octopus Character, The (USA) (minis) (PSN).iso",138.2 MiB,16.0 GiB
Race Driver 2006,8.1,Sumo Digital,Codemasters,Race Driver 2006 (USA) (v1.01).iso,1.6 GiB,17.6 GiB
Invizimals: The Lost Tribes,8.1,Novarama,SCEA,"Invizimals - The Lost Tribes (Europe) (En,Fr,De,Es,It,Nl,Pl,Ru) (v1.01).iso",1.3 GiB,19.0 GiB
Brandish: The Dark Revenant,8.1,Falcom,XSEED Games,Brandish - The Dark Revenant (USA) (PSP) (PSN).iso,381.3 MiB,19.3 GiB
Metal Gear Acid 2,8.1,Kojima Productions,Konami,Metal Gear Ac!d 2 (USA).iso,874.8 MiB,20.2 GiB
Dissidia: Final Fantasy,8.1,Square Enix,Square Enix,Dissidia Final Fantasy (Japan).iso,1.5 GiB,21.7 GiB
Dissidia 012: Duodecim Final Fantasy,8.1,Square Enix,Square Enix,"Dissidia 012 - Duodecim Final Fantasy (USA) (En,Fr,De,Es,It).iso",1.6 GiB,23.3 GiB
Cladun: This is an RPG,8.1,System Prisma,NIS America,Cladun - This is an RPG! (USA) (PSP) (PSN).iso,291.3 MiB,23.6 GiB
Velocity,8.0,FuturLab,FuturLab,Velocity (USA) (minis) (PSN).iso,202.2 MiB,23.8 GiB
Rock Band Unplugged,8.0,Backbone Entertainment,Electronic Arts,Rock Band Unplugged (USA).iso,1.3 GiB,25.1 GiB
MLB,8.0,989 Sports,SCEA,MLB (USA).iso,1.1 GiB,26.1 GiB
Invizimals: Shadow Zone,8.0,Novarama,SCEA,"Invizimals - Shadow Zone (USA) (En,Fr,Es,Pt).iso",1.7 GiB,27.8 GiB
