title,score,developer,publisher,rom_name,size,running_total
Tearaway,8.8,Media Molecule,SCEA,Tearaway (USA).vpk,907.6 MiB,907.6 MiB
LittleBigPlanet PS Vita,8.7,Tarsier Studios,SCEA,"LittleBigPlanet PS Vita (Europe) (En,Fr,De,Es,It,Nl,Pt,No,Da,Fi,Pl,Ru).vpk",1.6 GiB,2.5 GiB
Gravity Rush,8.4,SCE Japan Studio,SCEA,Gravity Rush (Europe).vpk,1.4 GiB,3.9 GiB
Killzone: Mercenary,8.3,Guerilla Cambridge,SCEA,"Killzone - Mercenary (Europe) (En,Fr,De,Es,It,Nl,Pt).vpk",3.3 GiB,7.2 GiB
Muramasa Rebirth: Fishy Tales of the Nekomata,8.2,Vanillaware,Aksys Games,,,
Fuel Tiracas,8.2,FuturLab,FuturLab,,,
Lumines: Electronic Symphony,8.1,Q Entertainment,Ubisoft,Lumines - Electronic Symphony (USA).vpk,720.4 MiB,7.9 GiB
Super Stardust Delta,8.1,Housemarque,Sony Interactive Entertainment,,,
Muramasa Rebirth: A Cause to Daikon for,8.1,Vanillaware,Aksys Games,,,
WipEout 2048,8.1,Studio Liverpool,SCEA,"WipEout 2048 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl,Ru).vpk",1.6 GiB,9.4 GiB
Surge (2012),8.1,FuturLab,FuturLab,,,
Tokyo Jungle Mobile,7.9,SCEI,SCEA,,,
Soul Sacrifice,7.9,SCE Japan Studio,SCEA,Soul Sacrifice (USA).vpk,1.7 GiB,11.1 GiB
TxK,7.9,Llamasoft,Llamasoft,,,
Switch Galaxy,7.9,Atomicom,Atomicom,,,
Oreshika: Tainted Bloodlines,7.9,Alfa System,SCEA,,,
DJMax Technika Tune,7.9,Pentavision Entertainment,Pentavision Entertainment,DJMax Technika Tune (USA).vpk,3.1 GiB,14.2 GiB
Virtua Tennis 4: World Tour Edition,7.8,Sega,Sega,"Virtua Tennis 4 - World Tour Edition (USA) (En,Fr,Es).vpk",1.0 GiB,15.3 GiB
Freedom Wars,7.8,SCE Japan Studio,SCEA,Freedom Wars (USA).vpk,1.3 GiB,16.6 GiB
Uncharted: Golden Abyss,7.8,Sony Bend,SCEA,"Uncharted - Golden Abyss (Europe) (En-GB,Es,Pt,Sv,No,Da,Fi,Pl,Ru).vpk",3.3 GiB,19.9 GiB
Malicious Rebirth,7.8,Alvion,SCEA,"Muramasa Rebirth (USA) (En,Ja).vpk",455.4 MiB,20.4 GiB
Demon Gaze,7.8,Experience Inc.,NIS America,"Demon Gaze (Europe) (En,Ja).vpk",512.4 MiB,20.9 GiB
Bad Apple Wars,7.8,Otomate,Aksys Games,Bad Apple Wars (USA).vpk,1.5 GiB,22.4 GiB
Tokyo Xanadu,7.8,Falcom,Aksys Games,Tokyo Xanadu (USA).vpk,2.2 GiB,24.5 GiB
Floating Cloud God Saves the Pilgrims in HD!,7.7,Dakko Dakko,Dakko Dakko,,,
Open Me!,7.6,SCEI,SCEA,,,
FIFA Soccer (2012),7.6,Electronic Arts,EA Sports,FIFA Soccer 13 (USA).vpk,2.8 GiB,27.4 GiB
Criminal Girls 2: Party Favors,7.4,Nippon Ichi Software,NIS America,Criminal Girls 2 - Party Favors (Europe).vpk,1.1 GiB,28.5 GiB
Surge Deluxe,7.3,FuturLab,FuturLab,,,
Frobisher Says!,7.3,Honeyslug Ltd,SCEA,,,
Invizimals: The Resistance,7.3,Novarama,SCEA,,,
New Little King's Story,7.3,Konami,Konami,"New Little King's Story (Europe) (En,Fr,De,Es,It).vpk",659.5 MiB,29.1 GiB
Gravity Crash Ultra,7.3,Just Add Water,Just Add Water,Gravity Rush (Europe).vpk,1.4 GiB,30.5 GiB
PulzAR,7.2,XDEV,SCEA,,,
Smart as...,7.2,XDEV,SCEA,"Smart as... (Europe) (En,Fr,De,It,Nl).vpk",1.5 GiB,32.0 GiB
Gravity Rush: Military Pack,7.2,SCE Japan Studio,SCEA,Gravity Rush (Europe).vpk,1.4 GiB,33.4 GiB
Ragnarok Odyssey,7.2,Game Arts,XSEED Games,Ragnarok Odyssey (USA).vpk,1.0 GiB,34.5 GiB
Earth Defense Force 2017 Portable,7.2,Sandlot,D3Publisher,Earth Defense Force 2 - Invaders From Planet Space (USA).vpk,280.3 MiB,34.7 GiB
Touch My Katamari,7.2,Bandai Namco Games,Namco Bandai Games,Touch My Katamari (USA).vpk,590.0 MiB,35.3 GiB
Sword Art Online: Hollow Fragment,7.2,Aquria,Bandai Namco Games,"Sword Art Online - Hollow Realization (Europe) (En,Fr,De,Es,It).vpk",2.8 GiB,38.1 GiB
Dynasty Warriors Next,7.2,Omega Force,Tecmo Koei Games,Dynasty Warriors Next (Europe).vpk,1.4 GiB,39.6 GiB
Unit 13,7.1,Zipper Interactive,SCEA,"Unit 13 (USA) (En,Fr,Es,Pt).vpk",1.2 GiB,40.7 GiB
Invizimals: The Alliance,7.1,Novarama,SCEA,,,
Football Manager Classic 2014,7.0,Sports Interactive,Sega,,,
Murasaki Baby,7.0,Ovosonico,SCEA,,,
Assassin's Creed III: Liberation,7.0,Ubisoft Sofia,Ubisoft,"Assassin's Creed III - Liberation (Europe) (En,Fr,De,Es,It,Nl,Ru).vpk",2.9 GiB,43.6 GiB
Super Monkey Ball: Banana Splitz,6.9,Marvelous AQL,Sega,Super Monkey Ball - Banana Splitz (USA).vpk,811.6 MiB,44.4 GiB
MonsterBag,6.9,IguanaBee,SCEA,,,
PlayStation Vita Pets,6.9,Spiral House,SCEA,"PlayStation Vita Pets (Europe) (En,Fr,De,Es).vpk",1.6 GiB,46.0 GiB
Reel Fishing: Master's Challenge,6.8,"Tachyon Inc.,",Natsume,,,
Destiny of Spirits,6.8,Q Entertainment,SCEA,,,
The Hungry Horde,6.8,Nosebleed Interactive,SCEA,,,
OMG HD Zombies!,6.8,Laughing Jackal,Laughing Jackal,,,
Flying Hamster HD (2010),6.7,The Game Atelier,The Game Atelier,,,
