title,score,developer,publisher,rom_name,size,running_total
Ninja Gaiden Black,9.4,Team Ninja,Tecmo,"Ninja Gaiden Black (USA) (En,Ja).iso",7.3 GiB,7.3 GiB
Forza Motorsport (2005),9.2,Microsoft Game Studios,Microsoft Game Studios,"Forza Motorsport (World) (En,Ja,Fr,De,Es,It,Zh,Ko).iso",7.3 GiB,14.6 GiB
Ninja Gaiden (2004),9.1,Team Ninja,Tecmo,"Ninja Gaiden (USA, Japan) (En,Ja).iso",7.3 GiB,21.9 GiB
Project Gotham Racing 2,9.0,Bizarre Creations,Microsoft Game Studios,"Project Gotham Racing 2 (USA, Japan) (En,Ja,Fr,De,Es,It,Zh,Ko).iso",7.3 GiB,29.2 GiB
Panzer Dragoon Orta,9.0,Smilebit,Sega,Panzer Dragoon Orta (USA) (Beta) (2002-11-14).iso,3.7 GiB,32.8 GiB
Halo 2 Multiplayer Map Pack,8.9,Bungie,Microsoft Game Studios,"Halo 2 Multiplayer Map Pack (World) (En,Ja,Fr,De,Es,It,Zh,Ko).iso",7.3 GiB,40.1 GiB
JSRF: Jet Set Radio Future,8.8,Smilebit,Sega,JSRF - Jet Set Radio Future (USA).iso,7.3 GiB,47.4 GiB
Crimson Skies: High Road to Revenge,8.8,FASA Studio,Microsoft Game Studios,"Crimson Skies - High Road to Revenge (USA) (En,Fr,De,Zh,Ko).iso",7.3 GiB,54.7 GiB
RalliSport Challenge 2,8.7,Digital Illusions,Microsoft Game Studios,RalliSport Challenge (USA) (Rev 1).iso,7.3 GiB,62.0 GiB
MechAssault,8.7,Day 1 Studios,Microsoft Game Studios,"MechAssault (USA) (En,Fr,De) (Rev 1).iso",7.3 GiB,69.2 GiB
Dead or Alive 3,8.7,Team Ninja,Tecmo,"Dead or Alive 3 (USA) (En,Ja).iso",7.3 GiB,76.5 GiB
World Series Baseball,8.5,Blueshift,Sega,World Series Baseball (USA).iso,7.3 GiB,83.8 GiB
Project Gotham Racing,8.5,Bizarre Creations,Microsoft Game Studios,Project Gotham Racing (USA).iso,7.3 GiB,91.1 GiB
Fable (2004),8.5,Big Blue Box,Microsoft Game Studios,"Fable (USA, Europe).iso",7.3 GiB,98.4 GiB
Tom Clancy's Rainbow Six 3: Black Arrow,8.4,Ubisoft Montreal,Ubisoft,"Tom Clancy's Rainbow Six 3 - Black Arrow (USA, Europe) (En,Fr,De,Es,It).iso",7.3 GiB,105.7 GiB
Tom Clancy's Ghost Recon 2: Summit Strike,8.4,Red Storm Entertainment,Ubisoft,"Tom Clancy's Ghost Recon 2 - Summit Strike (USA, Europe) (En,Fr,De,Es,It).iso",7.3 GiB,113.0 GiB
Silent Hill 2: Restless Dreams,8.4,KCET,Konami,"Silent Hill 2 - Restless Dreams (USA) (En,Ja).iso",7.3 GiB,120.3 GiB
Fatal Frame II: Crimson Butterfly - Director's Cut,8.4,Tecmo,Tecmo,Fatal Frame II - Crimson Butterfly - Director's Cut (USA).iso,7.3 GiB,127.5 GiB
Unreal Championship,8.3,Digital Extremes,Atari SA,"Unreal Championship (USA, Europe) (En,Fr,De,Es,It).iso",7.3 GiB,134.8 GiB
Steel Battalion,8.3,Capcom,Capcom,Steel Battalion (USA).iso,7.3 GiB,142.1 GiB
Genma Onimusha,8.3,Capcom,Capcom,"Genma Onimusha (USA) (En,Ja).iso",7.3 GiB,149.4 GiB
Dead or Alive Ultimate,8.3,Team Ninja,Tecmo,"Dead or Alive 2 Ultimate (USA, Japan) (En,Ja).iso",7.3 GiB,156.7 GiB
