title,score,developer,publisher
The Legend of Zelda: Ocarina of Time 3D,9.4,GREZZO,Nintendo
Fire Emblem: Awakening,9.2,Intelligent Systems,Nintendo
The Legend of Zelda: A Link Between Worlds,9.1,Nintendo,Nintendo
Super Mario 3D Land,9.0,Nintendo,Nintendo
Pushmo,9.0,Intelligent Systems,Nintendo
The Legend of Zelda: Majora's Mask 3D,8.9,GREZZO,Nintendo
Pokemon Y,8.8,Game Freak,Nintendo
Fire Emblem Fates: Special Edition,8.8,Intelligent Systems,Nintendo
Fire Emblem Fates: Revelation,8.8,Intelligent Systems,Nintendo
Animal Crossing: New Leaf,8.8,Nintendo,Nintendo
Pokemon X,8.7,Game Freak,Nintendo
Pokemon Sun,8.7,Game Freak,Nintendo
Pokemon Moon,8.7,Game Freak,Nintendo
Gotta Protectors (2016),8.7,Ancient Corp,Ancient Corp
Fire Emblem Fates: Conquest,8.7,Intelligent Systems,Nintendo
Picross 3D: Round 2,8.6,HAL Labs,Nintendo
Monster Hunter 4 Ultimate,8.6,Capcom,Capcom
Luigi's Mansion: Dark Moon,8.6,Next Level Games,Nintendo
Fire Emblem Fates: Birthright,8.6,Intelligent Systems,Nintendo
Crashmo,8.6,Intelligent Systems,Nintendo
Monster Hunter Generations,8.5,Capcom,Capcom
Metroid: Samus Returns,8.5,Mercury Steam,Nintendo
Mario Kart 7,8.5,Retro Studios,Nintendo
Bravely Default,8.5,Silicon Studio,Nintendo
Shin Megami Tensei IV: Apocalypse,8.4,Atlus,Atlus
Shin Megami Tensei: Devil Survivor 2 Record Breaker,8.4,Atlus,Atlus
Pokemon Ultra Moon,8.4,Game Freak,Nintendo
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,8.4,Alphadream Corporation,Nintendo
Go! Go! Kokopolo 3D: Space Recipe for Disaster,8.4,Tanukii Studios,CIRCLE Entertainment
Etrian Odyssey IV: Legends of the Titan,8.4,Atlus,Atlus
Theatrhythm Final Fantasy: Curtain Call,8.3,indieszero,Square Enix
Stretchmo,8.3,Intelligent Systems,Nintendo
Shin Megami Tensei IV,8.3,Atlus,Atlus
Rhythm Heaven Megamix,8.3,Nintendo,Nintendo
Pokemon Omega Ruby,8.3,Game Freak,Nintendo
Pocket Card Jockey,8.3,Game Freak,Nintendo
Persona Q: Shadow of the Labyrinth,8.3,Atlus,Atlus
Kid Icarus: Uprising,8.3,Project Sora,Nintendo
BYE-BYE BOXBOY!,8.3,HAL Labs,Nintendo
Professor Layton and the Miracle Mask,8.2,Level 5,Nintendo
Pokemon Alpha Sapphire,8.2,Game Freak,Nintendo
Etrian Odyssey 2 Untold: The Fafnir Knight,8.2,Atlus,Atlus
Cave Story 3D,8.2,Nicalis,NIS America
Star Fox 64 3D,8.1,Q-Games,Nintendo
Siesta Fiesta,8.1,Mojo Bones,Mojo Bones
Professor Layton and the Azran Legacy,8.1,Level 5,Nintendo
Persona Q2: New Cinema Labyrinth,8.1,Atlus,Atlus
Mario & Luigi: Superstar Saga + Bowser's Minions,8.1,Alphadream Corporation,Nintendo
Mario & Luigi: Dream Team,8.1,Alphadream Corporation,Nintendo
Kirby: Planet Robobot,8.1,HAL Labs,Nintendo
Fire Emblem Echoes: Shadows of Valentia,8.1,Intelligent Systems,Nintendo
Etrian Odyssey Nexus,8.1,Atlus,Atlus
Bravely Second: End Layer,8.1,Silicon Studio,Nintendo
Art Academy: Lessons for Everyone,8.1,Nintendo,Nintendo
3D After Burner II,8.1,M2,Sega
Yo-kai Watch 3,8.0,Level 5,Nintendo
Style Savvy: Styling Star,8.0,syn Sophia,Nintendo
Shin Megami Tensei: Strange Journey Redux,8.0,Atlus,Atlus
Kirby: Triple Deluxe,8.0,HAL Labs,Nintendo
Hatsune Miku: Project Mirai DX,8.0,Sega,Sega
Etrian Odyssey V: Beyond the Myth,8.0,Atlus,Atlus
Etrian Odyssey Untold: The Millennium Girl,8.0,Atlus,Atlus
BOXBOY!,8.0,HAL Labs,Nintendo
BoxBoxBoy!,8.0,HAL Labs,Nintendo
ZEN Pinball 3D,7.9,Zen Studios,Zen Studios
Stella Glow,7.9,Imageepoch,Atlus
Professor Layton VS Phoenix Wright Ace Attorney,7.9,Level 5,Nintendo
Mighty Switch Force!,7.9,WayForward,WayForward
Kirby's Extra Epic Yarn,7.9,Good-Feel,Nintendo
Dead or Alive Dimensions,7.9,Team Ninja,Tecmo Koei Games
WarioWare Gold,7.8,Nintendo,Nintendo
The Denpa Men: They Came By Wave,7.8,Genius Sonority Inc.,Genius Sonority Inc.
Style Savvy: Fashion Forward,7.8,syn Sophia,Nintendo
Shin Megami Tensei: Devil Survivor Overclocked,7.8,Atlus,Atlus
New Super Mario Bros. 2,7.8,Nintendo,Nintendo
Mario Golf: World Tour,7.8,Camelot Software Planning,Nintendo
Mario and Donkey Kong: Minis on the Move,7.8,Nintendo,Nintendo
Fluidity: Spin Cycle,7.8,Curve Studios,Nintendo
Tom Clancy's Ghost Recon: Shadow Wars,7.7,Ubisoft,Ubisoft
Tappingo 2,7.7,Goodbye Galaxy Games,Goodbye Galaxy Games
Super Little Acorns 3D Turbo,7.7,Pixel Toys,Pixel Toys
KORG M01D,7.7,Procyon Studio,DETUNE
