Flipnote Studio	9.3	Nintendo	Nintendo
Mario Kart DS	9.1	Nintendo	Nintendo
The Legend of Zelda: Phantom Hourglass	9.0	Nintendo	Nintendo
Mario & Luigi: Bowser's Inside Story	9.0	Alphadream Corporation	Nintendo
Advance Wars: Dual Strike	9.0	Intelligent Systems	Nintendo
New Super Mario Bros.	8.9	Nintendo	Nintendo
Castlevania: Dawn of Sorrow	8.9	Konami	Konami
Meteos	8.8	Q Entertainment	Nintendo
The Legend of Zelda: Spirit Tracks	8.7	Nintendo	Nintendo
Pokemon White Version	8.7	Game Freak	Nintendo
Pokemon SoulSilver Version	8.7	Game Freak	Nintendo
Pokemon HeartGold Version	8.7	Game Freak	Nintendo
Pokemon Black Version	8.7	Game Freak	Nintendo
Elite Beat Agents	8.7	iNiS	Nintendo
Dragon Quest IX: Sentinels of the Starry Skies	8.7	Level 5	Nintendo
America's Test Kitchen: Let's Get Cooking	8.7	indieszero	Nintendo
Professor Layton and the Unwound Future	8.6	Level 5	Nintendo
Planet Puzzle League	8.6	Intelligent Systems	Nintendo
Mario & Luigi: Partners in Time	8.6	Alphadream Corporation	Nintendo
Kirby: Canvas Curse	8.6	HAL Labs	Nintendo
Animal Crossing: Wild World	8.6	Nintendo	Nintendo
Advance Wars: Days of Ruin	8.6	Intelligent Systems	Nintendo
The Legend of Zelda: Four Swords Anniversary Edition	8.5	GREZZO	Nintendo
Professor Layton and the Curious Village	8.5	Level 5	Nintendo
Pokemon Pearl Version	8.5	Game Freak	Nintendo
Pokemon Diamond Version	8.5	Game Freak	Nintendo
Metroid Prime: Hunters	8.5	Nintendo Software Technology	Nintendo
Castlevania: Portrait of Ruin	8.5	Konami	Konami
Castlevania: Order of Ecclesia	8.5	Konami	Konami
Tetris DS	8.4	Nintendo	Nintendo
Spotto!	8.4	Intelligent Systems	Nintendo
Shin Megami Tensei: Devil Survivor	8.4	Atlus	Atlus
Professor Layton and the Diabolical Box	8.4	Level 5	Nintendo
Peggle: Dual Shot	8.4	Q Entertainment	PopCap
Rhythm Heaven	8.3	Nintendo	Nintendo
Professor Layton and the Last Specter	8.3	Level 5	Nintendo
Pokemon Platinum Version	8.3	Game Freak	Nintendo
Picross DS	8.3	Jupiter Corporation	Nintendo
Picross 3D	8.3	HAL Labs	Nintendo
Nintendogs: Lab & Friends	8.3	Nintendo	Nintendo
Nintendogs: Dalmatian & Friends	8.3	Nintendo	Nintendo
Nintendogs: Dachshund & Friends	8.3	Nintendo	Nintendo
Nintendogs: Chihuahua & Friends	8.3	Nintendo	Nintendo
Ninja Gaiden: Dragon Sword	8.3	Team Ninja	Tecmo
