title,score,developer,publisher
The Legend of Zelda: A Link to the Past / Four Swords,9.5,Nintendo,Nintendo
Super Mario Advance 4: Super Mario Bros. 3,9.4,Nintendo,Nintendo
Mario Kart: Super Circuit,9.3,Intelligent Systems,Nintendo
Super Mario World: Super Mario Advance 2,9.2,Nintendo,Nintendo
Metroid Fusion,9.2,Nintendo,Nintendo
Advance Wars,9.2,Intelligent Systems,Nintendo
Yoshi's Island: Super Mario Advance 3,9.1,Nintendo,Nintendo
Golden Sun,9.1,Camelot Software Planning,Nintendo
Castlevania: Circle of the Moon,9.1,KCEK,Konami
Castlevania: Aria of Sorrow,9.1,KCET,Konami
Mario & Luigi: Superstar Saga,9.0,Alphadream Corporation,Nintendo
"WarioWare, Inc.: Mega Microgame$!",8.9,Nintendo,Nintendo
The Legend of Zelda: The Minish Cap,8.9,Flagship,Nintendo
Metroid: Zero Mission,8.9,Nintendo,Nintendo
Advance Wars 2: Black Hole Rising,8.9,Intelligent Systems,Nintendo
WarioWare: Twisted!,8.8,Nintendo,Nintendo
Wario Land 4,8.8,Nintendo,Nintendo
Tactics Ogre: The Knight of Lodis,8.8,Quest,Atlus
Fire Emblem,8.8,Intelligent Systems,Nintendo
Bomberman Tournament,8.8,Amble,Activision
Sonic Advance,8.7,Sonic Team,THQ
Final Fantasy Tactics Advance,8.7,Square Enix,Square Enix
Castlevania: Harmony of Dissonance,8.7,KCET,Konami
Moto Racer Advance,8.6,Adeline Software,Ubisoft
Golden Sun: The Lost Age,8.6,Camelot Software Planning,Nintendo
F-Zero: Maximum Velocity,8.6,Nd Cube,Nintendo
Castlevania Double Pack,8.6,KCET,Konami
Fire Emblem: The Sacred Stones,8.5,Intelligent Systems,Nintendo
Astro Boy: Omega Factor,8.5,Hitmaker,Sega
The Legend of Zelda,8.4,Nintendo,Nintendo
Super Mario Advance,8.4,Nintendo,Nintendo
Spider-Man: Mysterio's Menace,8.4,Vicarious Visions,Activision
Puyo Pop,8.4,Sonic Team,THQ
Mario Golf: Advance Tour,8.4,Camelot Software Planning,Nintendo
Sonic Advance 2,8.3,Dimps Corporation,THQ
Rayman 3,8.3,Ubisoft,Ubisoft
Racing Gears Advance,8.3,"Orbital Media, Inc.","Orbital Media, Inc."
Klonoa: Empire of Dreams,8.3,Now Production,Namco
Gunstar Super Heroes,8.3,Treasure,Sega
Boktai: The Sun Is in Your Hand,8.3,KCEJ,Konami
Tekken Advance,8.2,Eighting/Raizing,Namco
Super Robot Taisen: Original Generation 2,8.2,Banpresto,Atlus
Super Monkey Ball Jr.,8.2,Realism Ltd,THQ
Pokemon Ruby Version,8.2,Game Freak,Nintendo
Mega Man Zero,8.2,Inti Creates,Capcom
Harvest Moon: More Friends of Mineral Town,8.2,TOSE,Natsume
GT Advance Championship Racing,8.2,MTO,THQ
Final Fight One,8.2,Sun-Tec,Capcom
Bruce Lee: Return of the Legend,8.2,Vicarious Visions,Universal Interactive
Yu-Gi-Oh! The Eternal Duelist Soul,8.1,KCEJ,Konami
Pokemon Pinball: Ruby & Sapphire,8.1,Jupiter Corporation,Nintendo
Pokemon LeafGreen Version,8.1,Game Freak,Nintendo
Pokemon FireRed Version,8.1,Game Freak,Nintendo
Mega Man Zero 2,8.1,Inti Creates,Capcom
Mega Man Battle Network 2,8.1,Capcom,Capcom
Mario vs. Donkey Kong (2004),8.1,Nintendo Software Technology,Nintendo
Mario Tennis: Power Tour,8.1,Camelot Software Planning,Nintendo
Kirby: Nightmare in Dream Land,8.1,HAL Labs,Nintendo
Karnaaj Rally,8.1,Paragon 5,Jaleco Entertainment
Harvest Moon: Friends of Mineral Town,8.1,TOSE,Natsume
Duke Nukem Advance,8.1,Torus Games,Take-Two Interactive
Drill Dozer,8.1,Game Freak,Nintendo
Breath of Fire II,8.1,Capcom,Capcom
The Legend of Spyro: The Eternal Night (2007),8.0,Amaze Entertainment,Sierra Entertainment
The King of Fighters EX2: Howling Blood,8.0,Marvelous Entertainment,Atlus
The King of Fighters EX: Neo Blood,8.0,Artoon,Sammy Studios
Medal of Honor: Infiltrator,8.0,Netherock Ltd.,EA Games
Kirby & the Amazing Mirror,8.0,Flagship,Nintendo
Fire Pro Wrestling (2001),8.0,Vaill,Bam Entertainment
Donkey Kong Country 2: Diddy's Kong Quest,8.0,Rare Ltd.,Nintendo
Disney's Lilo & Stitch (2002),8.0,Digital Eclipse,Disney Interactive
Baseball Advance,8.0,Smilebit,THQ
The Pinball of the Dead,7.9,Sega,THQ
Tak and the Power of Juju (2003),7.9,Helixe,THQ
Super Dodge Ball Advance,7.9,Million,Atlus
Summon Night: Swordcraft Story 2,7.9,Flight-Plan,Atlus
Sonic Advance 3,7.9,Dimps Corporation,THQ
Pac-Man Collection,7.9,Mass Media,Namco
Monster Rancher Advance 2,7.9,Tecmo,Tecmo
Metal Slug Advance,7.9,Noise Factory,SNK Playmore
Mega Man Battle Network,7.9,Capcom,Capcom
Mega Man & Bass,7.9,Capcom,Capcom
Lunar Legend,7.9,Game Arts,Ubisoft
Breath of Fire,7.9,Capcom,Capcom
Boulder Dash EX,7.9,Vision Works,Kemco
Wade Hixton's Counter Punch,7.8,Inferno Games,Destination Software
Top Gear Rally,7.8,Tantalus,Nintendo
Rebelstar: Tactical Command,7.8,Codo Games,Namco
Max Payne (2003),7.8,Mobius Entertainment,Rockstar Games
Konami Krazy Racers,7.8,KCEK,Konami
Konami Collector's Series: Arcade Advanced,7.8,KCEA,Konami
Klonoa 2: Dream Champ Tournament,7.8,Now Production,Namco
Gradius Galaxies,7.8,Mobile 21,Konami
Donkey Kong Country,7.8,Rare Ltd.,Nintendo
Dave Mirra Freestyle BMX 3,7.8,Full Fat,Acclaim
Crash Bandicoot: The Huge Adventure,7.8,Vicarious Visions,Universal Interactive
Boktai 2: Solar Boy Django,7.8,KCEJ,Konami
Summon Night: Swordcraft Story,7.7,Flight-Plan,Atlus
Sonic Pinball Party,7.7,Sonic Team,Sega
Shining Force: Resurrection of the Dark Dragon,7.7,Amusement Vision,Atlus
Mega Man Zero 4,7.7,Inti Creates,Capcom
Mega Man Zero 3,7.7,Inti Creates,Capcom
Mega Man Battle Network 3: White Version,7.7,Capcom,Capcom
Mech Platoon,7.7,Will,Kemco
Hamtaro: Ham-Ham Games,7.7,Alphadream Corporation,Nintendo
GT Advance 2: Rally Racing,7.7,MTO,THQ
F-Zero: GP Legend,7.7,Suzak,Nintendo
Donkey Kong Country 3: Dixie Kong's Double Trouble!,7.7,Rare Ltd.,Nintendo
Disney's Kim Possible 2: Drakken's Demise,7.7,Artificial Mind and Movement,Disney Interactive
Car Battler Joe,7.7,Ancient,Natsume
Tom Clancy's Rainbow Six: Rogue Spear (2002),7.6,Ubisoft Milan,Ubisoft
Spyro 2: Season of Flame,7.6,Digital Eclipse,Universal Interactive
Shonen Jump's One Piece,7.6,Dimps Corporation,Bandai
Pokemon Emerald Version,7.6,Game Freak,Nintendo
Phantasy Star Collection,7.6,Digital Eclipse,THQ
Monster Rancher Advance,7.6,Tecmo,Tecmo
Lufia: The Ruins of Lore,7.6,Taito Corporation,Atlus
Kingdom Hearts: Chain of Memories,7.6,Jupiter Corporation,Square Enix
Disney's Kim Possible 3: Team Possible,7.6,Artificial Mind and Movement,Buena Vista Interactive
Boxing Fever,7.6,Digital Fiction,Majesco
Uno / Skip-Bo,7.5,Black Lantern Studios,Destination Software
Sabre Wulf,7.5,Rare Ltd.,THQ
Muppet Pinball Mayhem,7.5,Digital Eclipse,NewKidCo
Mortal Kombat: Tournament Edition,7.5,Criterion Games,Midway
Monster Truck Madness,7.5,Tantalus,THQ
Mary-Kate and Ashley: Girls Night Out,7.5,Powerhead Games,Acclaim
Jackie Chan Adventures,7.5,Torus Games,Activision
Frogger's Adventures 2: The Lost Wand,7.5,Konami,Konami
Dragon Ball Z: The Legacy of Goku II,7.5,Webfoot Technologies,Atari SA
Dragon Ball: Advanced Adventure,7.5,Dimps Corporation,Atari SA
Crash Bandicoot 2: N-Tranced,7.5,Vicarious Visions,Universal Interactive
Bomberman Max 2: Red Advance,7.5,Hudson,Majesco
Bomberman Max 2: Blue Advance,7.5,Hudson,Majesco
Atari Anniversary Advance,7.5,Digital Eclipse,Infogrames
Spyro: Season of Ice,7.4,Digital Eclipse,Universal Interactive
Shining Soul II,7.4,Nex Entertainment,Atlus
Jet Grind Radio,7.4,Vicarious Visions,THQ
Hot Potato! (2001),7.4,Pukka Games,Bam Entertainment
GT Advance 3: Pro Concept Racing,7.4,MTO,THQ
