title,score,developer,publisher,rom_name,size
The Legend of Zelda: A Link to the Past / Four Swords,9.5,Nintendo,Nintendo,"Legend of Zelda, The - A Link to the Past & Four Swords (USA).gba",8388608
Super Mario Advance 4: Super Mario Bros. 3,9.4,Nintendo,Nintendo,Super Mario Advance 4 - Super Mario Bros. 3 (USA) (Rev 1) (Switch Online).gba,8388608
Mario Kart: Super Circuit,9.3,Intelligent Systems,Nintendo,Mario Kart - Super Circuit (USA) (Virtual Console).gba,4194304
Super Mario World: Super Mario Advance 2,9.2,Nintendo,Nintendo,Super Mario Advance 4 - Super Mario Bros. 3 (USA) (Rev 1) (Switch Online).gba,8388608
Metroid Fusion,9.2,Nintendo,Nintendo,"Metroid Fusion (Europe) (En,Fr,De,Es,It) (Virtual Console).gba",8388608
Advance Wars,9.2,Intelligent Systems,Nintendo,"Advance Wars (Europe) (En,Fr,De,Es) (Virtual Console).gba",8388608
Yoshi's Island: Super Mario Advance 3,9.1,Nintendo,Nintendo,"Super Mario Advance (USA, Europe) (Virtual Console).gba",4194304
Golden Sun,9.1,Camelot Software Planning,Nintendo,Golden Sun (Italy).gba,8388608
Castlevania: Circle of the Moon,9.1,KCEK,Konami,Castlevania - Circle of the Moon (USA) (Virtual Console).gba,8388608
Castlevania: Aria of Sorrow,9.1,KCET,Konami,Castlevania - Aria of Sorrow (USA).gba,8388608
Mario & Luigi: Superstar Saga,9.0,Alphadream Corporation,Nintendo,Mario & Luigi - Superstar Saga (USA).gba,16777216
"WarioWare, Inc.: Mega Microgame$!",8.9,Nintendo,Nintendo,"WarioWare, Inc. - Mega Microgame$! (USA).gba",8388608
The Legend of Zelda: The Minish Cap,8.9,Flagship,Nintendo,"Legend of Zelda, The - The Minish Cap (USA).gba",16777216
Metroid: Zero Mission,8.9,Nintendo,Nintendo,Metroid - Zero Mission (USA).gba,16777216
Advance Wars 2: Black Hole Rising,8.9,Intelligent Systems,Nintendo,Advance Wars 2 - Black Hole Rising (USA).gba,8388608
WarioWare: Twisted!,8.8,Nintendo,Nintendo,"WarioWare - Twisted! (USA, Australia).gba",16777216
Wario Land 4,8.8,Nintendo,Nintendo,"Wario Land 4 (USA, Europe).gba",8388608
Tactics Ogre: The Knight of Lodis,8.8,Quest,Atlus,Tactics Ogre Gaiden - The Knight of Lodis (Japan).gba,8388608
Fire Emblem,8.8,Intelligent Systems,Nintendo,"Fire Emblem (USA, Australia).gba",32505856
Bomberman Tournament,8.8,Amble,Activision,"Bomberman Tournament (USA, Europe).gba",4194304
Sonic Advance,8.7,Sonic Team,THQ,Sonic Advance 2 (USA) (Beta) (2002-10-25).gba,16777216
Final Fantasy Tactics Advance,8.7,Square Enix,Square Enix,Final Fantasy V Advance (USA).gba,8388608
Castlevania: Harmony of Dissonance,8.7,KCET,Konami,Castlevania - Harmony of Dissonance (USA).gba,8388608
Moto Racer Advance,8.6,Adeline Software,Ubisoft,"Moto Racer Advance (Europe) (En,Fr,De,Es,It).gba",4194304
Golden Sun: The Lost Age,8.6,Camelot Software Planning,Nintendo,"Golden Sun - The Lost Age (USA, Europe) (Virtual Console).gba",16777216
F-Zero: Maximum Velocity,8.6,Nd Cube,Nintendo,"F-Zero - Maximum Velocity (USA, Europe).gba",4194304
Castlevania Double Pack,8.6,KCET,Konami,"Castlevania Double Pack (Europe) (En,Fr,De).gba",16777216
Fire Emblem: The Sacred Stones,8.5,Intelligent Systems,Nintendo,Fire Emblem - The Sacred Stones (USA) (Virtual Console).gba,16777216
Astro Boy: Omega Factor,8.5,Hitmaker,Sega,"Astro Boy - Omega Factor (USA) (En,Ja,Fr,De,Es,It).gba",8388608
The Legend of Zelda,8.4,Nintendo,Nintendo,"Avatar - The Legend of Aang (Europe) (En,Fr,De,Nl).gba",8388608
Super Mario Advance,8.4,Nintendo,Nintendo,"Super Mario Advance (USA, Europe) (Virtual Console).gba",4194304
Spider-Man: Mysterio's Menace,8.4,Vicarious Visions,Activision,"Spider-Man - Mysterio's Menace (USA, Europe).gba",8388608
Puyo Pop,8.4,Sonic Team,THQ,"Puyo Pop (Europe) (En,Ja).gba",8388608
Mario Golf: Advance Tour,8.4,Camelot Software Planning,Nintendo,Mario Golf - Advance Tour (USA).gba,16777216
Sonic Advance 2,8.3,Dimps Corporation,THQ,Sonic Advance 2 (USA) (Beta) (2002-10-25).gba,16777216
Rayman 3,8.3,Ubisoft,Ubisoft,Rayman IV (USA) (Unl).gba,33554432
Racing Gears Advance,8.3,"Orbital Media, Inc.","Orbital Media, Inc.",Racing Gears Advance (USA) (Beta).gba,8388608
Klonoa: Empire of Dreams,8.3,Now Production,Namco,Klonoa - Empire of Dreams (USA).gba,4194304
Gunstar Super Heroes,8.3,Treasure,Sega,Gunstar Super Heroes (USA).gba,8388608
Boktai: The Sun Is in Your Hand,8.3,KCEJ,Konami,Boktai - The Sun Is in Your Hand (USA).gba,16777216
Tekken Advance,8.2,Eighting/Raizing,Namco,Tekken Advance (USA).gba,8388608
Super Robot Taisen: Original Generation 2,8.2,Banpresto,Atlus,Super Robot Taisen - Original Generation 2 (USA).gba,16777216
Super Monkey Ball Jr.,8.2,Realism Ltd,THQ,Super Monkey Ball Jr. (USA) (Beta) (2002-08-06).gba,4194304
Pokemon Ruby Version,8.2,Game Freak,Nintendo,"Pokemon - Ruby Version (USA, Europe) (Rev 2).gba",16777216
Mega Man Zero,8.2,Inti Creates,Capcom,Megaman Zero 4 (USA).gba,16777216
Harvest Moon: More Friends of Mineral Town,8.2,TOSE,Natsume,Harvest Moon - More Friends of Mineral Town (USA).gba,16777216
GT Advance Championship Racing,8.2,MTO,THQ,"GT Advance - Championship Racing (USA, Europe).gba",8388608
Final Fight One,8.2,Sun-Tec,Capcom,Final Fight One (USA).gba,4194304
Bruce Lee: Return of the Legend,8.2,Vicarious Visions,Universal Interactive,Bruce Lee - Return of the Legend (USA).gba,8388608
Yu-Gi-Oh! The Eternal Duelist Soul,8.1,KCEJ,Konami,Yu-Gi-Oh! - The Eternal Duelist Soul (USA).gba,8388608
Pokemon Pinball: Ruby & Sapphire,8.1,Jupiter Corporation,Nintendo,Pokemon Pinball - Ruby & Sapphire (USA).gba,8388608
Pokemon LeafGreen Version,8.1,Game Freak,Nintendo,"Pokemon - LeafGreen Version (USA, Europe) (Rev 1).gba",16777216
Pokemon FireRed Version,8.1,Game Freak,Nintendo,Pokemon - FireRed Version (USA)),16777216
