title,score,developer,publisher,rom_name,size,running_total
The Legend of Zelda: The Wind Waker,9.6,Nintendo,Nintendo,"Legend of Zelda, The - The Wind Waker (USA).iso",1.4 GiB,1.4 GiB
The Legend of Zelda Collector's Edition,9.5,Nintendo,Nintendo,"Legend of Zelda, The - Collector's Edition (USA).iso",1.4 GiB,2.7 GiB
Super Smash Bros. Melee,9.2,HAL Labs,Nintendo,"Super Smash Bros. Melee (USA) (En,Ja) (Rev 2).iso",1.4 GiB,4.1 GiB
Super Mario Sunshine,9.2,Nintendo,Nintendo,Super Mario Sunshine (USA).iso,1.4 GiB,5.4 GiB
Eternal Darkness: Sanity's Requiem,9.2,Silicon Knights,Nintendo,Eternal Darkness - Sanity's Requiem (USA).iso,1.4 GiB,6.8 GiB
The Legend of Zelda: Ocarina of Time / Master Quest,9.1,Nintendo,Nintendo,"Legend of Zelda, The - Ocarina of Time & Master Quest (USA).iso",1.4 GiB,8.2 GiB
Star Wars Rogue Leader: Rogue Squadron II,9.0,Factor 5,LucasArts,Star Wars - Rogue Squadron II (Japan) (Jitsuen-you Sample).iso,1.4 GiB,9.5 GiB
F-Zero GX,8.9,Amusement Vision,Nintendo,F-Zero GX (USA).iso,1.4 GiB,10.9 GiB
Paper Mario: The Thousand-Year Door (2004),8.7,Intelligent Systems,Nintendo,Paper Mario - The Thousand-Year Door (USA).iso,1.4 GiB,12.2 GiB
Mario Kart: Double Dash!!,8.7,Nintendo,Nintendo,Mario Kart - Double Dash!! (USA) (Bonus Disc).iso,1.4 GiB,13.6 GiB
Animal Crossing,8.7,Nintendo,Nintendo,Animal Crossing (USA).iso,1.4 GiB,15.0 GiB
The Legend of Zelda: Four Swords Adventures,8.6,Nintendo,Nintendo,"Legend of Zelda, The - Four Swords Adventures (USA).iso",1.4 GiB,16.3 GiB
Metal Gear Solid: The Twin Snakes,8.5,Silicon Knights,Konami,Metal Gear Solid - The Twin Snakes (USA) (Disc 2).iso,1.4 GiB,17.7 GiB
