title,score,developer,publisher,rom_name,size,running_total
The Legend of Zelda: Ocarina of Time,9.9,Nintendo,Nintendo,"Legend of Zelda, The - Ocarina of Time (USA) (Rev 2).z64",32.0 MiB,32.0 MiB
The Legend of Zelda: Majora's Mask,9.5,Nintendo,Nintendo,"Legend of Zelda, The - Majora's Mask (USA) (LodgeNet).v64",32.0 MiB,64.0 MiB
Paper Mario,9.3,Intelligent Systems,Nintendo,Paper Mario (USA) (LodgeNet).v64,64.0 MiB,128.0 MiB
Wave Race 64,9.2,Nintendo,Nintendo,Stunt Racer 64 (USA).z64,12.0 MiB,140.0 MiB
Conker's Bad Fur Day,9.2,Rare Ltd.,Rare Ltd.,Conker's Bad Fur Day (USA) (Beta) (2000-10-25).v64,64.0 MiB,204.0 MiB
Mario Tennis,9.1,Camelot Software Planning,Nintendo,Mario Tennis (USA) (Wii Virtual Console).v64,16.0 MiB,220.0 MiB
Mario Golf,9.1,Camelot Software Planning,Nintendo,Mario Golf (USA) (LodgeNet).v64,32.0 MiB,252.0 MiB
International Superstar Soccer '98,9.1,KCEO,Konami,International Superstar Soccer '98 (USA).z64,12.0 MiB,264.0 MiB
Donkey Kong 64,9.0,Rare Ltd.,Nintendo,Donkey Kong 64 (USA) (LodgeNet).v64,32.0 MiB,296.0 MiB
Blast Corps,9.0,Rare Ltd.,Nintendo,Blast Corps (USA) (Rev 1).z64,8.0 MiB,304.0 MiB
Beetle Adventure Racing,9.0,Paradigm Entertainment,EA Sports,"Beetle Adventure Racing! (USA) (En,Fr,De).z64",16.0 MiB,320.0 MiB
WWF No Mercy,8.9,Aki Corp.,THQ,WWF No Mercy (USA) (Rev 1).z64,32.0 MiB,352.0 MiB
Star Fox 64,8.8,Nintendo,Nintendo,Star Fox 64 (USA) (Rev 1).z64,12.0 MiB,364.0 MiB
Excitebike 64,8.8,Left Field Productions,Nintendo,Excitebike 64 (USA) (Rev 1).z64,16.0 MiB,380.0 MiB
Diddy Kong Racing,8.8,Rare Ltd.,Rare Ltd.,"Diddy Kong Racing (USA) (En,Fr) (Rev 1).z64",12.0 MiB,392.0 MiB
F-Zero X,8.5,Nintendo,Nintendo,F-Zero X (USA) (LodgeNet).v64,16.0 MiB,408.0 MiB
Wipeout 64,8.4,Psygnosis,Midway,Wipeout 64 (USA).z64,8.0 MiB,416.0 MiB
Mario Kart 64,8.3,Nintendo,Nintendo,Mario Kart 64 (USA) (LodgeNet).v64,12.0 MiB,428.0 MiB
Ridge Racer 64,8.2,Nintendo Software Technology,Nintendo,RR64 - Ridge Racer 64 (USA).z64,32.0 MiB,460.0 MiB
Ogre Battle 64: Person of Lordly Caliber,8.2,Quest,Atlus,"Ogre Battle 64 - Person of Lordly Caliber (USA, Europe) (Rev 1) (Wii Virtual Console).v64",40.0 MiB,500.0 MiB
Extreme-G,8.2,Probe Entertainment Limited,Acclaim,Extreme-G (USA).z64,8.0 MiB,508.0 MiB
Pokemon Puzzle League,8.1,Nintendo Software Technology,Nintendo,Pokemon Puzzle League (USA) (Wii Virtual Console).v64,32.0 MiB,540.0 MiB
StarCraft 64,8.0,Mass Media,Nintendo,StarCraft 64 (USA) (Beta).z64,32.0 MiB,572.0 MiB
Pilotwings 64,8.0,Nintendo,Nintendo,Pilotwings 64 (USA) (LodgeNet).v64,8.0 MiB,580.0 MiB
Jet Force Gemini,8.0,Rare Ltd.,Rare Ltd.,Jet Force Gemini (USA).z64,32.0 MiB,612.0 MiB
Super Smash Bros.,7.9,HAL Labs,Nintendo,Super Smash Bros. (USA) (LodgeNet).v64,16.0 MiB,628.0 MiB
Mario Party,7.9,Hudson,Nintendo,Mario Party (USA).z64,32.0 MiB,660.0 MiB
Pokemon Stadium 2,7.8,HAL Labs,Nintendo,Pokemon Stadium 2 (USA).z64,64.0 MiB,724.0 MiB
Harvest Moon 64,7.8,Victor Interactive Software,Natsume,Harvest Moon 64 (USA).z64,16.0 MiB,740.0 MiB
Castlevania (1998),7.8,KCEK,Konami,Castlevania (USA) (Rev 2).z64,12.0 MiB,752.0 MiB
Turok 3: Shadow of Oblivion (2000),7.7,Acclaim Studios Austin,Acclaim,Turok 3 - Shadow of Oblivion (USA) (Beta) (2000-07-18).v64,32.0 MiB,784.0 MiB
Pokemon Snap,7.7,HAL Labs,Nintendo,Pokemon Snap (USA) (LodgeNet).v64,16.0 MiB,800.0 MiB
Kirby 64: The Crystal Shards,7.7,HAL Labs,Nintendo,Kirby 64 - The Crystal Shards (USA) (LodgeNet).v64,32.0 MiB,832.0 MiB
World Driver Championship,7.5,Boss Game Studios,Midway,World Driver Championship (USA).z64,16.0 MiB,848.0 MiB
Mario Party 3,7.4,Hudson,Nintendo,Mario Party 3 (USA) (LodgeNet).v64,32.0 MiB,880.0 MiB
Body Harvest,7.3,DMA Design,Midway,Body Harvest (USA).z64,12.0 MiB,892.0 MiB
Mickey's Speedway USA,7.1,Rare Ltd.,Nintendo,Mickey's Speedway USA (USA).z64,32.0 MiB,924.0 MiB
Dr. Mario 64,7.1,Newcom,Nintendo,Dr. Mario 64 (USA) (LodgeNet).v64,4.0 MiB,928.0 MiB
1080: TenEighty Snowboarding,7.0,Nintendo,Nintendo,"1080 Snowboarding (USA) (En,Ja) (LodgeNet).v64",16.0 MiB,944.0 MiB
Looney Tunes Duck Dodgers Starring Daffy Duck,6.9,Paradigm Entertainment,Infogrames,"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es) (Beta 2) (2000-03-07).v64",32.0 MiB,976.0 MiB
Mystical Ninja starring Goemon,6.7,KCEO,Konami,Mystical Ninja Starring Goemon (USA).z64,16.0 MiB,992.0 MiB
Yoshi's Story,6.5,Nintendo,Nintendo,"Yoshi's Story (USA) (En,Ja) (LodgeNet).v64",16.0 MiB,1008.0 MiB
"Hey You, Pikachu!",5.7,Ambrella,Nintendo,"Hey You, Pikachu! (USA).z64",16.0 MiB,1.0 GiB
Hercules: The Legendary Journeys,5.5,Player 1,Titus Software,Hercules - The Legendary Journeys (USA) (Beta 2).v64,16.0 MiB,1.0 GiB
Fighter Destiny 2,5.4,Opus,SouthPeak Games,Fighter Destiny 2 (USA).z64,16.0 MiB,1.0 GiB
Scooby-Doo! Classic Creep Capers,5.3,Terraglyph Interactive Studios,THQ,Scooby-Doo! - Classic Creep Capers (USA) (Rev 1).z64,16.0 MiB,1.0 GiB
Aidyn Chronicles: The First Mage,5.3,H2O Interactive,THQ,Aidyn Chronicles - The First Mage (USA) (Rev 1).z64,32.0 MiB,1.1 GiB
Cruis'n  Exotica,4.3,Gratuitous Games,Midway,Cruis'n Exotica (USA).z64,16.0 MiB,1.1 GiB
Rally Challenge 2000,4.1,Genki,SouthPeak Games,Rally Challenge 2000 (USA).z64,12.0 MiB,1.1 GiB
Blues Brothers 2000,3.2,Player 1,Titus Software,Blues Brothers 2000 (USA).z64,16.0 MiB,1.1 GiB
