title,score,developer,publisher,rom_name,size
Flipnote Studio,9.3,Nintendo,Nintendo,"Flipnote Studio (Europe, Australia) (En,Fr,De,Es,It).nds",3441664
Mario Kart DS,9.1,Nintendo,Nintendo,Mario Party DS (USA) (Video).nds,2268360
The Legend of Zelda: Phantom Hourglass,9.0,Nintendo,Nintendo,"Legend of Zelda, The - Phantom Hourglass - Exclusive Movie 2 (USA) (Video).nds",2075336
Mario & Luigi: Bowser's Inside Story,9.0,Alphadream Corporation,Nintendo,Mario & Luigi - Bowser's Inside Story (USA) (Video).nds,2065096
Advance Wars: Dual Strike,9.0,Intelligent Systems,Nintendo,Advance Wars - Dual Strike (USA) (Wii U Virtual Console).nds,33554432
New Super Mario Bros.,8.9,Nintendo,Nintendo,"New Super Mario Bros. (USA, Australia).nds",33554432
Castlevania: Dawn of Sorrow,8.9,Konami,Konami,Castlevania - Dawn of Sorrow (USA).nds,67108864
Meteos,8.8,Q Entertainment,Nintendo,Meteos (USA).nds,67108864
The Legend of Zelda: Spirit Tracks,8.7,Nintendo,Nintendo,"Legend of Zelda, The - Spirit Tracks (USA) (Video).nds",2469576
Pokemon White Version,8.7,Game Freak,Nintendo,"Pokemon - White Version (USA, Europe) (NDSi Enhanced).nds",268435456
Pokemon SoulSilver Version,8.7,Game Freak,Nintendo,"Pokemon - SoulSilver Version (USA, Australia).nds",134217728
Pokemon HeartGold Version,8.7,Game Freak,Nintendo,Pokemon - Pearl Version (USA) (Rev 5).nds,67108864
Pokemon Black Version,8.7,Game Freak,Nintendo,"Pokemon - Black Version (USA, Europe) (NDSi Enhanced).nds",268435456
Elite Beat Agents,8.7,iNiS,Nintendo,Elite Beat Agents (Germany).nds,134217728
Dragon Quest IX: Sentinels of the Starry Skies,8.7,Level 5,Nintendo,"Dragon Quest IX - Sentinels of the Starry Skies (USA) (En,Fr,Es).nds",268435456
America's Test Kitchen: Let's Get Cooking,8.7,indieszero,Nintendo,America's Test Kitchen - Let's Get Cooking (USA).nds,268435456
Professor Layton and the Unwound Future,8.6,Level 5,Nintendo,Professor Layton and the Unwound Future (USA) (Video).nds,2606792
Planet Puzzle League,8.6,Intelligent Systems,Nintendo,Planet Puzzle League (USA).nds,33554432
Mario & Luigi: Partners in Time,8.6,Alphadream Corporation,Nintendo,Mario & Luigi - Partners in Time (USA) (Rev 1) (Wii U Virtual Console).nds,67108864
Kirby: Canvas Curse,8.6,HAL Labs,Nintendo,Kirby - Canvas Curse (USA) (Wii U Virtual Console).nds,67108864
Animal Crossing: Wild World,8.6,Nintendo,Nintendo,Animal Crossing - Wild World (USA) (Rev 1) (Wii U Virtual Console).nds,33554432
Advance Wars: Days of Ruin,8.6,Intelligent Systems,Nintendo,"Advance Wars - Days of Ruin (USA) (En,Fr,Es).nds",67108864
The Legend of Zelda: Four Swords Anniversary Edition,8.5,GREZZO,Nintendo,,
Professor Layton and the Curious Village,8.5,Level 5,Nintendo,"Professor Layton and the Curious Village (USA, Australia).nds",67108864
Pokemon Pearl Version,8.5,Game Freak,Nintendo,Pokemon - Pearl Version (USA) (Rev 5).nds,67108864
Pokemon Diamond Version,8.5,Game Freak,Nintendo,Pokemon - Diamond Version (USA) (Rev 5).nds,67108864
Metroid Prime: Hunters,8.5,Nintendo Software Technology,Nintendo,Metroid Prime - Hunters (USA) (Video).nds,1642184
Castlevania: Portrait of Ruin,8.5,Konami,Konami,Castlevania - Portrait of Ruin (USA).nds,67108864
Castlevania: Order of Ecclesia,8.5,Konami,Konami,"Castlevania - Order of Ecclesia (USA) (En,Fr).nds",67108864
Tetris DS,8.4,Nintendo,Nintendo,"Tetris DS (USA, Australia).nds",16777216
Spotto!,8.4,Intelligent Systems,Nintendo,,
Shin Megami Tensei: Devil Survivor,8.4,Atlus,Atlus,Shin Megami Tensei - Devil Survivor 2 (USA).nds,134217728
Professor Layton and the Diabolical Box,8.4,Level 5,Nintendo,Professor Layton and the Diabolical Box (USA) (Video).nds,1536712
Peggle: Dual Shot,8.4,Q Entertainment,PopCap,Peggle Dual Shot (USA).nds,67108864
Rhythm Heaven,8.3,Nintendo,Nintendo,Rhythm Heaven (USA).nds,134217728
Professor Layton and the Last Specter,8.3,Level 5,Nintendo,Professor Layton and the Last Specter (USA).nds,268435456
Pokemon Platinum Version,8.3,Game Freak,Nintendo,Pokemon - Platinum Version (USA) (Rev 1).nds,134217728
Picross DS,8.3,Jupiter Corporation,Nintendo,"Picross 3D (USA) (En,Fr,Es) (Wii U Virtual Console).nds",67108864
Picross 3D,8.3,HAL Labs,Nintendo,"Picross 3D (USA) (En,Fr,Es) (Wii U Virtual Console).nds",67108864
Nintendogs: Lab & Friends,8.3,Nintendo,Nintendo,"Nintendogs - Lab & Friends (USA, Australia).nds",33554432
Nintendogs: Dalmatian & Friends,8.3,Nintendo,Nintendo,"Nintendogs - Dalmatian & Friends (USA, Australia) (En,Fr,Es).nds",67108864
Nintendogs: Dachshund & Friends,8.3,Nintendo,Nintendo,Nintendogs - Dachshund & Friends (USA).nds,33554432
Nintendogs: Chihuahua & Friends,8.3,Nintendo,Nintendo,Nintendogs - Chihuahua & Friends (USA).nds,33554432
Ninja Gaiden: Dragon Sword,8.3,Team Ninja,Tecmo,Ninja Gaiden - Dragon Sword (USA).nds,134217728
Kirby Mass Attack,8.3,HAL Labs,Nintendo,"Kirby Mass Attack (USA) (En,Fr,Es) (Wii U Virtual Console).nds",134217728
Inchworm Animation,8.3,Arc System Works,Flat Black Films,,
Dragon Quest Wars,8.3,Intelligent Systems,Square Enix,Dragon Quest Wars (Japan).nds,7909376
Dragon Quest Heroes: Rocket Slime,8.3,TOSE,Square Enix,Dragon Quest Heroes - Rocket Slime (USA).nds,67108864
Contra 4,8.3,WayForward,Konami,Contra 4 (USA).nds,33554432
Clubhouse Games,8.3,Agenda,Nintendo,"Clubhouse Games (USA) (En,Fr,De,Es,It) (Rev 1).nds",16777216
Bleach: The Blade of Fate,8.3,Treasure,Sega,Bleach - The Blade of Fate (USA).nds,134217728
Bangai-O Spirits,8.3,Treasure,D3Publisher,Bangai-O Spirits (USA).nds,8388608
Art Style: PiCTOBiTS,8.3,Nintendo,Nintendo,,
Art Style: DIGIDRIVE,8.3,Q-Games,Nintendo,Art Style - DIGIDRIVE (USA) (Rev 1).nds,11772928
X-Scape,8.2,Q-Games,Nintendo,X-Scape (USA).nds,16290816
WarioWare D.I.Y.,8.2,Intelligent Systems,Nintendo,WarioWare - D.I.Y. (USA) (Video).nds,1985224
Viva Pinata: Pocket Paradise,8.2,Rare Ltd.,THQ,Viva Pinata - Pocket Paradise (USA) (Beta).nds,134217728
Space Invaders Extreme 2,8.2,Taito Corporation,Square Enix,"Space Invaders Extreme 2 (USA) (En,Ja,Fr,De,Es,It).nds",67108864
Sonic Rush,8.2,Dimps Corporation,Sega,"Sonic Rush (USA, Europe) (Multiplayer) (DS Broadcast).bcn",856
Okamiden,8.2,Capcom,Capcom,Okamiden (USA).nds,134217728
"Nine Hours, Nine Persons, Nine Doors",8.2,ChunSoft,Aksys Games,"Nine Hours, Nine Persons, Nine Doors (USA).nds",134217728
Mario vs. Donkey Kong: Minis March Again!,8.2,Nintendo,Nintendo,Mario vs. Donkey Kong - Minis March Again! (USA) (Rev 1).nds,14730240
Lunar Knights,8.2,Kojima Productions,Konami,Lunar Knights (USA) (Video).nds,2432712
KORG DS-10 Synthesizer,8.2,AQ Interactive,XSEED Games,Korg DS-10+ Synthesizer (USA) (NDSi Enhanced).nds,33554432
Henry Hatsworth in the Puzzling Adventure,8.2,EA Tiburon,Electronic Arts,Henry Hatsworth in the Puzzling Adventure (USA) (Rev 1) (Video).nds,2395848
Etrian Odyssey II: Heroes of Lagaard,8.2,Atlus,Atlus,Etrian Odyssey II - Heroes of Lagaard (USA).nds,33554432
