The Legend of Zelda: Ocarina of Time	9.9	Nintendo	Nintendo
The Legend of Zelda: Majora's Mask	9.5	Nintendo	Nintendo
Paper Mario	9.3	Intelligent Systems	Nintendo
Wave Race 64	9.2	Nintendo	Nintendo
Conker's Bad Fur Day	9.2	Rare Ltd.	Rare Ltd.
Mario Tennis	9.1	Camelot Software Planning	Nintendo
Mario Golf	9.1	Camelot Software Planning	Nintendo
International Superstar Soccer '98	9.1	KCEO	Konami
Donkey Kong 64	9.0	Rare Ltd.	Nintendo
Blast Corps	9.0	Rare Ltd.	Nintendo
Beetle Adventure Racing	9.0	Paradigm Entertainment	EA Sports
WWF No Mercy	8.9	Aki Corp.	THQ
Star Fox 64	8.8	Nintendo	Nintendo
Excitebike 64	8.8	Left Field Productions	Nintendo
Diddy Kong Racing	8.8	Rare Ltd.	Rare Ltd.
F-Zero X	8.5	Nintendo	Nintendo
Wipeout 64	8.4	Psygnosis	Midway
Mario Kart 64	8.3	Nintendo	Nintendo
Ridge Racer 64	8.2	Nintendo Software Technology	Nintendo
Ogre Battle 64: Person of Lordly Caliber	8.2	Quest	Atlus
Extreme-G	8.2	Probe Entertainment Limited	Acclaim
Pokemon Puzzle League	8.1	Nintendo Software Technology	Nintendo
StarCraft 64	8.0	Mass Media	Nintendo
Pilotwings 64	8.0	Nintendo	Nintendo
Jet Force Gemini	8.0	Rare Ltd.	Rare Ltd.
Super Smash Bros.	7.9	HAL Labs	Nintendo
Mario Party	7.9	Hudson	Nintendo
Pokemon Stadium 2	7.8	HAL Labs	Nintendo
Harvest Moon 64	7.8	Victor Interactive Software	Natsume
Castlevania (1998)	7.8	KCEK	Konami
Turok 3: Shadow of Oblivion (2000)	7.7	Acclaim Studios Austin	Acclaim
Pokemon Snap	7.7	HAL Labs	Nintendo
Kirby 64: The Crystal Shards	7.7	HAL Labs	Nintendo
World Driver Championship	7.5	Boss Game Studios	Midway
Mario Party 3	7.4	Hudson	Nintendo
Body Harvest	7.3	DMA Design	Midway
Mickey's Speedway USA	7.1	Rare Ltd.	Nintendo
Dr. Mario 64	7.1	Newcom	Nintendo
1080: TenEighty Snowboarding	7.0	Nintendo	Nintendo
Looney Tunes Duck Dodgers Starring Daffy Duck	6.9	Paradigm Entertainment	Infogrames
Mystical Ninja starring Goemon	6.7	KCEO	Konami
Yoshi's Story	6.5	Nintendo	Nintendo
Hey You, Pikachu!	5.7	Ambrella	Nintendo
Hercules: The Legendary Journeys	5.5	Player 1	Titus Software
Fighter Destiny 2	5.4	Opus	SouthPeak Games
Scooby-Doo! Classic Creep Capers	5.3	Terraglyph Interactive Studios	THQ
Aidyn Chronicles: The First Mage	5.3	H2O Interactive	THQ
Cruis'n  Exotica	4.3	Gratuitous Games	Midway
Rally Challenge 2000	4.1	Genki	SouthPeak Games
Blues Brothers 2000	3.2	Player 1	Titus Software
