title,score,developer,publisher
NFL 2K1,9.7,Visual Concepts,Sega
Resident Evil Code: Veronica,9.4,NexTech,Capcom
NBA 2K1,9.3,Visual Concepts,Sega
Phantasy Star Online,8.9,Sonic Team,Sega
Shenmue,8.8,Sega AM2,Sega
Power Stone 2,8.7,Capcom,Capcom
Metropolis Street Racer,8.7,Bizarre Creations,Sega
Test Drive V-Rally,8.6,Eden Studios,Infogrames
F355 Challenge: Passione Rossa,8.5,Sega,Acclaim
Street Fighter III: Double Impact,8.4,Capcom,Capcom
Crazy Taxi 2,8.2,Hitmaker,Sega
Ooga Booga,8.1,Visual Concepts,Sega
Project Justice,8.0,Capcom,Capcom
NHL 2K2,8.0,Treyarch,Sega
Capcom vs. SNK,8.0,Capcom,Capcom
Bomberman Online,8.0,h.a.n.d. Inc.,Sega
Tokyo Xtreme Racer 2,7.9,Genki,Crave
NCAA College Football 2K2: Road to the Rose Bowl,7.8,Visual Concepts,Sega
Mars Matrix,7.8,Takumi Corporation,Capcom
Speed Devils Online Racing,7.6,Ubisoft Montreal,Ubisoft
Sega Smash Pack Volume 1,7.6,Sega,Sega
Sega Bass Fishing 2,7.6,Wow Entertainment,Sega
Record of Lodoss War,7.6,Neverland,Conspiracy Entertainment
Alien Front Online,7.6,Sega,Sega
AeroWings 2: Air Strike,7.4,CRI,Crave
Red Dog: Superior Firepower,7.3,Argonaut Games,Crave
Outtrigger,7.3,Sega AM2,Sega
Cannon Spike,7.3,Psikyo,Capcom
Giga Wing 2,7.0,Takumi Corporation,Capcom
Confidential Mission,7.0,Hitmaker,Sega
Coaster Works,7.0,Bimboosoft,Xicat Interactive
World Series Baseball 2K2,6.9,Visual Concepts,Sega
D2,6.9,WARP,Sega
Charge 'N Blast,6.8,SIMS,Xicat Interactive
The Next Tetris: On-line Edition,6.7,Blue Planet Software,Crave
Iron Aces,6.7,Marionette,Xicat Interactive
WWF Royal Rumble,6.6,Yuke's,THQ
Super Runabout: San Francisco Edition,6.5,Climax Entertainment,Interplay
Sports Jam,6.4,Wow Entertainment,Agetec
Floigan Bros. Episode 1,6.4,Visual Concepts,Sega
Spawn: In the Demon's Hand,6.2,Capcom,Capcom
Virtua Athlete 2000,6.1,Hitmaker,Agetec
Zombie Revenge,6.0,Sega,Sega
Heavy Metal: Geomatrix,5.8,Capcom,Capcom
Surf Rocket Racers,5.5,CRI,Crave
Sonic Shuffle,5.4,Sega,Sega
Spec Ops II: Omega Squad,5.0,Runecraft,Ripcord Games
World Series Baseball 2K1,4.8,Wow Entertainment,Sega
