title,score,developer,publisher
Uncharted 2: Among Thieves,9.6,Naughty Dog,SCEA
The Last of Us,9.5,Naughty Dog,SCEA
Metal Gear Solid 4: Guns of the Patriots,9.4,Kojima Productions,Konami
Metal Gear Solid: The Legacy Collection,9.3,Konami,Konami
Uncharted 3: Drake's Deception,9.2,Naughty Dog,SCEA
The ICO & Shadow of the Colossus Collection,9.2,Bluepoint Games,SCEA
God of War III,9.2,SCE Santa Monica,SCEA
LittleBigPlanet 2,9.1,Media Molecule,SCEA
Killzone 2,9.1,Guerrilla,SCEA
Wipeout HD Fury,8.9,Studio Liverpool,SCEA
Ratchet & Clank Future: Tools of Destruction,8.9,Insomniac Games,SCEA
Demon's Souls (2009),8.9,From Software,Atlus
Uncharted: Drake's Fortune,8.8,Naughty Dog,SCEA
Wipeout HD,8.7,Studio Liverpool,SCEA
Resistance 2,8.7,Insomniac Games,SCEA
Ratchet & Clank Future: A Crack in Time,8.7,Insomniac Games,SCEA
Soldner-X 2: Final Prototype - The Last Chapter,8.6,SideQuest Studios,EastAsiaSoft
Resistance: Fall of Man,8.6,Insomniac Games,SCEA
PixelJunk Eden Encore,8.6,Q-Games,SCEA
Super Stardust HD,8.5,Housemarque,SCEA
inFamous,8.5,Sucker Punch,SCEA
WarHawk,8.4,Incognito Inc.,SCEA
MotorStorm,8.4,Evolution Studios,SCEA
Killzone 3,8.4,Guerrilla,SCEA
Gran Turismo 5,8.4,Polyphony Digital,SCEA
God of War: Origins Collection,8.4,Ready at Dawn,SCEA
Yakuza 5,8.3,Ryu ga Gotoku Studios,Sega
Warhawk - Operation: Fallen Star,8.3,Incognito Inc.,SCEA
Warhawk - Operation: Broken Mirror,8.3,Incognito Inc.,SCEA
Resistance 3,8.3,Insomniac Games,SCEA
inFamous 2,8.3,Sucker Punch,SCEA
Comet Crash,8.3,Pelfast,Pelfast
SingStar (2008),8.2,SCEE London Studio,SCEA
PixelJunk Shooter 2,8.2,Q-Games,SCEA
PixelJunk Monsters Encore,8.2,Q-Games,SCEA
Gran Turismo HD Concept,8.2,Polyphony Digital,SCEA
Uncharted 2: Among Thieves - Siege Expansion Pack,8.1,Naughty Dog,SCEA
Metal Gear Online,8.1,Kojima Productions,Konami
Kingdom Hearts HD 2.5 ReMIX,8.1,Square Enix,Square Enix
Gran Turismo 6,8.1,Polyphony Digital,SCEA
Bomberman Ultra,8.1,Hudson,Hudson Entertainment
Tetris (2009),8.0,EA Mobile,Electronic Arts
Puppeteer,8.0,SCE Japan Studio,SCEA
Lumines Supernova,8.0,Q Entertainment,Q Entertainment
Gran Turismo 5 Prologue,8.0,Polyphony Digital,SCEA
God of War: Ascension,8.0,SCE Santa Monica,SCEA
Buzz! Quiz TV,8.0,Relentless Software,SCEA
Yakuza 3,7.9,Ryu ga Gotoku Studios,Sega
Heavenly Sword,7.9,Ninja Theory,SCEA
echochrome ii,7.9,SCE Japan Studio,SCEA
Yakuza 4,7.8,Ryu ga Gotoku Studios,Sega
The Tomb Raider Trilogy,7.8,Crystal Dynamics,Square Enix
Tales of Xillia,7.8,Bandai Namco Games,Namco Bandai Games
SIREN: Blood Curse,7.8,SCE Japan Studio,SCEA
Ridge Racer 7,7.8,Namco Bandai Games,Namco Bandai Games
inFamous: Festival of Blood,7.8,Sucker Punch,SCEA
Crash Commando,7.8,Epos,SCEA
Chime Super Deluxe,7.8,Zoe Mode,Zoe Mode
The Last Guy,7.7,SCE Japan Studio,SCEA
Tales of Symphonia Chronicles,7.7,Bandai Namco Games,Namco Bandai Games
Starhawk,7.7,LightBox Interactive,SCEA
MotorStorm: Apocalypse,7.7,Evolution Studios,SCEA
Kingdom Hearts HD 1.5 ReMIX,7.7,Square Enix,Square Enix
3D Dot Game Heroes,7.7,Silicon Studio,Atlus
Wonderbook: Diggs Nightcrawler,7.6,Exient Entertainment,SCEA
Twisted Metal (2012),7.6,Eat Sleep Play,SCEA
Tales From Space: About a Blob,7.6,DrinkBox Studios,DrinkBox Studios
Sports Champions,7.6,Zindagi Games,SCEA
Ratchet & Clank: Into the Nexus,7.6,Insomniac Games,SCEA
Ratchet & Clank Future: Quest for Booty,7.6,Insomniac Games,SCEA
PixelJunk SideScroller,7.6,Q-Games,SCEA
MAG,7.6,Zipper Interactive,SCEA
The House of the Dead: Overkill - Extended Cut,7.5,Headstrong Games,Sega
