title,score,developer,publisher,rom_name,size,running_total
Metal Gear Solid: Peace Walker,8.9,Kojima Productions,Konami,"Metal Gear Solid - Peace Walker (USA) (En,Fr,Es) (v1.01).iso",1.5 GiB,1.5 GiB
Lumines,8.9,Q Entertainment,Ubisoft,Lumines (USA) (v1.01).iso,200.2 MiB,1.7 GiB
Wipeout Pure,8.8,Studio Liverpool,SCEA,"WipEout Pure (USA) (En,Fr,Es) (v2.00).iso",241.2 MiB,2.0 GiB
Ridge Racer,8.8,Namco,Namco,Ridge Racer (USA).iso,864.4 MiB,2.8 GiB
Final Fantasy VII: Advent Children,8.8,Square Enix,Square Enix,"Final Fantasy II (Japan, Asia) (En,Ja).iso",274.0 MiB,3.1 GiB
Velocity,8.7,FuturLab,FuturLab,Velocity (USA) (minis) (PSN).iso,202.2 MiB,3.3 GiB
Metal Gear Solid: Portable Ops,8.7,Kojima Productions,Konami,Metal Gear Solid - Portable Ops (USA) (v1.02).iso,1.3 GiB,4.6 GiB
Jeanne d'Arc,8.7,Level 5,SCEA,Jeanne d'Arc (USA).iso,1.2 GiB,5.7 GiB
PixelJunk Monsters Deluxe,8.6,Q-Games,SCEA,PixelJunk Monsters Deluxe (USA).iso,210.4 MiB,5.9 GiB
Daxter,8.5,Ready at Dawn,SCEA,Daxter (USA).iso,1.3 GiB,7.2 GiB
Virtua Tennis: World Tour,8.4,Sumo Digital,Sega,Virtua Tennis - World Tour (USA) (v1.02).iso,409.8 MiB,7.6 GiB
Half-Minute Hero,8.4,Opus,XSEED Games,Half-Minute Hero (USA).iso,211.8 MiB,7.9 GiB
Valkyria Chronicles II,8.3,Sega,Sega,Valkyria Chronicles II (USA).iso,1.0 GiB,8.9 GiB
Crisis Core: Final Fantasy VII,8.3,Square Enix,Square Enix,Crisis Core - Final Fantasy VII (USA).iso,1.6 GiB,10.5 GiB
SOCOM: U.S. Navy SEALs Fireteam Bravo,8.2,Zipper Interactive,SCEA,SOCOM - U.S. Navy SEALs - Fireteam Bravo (USA) (Beta).iso,358.2 MiB,10.8 GiB
Mega Man Powered Up,8.2,Capcom,Capcom,Mega Man - Powered Up (USA).iso,297.3 MiB,11.1 GiB
