title,score,developer,publisher,rom_name,size,running_total
Gran Turismo,9.6,Polyphony Digital,SCEA,Gran Turismo (USA) (Rev 1).bin,661.5 MiB,661.5 MiB
ISS Pro Evolution,9.4,KCET,Konami,ISS Pro Evolution (USA) (Track 01).bin,206.7 MiB,868.2 MiB
Chrono Cross,9.4,SquareSoft,Square EA,Chrono Cross (USA) (Disc 2).bin,1.4 GiB,2.2 GiB
Vagrant Story,9.2,SquareSoft,Square EA,Vagrant Story (USA).bin,715.9 MiB,2.9 GiB
Medal of Honor (1999),9.2,Dreamworks Interactive,Electronic Arts,Medal of Honor (USA).bin,708.2 MiB,3.6 GiB
Spyro: Year of the Dragon,9.1,Insomniac Games,SCEA,Spyro - Year of the Dragon (USA) (Rev 1).bin,634.0 MiB,4.2 GiB
Crash Bandicoot: Warped,9.1,Naughty Dog,SCEA,Crash Bandicoot - Warped (USA).bin,271.9 MiB,4.5 GiB
Colony Wars,9.1,Psygnosis,Psygnosis,Colony Wars (USA) (Disc 2) (Track 1).bin,1.1 GiB,5.6 GiB
WWF SmackDown! 2: Know Your Role,9.0,Yuke's,THQ,WWF SmackDown! 2 - Know Your Role (USA).bin,711.7 MiB,6.3 GiB
Wipeout 3,8.9,Psygnosis,Psygnosis,WipEout 3 (USA) (Track 01).bin,51.5 MiB,6.3 GiB
Soul Edge,8.9,Namco,Namco,Soul Edge (Japan) (Rev 1).bin,477.2 MiB,6.8 GiB
Final Fantasy Chronicles,8.9,TOSE,Square EA,Final Fantasy IX (USA) (Disc 4) (Rev 1).bin,2.7 GiB,9.5 GiB
Einhander,8.9,SquareSoft,SCEA,Einhaender (USA).bin,623.2 MiB,10.1 GiB
CTR: Crash Team Racing,8.8,Naughty Dog,SCEA,CTR - Crash Team Racing (USA).bin,577.6 MiB,10.6 GiB
Tenchu: Stealth Assassins,8.7,Acquire,Activision,Tenchu - Stealth Assassins (USA) (Rev 1).bin,660.9 MiB,11.3 GiB
Silent Hill,8.6,KCET,Konami,Silent Hill (USA).bin,587.9 MiB,11.8 GiB
Lunar 2: Eternal Blue,8.6,Game Arts,Working Designs,Lunar 2 - Eternal Blue (Japan) (Disc 3).bin,2.0 GiB,13.9 GiB
Alundra,8.6,Matrix Software,Working Designs,Alundra (USA) (Rev 1).bin,572.5 MiB,14.4 GiB
Xenogears,8.4,SquareSoft,Square EA,Xenogears (USA) (Disc 2).bin,1.3 GiB,15.7 GiB
Fear Effect 2: Retro Helix,8.4,Kronos Digital Entertainment,Eidos Interactive,Fear Effect 2 - Retro Helix (USA) (Disc 4) (Rev 1).bin,2.6 GiB,18.3 GiB
Dead or Alive,8.4,Team Ninja,Tecmo,Dead or Alive (USA) (Beta) (1998-02-20) (Track 01).bin,146.5 MiB,18.5 GiB
Dance Dance Revolution Konamix,8.4,Konami,Konami,Dance Dance Revolution Konamix (USA).bin,431.5 MiB,18.9 GiB
Bushido Blade,8.3,Light Weight,SCEA,Bushido Blade (USA).bin,555.3 MiB,19.4 GiB
Ace Combat 2,8.3,Namco,Namco,Ace Combat 2 (USA).bin,553.9 MiB,20.0 GiB
You Don't Know Jack: Mock 2,8.2,Jellyvision,Sierra Entertainment,You Don't Know Jack - Mock 2 (USA).bin,615.5 MiB,20.6 GiB
