Gran Turismo	9.6	Polyphony Digital	SCEA
ISS Pro Evolution	9.4	KCET	Konami
Chrono Cross	9.4	SquareSoft	Square EA
Vagrant Story	9.2	SquareSoft	Square EA
Medal of Honor (1999)	9.2	Dreamworks Interactive	Electronic Arts
Spyro: Year of the Dragon	9.1	Insomniac Games	SCEA
Crash Bandicoot: Warped	9.1	Naughty Dog	SCEA
Colony Wars	9.1	Psygnosis	Psygnosis
WWF SmackDown! 2: Know Your Role	9.0	Yuke's	THQ
Wipeout 3	8.9	Psygnosis	Psygnosis
Soul Edge	8.9	Namco	Namco
Final Fantasy Chronicles	8.9	TOSE	Square EA
Einhander	8.9	SquareSoft	SCEA
CTR: Crash Team Racing	8.8	Naughty Dog	SCEA
Tenchu: Stealth Assassins	8.7	Acquire	Activision
Silent Hill	8.6	KCET	Konami
Lunar 2: Eternal Blue	8.6	Game Arts	Working Designs
Alundra	8.6	Matrix Software	Working Designs
Xenogears	8.4	SquareSoft	Square EA
Fear Effect 2: Retro Helix	8.4	Kronos Digital Entertainment	Eidos Interactive
Dead or Alive	8.4	Team Ninja	Tecmo
Dance Dance Revolution Konamix	8.4	Konami	Konami
Bushido Blade	8.3	Light Weight	SCEA
Ace Combat 2	8.3	Namco	Namco
You Don't Know Jack: Mock 2	8.2	Jellyvision	Sierra Entertainment
Suikoden II	8.2	Konami	Konami
Parasite Eve	8.1	SquareSoft	Square EA
Brave Fencer Musashi	8.1	SquareSoft	Square EA
Star Ocean: The Second Story	8.0	Tri-Ace	SCEA
RC de GO!	8.0	Taito Corporation	Acclaim
Incredible Crisis	8.0	Polygon Magic	Titus Software
Gundam: Battle Assault 2	8.0	Natsume	Bandai
Final Fantasy Anthology	8.0	SquareSoft	Square EA
Parasite Eve II	7.9	SquareSoft	Square EA
Final Fantasy Origins	7.9	TOSE	Square Enix
Bomberman Party Edition	7.9	Metro	Vatical Entertainment
Point Blank 3	7.8	TOSE	Namco
MLB 2003	7.8	989 Sports	SCEA
Arc the Lad Collection	7.8	ARC Entertainment	Working Designs
Tenchu 2: Birth of the Stealth Assassins	7.7	Acquire	Activision
Star Trek: Invasion	7.6	Warthog	Activision
MLB 2002	7.6	989 Sports	SCEA
Elemental Gearbolt	7.6	Alfa System	Working Designs
Disney/Pixar Toy Story Racer	7.6	Traveller's Tales	Activision
Spider-Man 2: Enter: Electro	7.4	Vicarious Visions	Activision
Dance Dance Revolution Disney Mix	7.4	Konami	Konami
Saiyuki: Journey West	7.3	Koei	Koei
Disney's Atlantis: The Lost Empire (2001)	7.3	Eurocom	SCEA
X-Men: Mutant Academy 2	7.2	Paradox Development	Activision
RC Revenge	7.2	Acclaim Studios Cheltenham	Acclaim
Time Crisis: Project Titan	7.1	Flying Tiger Development	Namco
NCAA March Madness 2001	7.1	Black Ops Entertainment	EA Sports
