title,score,developer,publisher
Gears of War 2,9.3,Epic Games,Microsoft Game Studios
Forza Motorsport 3,9.2,Turn 10,Microsoft Game Studios
Halo: Reach,9.1,Bungie,Microsoft Game Studios
Gears of War 3,9.1,Epic Games,Microsoft Game Studios
Forza Motorsport 4,9.1,Turn 10,Microsoft Game Studios
Geometry Wars: Retro Evolved 2,9.0,Bizarre Creations,Bizarre Creations
Forza Motorsport 2,9.0,Turn 10,Microsoft Game Studios
Gears of War 2: All Fronts Collection,8.9,Epic Games,Microsoft Game Studios
Zeno Clash: Ultimate Edition,8.8,ACE Team,Atlus
Sega Vintage Collection: Streets of Rage,8.8,M2,Sega
Project Gotham Racing 3,8.8,Bizarre Creations,Microsoft Game Studios
Joe Danger: Special Edition,8.8,Hello Games,Microsoft Game Studios
Sonic the Hedgehog 3,8.7,Backbone Entertainment,Sega
Forza Horizon,8.7,Playground Games,Microsoft Game Studios
Trials HD,8.6,RedLynx,Microsoft Game Studios
Sonic & Knuckles,8.6,Sonic Team,Sega
Dance Central 3,8.6,Harmonix Music Systems,Microsoft Game Studios
Dance Central 2,8.6,Harmonix Music Systems,Microsoft Game Studios
Trials Evolution: Origin of Pain,8.5,RedLynx,Microsoft Game Studios
Toy Soldiers: Cold War,8.5,Signal Studios,Microsoft Game Studios
Project Gotham Racing 4,8.5,Bizarre Creations,Microsoft Game Studios
Gears of War 3: Forces of Nature Map Pack,8.5,Epic Games,Microsoft Game Studios
Dead or Alive 4,8.5,Team Ninja,Tecmo
Viva Pinata: Trouble in Paradise,8.4,Rare Ltd.,Microsoft Game Studios
'Splosion Man,8.4,Twisted Pixel Games,Twisted Pixel Games
Lost Odyssey,8.4,Mistwalker,Microsoft Game Studios
Bomberman Live,8.4,Backbone Entertainment,Hudson Entertainment
ilomilo,8.3,Southend Interactive,Microsoft Game Studios
Halo 3: ODST,8.3,Bungie,Microsoft Game Studios
Crackdown,8.3,Realtime Worlds,Microsoft Game Studios
Smash T.V.,8.2,Digital Eclipse,Midway
Raiden IV,8.2,Moss,UFO Interactive
Halo Wars,8.2,Ensemble Studios,Microsoft Game Studios
Dance Central (2010),8.2,Harmonix Music Systems,MTV Games
Your Shape: Fitness Evolved,8.1,Ubisoft Montreal,Ubisoft
Trials Evolution: The Riders of Doom,8.1,RedLynx,Microsoft Game Studios
The Gunstringer,8.1,Twisted Pixel Games,Twisted Pixel Games
Ridge Racer 6,8.1,Namco,Namco
Perfect Dark Zero,8.1,Rare Ltd.,Microsoft Game Studios
Ninja Gaiden II,8.1,Team Ninja,Tecmo
Kinect Party,8.1,Double Fine Productions,Microsoft Game Studios
Import Tuner Challenge,8.1,Genki,Ubisoft
Halo: Reach - Defiant Map Pack,8.1,Bungie,Microsoft Game Studios
Snoopy Flying Ace,8.0,Smart Bomb Interactive,Microsoft Game Studios
MotoGP '06,8.0,Climax Studios,THQ
Marble Blast Ultra,8.0,GarageGames,GarageGames
Half-Minute Hero: Super Mega Neo Climax,8.0,Opus,Microsoft Game Studios
Guwange,8.0,Cave,Cave
Gears of War 3: RAAM's Shadow,8.0,Epic Games,Microsoft Game Studios
Double Fine Happy Action Theater,8.0,Double Fine Productions,Microsoft Game Studios
Alan Wake: The Writer,8.0,Remedy Entertainment,Microsoft Game Studios
Ace Combat 6: Fires of Liberation,8.0,Project Aces ,Namco Bandai Games
Sesame Street: Once Upon a Monster,7.9,Double Fine Productions,Warner Bros. Interactive Entertainment
Quarrel,7.9,Denki,UTV Ignition Games
Naruto: Rise of a Ninja,7.9,Ubisoft Montreal,Ubisoft
Joy Ride Turbo,7.9,BigPark,Microsoft Game Studios
Hexic HD,7.9,Carbonated Games,Microsoft Game Studios
Gears of War: Judgment,7.9,Epic Games,Microsoft Game Studios
Dead Rising 2: Case Zero,7.9,Blue Castle Games,Capcom
Raiden Fighters Aces,7.8,Gulti,Valcon Games
Project Sylpheed: Arc of Deception,7.8,Game Arts,Square Enix
Motocross Madness (2013),7.8,Bongfish,Microsoft Game Studios
Kinectimals: Now with Bears!,7.8,Frontier Developments,Microsoft Game Studios
Far Cry Instincts Predator,7.8,Ubisoft Montreal,Ubisoft
Fable II: Knothole Island,7.8,Lionhead Studios,Microsoft Game Studios
Every Extend Extra Extreme,7.8,Cyclone Zero,Q Entertainment
Bangai-O HD: Missile Fury,7.8,Treasure,D3Publisher
Your Shape Fitness Evolved 2012,7.7,Ubisoft,Ubisoft
Uno Rush,7.7,Carbonated Games,Microsoft Game Studios
The Outfit,7.7,Relic Entertainment,THQ
Tenchu Z,7.7,K2 LLC,Microsoft Game Studios
Spectral Force 3,7.7,Xpec,Atlus
Rise of Nightmares,7.7,Sega,Sega
Red Bull Crashed Ice Kinect,7.7,Bongfish,Microsoft Game Studios
Otomedius Excellent,7.7,Konami,Konami
Kung-Fu High Impact,7.7,Virtual Air Guitar Company,UTV Ignition Games
Kinect Sports,7.7,Rare Ltd.,Microsoft Game Studios
Haunt (2012),7.7,NanaOn-Sha,Microsoft Game Studios
Full House Poker,7.7,Microsoft Game Studios,Microsoft Game Studios
Yu-Gi-Oh! 5D's Decade Duels,7.6,Konami,Konami
Undertow,7.6,Chair Entertainment,Chair Entertainment
Tomb Raider Underworld: Lara's Shadow,7.6,Crystal Dynamics,Eidos Interactive
Street Fighter II' Hyper Fighting,7.6,Sensory Sweep,Capcom
Scene It? Box Office Smash,7.6,Screenlife Games,Microsoft Game Studios
Kinect Sesame Street TV,7.6,Microsoft Studios - Soho Productions,Microsoft Game Studios
Forza Horizon: Rally Expansion Pack,7.6,Playground Games,Microsoft Game Studios
F.E.A.R. Files,7.6,TimeGate Studios,Sierra Entertainment
The Dishwasher: Dead Samurai,7.5,Ska Studios,Microsoft Game Studios
South Park: Tenorman's Revenge,7.5,Other Ocean Interactive,Other Ocean Interactive
Race Pro,7.5,SimBin,Atari SA
Panzer General: Allied Assault,7.5,Petroglyph,Ubisoft
N3II: Ninety-Nine Nights,7.5,FeelPlus,Konami
Gears of War 3: Fenix Rising Map Pack,7.5,Epic Games,Microsoft Game Studios
Full Auto,7.5,Pseudo Interactive,Sega
Dungeon Fighter LIVE: Fall of Hendon Myre,7.5,Nexon,Microsoft Game Studios
Dead or Alive Xtreme 2,7.5,Team Ninja,Tecmo
Culdcept SAGA,7.5,Omiya Soft,Namco Bandai Games
Bejeweled Blitz Live,7.5,Torpex Games LLC,PopCap
Assault Heroes 2,7.5,Wanako Studios,Sierra Online
Alan Wake: The Signal,7.5,Remedy Entertainment,Microsoft Game Studios
Nike+ Kinect Training,7.4,"Nike, Inc.",Microsoft Game Studios
Infinite Undiscovery,7.4,Tri-Ace,Square Enix
Doritos Crash Course,7.4,Wanako Studios,Microsoft Game Studios
Dead Rising 2: Case West,7.4,Blue Castle Games,Capcom
Comic Jumper: The Adventures of Captain Smiley,7.4,Twisted Pixel Games,Twisted Pixel Games
Amped 3,7.4,2K Sports,2K Sports
Zumba Fitness Rush,7.3,Zoe Mode,Majesco
Small Arms,7.3,Gastronaut Studios,Gastronaut Studios
"Scene It? Lights, Camera, Action",7.3,Screenlife Games,Microsoft Game Studios
NBA Baller Beats,7.3,HB Studios Multimedia,Majesco
Jetpac Refuelled,7.3,Rare Ltd.,Microsoft Game Studios
Islands of Wakfu,7.3,Ankama Games,Microsoft Game Studios
Bloodforge,7.3,Climax Studios,Microsoft Game Studios
Beautiful Katamari,7.3,Now Production,Namco Bandai Games
Hexic 2,7.2,Carbonated Games,Microsoft Game Studios
Crimson Alliance,7.2,Certain Affinity,Certain Affinity
Hydrophobia,7.1,Dark Energy Digital,Microsoft Game Studios
Fruit Ninja Kinect,7.1,Halfbrick Studios,Microsoft Game Studios
Chromehounds,7.1,From Software,Sega
Trouble Witches Neo!,7.0,Adventure Planning Service,SNK Playmore
Lips: Number One Hits,7.0,iNiS,Microsoft Game Studios
Kinect Sports: Season Two,7.0,BigPark,Microsoft Game Studios
Crackdown 2,7.0,Ruffian Games,Microsoft Game Studios
Viva Pinata: Party Animals,6.9,Krome Studios,Microsoft Game Studios
Quake Arena Arcade,6.9,id Software,Bethesda Softworks
PowerUp Heroes,6.9,Ubisoft,Ubisoft
Magna Carta 2,6.9,SoftMax,Namco Bandai Games
Stoked,6.8,Bongfish,Destineer
Ninety-Nine Nights,6.8,Q Entertainment,Microsoft Game Studios
Wreckateer,6.7,Iron Galaxy Studios,Microsoft Game Studios
Rumble Roses XX,6.7,Konami,Konami
Operation Darkness,6.7,Success,Atlus
Warhammer: Battle March,6.5,Black Hole Games,Namco Bandai Games
Harms Way,6.5,Bongfish,Bongfish
Fable II: See the Future,6.5,Lionhead Studios,Microsoft Game Studios
Capcom Digital Collection,6.5,Capcom,Capcom
Bankshot Billiards 2,6.5,PixelStorm,PixelStorm
Fuzion Frenzy 2,6.4,Hudson Soft,Microsoft Game Studios
Aegis Wing,6.4,Carbonated Games,Microsoft Game Studios
Texas Hold 'Em,6.3,TikGames,TikGames
Namco Museum: Virtual Arcade,6.3,Namco Bandai Games,Namco Bandai Games
Kinect Adventures!,6.3,Good Science Studio,Microsoft Game Studios
DanceMasters,6.3,GCP1,Konami
Wipeout: In the Zone,6.2,Behaviour Interactive,Activision
Onechanbara: Bikini Samurai Squad,6.2,Tamsoft,D3Publisher
Fable: The Journey,6.1,Lionhead Studios,Microsoft Game Studios
Rabbids: Alive & Kicking,5.8,Ubisoft,Ubisoft
Doodle Jump for Kinect,5.8,Smoking Gun Interactive,D3Publisher
Arkanoid Live!,5.8,Taito Corporation,Taito Corporation
Gears of War: Judgment - Call to Arms,5.7,Epic Games,Microsoft Game Studios
Freefall Racers,5.7,Smoking Gun Interactive,Deep Silver
Body and Brain Connection,5.7,Namco Bandai Games,Namco Bandai Games
Fable II Pub Games,5.6,Lionhead Studios,Microsoft Game Studios
Don King Presents: Prizefighter,5.6,Venom Games,2K Sports
You're in the Movies,5.5,Zoe Mode,Codemasters
Kinect Star Wars,5.5,Terminal Reality,Microsoft Game Studios
Fable Heroes,5.5,Lionhead Studios,Microsoft Game Studios
Asteroids & Deluxe,5.5,Stainless Games,Atari SA
Spyglass Board Games,5.4,Strange Flavour,Microsoft Game Studios
Kinect Joy Ride,5.4,BigPark,Microsoft Game Studios
Harry Potter for Kinect,5.4,Eurocom,Warner Bros. Interactive Entertainment
Dash of Destruction,5.3,NinjaBee,Microsoft Game Studios
Samurai Shodown Sen,5.2,K2 LLC,XSEED Games
Yaris,4.9,Backbone Entertainment,Backbone Entertainment
Dragon Ball Z for Kinect,4.9,Spike Chunsoft,Namco Bandai Games
Fire Pro Wrestling,4.8,Spike Chunsoft,Microsoft Game Studios
Sonic Free Riders,4.7,Sonic Team,Sega
Hole in the Wall,4.7,Virtuos,Microsoft Game Studios
Self-Defense Training Camp,4.6,Advanced Mobile Applications Ltd.,Ubisoft
Fighters Uncaged,4.6,Ubisoft,Ubisoft
Blackwater,4.5,Zombie Studios,505 Games
TotemBall,4.4,Strange Flavour,Freeverse Software
Steel Battalion: Heavy Armor,3.8,From Software,Capcom
Bomberman Act: Zero,3.4,Hudson,Konami
Deca Sports Freedom,3.3,Hudson,Hudson Entertainment
Hulk Hogan's Main Event,2.6,Panic Button,Majesco
Zombie Wranglers,,Frozen Codebase,Sierra Online
Zoids Assault,,Takara Tomy,Atlus
Zero D Beat Drop,,Cyclone Zero,Arc System Works
Yoostar on MTV,,Yoostar Entertainment Group,Yoostar Entertainment Group
Yo-Ho Kablammo,,Canalside Studios,Microsoft Game Studios
Xbox Live Arcade Compilation Disc,,Various,Microsoft Game Studios
Word Puzzle,,InterServ International,InterServ International
Wits & Wagers,,Hidden Path Entertainment,Microsoft Game Studios
Wing Commander Arena,,Gaia Industries,EA Games
Watchmen: The End Is Nigh Parts 1 and 2,,Deadline Games,Warner Bros. Interactive Entertainment
