title,score,developer,publisher,rom_name,size,running_total
Halo 2 Multiplayer Map Pack,9.7,Bungie,Microsoft Game Studios,"Halo 2 Multiplayer Map Pack (World) (En,Ja,Fr,De,Es,It,Zh,Ko).iso",7.3 GiB,7.3 GiB
Dead or Alive Ultimate,9.5,Team Ninja,Tecmo,Dead or Alive 1 Ultimate (USA) (Beta) (2004-10-12).iso,3.7 GiB,10.9 GiB
Ninja Gaiden Black,9.4,Team Ninja,Tecmo,"Ninja Gaiden Black (USA) (En,Ja).iso",7.3 GiB,18.2 GiB
Forza Motorsport (2005),9.2,Microsoft Game Studios,Microsoft Game Studios,"Forza Motorsport (World) (En,Ja,Fr,De,Es,It,Zh,Ko).iso",7.3 GiB,25.5 GiB
Ninja Gaiden (2004),9.1,Team Ninja,Tecmo,"Ninja Gaiden Black (USA) (En,Ja).iso",7.3 GiB,32.8 GiB
Project Gotham Racing 2,9.0,Bizarre Creations,Microsoft Game Studios,Project Gotham Racing (USA).iso,7.3 GiB,40.1 GiB
Panzer Dragoon Orta,9.0,Smilebit,Sega,Panzer Dragoon Orta (USA) (Beta) (2002-11-14).iso,3.7 GiB,43.7 GiB
JSRF: Jet Set Radio Future,8.9,Smilebit,Sega,JSRF - Jet Set Radio Future (USA).iso,7.3 GiB,51.0 GiB
Blinx 2: Masters of Time & Space,8.8,Artoon,Microsoft Game Studios,"Blinx - The Time Sweeper (USA) (En,Ja) (Rev 1).iso",7.3 GiB,58.3 GiB
RalliSport Challenge 2,8.7,Digital Illusions,Microsoft Game Studios,RalliSport Challenge (USA) (Rev 1).iso,7.3 GiB,65.6 GiB
MechAssault,8.7,Day 1 Studios,Microsoft Game Studios,"MechAssault (USA) (En,Fr,De) (Rev 1).iso",7.3 GiB,72.9 GiB
Genma Onimusha,8.7,Capcom,Capcom,"Genma Onimusha (USA) (En,Ja).iso",7.3 GiB,80.2 GiB
Dead or Alive 3,8.7,Team Ninja,Tecmo,"Dead or Alive 3 (USA) (En,Ja).iso",7.3 GiB,87.5 GiB
Kung Fu Chaos,8.6,Just Add Monsters,Microsoft Game Studios,"Kung Fu Chaos (USA, Asia) (En,Fr,De).iso",7.3 GiB,94.8 GiB
Fatal Frame: Special Edition,8.6,Tecmo,Tecmo,Fatal Frame - Zero Special Edition (Japan).iso,7.3 GiB,102.0 GiB
Dead or Alive: Xtreme Beach Volleyball,8.6,Team Ninja,Tecmo,"Dead or Alive Xtreme Beach Volleyball (USA) (En,Ja).iso",7.3 GiB,109.3 GiB
Project Gotham Racing,8.5,Bizarre Creations,Microsoft Game Studios,Project Gotham Racing (USA).iso,7.3 GiB,116.6 GiB
Fable (2004),8.5,Big Blue Box,Microsoft Game Studios,Fable (USA) (Limited Edition Bonus DVD).iso,7.3 GiB,123.9 GiB
Fatal Frame II: Crimson Butterfly - Director's Cut,8.4,Tecmo,Tecmo,Fatal Frame II - Crimson Butterfly - Director's Cut (USA).iso,7.3 GiB,131.2 GiB
Unreal Championship,8.3,Digital Extremes,Atari SA,"Unreal Championship (USA, Europe) (En,Fr,De,Es,It).iso",7.3 GiB,138.5 GiB
Steel Battalion,8.3,Capcom,Capcom,Steel Battalion (USA).iso,7.3 GiB,145.8 GiB
OutRun2,8.3,Sumo Digital,Microsoft Game Studios,OutRun 2 (USA).iso,7.3 GiB,153.1 GiB
Grabbed by the Ghoulies,8.3,Rare Ltd.,Microsoft Game Studios,"Grabbed by the Ghoulies (USA) (En,Fr,De,Es,It).iso",7.3 GiB,160.3 GiB
Conker: Live & Reloaded,8.3,Rare Ltd.,Microsoft Game Studios,"Conker - Live & Reloaded (USA) (En,Ja,Fr,De,Es,It).iso",7.3 GiB,167.6 GiB
Sega GT 2002,8.2,Wow Entertainment,Sega,"Sega GT 2002 (USA) (En,Ja).iso",7.3 GiB,174.9 GiB
MechAssault 2: Lone Wolf,8.2,Day 1 Studios,Microsoft Game Studios,"MechAssault 2 - Lone Wolf (World) (En,Ja,Fr,De,Es,It) (Bonus Disc).iso",7.3 GiB,182.2 GiB
Phantom Dust (2005),8.1,Microsoft Game Studios Japan,Majesco,Phantom Dust (USA).iso,7.3 GiB,189.5 GiB
Midtown Madness 3,8.1,Digital Illusions,Microsoft Game Studios,Midtown Madness 3 (USA).iso,7.3 GiB,196.8 GiB
Brute Force,8.1,Digital Anvil,Microsoft Game Studios,"Brute Force (USA) (En,Fr,De,Es,It).iso",7.3 GiB,204.1 GiB
Tony Hawk's Pro Skater 2x,8.0,Treyarch,Activision,Tony Hawk's Pro Skater 2x (USA).iso,7.3 GiB,211.4 GiB
Otogi: Myth of Demons,8.0,From Software,Sega,Otogi - Myth of Demons (USA).iso,7.3 GiB,218.6 GiB
Otogi 2: Immortal Warriors,7.9,From Software,Sega,Otogi 2 - Immortal Warriors (USA).iso,7.3 GiB,225.9 GiB
Deathrow,7.9,Southend Interactive,Ubisoft,Deathrow (USA).iso,7.3 GiB,233.2 GiB
Quantum Redshift,7.8,Curly Monsters,Microsoft Game Studios,Quantum Redshift (USA).iso,7.3 GiB,240.5 GiB
Amped: Freestyle Snowboarding,7.8,Indie Built,Microsoft Game Studios,Amped - Freestyle Snowboarding (USA).iso,7.3 GiB,247.8 GiB
Breakdown,7.7,Namco,Namco,Breakdown (USA).iso,7.3 GiB,255.1 GiB
Voodoo Vince,7.6,Beep Industries,Microsoft Game Studios,Voodoo Vince (USA).iso,7.3 GiB,262.4 GiB
NBA Inside Drive 2002,7.6,High Voltage Software,Microsoft Game Studios,NBA Inside Drive 2002 (USA).iso,7.3 GiB,269.7 GiB
Blinx: The Time Sweeper,7.6,Artoon,Microsoft Game Studios,"Blinx - The Time Sweeper (USA) (En,Ja) (Rev 1).iso",7.3 GiB,276.9 GiB
Greg Hastings' Tournament Paintball,7.4,WXP,Activision,"Greg Hastings' Tournament Paintball (USA, Europe).iso",7.3 GiB,284.2 GiB
