The Legend of Zelda: Ocarina of Time 3D	9.4	GREZZO	Nintendo
Fire Emblem: Awakening	9.2	Intelligent Systems	Nintendo
The Legend of Zelda: A Link Between Worlds	9.1	Nintendo	Nintendo
Super Mario 3D Land	9.0	Nintendo	Nintendo
Pushmo	9.0	Intelligent Systems	Nintendo
Pokemon Y	8.8	Game Freak	Nintendo
Fire Emblem Fates: Special Edition	8.8	Intelligent Systems	Nintendo
Fire Emblem Fates: Revelation	8.8	Intelligent Systems	Nintendo
Animal Crossing: New Leaf	8.8	Nintendo	Nintendo
Yo-kai Watch 2: Psychic Specters	8.7	Level 5	Nintendo
Pokemon X	8.7	Game Freak	Nintendo
Pokemon Sun	8.7	Game Freak	Nintendo
Pokemon Moon	8.7	Game Freak	Nintendo
Monster Hunter 4 Ultimate	8.7	Capcom	Capcom
Metroid: Samus Returns	8.7	Mercury Steam	Nintendo
Kirby: Planet Robobot	8.7	HAL Labs	Nintendo
Kid Icarus: Uprising	8.7	Project Sora	Nintendo
Gotta Protectors (2016)	8.7	Ancient Corp	Ancient Corp
Fire Emblem Fates: Conquest	8.7	Intelligent Systems	Nintendo
Yo-kai Watch 3	8.6	Level 5	Nintendo
Picross 3D: Round 2	8.6	HAL Labs	Nintendo
Luigi's Mansion: Dark Moon	8.6	Next Level Games	Nintendo
Kirby: Triple Deluxe	8.6	HAL Labs	Nintendo
Inazuma Eleven Go: Chrono Stones - Wildfire	8.6	Level 5	Level 5
Fire Emblem Fates: Birthright	8.6	Intelligent Systems	Nintendo
Fire Emblem Echoes: Shadows of Valentia	8.6	Intelligent Systems	Nintendo
Crashmo	8.6	Intelligent Systems	Nintendo
Monster Hunter Generations	8.5	Capcom	Capcom
Mario Kart 7	8.5	Retro Studios	Nintendo
Bravely Default	8.5	Silicon Studio	Nintendo
Stella Glow	8.4	Imageepoch	Atlus
Shin Megami Tensei IV: Apocalypse	8.4	Atlus	Atlus
Shin Megami Tensei: Devil Survivor 2 Record Breaker	8.4	Atlus	Atlus
Pokemon Ultra Moon	8.4	Game Freak	Nintendo
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey	8.4	Alphadream Corporation	Nintendo
Inazuma Eleven Go: Chrono Stones - Thunderflash	8.4	Level 5	Level 5
Final Fantasy Explorers	8.4	Racjin	Square Enix
Fantasy Life	8.4	Brownie Brown	Nintendo
Etrian Odyssey IV: Legends of the Titan	8.4	Atlus	Atlus
Theatrhythm Final Fantasy: Curtain Call	8.3	indieszero	Square Enix
Stretchmo	8.3	Intelligent Systems	Nintendo
Shin Megami Tensei IV	8.3	Atlus	Atlus
Rhythm Heaven Megamix	8.3	Nintendo	Nintendo
Pokemon Omega Ruby	8.3	Game Freak	Nintendo
Pocket Card Jockey	8.3	Game Freak	Nintendo
Persona Q: Shadow of the Labyrinth	8.3	Atlus	Atlus
Etrian Odyssey Untold: The Millennium Girl	8.3	Atlus	Atlus
BYE-BYE BOXBOY!	8.3	HAL Labs	Nintendo
WarioWare Gold	8.2	Nintendo	Nintendo
Professor Layton VS Phoenix Wright Ace Attorney	8.2	Level 5	Nintendo
Professor Layton and the Miracle Mask	8.2	Level 5	Nintendo
Pokemon Super Mystery Dungeon	8.2	Spike Chunsoft	Nintendo
Pokemon Alpha Sapphire	8.2	Game Freak	Nintendo
Mario & Luigi: Superstar Saga + Bowser's Minions	8.2	Alphadream Corporation	Nintendo
Mario & Luigi: Dream Team	8.2	Alphadream Corporation	Nintendo
Kingdom Hearts 3D: Dream Drop Distance	8.2	Square Enix	Square Enix
Hatsune Miku: Project Mirai DX	8.2	Sega	Sega
Etrian Odyssey 2 Untold: The Fafnir Knight	8.2	Atlus	Atlus
Cave Story 3D	8.2	Nicalis	NIS America
Bravely Second: End Layer	8.2	Silicon Studio	Nintendo
Yo-kai Watch 2: Fleshy Souls	8.1	Level 5	Nintendo
Yo-kai Watch 2: Bony Spirits	8.1	Level 5	Nintendo
Siesta Fiesta	8.1	Mojo Bones	Mojo Bones
Rhythm Thief & the Emperor's Treasure	8.1	Xeen	Sega
Persona Q2: New Cinema Labyrinth	8.1	Atlus	Atlus
Mario Golf: World Tour	8.1	Camelot Software Planning	Nintendo
Ever Oasis	8.1	GREZZO	Nintendo
Etrian Odyssey V: Beyond the Myth	8.1	Atlus	Atlus
Etrian Odyssey Nexus	8.1	Atlus	Atlus
The Denpa Men 3: The Rise of Digitoll	8.1	Genius Sonority Inc.	Genius Sonority Inc.
Dead or Alive Dimensions	8.1	Team Ninja	Tecmo Koei Games
BOXBOY!	8.1	HAL Labs	Nintendo
Art Academy: Lessons for Everyone	8.1	Nintendo	Nintendo
3D After Burner II	8.1	M2	Sega
Style Savvy: Styling Star	8.0	syn Sophia	Nintendo
Shin Megami Tensei: Strange Journey Redux	8.0	Atlus	Atlus
Crimson Shroud	8.0	Nex Entertainment	Level 5
Cooking Mama 5: Bon Appetit!	8.0	Cooking Mama Limited	Majesco
BoxBoxBoy!	8.0	HAL Labs	Nintendo
ZEN Pinball 3D	7.9	Zen Studios	Zen Studios
Tom Clancy's Ghost Recon: Shadow Wars	7.9	Ubisoft	Ubisoft
Nintendo Pocket Football Club	7.9	ParityBit	Nintendo
