title,score,developer,publisher,rom_name,size,running_total
The Legend of Zelda: The Wind Waker,9.6,Nintendo,Nintendo,"Legend of Zelda, The - The Wind Waker (USA).iso",1.4 GiB,1.4 GiB
The Legend of Zelda Collector's Edition,9.5,Nintendo,Nintendo,"Legend of Zelda, The - Collector's Edition (USA).iso",1.4 GiB,2.7 GiB
P.N. 03,9.3,Capcom,Capcom,P.N. 03 (USA).iso,1.4 GiB,4.1 GiB
Super Smash Bros. Melee,9.2,HAL Labs,Nintendo,"Super Smash Bros. Melee (USA) (En,Ja) (Rev 2).iso",1.4 GiB,5.4 GiB
Super Mario Sunshine,9.2,Nintendo,Nintendo,Super Mario Sunshine (USA).iso,1.4 GiB,6.8 GiB
Eternal Darkness: Sanity's Requiem,9.2,Silicon Knights,Nintendo,Eternal Darkness - Sanity's Requiem (USA).iso,1.4 GiB,8.2 GiB
The Legend of Zelda: Ocarina of Time / Master Quest,9.1,Nintendo,Nintendo,"Legend of Zelda, The - Ocarina of Time & Master Quest (USA).iso",1.4 GiB,9.5 GiB
Fire Emblem: Path of Radiance,9.1,Intelligent Systems,Nintendo,Fire Emblem - Path of Radiance (USA).iso,1.4 GiB,10.9 GiB
Star Wars Rogue Leader: Rogue Squadron II,9.0,Factor 5,LucasArts,Star Wars - Rogue Squadron II (Japan) (Jitsuen-you Sample).iso,1.4 GiB,12.2 GiB
Paper Mario: The Thousand-Year Door (2004),9.0,Intelligent Systems,Nintendo,Paper Mario - The Thousand-Year Door (USA).iso,1.4 GiB,13.6 GiB
Final Fantasy Crystal Chronicles,8.9,Square Enix,Nintendo,Final Fantasy Crystal Chronicles (USA).iso,1.4 GiB,15.0 GiB
F-Zero GX,8.9,Amusement Vision,Nintendo,F-Zero GX (USA).iso,1.4 GiB,16.3 GiB
Metal Gear Solid: The Twin Snakes,8.8,Silicon Knights,Konami,Metal Gear Solid - The Twin Snakes (USA) (Disc 2).iso,2.7 GiB,19.0 GiB
The Legend of Zelda: Four Swords Adventures,8.6,Nintendo,Nintendo,"Legend of Zelda, The - Four Swords Adventures (USA).iso",1.4 GiB,20.4 GiB
