The Legend of Zelda: The Wind Waker	9.6	Nintendo	Nintendo
The Legend of Zelda Collector's Edition	9.5	Nintendo	Nintendo
P.N. 03	9.3	Capcom	Capcom
Super Smash Bros. Melee	9.2	HAL Labs	Nintendo
Super Mario Sunshine	9.2	Nintendo	Nintendo
Eternal Darkness: Sanity's Requiem	9.2	Silicon Knights	Nintendo
The Legend of Zelda: Ocarina of Time / Master Quest	9.1	Nintendo	Nintendo
Fire Emblem: Path of Radiance	9.1	Intelligent Systems	Nintendo
Star Wars Rogue Leader: Rogue Squadron II	9.0	Factor 5	LucasArts
Paper Mario: The Thousand-Year Door (2004)	9.0	Intelligent Systems	Nintendo
Final Fantasy Crystal Chronicles	8.9	Square Enix	Nintendo
F-Zero GX	8.9	Amusement Vision	Nintendo
Metal Gear Solid: The Twin Snakes	8.8	Silicon Knights	Konami
The Legend of Zelda: Four Swords Adventures	8.6	Nintendo	Nintendo
Super Mario Strikers	8.6	Next Level Games	Nintendo
Gotcha Force	8.6	Capcom	Capcom
Bomberman Generation	8.5	Hudson	Majesco
Sonic Mega Collection (2002)	8.3	Sonic Team	Sega
Mario Superstar Baseball	8.3	Namco	Nintendo
WWE WrestleMania XIX	8.2	Yuke's	THQ
Star Fox Adventures	8.2	Rare Ltd.	Nintendo
Shrek Extra Large	8.2	Digital Illusions	TDK Mediactive
Mario Golf: Toadstool Tour	8.2	Camelot Software Planning	Nintendo
Lost Kingdoms	8.2	From Software	Activision
Baten Kaitos: Eternal Wings and the Lost Ocean	8.2	Monolith Soft	Namco
Star Fox: Assault	8.1	Namco	Nintendo
Pokemon XD: Gale of Darkness	8.1	Genius Sonority Inc.	Nintendo
Pokemon Colosseum	8.1	Genius Sonority Inc.	Nintendo
Lost Kingdoms II	8.1	From Software	Activision
Kirby Air Ride	8.1	HAL Labs	Nintendo
Wave Race: Blue Storm	8.0	Nintendo Software Technology	Nintendo
Mario Party 6	8.0	Hudson Soft	Nintendo
WWE Day of Reckoning 2	7.9	Yuke's	THQ
WWE Day of Reckoning	7.9	Yuke's	THQ
Wario World	7.9	Treasure	Nintendo
Smuggler's Run: Warzones	7.9	Angel Studios	Rockstar Games
Battalion Wars	7.9	Kuju Entertainment	Nintendo
Mario Party 7	7.8	Hudson	Nintendo
Beach Spikers: Virtua Beach Volleyball	7.8	Sega AM2	Sega
Star Wars Rogue Squadron III: Rebel Strike	7.7	Factor 5	LucasArts
Mario Party 5	7.7	Hudson	Nintendo
Mario Party 4	7.7	Hudson	Nintendo
Custom Robo	7.7	Noise Inc.	Nintendo
1080: Avalanche	7.7	Nintendo	Nintendo
Naruto: Clash of Ninja 2	7.6	Eighting	Tomy Corporation
Dance Dance Revolution: Mario Mix	7.6	Konami	Nintendo
Phantasy Star Online Episode III: C.A.R.D. Revolution	7.5	Sonic Team	Sega
Geist (2005)	7.4	n-Space	Nintendo
Naruto: Clash of Ninja	7.2	Eighting	Tomy Corporation
Disney's Magical Mirror Starring Mickey Mouse	7.1	Capcom	Nintendo
Yu-Gi-Oh! The Falsebound Kingdom	7.0	Konami	Konami
Harvest Moon: Another Wonderful Life	7.0	TOSE	Natsume
Go! Go! Hypergrind	6.7	Poponchi	Atlus
Mega Man Network Transmission	6.5	Arika	Capcom
WWE WrestleMania X8	6.4	Yuke's	THQ
Disney/Pixar Monsters, Inc. Scream Arena	6.3	Radical Entertainment	THQ
Pokemon Channel	6.1	Ambrella	Nintendo
Universal Studios Theme Parks Adventure	3.9	Nai'a Digital Works	Kemco
WarioWare, Inc.: Mega Party Game$!	None	Nintendo	Nintendo
Virtua Striker 2002	None	Amusement Vision	Sega
Ultimate Muscle: Legends vs New Generation	None	Aki Corp.	Bandai
Tube Slider	None	Nd Cube	NEC Interchannel
TransWorld Surf: Next Wave	None	Angel Studios	Atari SA
Swingerz Golf	None	Telenet	Eidos Interactive
Summoner: A Goddess Reborn	None	Cranky Pants Games	THQ
Rave Master	None	Konami	Konami
Pro Rally	None	Ubisoft	Ubisoft
Phantasy Star Online Episode I & II Plus	None	Sonic Team	Sega
Pac-Man vs.	None	Namco	Namco
Odama	None	Vivarium	Nintendo
NBA Courtside 2002	None	Left Field Productions	Nintendo
Medabots: Infinity	None	Natsume	Natsume
MC Groovz Dance Craze	None	Mad Catz	Mad Catz
Mario Kart: Double Dash!!	None	Nintendo	Nintendo
Knockout Kings 2003	None	EA Sports	Electronic Arts
Home Run King	None	Wow Entertainment	Sega
Evolution Worlds	None	Sting	Ubisoft
Donkey Konga 2	None	Namco	Nintendo
Donkey Konga	None	Namco	Nintendo
Disney's Hide & Sneak	None	Capcom	Capcom
Bust-A-Move 3000	None	Taito Corporation	Ubisoft
Big Air Freestyle	None	Paradigm Entertainment	Infogrames
BeyBlade VForce: Super Tournament Battle	None	AI	Atari SA
Animal Crossing	None	Nintendo	Nintendo
Amazing Island	None	Hitmaker	Sega
