title,score,developer,publisher,rom_name,size,running_total
Metal Torrent,9.6,Arika,Nintendo,,,
Flipnote Studio,9.3,Nintendo,Nintendo,"Flipnote Studio (Europe, Australia) (En,Fr,De,Es,It).nds",3.3 MiB,3.3 MiB
Pokemon HeartGold Version,9.2,Game Freak,Nintendo,Pokemon - HeartGold Version (USA).nds,128.0 MiB,131.3 MiB
Disney Cory in the House,9.2,Handheld Games,Disney Interactive Studios,Cory in the House (USA).nds,32.0 MiB,163.3 MiB
Pokemon SoulSilver Version,9.1,Game Freak,Nintendo,"Pokemon - SoulSilver Version (USA, Australia).nds",128.0 MiB,291.3 MiB
Pokemon Mystery Dungeon: Explorers of Sky,9.1,ChunSoft,Nintendo,Pokemon Mystery Dungeon - Explorers of Sky (USA).nds,128.0 MiB,419.3 MiB
Mario Kart DS,9.1,Nintendo,Nintendo,"Mario Kart DS (USA, Australia) (En,Fr,De,Es,It).nds",32.0 MiB,451.3 MiB
The Legend of Zelda: Phantom Hourglass,9.0,Nintendo,Nintendo,"Legend of Zelda, The - Phantom Hourglass (USA) (En,Fr,Es).nds",64.0 MiB,515.3 MiB
Mario & Luigi: Bowser's Inside Story,9.0,Alphadream Corporation,Nintendo,Mario & Luigi - Bowser's Inside Story (USA) (Video).nds,2.0 MiB,517.3 MiB
Advance Wars: Dual Strike,9.0,Intelligent Systems,Nintendo,"Advance Wars - Dual Strike (USA, Australia).nds",32.0 MiB,549.3 MiB
Pokemon Platinum Version,8.9,Game Freak,Nintendo,Pokemon - Platinum Version (USA) (Rev 1).nds,128.0 MiB,677.3 MiB
"Nine Hours, Nine Persons, Nine Doors",8.9,ChunSoft,Aksys Games,"Nine Hours, Nine Persons, Nine Doors (USA).nds",128.0 MiB,805.3 MiB
New Super Mario Bros.,8.9,Nintendo,Nintendo,"New Super Mario Bros. (USA, Australia).nds",32.0 MiB,837.3 MiB
Final Fantasy XII: Revenant Wings,8.9,Think and Feel,Square Enix,Final Fantasy XII - Revenant Wings (USA).nds,128.0 MiB,965.3 MiB
Final Fantasy Tactics A2: Grimoire of the Rift,8.9,Square Enix,Square Enix,"Final Fantasy Tactics A2 - Grimoire of the Rift (USA) (En,Fr,Es).nds",128.0 MiB,1.1 GiB
Castlevania: Dawn of Sorrow,8.9,Konami,Konami,Castlevania - Dawn of Sorrow (USA).nds,64.0 MiB,1.1 GiB
Meteos,8.8,Q Entertainment,Nintendo,Meteos (USA).nds,64.0 MiB,1.2 GiB
Kirby Super Star Ultra,8.8,HAL Labs,Nintendo,Kirby Super Star Ultra (USA) (Video).nds,1.9 MiB,1.2 GiB
The Legend of Zelda: Spirit Tracks,8.7,Nintendo,Nintendo,"Legend of Zelda, The - Spirit Tracks (USA) (En,Fr,Es) (Rev 1).nds",128.0 MiB,1.3 GiB
