title,score,developer,publisher,rom_name,size
Super Mario Galaxy 2,9.7,Nintendo EAD Tokyo ,Nintendo,"Super Mario Galaxy 2 (USA) (En,Fr,Es).iso",4699979776
Super Mario Galaxy,9.7,Nintendo,Nintendo,"Super Mario Galaxy 2 (USA) (En,Fr,Es).iso",4699979776
The Legend of Zelda: Skyward Sword,9.3,Nintendo,Nintendo,"Legend of Zelda, The - Skyward Sword (USA) (En,Fr,Es) (Rev 2).iso",4699979776
Super Smash Bros. Brawl,9.3,Game Arts,Nintendo,Super Smash Bros. Brawl (USA) (Rev 2).iso,8511160320
Kirby's Dream Collection: Special Edition,9.0,HAL Labs,Nintendo,Kirby's Dream Collection - Special Edition (USA).iso,4699979776
Kirby's Return to Dream Land,8.8,HAL Labs,Nintendo,"Kirby's Return to Dream Land (USA) (En,Fr,Es).iso",4699979776
Fire Emblem: Radiant Dawn,8.8,Intelligent Systems,Nintendo,Fire Emblem - Radiant Dawn (USA) (Rev 1).iso,4699979776
Zack & Wiki: Quest for Barbaros' Treasure,8.7,Capcom,Capcom,Zack & Wiki - Quest for Barbaros' Treasure (USA).iso,4699979776
Sin & Punishment: Star Successor,8.7,Treasure,Nintendo,Sin & Punishment - Star Successor (USA).iso,4699979776
New Super Mario Bros. Wii,8.7,Nintendo,Nintendo,"New Super Mario Bros. Wii (USA) (En,Fr,Es) (Rev 2).iso",4699979776
Lost in Shadow,8.7,Hudson Soft,Hudson Soft,"Lost in Shadow (USA) (En,Fr,Es) (Rev 1).iso",4699979776
Tetris Party,8.6,Hudson Soft,"Tetris Online, Inc",Tetris Party (USA) (WiiWare).wad,35865920
Mario Kart Wii,8.6,Nintendo,Nintendo,"Mario Kart Wii (USA) (En,Fr,Es).iso",4699979776
Kirby's Epic Yarn,8.6,Good-Feel,Nintendo,"Kirby's Epic Yarn (USA) (En,Fr,Es).iso",4699979776
Harvest Moon: Animal Parade,8.6,Marvelous Entertainment,Natsume,Harvest Moon - Animal Parade (USA).iso,4699979776
Fluidity,8.6,Curve Studios,Nintendo,Fluidity (USA) (WiiWare).wad,35578624
Final Fantasy Crystal Chronicles: The Crystal Bearers,8.6,Square Enix,Square Enix,"Final Fantasy Crystal Chronicles - The Crystal Bearers (USA) (En,Fr,Es).iso",4699979776
Boom Blox Bash Party,8.6,EA LA,Electronic Arts,"Boom Blox Bash Party (USA) (En,Fr,Es).iso",4699979776
Bomberman Blast,8.6,Hudson,Hudson Soft,Bomberman Blast (USA) (WiiWare).wad,32518720
The Last Story,8.5,Mistwalker,XSEED Games,"Last Story, The (USA) (En,Fr,Es).iso",8511160320
Tatsunoko vs. Capcom: Ultimate All-Stars,8.5,Eighting,Capcom,Tatsunoko vs. Capcom - Ultimate All-Stars (USA).iso,4699979776
Super Paper Mario,8.5,Intelligent Systems,Nintendo,Super Paper Mario (USA) (Rev 2).iso,4699979776
