The Legend of Zelda: Ocarina of Time	9.9	Nintendo	Nintendo
The Legend of Zelda: Majora's Mask	9.5	Nintendo	Nintendo
Paper Mario	9.3	Intelligent Systems	Nintendo
Wave Race 64	9.2	Nintendo	Nintendo
Conker's Bad Fur Day	9.2	Rare Ltd.	Rare Ltd.
Mario Tennis	9.1	Camelot Software Planning	Nintendo
Mario Golf	9.1	Camelot Software Planning	Nintendo
International Superstar Soccer '98	9.1	KCEO	Konami
Donkey Kong 64	9.0	Rare Ltd.	Nintendo
Blast Corps	9.0	Rare Ltd.	Nintendo
Beetle Adventure Racing	9.0	Paradigm Entertainment	EA Sports
WWF No Mercy	8.9	Aki Corp.	THQ
Star Fox 64	8.8	Nintendo	Nintendo
Excitebike 64	8.8	Left Field Productions	Nintendo
Diddy Kong Racing	8.8	Rare Ltd.	Rare Ltd.
Jet Force Gemini	8.7	Rare Ltd.	Rare Ltd.
F-Zero X	8.7	Nintendo	Nintendo
Super Smash Bros.	8.6	HAL Labs	Nintendo
World Driver Championship	8.5	Boss Game Studios	Midway
Mario Kart 64	8.5	Nintendo	Nintendo
Wipeout 64	8.4	Psygnosis	Midway
Mystical Ninja starring Goemon	8.3	KCEO	Konami
Harvest Moon 64	8.3	Victor Interactive Software	Natsume
Ridge Racer 64	8.2	Nintendo Software Technology	Nintendo
Pokemon Stadium 2	8.2	HAL Labs	Nintendo
Ogre Battle 64: Person of Lordly Caliber	8.2	Quest	Atlus
Mario Party 3	8.2	Hudson	Nintendo
Kirby 64: The Crystal Shards	8.2	HAL Labs	Nintendo
Extreme-G	8.2	Probe Entertainment Limited	Acclaim
Body Harvest	8.1	DMA Design	Midway
StarCraft 64	8.0	Mass Media	Nintendo
Pilotwings 64	8.0	Nintendo	Nintendo
Mario Party	8.0	Hudson	Nintendo
Castlevania (1998)	7.8	KCEK	Konami
Turok 3: Shadow of Oblivion (2000)	7.7	Acclaim Studios Austin	Acclaim
Mickey's Speedway USA	7.5	Rare Ltd.	Nintendo
Hercules: The Legendary Journeys	7.3	Player 1	Titus Software
Yoshi's Story	7.2	Nintendo	Nintendo
Aidyn Chronicles: The First Mage	7.2	H2O Interactive	THQ
Dr. Mario 64	7.1	Newcom	Nintendo
Cruis'n  Exotica	6.3	Gratuitous Games	Midway
Hey You, Pikachu!	5.7	Ambrella	Nintendo
Blues Brothers 2000	3.7	Player 1	Titus Software
Scooby-Doo! Classic Creep Capers	None	Terraglyph Interactive Studios	THQ
Rally Challenge 2000	None	Genki	SouthPeak Games
Pokemon Snap	None	HAL Labs	Nintendo
Pokemon Puzzle League	None	Nintendo Software Technology	Nintendo
Mario Party 2	None	Hudson	Nintendo
Looney Tunes Duck Dodgers Starring Daffy Duck	None	Paradigm Entertainment	Infogrames
Fighter Destiny 2	None	Opus	SouthPeak Games
Buck Bumble	None	Argonaut Games	Ubisoft
1080: TenEighty Snowboarding	None	Nintendo	Nintendo
