title,score,developer,publisher,rom_name,size,running_total
NFL 2K1,9.7,Visual Concepts,Sega,NFL 2K1 (USA) (Track 5).bin,1.1 GiB,1.1 GiB
Resident Evil Code: Veronica,9.4,NexTech,Capcom,Resident Evil - Code - Veronica (USA) (Disc 2) (Track 3).bin,2.2 GiB,3.3 GiB
NBA 2K1,9.3,Visual Concepts,Sega,NBA 2K1 (USA) (Track 5).bin,832.8 MiB,4.1 GiB
Shenmue,9.0,Sega AM2,Sega,Shenmue (USA) (Disc 3) (Track 6).bin,2.3 GiB,6.4 GiB
Phantasy Star Online,8.9,Sonic Team,Sega,Phantasy Star Online (Japan) (Tentou-you Demo Movie) (Track 3).bin,828.9 MiB,7.2 GiB
Power Stone 2,8.7,Capcom,Capcom,Power Stone 2 (USA) (Track 3).bin,1.1 GiB,8.3 GiB
Metropolis Street Racer,8.7,Bizarre Creations,Sega,MSR - Metropolis Street Racer (USA) (Rev A) (Track 3).bin,1.1 GiB,9.4 GiB
Test Drive V-Rally,8.6,Eden Studios,Infogrames,"Test Drive V-Rally (USA) (En,Fr,De) (Track 10).bin",702.2 MiB,10.1 GiB
Sonic Adventure,8.5,Sonic Team,Sega,"Sonic Adventure (USA) (En,Ja,Fr,De,Es) (Rev A) (Track 3).bin",1.1 GiB,11.2 GiB
F355 Challenge: Passione Rossa,8.5,Sega,Acclaim,F355 Challenge - Passione Rossa (USA) (Track 3).bin,1.1 GiB,12.3 GiB
Street Fighter III: Double Impact,8.4,Capcom,Capcom,Street Fighter III - Double Impact (USA) (Track 3).bin,1.1 GiB,13.4 GiB
Crazy Taxi 2,8.3,Hitmaker,Sega,Crazy Taxi 2 (USA) (Track 3).bin,1.1 GiB,14.5 GiB
Record of Lodoss War,8.1,Neverland,Conspiracy Entertainment,Record of Lodoss War (USA) (Track 5).bin,642.8 MiB,15.1 GiB
Ooga Booga,8.1,Visual Concepts,Sega,Ooga Booga (USA) (Track 3).bin,1.0 GiB,16.1 GiB
Capcom vs. SNK,8.1,Capcom,Capcom,Capcom vs. SNK (USA) (Track 3).bin,1.1 GiB,17.2 GiB
Project Justice,8.0,Capcom,Capcom,Project Justice (USA) (Track 3).bin,1.1 GiB,18.3 GiB
NHL 2K2,8.0,Treyarch,Sega,NHL 2K2 (USA) (Track 5).bin,850.9 MiB,19.2 GiB
Bomberman Online,8.0,h.a.n.d. Inc.,Sega,Bomberman Online (USA) (Track 3).bin,1.1 GiB,20.3 GiB
Tokyo Xtreme Racer 2,7.9,Genki,Crave,Tokyo Xtreme Racer 2 (USA) (Track 3).bin,1.1 GiB,21.4 GiB
Spawn: In the Demon's Hand,7.8,Capcom,Capcom,Spawn - In the Demon's Hand (USA) (Track 3).bin,1.1 GiB,22.5 GiB
NCAA College Football 2K2: Road to the Rose Bowl,7.8,Visual Concepts,Sega,NCAA College Football 2K2 - Road to the Rose Bowl (USA) (Track 5).bin,906.4 MiB,23.4 GiB
Mars Matrix,7.8,Takumi Corporation,Capcom,Mars Matrix (USA) (Track 3).bin,1.1 GiB,24.5 GiB
Speed Devils Online Racing,7.6,Ubisoft Montreal,Ubisoft,Speed Devils - Online Racing (USA) (Track 13).bin,431.4 MiB,24.9 GiB
Sega Smash Pack Volume 1,7.6,Sega,Sega,Sega Smash Pack - Volume 1 (USA) (Track 03).bin,628.8 MiB,25.5 GiB
Sega Bass Fishing 2,7.6,Wow Entertainment,Sega,Sega Bass Fishing 2 (USA) (Track 3).bin,1.1 GiB,26.6 GiB
Alien Front Online,7.6,Sega,Sega,Alien Front Online (USA) (Track 3).bin,960.0 MiB,27.5 GiB
AeroWings 2: Air Strike,7.4,CRI,Crave,AeroWings 2 - Airstrike (USA) (Track 3).bin,1.1 GiB,28.6 GiB
Red Dog: Superior Firepower,7.3,Argonaut Games,Crave,Red Dog - Superior Firepower (USA) (Track 3).bin,1.1 GiB,29.7 GiB
Outtrigger,7.3,Sega AM2,Sega,Outtrigger (USA) (Track 3).bin,1.1 GiB,30.8 GiB
Cannon Spike,7.3,Psikyo,Capcom,Cannon Spike (USA) (Track 3).bin,1.1 GiB,32.0 GiB
Sonic Shuffle,7.1,Sega,Sega,Sonic Shuffle (USA) (Track 3).bin,1.1 GiB,33.1 GiB
Giga Wing 2,7.0,Takumi Corporation,Capcom,GigaWing 2 (USA) (Track 3).bin,1.1 GiB,34.2 GiB
Confidential Mission,7.0,Hitmaker,Sega,Confidential Mission (USA) (Track 3).bin,1.1 GiB,35.3 GiB
Coaster Works,7.0,Bimboosoft,Xicat Interactive,Coaster Works (USA) (Track 03).bin,973.4 MiB,36.2 GiB
World Series Baseball 2K2,6.9,Visual Concepts,Sega,World Series Baseball 2K2 (USA) (Track 5).bin,806.9 MiB,37.0 GiB
D2,6.9,WARP,Sega,D2 (USA) (Disc 4) (Track 3).bin,4.4 GiB,41.4 GiB
Charge 'N Blast,6.8,SIMS,Xicat Interactive,Charge 'N Blast (USA) (Track 3).bin,1.1 GiB,42.5 GiB
The Next Tetris: On-line Edition,6.7,Blue Planet Software,Crave,"Next Tetris, The - On-Line Edition (USA) (Track 03).bin",728.9 MiB,43.2 GiB
Iron Aces,6.7,Marionette,Xicat Interactive,Iron Aces (USA) (Track 3).bin,1.1 GiB,44.3 GiB
WWF Royal Rumble,6.6,Yuke's,THQ,WWF Royal Rumble (USA) (Track 3).bin,1.1 GiB,45.4 GiB
Super Runabout: San Francisco Edition,6.5,Climax Entertainment,Interplay,Super Runabout - San Francisco Edition (USA) (Track 23).bin,345.3 MiB,45.8 GiB
Sports Jam,6.4,Wow Entertainment,Agetec,Sports Jam (USA) (Track 3).bin,1.1 GiB,46.9 GiB
Floigan Bros. Episode 1,6.4,Visual Concepts,Sega,Floigan Bros. - Episode 1 (USA) (Track 3).bin,603.2 MiB,47.5 GiB
Virtua Athlete 2000,6.1,Hitmaker,Agetec,"Virtua Athlete 2000 (USA) (En,Fr,De,Es) (Track 3).bin",1.1 GiB,48.6 GiB
Zombie Revenge,6.0,Sega,Sega,Zombie Revenge (USA) (Track 3).bin,1.1 GiB,49.7 GiB
Heavy Metal: Geomatrix,5.8,Capcom,Capcom,Heavy Metal - Geomatrix (USA) (Track 3).bin,1.1 GiB,50.8 GiB
Surf Rocket Racers,5.5,CRI,Crave,Surf Rocket Racers (USA) (Track 3).bin,1.1 GiB,51.9 GiB
Spec Ops II: Omega Squad,5.0,Runecraft,Ripcord Games,Spec Ops II - Omega Squad (USA) (Track 03).bin,365.2 MiB,52.2 GiB
World Series Baseball 2K1,4.8,Wow Entertainment,Sega,World Series Baseball 2K1 (USA) (Track 3).bin,1.1 GiB,53.3 GiB
