NFL 2K1	9.7	Visual Concepts	Sega
Resident Evil Code: Veronica	9.4	NexTech	Capcom
NBA 2K1	9.3	Visual Concepts	Sega
Shenmue	9.0	Sega AM2	Sega
Phantasy Star Online	8.9	Sonic Team	Sega
Power Stone 2	8.7	Capcom	Capcom
Metropolis Street Racer	8.7	Bizarre Creations	Sega
Test Drive V-Rally	8.6	Eden Studios	Infogrames
F355 Challenge: Passione Rossa	8.5	Sega	Acclaim
Street Fighter III: Double Impact	8.4	Capcom	Capcom
Crazy Taxi 2	8.3	Hitmaker	Sega
Record of Lodoss War	8.1	Neverland	Conspiracy Entertainment
Ooga Booga	8.1	Visual Concepts	Sega
Capcom vs. SNK	8.1	Capcom	Capcom
Project Justice	8.0	Capcom	Capcom
Tokyo Xtreme Racer 2	7.9	Genki	Crave
Spawn: In the Demon's Hand	7.8	Capcom	Capcom
Mars Matrix	7.8	Takumi Corporation	Capcom
Speed Devils Online Racing	7.6	Ubisoft Montreal	Ubisoft
Sega Smash Pack Volume 1	7.6	Sega	Sega
Sega Bass Fishing 2	7.6	Wow Entertainment	Sega
Sonic Shuffle	7.1	Sega	Sega
Zombie Revenge	None	Sega	Sega
WWF Royal Rumble	None	Yuke's	THQ
World Series Baseball 2K2	None	Visual Concepts	Sega
World Series Baseball 2K1	None	Wow Entertainment	Sega
Virtua Athlete 2000	None	Hitmaker	Agetec
The Next Tetris: On-line Edition	None	Blue Planet Software	Crave
Surf Rocket Racers	None	CRI	Crave
Super Runabout: San Francisco Edition	None	Climax Entertainment	Interplay
Sports Jam	None	Wow Entertainment	Agetec
Spec Ops II: Omega Squad	None	Runecraft	Ripcord Games
Sonic Adventure	None	Sonic Team	Sega
Red Dog: Superior Firepower	None	Argonaut Games	Crave
Outtrigger	None	Sega AM2	Sega
NHL 2K2	None	Treyarch	Sega
NCAA College Football 2K2: Road to the Rose Bowl	None	Visual Concepts	Sega
Iron Aces	None	Marionette	Xicat Interactive
Heavy Metal: Geomatrix	None	Capcom	Capcom
Giga Wing 2	None	Takumi Corporation	Capcom
Floigan Bros. Episode 1	None	Visual Concepts	Sega
D2	None	WARP	Sega
Confidential Mission	None	Hitmaker	Sega
Coaster Works	None	Bimboosoft	Xicat Interactive
Charge 'N Blast	None	SIMS	Xicat Interactive
Cannon Spike	None	Psikyo	Capcom
Bomberman Online	None	h.a.n.d. Inc.	Sega
Alien Front Online	None	Sega	Sega
AeroWings 2: Air Strike	None	CRI	Crave
